age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
56,male,3.755642958908278e-5,3.033813021212577e-4,0.00249379297836326,3.834397178566823e-4,8852,adaod,0,50,55,0,0,5,male_adaod,sheffield
57,male,3.755642958908278e-5,3.033813021212577e-4,0.00249379297836326,3.834397178566823e-4,8852,adaod,0,50,55,0,0,5,male_adaod,sheffield
58,male,3.755642958908278e-5,3.033813021212577e-4,0.00249379297836326,3.834397178566823e-4,8852,adaod,0,50,55,0,0,5,male_adaod,sheffield
59,male,3.755642958908278e-5,3.033813021212577e-4,0.00249379297836326,3.834397178566823e-4,8852,adaod,0,50,55,0,0,5,male_adaod,sheffield
60,male,1.0785127826086702e-4,6.173882600405809e-4,0.005142187283531338,8.490595356333729e-4,7443,adaod,0,50,60,0,1,5,male_adaod,sheffield
61,male,1.0785127826086702e-4,6.173882600405809e-4,0.005142187283531338,8.490595356333729e-4,7443,adaod,0,50,60,0,1,5,male_adaod,sheffield
62,male,1.0785127826086702e-4,6.173882600405809e-4,0.005142187283531338,8.490595356333729e-4,7443,adaod,0,50,60,0,1,5,male_adaod,sheffield
63,male,1.0785127826086702e-4,6.173882600405809e-4,0.005142187283531338,8.490595356333729e-4,7443,adaod,0,50,60,0,1,5,male_adaod,sheffield
64,male,1.0785127826086702e-4,6.173882600405809e-4,0.005142187283531338,8.490595356333729e-4,7443,adaod,0,50,60,0,1,5,male_adaod,sheffield
65,male,2.7558490210305295e-4,0.0012929635769308122,0.010919213869509729,0.0019196091023861751,7119,adaod,0,50,65,1,2,5,male_adaod,sheffield
66,male,2.7558490210305295e-4,0.0012929635769308122,0.010919213869509729,0.0019196091023861751,7119,adaod,0,50,65,1,2,5,male_adaod,sheffield
67,male,2.7558490210305295e-4,0.0012929635769308122,0.010919213869509729,0.0019196091023861751,7119,adaod,0,50,65,1,2,5,male_adaod,sheffield
68,male,2.7558490210305295e-4,0.0012929635769308122,0.010919213869509729,0.0019196091023861751,7119,adaod,0,50,65,1,2,5,male_adaod,sheffield
69,male,2.7558490210305295e-4,0.0012929635769308122,0.010919213869509729,0.0019196091023861751,7119,adaod,0,50,65,1,2,5,male_adaod,sheffield
70,male,7.48653160935505e-4,0.003320129995872133,0.024208993579440508,0.004641776305133299,6042,adaod,0,50,70,1,5,5,male_adaod,sheffield
71,male,7.48653160935505e-4,0.003320129995872133,0.024208993579440508,0.004641776305133299,6042,adaod,0,50,70,1,5,5,male_adaod,sheffield
72,male,7.48653160935505e-4,0.003320129995872133,0.024208993579440508,0.004641776305133299,6042,adaod,0,50,70,1,5,5,male_adaod,sheffield
73,male,7.48653160935505e-4,0.003320129995872133,0.024208993579440508,0.004641776305133299,6042,adaod,0,50,70,1,5,5,male_adaod,sheffield
74,male,7.48653160935505e-4,0.003320129995872133,0.024208993579440508,0.004641776305133299,6042,adaod,0,50,70,1,5,5,male_adaod,sheffield
75,male,0.002511218404125483,0.007276363854012306,0.054034669527456794,0.010420658633133167,4253,adaod,0,50,75,3,11,5,male_adaod,sheffield
76,male,0.002511218404125483,0.007276363854012306,0.054034669527456794,0.010420658633133167,4253,adaod,0,50,75,3,11,5,male_adaod,sheffield
77,male,0.002511218404125483,0.007276363854012306,0.054034669527456794,0.010420658633133167,4253,adaod,0,50,75,3,11,5,male_adaod,sheffield
78,male,0.002511218404125483,0.007276363854012306,0.054034669527456794,0.010420658633133167,4253,adaod,0,50,75,3,11,5,male_adaod,sheffield
79,male,0.002511218404125483,0.007276363854012306,0.054034669527456794,0.010420658633133167,4253,adaod,0,50,75,3,11,5,male_adaod,sheffield
80,male,0.007134253611584057,0.01769408259982185,0.10834423388065292,0.018594466483417914,2859,adaod,0,20,80,2,20,5,male_adaod,sheffield
81,male,0.007134253611584057,0.01769408259982185,0.10834423388065292,0.018594466483417914,2859,adaod,0,20,80,2,20,5,male_adaod,sheffield
82,male,0.007134253611584057,0.01769408259982185,0.10834423388065292,0.018594466483417914,2859,adaod,0,20,80,2,20,5,male_adaod,sheffield
83,male,0.007134253611584057,0.01769408259982185,0.10834423388065292,0.018594466483417914,2859,adaod,0,20,80,2,20,5,male_adaod,sheffield
84,male,0.007134253611584057,0.01769408259982185,0.10834423388065292,0.018594466483417914,2859,adaod,0,20,80,2,20,5,male_adaod,sheffield
85,male,0.01840330199010759,0.029159799062355406,0.1828875160507892,0.02750644948810659,1475,adaod,0,20,85,4,27,5,male_adaod,sheffield
86,male,0.01840330199010759,0.029159799062355406,0.1828875160507892,0.02750644948810659,1475,adaod,0,20,85,4,27,5,male_adaod,sheffield
87,male,0.01840330199010759,0.029159799062355406,0.1828875160507892,0.02750644948810659,1475,adaod,0,20,85,4,27,5,male_adaod,sheffield
88,male,0.01840330199010759,0.029159799062355406,0.1828875160507892,0.02750644948810659,1475,adaod,0,20,85,4,27,5,male_adaod,sheffield
89,male,0.01840330199010759,0.029159799062355406,0.1828875160507892,0.02750644948810659,1475,adaod,0,20,85,4,27,5,male_adaod,sheffield
90,male,0.03756410215601886,0.03996832737684252,0.25559548244360303,0.03619812171336192,541,adaod,0,10,90,3,20,5,male_adaod,sheffield
91,male,0.03756410215601886,0.03996832737684252,0.25559548244360303,0.03619812171336192,541,adaod,0,10,90,3,20,5,male_adaod,sheffield
92,male,0.03756410215601886,0.03996832737684252,0.25559548244360303,0.03619812171336192,541,adaod,0,10,90,3,20,5,male_adaod,sheffield
93,male,0.03756410215601886,0.03996832737684252,0.25559548244360303,0.03619812171336192,541,adaod,0,10,90,3,20,5,male_adaod,sheffield
94,male,0.03756410215601886,0.03996832737684252,0.25559548244360303,0.03619812171336192,541,adaod,0,10,90,3,20,5,male_adaod,sheffield
95,male,0.0612280756854336,0.04692553592467389,0.3043171195814338,0.04332724239299936,88,adaod,0,10,95,3,5,6,male_adaod,sheffield
96,male,0.0612280756854336,0.04692553592467389,0.3043171195814338,0.04332724239299936,88,adaod,0,10,95,3,5,6,male_adaod,sheffield
97,male,0.0612280756854336,0.04692553592467389,0.3043171195814338,0.04332724239299936,88,adaod,0,10,95,3,5,6,male_adaod,sheffield
98,male,0.0612280756854336,0.04692553592467389,0.3043171195814338,0.04332724239299936,88,adaod,0,10,95,3,5,6,male_adaod,sheffield
99,male,0.0612280756854336,0.04692553592467389,0.3043171195814338,0.04332724239299936,88,adaod,0,10,95,3,5,6,male_adaod,sheffield
100,male,0.0612280756854336,0.04692553592467389,0.3043171195814338,0.04332724239299936,88,adaod,0,10,95,3,5,6,male_adaod,sheffield
