age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
45,female,8.662400099601812e-6,8.905526231727904e-5,0.0013755072950113077,1.603960676592327e-4,178212,utrc,0,50,45,0,2,5,female_utrc,Greater London
46,female,8.662400099601812e-6,8.905526231727904e-5,0.0013755072950113077,1.603960676592327e-4,178212,utrc,0,50,45,0,2,5,female_utrc,Greater London
47,female,8.662400099601812e-6,8.905526231727904e-5,0.0013755072950113077,1.603960676592327e-4,178212,utrc,0,50,45,0,2,5,female_utrc,Greater London
48,female,8.662400099601812e-6,8.905526231727904e-5,0.0013755072950113077,1.603960676592327e-4,178212,utrc,0,50,45,0,2,5,female_utrc,Greater London
49,female,8.662400099601812e-6,8.905526231727904e-5,0.0013755072950113077,1.603960676592327e-4,178212,utrc,0,50,45,0,2,5,female_utrc,Greater London
50,female,2.146706956544222e-5,2.1453609035162652e-4,0.0033706600739053317,3.942921811861587e-4,165893,utrc,0,50,50,0,4,5,female_utrc,Greater London
51,female,2.146706956544222e-5,2.1453609035162652e-4,0.0033706600739053317,3.942921811861587e-4,165893,utrc,0,50,50,0,4,5,female_utrc,Greater London
52,female,2.146706956544222e-5,2.1453609035162652e-4,0.0033706600739053317,3.942921811861587e-4,165893,utrc,0,50,50,0,4,5,female_utrc,Greater London
53,female,2.146706956544222e-5,2.1453609035162652e-4,0.0033706600739053317,3.942921811861587e-4,165893,utrc,0,50,50,0,4,5,female_utrc,Greater London
54,female,2.146706956544222e-5,2.1453609035162652e-4,0.0033706600739053317,3.942921811861587e-4,165893,utrc,0,50,50,0,4,5,female_utrc,Greater London
55,female,4.685117740050018e-5,3.9786513301346316e-4,0.006311431054450299,7.444666432182293e-4,136890,utrc,0,50,55,0,6,5,female_utrc,Greater London
56,female,4.685117740050018e-5,3.9786513301346316e-4,0.006311431054450299,7.444666432182293e-4,136890,utrc,0,50,55,0,6,5,female_utrc,Greater London
57,female,4.685117740050018e-5,3.9786513301346316e-4,0.006311431054450299,7.444666432182293e-4,136890,utrc,0,50,55,0,6,5,female_utrc,Greater London
58,female,4.685117740050018e-5,3.9786513301346316e-4,0.006311431054450299,7.444666432182293e-4,136890,utrc,0,50,55,0,6,5,female_utrc,Greater London
59,female,4.685117740050018e-5,3.9786513301346316e-4,0.006311431054450299,7.444666432182293e-4,136890,utrc,0,50,55,0,6,5,female_utrc,Greater London
60,female,8.143769030525609e-5,4.5224465947649e-4,0.007128719153006968,8.581406281285304e-4,109533,utrc,0,50,60,0,9,5,female_utrc,Greater London
61,female,8.143769030525609e-5,4.5224465947649e-4,0.007128719153006968,8.581406281285304e-4,109533,utrc,0,50,60,0,9,5,female_utrc,Greater London
62,female,8.143769030525609e-5,4.5224465947649e-4,0.007128719153006968,8.581406281285304e-4,109533,utrc,0,50,60,0,9,5,female_utrc,Greater London
63,female,8.143769030525609e-5,4.5224465947649e-4,0.007128719153006968,8.581406281285304e-4,109533,utrc,0,50,60,0,9,5,female_utrc,Greater London
64,female,8.143769030525609e-5,4.5224465947649e-4,0.007128719153006968,8.581406281285304e-4,109533,utrc,0,50,60,0,9,5,female_utrc,Greater London
65,female,1.4190383527696958e-4,5.336758732951535e-4,0.008327167361830565,0.0010341601174918686,93469,utrc,0,50,65,0,13,5,female_utrc,Greater London
66,female,1.4190383527696958e-4,5.336758732951535e-4,0.008327167361830565,0.0010341601174918686,93469,utrc,0,50,65,0,13,5,female_utrc,Greater London
67,female,1.4190383527696958e-4,5.336758732951535e-4,0.008327167361830565,0.0010341601174918686,93469,utrc,0,50,65,0,13,5,female_utrc,Greater London
68,female,1.4190383527696958e-4,5.336758732951535e-4,0.008327167361830565,0.0010341601174918686,93469,utrc,0,50,65,0,13,5,female_utrc,Greater London
69,female,1.4190383527696958e-4,5.336758732951535e-4,0.008327167361830565,0.0010341601174918686,93469,utrc,0,50,65,0,13,5,female_utrc,Greater London
70,female,1.931508969100204e-4,5.475756216433413e-4,0.008294483965710399,0.0010798917809614825,78154,utrc,0,50,70,0,15,5,female_utrc,Greater London
71,female,1.931508969100204e-4,5.475756216433413e-4,0.008294483965710399,0.0010798917809614825,78154,utrc,0,50,70,0,15,5,female_utrc,Greater London
72,female,1.931508969100204e-4,5.475756216433413e-4,0.008294483965710399,0.0010798917809614825,78154,utrc,0,50,70,0,15,5,female_utrc,Greater London
73,female,1.931508969100204e-4,5.475756216433413e-4,0.008294483965710399,0.0010798917809614825,78154,utrc,0,50,70,0,15,5,female_utrc,Greater London
74,female,1.931508969100204e-4,5.475756216433413e-4,0.008294483965710399,0.0010798917809614825,78154,utrc,0,50,70,0,15,5,female_utrc,Greater London
75,female,2.3774504683454092e-4,4.7158186989205937e-4,0.006794511120807654,9.627300495643546e-4,59878,utrc,0,50,75,0,14,5,female_utrc,Greater London
76,female,2.3774504683454092e-4,4.7158186989205937e-4,0.006794511120807654,9.627300495643546e-4,59878,utrc,0,50,75,0,14,5,female_utrc,Greater London
77,female,2.3774504683454092e-4,4.7158186989205937e-4,0.006794511120807654,9.627300495643546e-4,59878,utrc,0,50,75,0,14,5,female_utrc,Greater London
78,female,2.3774504683454092e-4,4.7158186989205937e-4,0.006794511120807654,9.627300495643546e-4,59878,utrc,0,50,75,0,14,5,female_utrc,Greater London
79,female,2.3774504683454092e-4,4.7158186989205937e-4,0.006794511120807654,9.627300495643546e-4,59878,utrc,0,50,75,0,14,5,female_utrc,Greater London
80,female,2.953200140017295e-4,3.26885775483486e-4,0.004265933612709029,7.12631351495583e-4,46034,utrc,0,20,80,0,14,5,female_utrc,Greater London
81,female,2.953200140017295e-4,3.26885775483486e-4,0.004265933612709029,7.12631351495583e-4,46034,utrc,0,20,80,0,14,5,female_utrc,Greater London
82,female,2.953200140017295e-4,3.26885775483486e-4,0.004265933612709029,7.12631351495583e-4,46034,utrc,0,20,80,0,14,5,female_utrc,Greater London
83,female,2.953200140017295e-4,3.26885775483486e-4,0.004265933612709029,7.12631351495583e-4,46034,utrc,0,20,80,0,14,5,female_utrc,Greater London
84,female,2.953200140017295e-4,3.26885775483486e-4,0.004265933612709029,7.12631351495583e-4,46034,utrc,0,20,80,0,14,5,female_utrc,Greater London
85,female,3.615806728366569e-4,3.975100682811911e-4,0.0045402753071374004,8.721091939849131e-4,30376,utrc,0,20,85,0,11,5,female_utrc,Greater London
86,female,3.615806728366569e-4,3.975100682811911e-4,0.0045402753071374004,8.721091939849131e-4,30376,utrc,0,20,85,0,11,5,female_utrc,Greater London
87,female,3.615806728366569e-4,3.975100682811911e-4,0.0045402753071374004,8.721091939849131e-4,30376,utrc,0,20,85,0,11,5,female_utrc,Greater London
88,female,3.615806728366569e-4,3.975100682811911e-4,0.0045402753071374004,8.721091939849131e-4,30376,utrc,0,20,85,0,11,5,female_utrc,Greater London
89,female,3.615806728366569e-4,3.975100682811911e-4,0.0045402753071374004,8.721091939849131e-4,30376,utrc,0,20,85,0,11,5,female_utrc,Greater London
90,female,4.0455416405814023e-4,4.3432931615401926e-4,0.004138933272791498,9.788709974273304e-4,15340,utrc,0,10,90,0,6,5,female_utrc,Greater London
91,female,4.0455416405814023e-4,4.3432931615401926e-4,0.004138933272791498,9.788709974273304e-4,15340,utrc,0,10,90,0,6,5,female_utrc,Greater London
92,female,4.0455416405814023e-4,4.3432931615401926e-4,0.004138933272791498,9.788709974273304e-4,15340,utrc,0,10,90,0,6,5,female_utrc,Greater London
93,female,4.0455416405814023e-4,4.3432931615401926e-4,0.004138933272791498,9.788709974273304e-4,15340,utrc,0,10,90,0,6,5,female_utrc,Greater London
94,female,4.0455416405814023e-4,4.3432931615401926e-4,0.004138933272791498,9.788709974273304e-4,15340,utrc,0,10,90,0,6,5,female_utrc,Greater London
95,female,4.5169448834441264e-4,2.68655927179802e-4,8.467052768400482e-4,0.0011001395410871531,4162,utrc,0,10,95,0,2,6,female_utrc,Greater London
96,female,4.5169448834441264e-4,2.68655927179802e-4,8.467052768400482e-4,0.0011001395410871531,4162,utrc,0,10,95,0,2,6,female_utrc,Greater London
97,female,4.5169448834441264e-4,2.68655927179802e-4,8.467052768400482e-4,0.0011001395410871531,4162,utrc,0,10,95,0,2,6,female_utrc,Greater London
98,female,4.5169448834441264e-4,2.68655927179802e-4,8.467052768400482e-4,0.0011001395410871531,4162,utrc,0,10,95,0,2,6,female_utrc,Greater London
99,female,4.5169448834441264e-4,2.68655927179802e-4,8.467052768400482e-4,0.0011001395410871531,4162,utrc,0,10,95,0,2,6,female_utrc,Greater London
100,female,4.5169448834441264e-4,2.68655927179802e-4,8.467052768400482e-4,0.0011001395410871531,4162,utrc,0,10,95,0,2,6,female_utrc,Greater London
