age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
47,male,4.969565840192749e-4,6.029953818181444e-4,0.019825925082795768,0.002439694166728274,51128,ishd,0,50,45,1,25,5,male_ishd,North West England
48,male,4.969565840192749e-4,6.029953818181444e-4,0.019825925082795768,0.002439694166728274,51128,ishd,0,50,45,1,25,5,male_ishd,North West England
49,male,4.969565840192749e-4,6.029953818181444e-4,0.019825925082795768,0.002439694166728274,51128,ishd,0,50,45,1,25,5,male_ishd,North West England
50,male,8.236631105135308e-4,9.533963590476883e-4,0.03418175136783132,0.004319689984459846,52127,ishd,0,50,50,2,43,5,male_ishd,North West England
51,male,8.236631105135308e-4,9.533963590476883e-4,0.03418175136783132,0.004319689984459846,52127,ishd,0,50,50,2,43,5,male_ishd,North West England
52,male,8.236631105135308e-4,9.533963590476883e-4,0.03418175136783132,0.004319689984459846,52127,ishd,0,50,50,2,43,5,male_ishd,North West England
53,male,8.236631105135308e-4,9.533963590476883e-4,0.03418175136783132,0.004319689984459846,52127,ishd,0,50,50,2,43,5,male_ishd,North West England
54,male,8.236631105135308e-4,9.533963590476883e-4,0.03418175136783132,0.004319689984459846,52127,ishd,0,50,50,2,43,5,male_ishd,North West England
55,male,0.0013026618002980664,0.0014413308328196008,0.05571992971796212,0.007011307773158364,46610,ishd,0,50,55,3,61,5,male_ishd,North West England
56,male,0.0013026618002980664,0.0014413308328196008,0.05571992971796212,0.007011307773158364,46610,ishd,0,50,55,3,61,5,male_ishd,North West England
57,male,0.0013026618002980664,0.0014413308328196008,0.05571992971796212,0.007011307773158364,46610,ishd,0,50,55,3,61,5,male_ishd,North West England
58,male,0.0013026618002980664,0.0014413308328196008,0.05571992971796212,0.007011307773158364,46610,ishd,0,50,55,3,61,5,male_ishd,North West England
59,male,0.0013026618002980664,0.0014413308328196008,0.05571992971796212,0.007011307773158364,46610,ishd,0,50,55,3,61,5,male_ishd,North West England
