age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
45,male,4.321091796309493e-5,3.8798117969620885e-5,3.7242583254859697e-4,1.0426690803892891e-4,9884,stmc,0,50,45,0,0,5,male_stmc,sheffield
46,male,4.321091796309493e-5,3.8798117969620885e-5,3.7242583254859697e-4,1.0426690803892891e-4,9884,stmc,0,50,45,0,0,5,male_stmc,sheffield
47,male,4.321091796309493e-5,3.8798117969620885e-5,3.7242583254859697e-4,1.0426690803892891e-4,9884,stmc,0,50,45,0,0,5,male_stmc,sheffield
48,male,4.321091796309493e-5,3.8798117969620885e-5,3.7242583254859697e-4,1.0426690803892891e-4,9884,stmc,0,50,45,0,0,5,male_stmc,sheffield
49,male,4.321091796309493e-5,3.8798117969620885e-5,3.7242583254859697e-4,1.0426690803892891e-4,9884,stmc,0,50,45,0,0,5,male_stmc,sheffield
50,male,6.76988278924225e-5,5.501830647112593e-5,5.227076047652698e-4,1.5020568220061088e-4,9954,stmc,0,50,50,0,1,5,male_stmc,sheffield
51,male,6.76988278924225e-5,5.501830647112593e-5,5.227076047652698e-4,1.5020568220061088e-4,9954,stmc,0,50,50,0,1,5,male_stmc,sheffield
52,male,6.76988278924225e-5,5.501830647112593e-5,5.227076047652698e-4,1.5020568220061088e-4,9954,stmc,0,50,50,0,1,5,male_stmc,sheffield
53,male,6.76988278924225e-5,5.501830647112593e-5,5.227076047652698e-4,1.5020568220061088e-4,9954,stmc,0,50,50,0,1,5,male_stmc,sheffield
54,male,6.76988278924225e-5,5.501830647112593e-5,5.227076047652698e-4,1.5020568220061088e-4,9954,stmc,0,50,50,0,1,5,male_stmc,sheffield
55,male,1.285479326473961e-4,9.429049502077991e-5,8.649922107967068e-4,2.6441534651100077e-4,8852,stmc,0,50,55,0,1,5,male_stmc,sheffield
56,male,1.285479326473961e-4,9.429049502077991e-5,8.649922107967068e-4,2.6441534651100077e-4,8852,stmc,0,50,55,0,1,5,male_stmc,sheffield
57,male,1.285479326473961e-4,9.429049502077991e-5,8.649922107967068e-4,2.6441534651100077e-4,8852,stmc,0,50,55,0,1,5,male_stmc,sheffield
