age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
39,male,2.210091542185909e-6,2.1487546937925563e-4,0.0018933509991466008,1.0165432471400666e-4,7997,iscs,0,50,35,0,0,5,male_iscs,bristol
40,male,6.03116396948375e-6,3.2307744354594944e-4,0.002801130784430574,2.3983919005051918e-4,7179,iscs,0,50,40,0,0,5,male_iscs,bristol
41,male,6.03116396948375e-6,3.2307744354594944e-4,0.002801130784430574,2.3983919005051918e-4,7179,iscs,0,50,40,0,0,5,male_iscs,bristol
42,male,6.03116396948375e-6,3.2307744354594944e-4,0.002801130784430574,2.3983919005051918e-4,7179,iscs,0,50,40,0,0,5,male_iscs,bristol
43,male,6.03116396948375e-6,3.2307744354594944e-4,0.002801130784430574,2.3983919005051918e-4,7179,iscs,0,50,40,0,0,5,male_iscs,bristol
44,male,6.03116396948375e-6,3.2307744354594944e-4,0.002801130784430574,2.3983919005051918e-4,7179,iscs,0,50,40,0,0,5,male_iscs,bristol
45,male,1.320982175776999e-5,5.366343399223027e-4,0.004591463784962578,4.705716512185716e-4,7628,iscs,0,50,45,0,0,5,male_iscs,bristol
46,male,1.320982175776999e-5,5.366343399223027e-4,0.004591463784962578,4.705716512185716e-4,7628,iscs,0,50,45,0,0,5,male_iscs,bristol
47,male,1.320982175776999e-5,5.366343399223027e-4,0.004591463784962578,4.705716512185716e-4,7628,iscs,0,50,45,0,0,5,male_iscs,bristol
48,male,1.320982175776999e-5,5.366343399223027e-4,0.004591463784962578,4.705716512185716e-4,7628,iscs,0,50,45,0,0,5,male_iscs,bristol
49,male,1.320982175776999e-5,5.366343399223027e-4,0.004591463784962578,4.705716512185716e-4,7628,iscs,0,50,45,0,0,5,male_iscs,bristol
50,male,2.2351039799837176e-5,9.006354652412066e-4,0.007616666632472694,8.97236473038383e-4,7605,iscs,0,50,50,0,0,5,male_iscs,bristol
51,male,2.2351039799837176e-5,9.006354652412066e-4,0.007616666632472694,8.97236473038383e-4,7605,iscs,0,50,50,0,0,5,male_iscs,bristol
52,male,2.2351039799837176e-5,9.006354652412066e-4,0.007616666632472694,8.97236473038383e-4,7605,iscs,0,50,50,0,0,5,male_iscs,bristol
53,male,2.2351039799837176e-5,9.006354652412066e-4,0.007616666632472694,8.97236473038383e-4,7605,iscs,0,50,50,0,0,5,male_iscs,bristol
54,male,2.2351039799837176e-5,9.006354652412066e-4,0.007616666632472694,8.97236473038383e-4,7605,iscs,0,50,50,0,0,5,male_iscs,bristol
55,male,3.632763068635602e-5,0.0015543156008153642,0.012810947867866348,0.0015192580510725983,6479,iscs,0,50,55,1,0,5,male_iscs,bristol
56,male,3.632763068635602e-5,0.0015543156008153642,0.012810947867866348,0.0015192580510725983,6479,iscs,0,50,55,1,0,5,male_iscs,bristol
57,male,3.632763068635602e-5,0.0015543156008153642,0.012810947867866348,0.0015192580510725983,6479,iscs,0,50,55,1,0,5,male_iscs,bristol
58,male,3.632763068635602e-5,0.0015543156008153642,0.012810947867866348,0.0015192580510725983,6479,iscs,0,50,55,1,0,5,male_iscs,bristol
59,male,3.632763068635602e-5,0.0015543156008153642,0.012810947867866348,0.0015192580510725983,6479,iscs,0,50,55,1,0,5,male_iscs,bristol
60,male,9.365583151092742e-5,0.002469643744099802,0.020359425211485118,0.0020383342385601006,5560,iscs,0,50,60,1,1,5,male_iscs,bristol
61,male,9.365583151092742e-5,0.002469643744099802,0.020359425211485118,0.0020383342385601006,5560,iscs,0,50,60,1,1,5,male_iscs,bristol
62,male,9.365583151092742e-5,0.002469643744099802,0.020359425211485118,0.0020383342385601006,5560,iscs,0,50,60,1,1,5,male_iscs,bristol
63,male,9.365583151092742e-5,0.002469643744099802,0.020359425211485118,0.0020383342385601006,5560,iscs,0,50,60,1,1,5,male_iscs,bristol
64,male,9.365583151092742e-5,0.002469643744099802,0.020359425211485118,0.0020383342385601006,5560,iscs,0,50,60,1,1,5,male_iscs,bristol
65,male,1.7493312694630197e-4,0.003690751143949338,0.03023669933152853,0.002455476815911505,5418,iscs,0,50,65,2,1,5,male_iscs,bristol
66,male,1.7493312694630197e-4,0.003690751143949338,0.03023669933152853,0.002455476815911505,5418,iscs,0,50,65,2,1,5,male_iscs,bristol
67,male,1.7493312694630197e-4,0.003690751143949338,0.03023669933152853,0.002455476815911505,5418,iscs,0,50,65,2,1,5,male_iscs,bristol
68,male,1.7493312694630197e-4,0.003690751143949338,0.03023669933152853,0.002455476815911505,5418,iscs,0,50,65,2,1,5,male_iscs,bristol
69,male,1.7493312694630197e-4,0.003690751143949338,0.03023669933152853,0.002455476815911505,5418,iscs,0,50,65,2,1,5,male_iscs,bristol
70,male,4.2753366299260224e-4,0.00588269864760343,0.04233961386301113,0.003026064039173361,4800,iscs,0,50,70,2,2,5,male_iscs,bristol
71,male,4.2753366299260224e-4,0.00588269864760343,0.04233961386301113,0.003026064039173361,4800,iscs,0,50,70,2,2,5,male_iscs,bristol
72,male,4.2753366299260224e-4,0.00588269864760343,0.04233961386301113,0.003026064039173361,4800,iscs,0,50,70,2,2,5,male_iscs,bristol
73,male,4.2753366299260224e-4,0.00588269864760343,0.04233961386301113,0.003026064039173361,4800,iscs,0,50,70,2,2,5,male_iscs,bristol
74,male,4.2753366299260224e-4,0.00588269864760343,0.04233961386301113,0.003026064039173361,4800,iscs,0,50,70,2,2,5,male_iscs,bristol
75,male,9.503323143585498e-4,0.008752069809827083,0.05653980855208697,0.0037439361667055823,3332,iscs,0,50,75,3,3,5,male_iscs,bristol
76,male,9.503323143585498e-4,0.008752069809827083,0.05653980855208697,0.0037439361667055823,3332,iscs,0,50,75,3,3,5,male_iscs,bristol
77,male,9.503323143585498e-4,0.008752069809827083,0.05653980855208697,0.0037439361667055823,3332,iscs,0,50,75,3,3,5,male_iscs,bristol
78,male,9.503323143585498e-4,0.008752069809827083,0.05653980855208697,0.0037439361667055823,3332,iscs,0,50,75,3,3,5,male_iscs,bristol
79,male,9.503323143585498e-4,0.008752069809827083,0.05653980855208697,0.0037439361667055823,3332,iscs,0,50,75,3,3,5,male_iscs,bristol
80,male,0.002766854790275925,0.012333237157551132,0.07222684983588454,0.005676538271010423,2291,iscs,0,20,80,1,6,5,male_iscs,bristol
81,male,0.002766854790275925,0.012333237157551132,0.07222684983588454,0.005676538271010423,2291,iscs,0,20,80,1,6,5,male_iscs,bristol
82,male,0.002766854790275925,0.012333237157551132,0.07222684983588454,0.005676538271010423,2291,iscs,0,20,80,1,6,5,male_iscs,bristol
83,male,0.002766854790275925,0.012333237157551132,0.07222684983588454,0.005676538271010423,2291,iscs,0,20,80,1,6,5,male_iscs,bristol
84,male,0.002766854790275925,0.012333237157551132,0.07222684983588454,0.005676538271010423,2291,iscs,0,20,80,1,6,5,male_iscs,bristol
85,male,0.0067359390249120046,0.015850257725678347,0.0879016530257907,0.008825222879078293,1276,iscs,0,20,85,2,9,5,male_iscs,bristol
86,male,0.0067359390249120046,0.015850257725678347,0.0879016530257907,0.008825222879078293,1276,iscs,0,20,85,2,9,5,male_iscs,bristol
87,male,0.0067359390249120046,0.015850257725678347,0.0879016530257907,0.008825222879078293,1276,iscs,0,20,85,2,9,5,male_iscs,bristol
88,male,0.0067359390249120046,0.015850257725678347,0.0879016530257907,0.008825222879078293,1276,iscs,0,20,85,2,9,5,male_iscs,bristol
89,male,0.0067359390249120046,0.015850257725678347,0.0879016530257907,0.008825222879078293,1276,iscs,0,20,85,2,9,5,male_iscs,bristol
90,male,0.011461806965138308,0.018835544940141728,0.10012227934397966,0.011983042488564041,506,iscs,0,10,90,1,6,5,male_iscs,bristol
91,male,0.011461806965138308,0.018835544940141728,0.10012227934397966,0.011983042488564041,506,iscs,0,10,90,1,6,5,male_iscs,bristol
92,male,0.011461806965138308,0.018835544940141728,0.10012227934397966,0.011983042488564041,506,iscs,0,10,90,1,6,5,male_iscs,bristol
93,male,0.011461806965138308,0.018835544940141728,0.10012227934397966,0.011983042488564041,506,iscs,0,10,90,1,6,5,male_iscs,bristol
94,male,0.011461806965138308,0.018835544940141728,0.10012227934397966,0.011983042488564041,506,iscs,0,10,90,1,6,5,male_iscs,bristol
95,male,0.02065299752425297,0.02138135685934369,0.10730820862306366,0.015152273484364728,91,iscs,0,10,95,1,2,6,male_iscs,bristol
96,male,0.02065299752425297,0.02138135685934369,0.10730820862306366,0.015152273484364728,91,iscs,0,10,95,1,2,6,male_iscs,bristol
97,male,0.02065299752425297,0.02138135685934369,0.10730820862306366,0.015152273484364728,91,iscs,0,10,95,1,2,6,male_iscs,bristol
98,male,0.02065299752425297,0.02138135685934369,0.10730820862306366,0.015152273484364728,91,iscs,0,10,95,1,2,6,male_iscs,bristol
99,male,0.02065299752425297,0.02138135685934369,0.10730820862306366,0.015152273484364728,91,iscs,0,10,95,1,2,6,male_iscs,bristol
100,male,0.02065299752425297,0.02138135685934369,0.10730820862306366,0.015152273484364728,91,iscs,0,10,95,1,2,6,male_iscs,bristol
