age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
69,male,0,0,0,1e-8,86076,utrc,0,50,65,0,0,5,male_utrc,Greater London
70,male,0,0,0,1e-8,68574,utrc,0,50,70,0,0,5,male_utrc,Greater London
71,male,0,0,0,1e-8,68574,utrc,0,50,70,0,0,5,male_utrc,Greater London
72,male,0,0,0,1e-8,68574,utrc,0,50,70,0,0,5,male_utrc,Greater London
73,male,0,0,0,1e-8,68574,utrc,0,50,70,0,0,5,male_utrc,Greater London
74,male,0,0,0,1e-8,68574,utrc,0,50,70,0,0,5,male_utrc,Greater London
75,male,0,0,0,1e-8,49012,utrc,0,50,75,0,0,5,male_utrc,Greater London
76,male,0,0,0,1e-8,49012,utrc,0,50,75,0,0,5,male_utrc,Greater London
77,male,0,0,0,1e-8,49012,utrc,0,50,75,0,0,5,male_utrc,Greater London
78,male,0,0,0,1e-8,49012,utrc,0,50,75,0,0,5,male_utrc,Greater London
79,male,0,0,0,1e-8,49012,utrc,0,50,75,0,0,5,male_utrc,Greater London
80,male,0,0,0,1e-8,35377,utrc,0,20,80,0,0,5,male_utrc,Greater London
81,male,0,0,0,1e-8,35377,utrc,0,20,80,0,0,5,male_utrc,Greater London
82,male,0,0,0,1e-8,35377,utrc,0,20,80,0,0,5,male_utrc,Greater London
83,male,0,0,0,1e-8,35377,utrc,0,20,80,0,0,5,male_utrc,Greater London
84,male,0,0,0,1e-8,35377,utrc,0,20,80,0,0,5,male_utrc,Greater London
85,male,0,0,0,1e-8,19455,utrc,0,20,85,0,0,5,male_utrc,Greater London
86,male,0,0,0,1e-8,19455,utrc,0,20,85,0,0,5,male_utrc,Greater London
87,male,0,0,0,1e-8,19455,utrc,0,20,85,0,0,5,male_utrc,Greater London
88,male,0,0,0,1e-8,19455,utrc,0,20,85,0,0,5,male_utrc,Greater London
89,male,0,0,0,1e-8,19455,utrc,0,20,85,0,0,5,male_utrc,Greater London
90,male,0,0,0,1e-8,7529,utrc,0,10,90,0,0,5,male_utrc,Greater London
91,male,0,0,0,1e-8,7529,utrc,0,10,90,0,0,5,male_utrc,Greater London
92,male,0,0,0,1e-8,7529,utrc,0,10,90,0,0,5,male_utrc,Greater London
93,male,0,0,0,1e-8,7529,utrc,0,10,90,0,0,5,male_utrc,Greater London
94,male,0,0,0,1e-8,7529,utrc,0,10,90,0,0,5,male_utrc,Greater London
95,male,0,0,0,1e-8,1415,utrc,0,10,95,0,0,6,male_utrc,Greater London
96,male,0,0,0,1e-8,1415,utrc,0,10,95,0,0,6,male_utrc,Greater London
97,male,0,0,0,1e-8,1415,utrc,0,10,95,0,0,6,male_utrc,Greater London
98,male,0,0,0,1e-8,1415,utrc,0,10,95,0,0,6,male_utrc,Greater London
99,male,0,0,0,1e-8,1415,utrc,0,10,95,0,0,6,male_utrc,Greater London
100,male,0,0,0,1e-8,1415,utrc,0,10,95,0,0,6,male_utrc,Greater London
