age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
39,male,1.6401581821461024e-4,0.0012455900343924034,0.019362041766048502,0.003379598452318063,19924,crdd,0,50,35,1,3,5,male_crdd,westmidlands
40,male,3.8922751114747723e-4,0.002187382807503021,0.04475471630154739,0.006880459836115629,17844,crdd,0,50,40,2,7,5,male_crdd,westmidlands
41,male,3.8922751114747723e-4,0.002187382807503021,0.04475471630154739,0.006880459836115629,17844,crdd,0,50,40,2,7,5,male_crdd,westmidlands
42,male,3.8922751114747723e-4,0.002187382807503021,0.04475471630154739,0.006880459836115629,17844,crdd,0,50,40,2,7,5,male_crdd,westmidlands
43,male,3.8922751114747723e-4,0.002187382807503021,0.04475471630154739,0.006880459836115629,17844,crdd,0,50,40,2,7,5,male_crdd,westmidlands
44,male,3.8922751114747723e-4,0.002187382807503021,0.04475471630154739,0.006880459836115629,17844,crdd,0,50,40,2,7,5,male_crdd,westmidlands
45,male,6.903344016463163e-4,0.0032741918630655384,0.06869675701435529,0.010186347730967386,19328,crdd,0,50,45,3,13,5,male_crdd,westmidlands
46,male,6.903344016463163e-4,0.0032741918630655384,0.06869675701435529,0.010186347730967386,19328,crdd,0,50,45,3,13,5,male_crdd,westmidlands
47,male,6.903344016463163e-4,0.0032741918630655384,0.06869675701435529,0.010186347730967386,19328,crdd,0,50,45,3,13,5,male_crdd,westmidlands
48,male,6.903344016463163e-4,0.0032741918630655384,0.06869675701435529,0.010186347730967386,19328,crdd,0,50,45,3,13,5,male_crdd,westmidlands
49,male,6.903344016463163e-4,0.0032741918630655384,0.06869675701435529,0.010186347730967386,19328,crdd,0,50,45,3,13,5,male_crdd,westmidlands
50,male,0.001164050628938844,0.005138077203149554,0.10877186967063553,0.01650908883196738,18342,crdd,0,50,50,5,21,5,male_crdd,westmidlands
51,male,0.001164050628938844,0.005138077203149554,0.10877186967063553,0.01650908883196738,18342,crdd,0,50,50,5,21,5,male_crdd,westmidlands
52,male,0.001164050628938844,0.005138077203149554,0.10877186967063553,0.01650908883196738,18342,crdd,0,50,50,5,21,5,male_crdd,westmidlands
53,male,0.001164050628938844,0.005138077203149554,0.10877186967063553,0.01650908883196738,18342,crdd,0,50,50,5,21,5,male_crdd,westmidlands
54,male,0.001164050628938844,0.005138077203149554,0.10877186967063553,0.01650908883196738,18342,crdd,0,50,50,5,21,5,male_crdd,westmidlands
55,male,0.001757015037722047,0.008134133694101263,0.17141100675461204,0.02682597458179306,15863,crdd,0,50,55,9,28,5,male_crdd,westmidlands
56,male,0.001757015037722047,0.008134133694101263,0.17141100675461204,0.02682597458179306,15863,crdd,0,50,55,9,28,5,male_crdd,westmidlands
57,male,0.001757015037722047,0.008134133694101263,0.17141100675461204,0.02682597458179306,15863,crdd,0,50,55,9,28,5,male_crdd,westmidlands
58,male,0.001757015037722047,0.008134133694101263,0.17141100675461204,0.02682597458179306,15863,crdd,0,50,55,9,28,5,male_crdd,westmidlands
59,male,0.001757015037722047,0.008134133694101263,0.17141100675461204,0.02682597458179306,15863,crdd,0,50,55,9,28,5,male_crdd,westmidlands
60,male,0.0029795162146319444,0.012488991716539433,0.25541416099099773,0.04062203295448718,13427,crdd,0,50,60,13,40,5,male_crdd,westmidlands
61,male,0.0029795162146319444,0.012488991716539433,0.25541416099099773,0.04062203295448718,13427,crdd,0,50,60,13,40,5,male_crdd,westmidlands
62,male,0.0029795162146319444,0.012488991716539433,0.25541416099099773,0.04062203295448718,13427,crdd,0,50,60,13,40,5,male_crdd,westmidlands
63,male,0.0029795162146319444,0.012488991716539433,0.25541416099099773,0.04062203295448718,13427,crdd,0,50,60,13,40,5,male_crdd,westmidlands
64,male,0.0029795162146319444,0.012488991716539433,0.25541416099099773,0.04062203295448718,13427,crdd,0,50,60,13,40,5,male_crdd,westmidlands
65,male,0.004822062270053882,0.01731523016193131,0.34707514065257644,0.05942680852163591,12231,crdd,0,50,65,17,59,5,male_crdd,westmidlands
66,male,0.004822062270053882,0.01731523016193131,0.34707514065257644,0.05942680852163591,12231,crdd,0,50,65,17,59,5,male_crdd,westmidlands
