age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
56,female,4.126141814273226e-5,3.1684203577049715e-4,0.002622294921933282,3.902139353629156e-4,136890,adaod,0,50,55,0,6,5,female_adaod,Greater London
57,female,4.126141814273226e-5,3.1684203577049715e-4,0.002622294921933282,3.902139353629156e-4,136890,adaod,0,50,55,0,6,5,female_adaod,Greater London
58,female,4.126141814273226e-5,3.1684203577049715e-4,0.002622294921933282,3.902139353629156e-4,136890,adaod,0,50,55,0,6,5,female_adaod,Greater London
59,female,4.126141814273226e-5,3.1684203577049715e-4,0.002622294921933282,3.902139353629156e-4,136890,adaod,0,50,55,0,6,5,female_adaod,Greater London
60,female,9.77526128017347e-5,6.4818733000578e-4,0.005438511667195412,9.293324381886895e-4,109533,adaod,0,50,60,0,11,5,female_adaod,Greater London
61,female,9.77526128017347e-5,6.4818733000578e-4,0.005438511667195412,9.293324381886895e-4,109533,adaod,0,50,60,0,11,5,female_adaod,Greater London
62,female,9.77526128017347e-5,6.4818733000578e-4,0.005438511667195412,9.293324381886895e-4,109533,adaod,0,50,60,0,11,5,female_adaod,Greater London
63,female,9.77526128017347e-5,6.4818733000578e-4,0.005438511667195412,9.293324381886895e-4,109533,adaod,0,50,60,0,11,5,female_adaod,Greater London
64,female,9.77526128017347e-5,6.4818733000578e-4,0.005438511667195412,9.293324381886895e-4,109533,adaod,0,50,60,0,11,5,female_adaod,Greater London
65,female,2.6185277073183976e-4,0.0014017342218283287,0.011897740514397842,0.0021304003595528434,93469,adaod,0,50,65,1,24,5,female_adaod,Greater London
66,female,2.6185277073183976e-4,0.0014017342218283287,0.011897740514397842,0.0021304003595528434,93469,adaod,0,50,65,1,24,5,female_adaod,Greater London
67,female,2.6185277073183976e-4,0.0014017342218283287,0.011897740514397842,0.0021304003595528434,93469,adaod,0,50,65,1,24,5,female_adaod,Greater London
68,female,2.6185277073183976e-4,0.0014017342218283287,0.011897740514397842,0.0021304003595528434,93469,adaod,0,50,65,1,24,5,female_adaod,Greater London
69,female,2.6185277073183976e-4,0.0014017342218283287,0.011897740514397842,0.0021304003595528434,93469,adaod,0,50,65,1,24,5,female_adaod,Greater London
70,female,7.450565089876378e-4,0.0036442388514232875,0.026575473348998797,0.005074991760144558,78154,adaod,0,50,70,1,58,5,female_adaod,Greater London
71,female,7.450565089876378e-4,0.0036442388514232875,0.026575473348998797,0.005074991760144558,78154,adaod,0,50,70,1,58,5,female_adaod,Greater London
72,female,7.450565089876378e-4,0.0036442388514232875,0.026575473348998797,0.005074991760144558,78154,adaod,0,50,70,1,58,5,female_adaod,Greater London
73,female,7.450565089876378e-4,0.0036442388514232875,0.026575473348998797,0.005074991760144558,78154,adaod,0,50,70,1,58,5,female_adaod,Greater London
74,female,7.450565089876378e-4,0.0036442388514232875,0.026575473348998797,0.005074991760144558,78154,adaod,0,50,70,1,58,5,female_adaod,Greater London
75,female,0.002310488347737854,0.007993954450583532,0.05927379904340151,0.01141429331284782,59878,adaod,0,50,75,3,138,5,female_adaod,Greater London
76,female,0.002310488347737854,0.007993954450583532,0.05927379904340151,0.01141429331284782,59878,adaod,0,50,75,3,138,5,female_adaod,Greater London
77,female,0.002310488347737854,0.007993954450583532,0.05927379904340151,0.01141429331284782,59878,adaod,0,50,75,3,138,5,female_adaod,Greater London
78,female,0.002310488347737854,0.007993954450583532,0.05927379904340151,0.01141429331284782,59878,adaod,0,50,75,3,138,5,female_adaod,Greater London
79,female,0.002310488347737854,0.007993954450583532,0.05927379904340151,0.01141429331284782,59878,adaod,0,50,75,3,138,5,female_adaod,Greater London
80,female,0.006478491357899804,0.019565246429604277,0.11972873602065974,0.020791526129108326,46034,adaod,0,20,80,2,297,5,female_adaod,Greater London
81,female,0.006478491357899804,0.019565246429604277,0.11972873602065974,0.020791526129108326,46034,adaod,0,20,80,2,297,5,female_adaod,Greater London
82,female,0.006478491357899804,0.019565246429604277,0.11972873602065974,0.020791526129108326,46034,adaod,0,20,80,2,297,5,female_adaod,Greater London
83,female,0.006478491357899804,0.019565246429604277,0.11972873602065974,0.020791526129108326,46034,adaod,0,20,80,2,297,5,female_adaod,Greater London
84,female,0.006478491357899804,0.019565246429604277,0.11972873602065974,0.020791526129108326,46034,adaod,0,20,80,2,297,5,female_adaod,Greater London
85,female,0.017574934378741035,0.032762684409963556,0.20564949045055816,0.031388951645093414,30376,adaod,0,20,85,4,529,5,female_adaod,Greater London
86,female,0.017574934378741035,0.032762684409963556,0.20564949045055816,0.031388951645093414,30376,adaod,0,20,85,4,529,5,female_adaod,Greater London
87,female,0.017574934378741035,0.032762684409963556,0.20564949045055816,0.031388951645093414,30376,adaod,0,20,85,4,529,5,female_adaod,Greater London
88,female,0.017574934378741035,0.032762684409963556,0.20564949045055816,0.031388951645093414,30376,adaod,0,20,85,4,529,5,female_adaod,Greater London
89,female,0.017574934378741035,0.032762684409963556,0.20564949045055816,0.031388951645093414,30376,adaod,0,20,85,4,529,5,female_adaod,Greater London
90,female,0.040310449315437535,0.04596304017972424,0.2946818577087025,0.04178204650695753,15340,adaod,0,10,90,3,606,5,female_adaod,Greater London
91,female,0.040310449315437535,0.04596304017972424,0.2946818577087025,0.04178204650695753,15340,adaod,0,10,90,3,606,5,female_adaod,Greater London
92,female,0.040310449315437535,0.04596304017972424,0.2946818577087025,0.04178204650695753,15340,adaod,0,10,90,3,606,5,female_adaod,Greater London
93,female,0.040310449315437535,0.04596304017972424,0.2946818577087025,0.04178204650695753,15340,adaod,0,10,90,3,606,5,female_adaod,Greater London
94,female,0.040310449315437535,0.04596304017972424,0.2946818577087025,0.04178204650695753,15340,adaod,0,10,90,3,606,5,female_adaod,Greater London
95,female,0.0686733184564771,0.05527638366333548,0.3604722591005739,0.04989419702552512,4162,adaod,0,10,95,4,276,6,female_adaod,Greater London
96,female,0.0686733184564771,0.05527638366333548,0.3604722591005739,0.04989419702552512,4162,adaod,0,10,95,4,276,6,female_adaod,Greater London
97,female,0.0686733184564771,0.05527638366333548,0.3604722591005739,0.04989419702552512,4162,adaod,0,10,95,4,276,6,female_adaod,Greater London
98,female,0.0686733184564771,0.05527638366333548,0.3604722591005739,0.04989419702552512,4162,adaod,0,10,95,4,276,6,female_adaod,Greater London
99,female,0.0686733184564771,0.05527638366333548,0.3604722591005739,0.04989419702552512,4162,adaod,0,10,95,4,276,6,female_adaod,Greater London
100,female,0.0686733184564771,0.05527638366333548,0.3604722591005739,0.04989419702552512,4162,adaod,0,10,95,4,276,6,female_adaod,Greater London
