age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
57,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
58,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
59,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
60,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
61,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
62,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
63,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
64,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
65,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
66,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
67,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
68,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
69,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
70,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
71,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
72,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
73,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
74,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
75,male,0.002475354865709626,0.007284387775744677,0.05415145052129691,0.010471123419602065,22688,adaod,0,50,75,3,56,5,male_adaod,North West England
76,male,0.002475354865709626,0.007284387775744677,0.05415145052129691,0.010471123419602065,22688,adaod,0,50,75,3,56,5,male_adaod,North West England
77,male,0.002475354865709626,0.007284387775744677,0.05415145052129691,0.010471123419602065,22688,adaod,0,50,75,3,56,5,male_adaod,North West England
78,male,0.002475354865709626,0.007284387775744677,0.05415145052129691,0.010471123419602065,22688,adaod,0,50,75,3,56,5,male_adaod,North West England
79,male,0.002475354865709626,0.007284387775744677,0.05415145052129691,0.010471123419602065,22688,adaod,0,50,75,3,56,5,male_adaod,North West England
80,male,0.007063039460544661,0.017774296767786933,0.1088396836368908,0.018698388349338325,15298,adaod,0,20,80,2,108,5,male_adaod,North West England
81,male,0.007063039460544661,0.017774296767786933,0.1088396836368908,0.018698388349338325,15298,adaod,0,20,80,2,108,5,male_adaod,North West England
82,male,0.007063039460544661,0.017774296767786933,0.1088396836368908,0.018698388349338325,15298,adaod,0,20,80,2,108,5,male_adaod,North West England
83,male,0.007063039460544661,0.017774296767786933,0.1088396836368908,0.018698388349338325,15298,adaod,0,20,80,2,108,5,male_adaod,North West England
84,male,0.007063039460544661,0.017774296767786933,0.1088396836368908,0.018698388349338325,15298,adaod,0,20,80,2,108,5,male_adaod,North West England
85,male,0.017294786150085586,0.02928892080279855,0.18370317053051244,0.027551170876656445,7996,adaod,0,20,85,4,137,5,male_adaod,North West England
86,male,0.017294786150085586,0.02928892080279855,0.18370317053051244,0.027551170876656445,7996,adaod,0,20,85,4,137,5,male_adaod,North West England
87,male,0.017294786150085586,0.02928892080279855,0.18370317053051244,0.027551170876656445,7996,adaod,0,20,85,4,137,5,male_adaod,North West England
88,male,0.017294786150085586,0.02928892080279855,0.18370317053051244,0.027551170876656445,7996,adaod,0,20,85,4,137,5,male_adaod,North West England
89,male,0.017294786150085586,0.02928892080279855,0.18370317053051244,0.027551170876656445,7996,adaod,0,20,85,4,137,5,male_adaod,North West England
90,male,0.0342827744269465,0.04009021281094587,0.2564675792901122,0.03619403769850882,3023,adaod,0,10,90,3,102,5,male_adaod,North West England
91,male,0.0342827744269465,0.04009021281094587,0.2564675792901122,0.03619403769850882,3023,adaod,0,10,90,3,102,5,male_adaod,North West England
92,male,0.0342827744269465,0.04009021281094587,0.2564675792901122,0.03619403769850882,3023,adaod,0,10,90,3,102,5,male_adaod,North West England
93,male,0.0342827744269465,0.04009021281094587,0.2564675792901122,0.03619403769850882,3023,adaod,0,10,90,3,102,5,male_adaod,North West England
94,male,0.0342827744269465,0.04009021281094587,0.2564675792901122,0.03619403769850882,3023,adaod,0,10,90,3,102,5,male_adaod,North West England
95,male,0.05505662035260651,0.0470048533993849,0.3049729599189214,0.04328695716028647,495,adaod,0,10,95,3,27,6,male_adaod,North West England
96,male,0.05505662035260651,0.0470048533993849,0.3049729599189214,0.04328695716028647,495,adaod,0,10,95,3,27,6,male_adaod,North West England
97,male,0.05505662035260651,0.0470048533993849,0.3049729599189214,0.04328695716028647,495,adaod,0,10,95,3,27,6,male_adaod,North West England
98,male,0.05505662035260651,0.0470048533993849,0.3049729599189214,0.04328695716028647,495,adaod,0,10,95,3,27,6,male_adaod,North West England
99,male,0.05505662035260651,0.0470048533993849,0.3049729599189214,0.04328695716028647,495,adaod,0,10,95,3,27,6,male_adaod,North West England
100,male,0.05505662035260651,0.0470048533993849,0.3049729599189214,0.04328695716028647,495,adaod,0,10,95,3,27,6,male_adaod,North West England
