age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
46,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
47,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
48,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
49,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
50,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
51,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
52,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
53,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
54,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
55,female,4.469589779402264e-5,3.325700674862252e-5,3.181560412162813e-4,9.59326066157529e-5,6580,stmc,0,50,55,0,0,5,female_stmc,bristol
56,female,4.469589779402264e-5,3.325700674862252e-5,3.181560412162813e-4,9.59326066157529e-5,6580,stmc,0,50,55,0,0,5,female_stmc,bristol
57,female,4.469589779402264e-5,3.325700674862252e-5,3.181560412162813e-4,9.59326066157529e-5,6580,stmc,0,50,55,0,0,5,female_stmc,bristol
58,female,4.469589779402264e-5,3.325700674862252e-5,3.181560412162813e-4,9.59326066157529e-5,6580,stmc,0,50,55,0,0,5,female_stmc,bristol
59,female,4.469589779402264e-5,3.325700674862252e-5,3.181560412162813e-4,9.59326066157529e-5,6580,stmc,0,50,55,0,0,5,female_stmc,bristol
60,female,7.826922401592073e-5,5.0955924806278963e-5,4.6403255990995306e-4,1.5237384349294351e-4,5725,stmc,0,50,60,0,0,5,female_stmc,bristol
61,female,7.826922401592073e-5,5.0955924806278963e-5,4.6403255990995306e-4,1.5237384349294351e-4,5725,stmc,0,50,60,0,0,5,female_stmc,bristol
62,female,7.826922401592073e-5,5.0955924806278963e-5,4.6403255990995306e-4,1.5237384349294351e-4,5725,stmc,0,50,60,0,0,5,female_stmc,bristol
63,female,7.826922401592073e-5,5.0955924806278963e-5,4.6403255990995306e-4,1.5237384349294351e-4,5725,stmc,0,50,60,0,0,5,female_stmc,bristol
64,female,7.826922401592073e-5,5.0955924806278963e-5,4.6403255990995306e-4,1.5237384349294351e-4,5725,stmc,0,50,60,0,0,5,female_stmc,bristol
65,female,1.2440019419665283e-4,7.277723919474605e-5,6.324203961810158e-4,2.2393986491794308e-4,5670,stmc,0,50,65,0,1,5,female_stmc,bristol
66,female,1.2440019419665283e-4,7.277723919474605e-5,6.324203961810158e-4,2.2393986491794308e-4,5670,stmc,0,50,65,0,1,5,female_stmc,bristol
67,female,1.2440019419665283e-4,7.277723919474605e-5,6.324203961810158e-4,2.2393986491794308e-4,5670,stmc,0,50,65,0,1,5,female_stmc,bristol
68,female,1.2440019419665283e-4,7.277723919474605e-5,6.324203961810158e-4,2.2393986491794308e-4,5670,stmc,0,50,65,0,1,5,female_stmc,bristol
69,female,1.2440019419665283e-4,7.277723919474605e-5,6.324203961810158e-4,2.2393986491794308e-4,5670,stmc,0,50,65,0,1,5,female_stmc,bristol
70,female,2.093519224469753e-4,1.2529705190252797e-4,0.0011935436311160705,4.002328595883016e-4,5104,stmc,0,50,70,0,1,5,female_stmc,bristol
71,female,2.093519224469753e-4,1.2529705190252797e-4,0.0011935436311160705,4.002328595883016e-4,5104,stmc,0,50,70,0,1,5,female_stmc,bristol
72,female,2.093519224469753e-4,1.2529705190252797e-4,0.0011935436311160705,4.002328595883016e-4,5104,stmc,0,50,70,0,1,5,female_stmc,bristol
73,female,2.093519224469753e-4,1.2529705190252797e-4,0.0011935436311160705,4.002328595883016e-4,5104,stmc,0,50,70,0,1,5,female_stmc,bristol
74,female,2.093519224469753e-4,1.2529705190252797e-4,0.0011935436311160705,4.002328595883016e-4,5104,stmc,0,50,70,0,1,5,female_stmc,bristol
75,female,3.989070748593065e-4,1.8618777101950612e-4,0.001664289824265393,6.610852088449946e-4,3792,stmc,0,50,75,0,2,5,female_stmc,bristol
76,female,3.989070748593065e-4,1.8618777101950612e-4,0.001664289824265393,6.610852088449946e-4,3792,stmc,0,50,75,0,2,5,female_stmc,bristol
77,female,3.989070748593065e-4,1.8618777101950612e-4,0.001664289824265393,6.610852088449946e-4,3792,stmc,0,50,75,0,2,5,female_stmc,bristol
78,female,3.989070748593065e-4,1.8618777101950612e-4,0.001664289824265393,6.610852088449946e-4,3792,stmc,0,50,75,0,2,5,female_stmc,bristol
79,female,3.989070748593065e-4,1.8618777101950612e-4,0.001664289824265393,6.610852088449946e-4,3792,stmc,0,50,75,0,2,5,female_stmc,bristol
80,female,6.616932025704279e-4,2.4447581599240924e-4,0.0019585084386994143,9.51827554487456e-4,2983,stmc,0,20,80,0,2,5,female_stmc,bristol
81,female,6.616932025704279e-4,2.4447581599240924e-4,0.0019585084386994143,9.51827554487456e-4,2983,stmc,0,20,80,0,2,5,female_stmc,bristol
82,female,6.616932025704279e-4,2.4447581599240924e-4,0.0019585084386994143,9.51827554487456e-4,2983,stmc,0,20,80,0,2,5,female_stmc,bristol
83,female,6.616932025704279e-4,2.4447581599240924e-4,0.0019585084386994143,9.51827554487456e-4,2983,stmc,0,20,80,0,2,5,female_stmc,bristol
84,female,6.616932025704279e-4,2.4447581599240924e-4,0.0019585084386994143,9.51827554487456e-4,2983,stmc,0,20,80,0,2,5,female_stmc,bristol
85,female,0.0010289750252222916,3.4961082333518056e-4,0.002694757954957531,0.0014806314284611486,2001,stmc,0,20,85,0,2,5,female_stmc,bristol
86,female,0.0010289750252222916,3.4961082333518056e-4,0.002694757954957531,0.0014806314284611486,2001,stmc,0,20,85,0,2,5,female_stmc,bristol
87,female,0.0010289750252222916,3.4961082333518056e-4,0.002694757954957531,0.0014806314284611486,2001,stmc,0,20,85,0,2,5,female_stmc,bristol
88,female,0.0010289750252222916,3.4961082333518056e-4,0.002694757954957531,0.0014806314284611486,2001,stmc,0,20,85,0,2,5,female_stmc,bristol
89,female,0.0010289750252222916,3.4961082333518056e-4,0.002694757954957531,0.0014806314284611486,2001,stmc,0,20,85,0,2,5,female_stmc,bristol
