age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
46,male,4.220451694951315e-5,3.817430517842756e-5,3.687636390563476e-4,1.0183911076349947e-4,51128,stmc,0,50,45,0,2,5,male_stmc,North West England
47,male,4.220451694951315e-5,3.817430517842756e-5,3.687636390563476e-4,1.0183911076349947e-4,51128,stmc,0,50,45,0,2,5,male_stmc,North West England
48,male,4.220451694951315e-5,3.817430517842756e-5,3.687636390563476e-4,1.0183911076349947e-4,51128,stmc,0,50,45,0,2,5,male_stmc,North West England
49,male,4.220451694951315e-5,3.817430517842756e-5,3.687636390563476e-4,1.0183911076349947e-4,51128,stmc,0,50,45,0,2,5,male_stmc,North West England
50,male,7.023419268062733e-5,5.8714661445433135e-5,5.618405264858961e-4,1.5967151276186022e-4,52127,stmc,0,50,50,0,4,5,male_stmc,North West England
51,male,7.023419268062733e-5,5.8714661445433135e-5,5.618405264858961e-4,1.5967151276186022e-4,52127,stmc,0,50,50,0,4,5,male_stmc,North West England
52,male,7.023419268062733e-5,5.8714661445433135e-5,5.618405264858961e-4,1.5967151276186022e-4,52127,stmc,0,50,50,0,4,5,male_stmc,North West England
53,male,7.023419268062733e-5,5.8714661445433135e-5,5.618405264858961e-4,1.5967151276186022e-4,52127,stmc,0,50,50,0,4,5,male_stmc,North West England
54,male,7.023419268062733e-5,5.8714661445433135e-5,5.618405264858961e-4,1.5967151276186022e-4,52127,stmc,0,50,50,0,4,5,male_stmc,North West England
55,male,1.2078334796639512e-4,9.0358159518114e-5,8.39752694037894e-4,2.516709245284222e-4,46610,stmc,0,50,55,0,6,5,male_stmc,North West England
56,male,1.2078334796639512e-4,9.0358159518114e-5,8.39752694037894e-4,2.516709245284222e-4,46610,stmc,0,50,55,0,6,5,male_stmc,North West England
57,male,1.2078334796639512e-4,9.0358159518114e-5,8.39752694037894e-4,2.516709245284222e-4,46610,stmc,0,50,55,0,6,5,male_stmc,North West England
58,male,1.2078334796639512e-4,9.0358159518114e-5,8.39752694037894e-4,2.516709245284222e-4,46610,stmc,0,50,55,0,6,5,male_stmc,North West England
59,male,1.2078334796639512e-4,9.0358159518114e-5,8.39752694037894e-4,2.516709245284222e-4,46610,stmc,0,50,55,0,6,5,male_stmc,North West England
60,male,2.0418924124164173e-4,1.3089450496612536e-4,0.0012117450327762617,3.932416701680097e-4,39801,stmc,0,50,60,0,8,5,male_stmc,North West England
61,male,2.0418924124164173e-4,1.3089450496612536e-4,0.0012117450327762617,3.932416701680097e-4,39801,stmc,0,50,60,0,8,5,male_stmc,North West England
62,male,2.0418924124164173e-4,1.3089450496612536e-4,0.0012117450327762617,3.932416701680097e-4,39801,stmc,0,50,60,0,8,5,male_stmc,North West England
63,male,2.0418924124164173e-4,1.3089450496612536e-4,0.0012117450327762617,3.932416701680097e-4,39801,stmc,0,50,60,0,8,5,male_stmc,North West England
64,male,2.0418924124164173e-4,1.3089450496612536e-4,0.0012117450327762617,3.932416701680097e-4,39801,stmc,0,50,60,0,8,5,male_stmc,North West England
65,male,3.451186262148992e-4,1.8817812058885092e-4,0.0017272799804450248,6.100053508364758e-4,39780,stmc,0,50,65,0,14,5,male_stmc,North West England
66,male,3.451186262148992e-4,1.8817812058885092e-4,0.0017272799804450248,6.100053508364758e-4,39780,stmc,0,50,65,0,14,5,male_stmc,North West England
67,male,3.451186262148992e-4,1.8817812058885092e-4,0.0017272799804450248,6.100053508364758e-4,39780,stmc,0,50,65,0,14,5,male_stmc,North West England
68,male,3.451186262148992e-4,1.8817812058885092e-4,0.0017272799804450248,6.100053508364758e-4,39780,stmc,0,50,65,0,14,5,male_stmc,North West England
69,male,3.451186262148992e-4,1.8817812058885092e-4,0.0017272799804450248,6.100053508364758e-4,39780,stmc,0,50,65,0,14,5,male_stmc,North West England
70,male,5.479829810369208e-4,2.9556415614202065e-4,0.002719632891373191,9.742441934913255e-4,32360,stmc,0,50,70,0,18,5,male_stmc,North West England
71,male,5.479829810369208e-4,2.9556415614202065e-4,0.002719632891373191,9.742441934913255e-4,32360,stmc,0,50,70,0,18,5,male_stmc,North West England
72,male,5.479829810369208e-4,2.9556415614202065e-4,0.002719632891373191,9.742441934913255e-4,32360,stmc,0,50,70,0,18,5,male_stmc,North West England
73,male,5.479829810369208e-4,2.9556415614202065e-4,0.002719632891373191,9.742441934913255e-4,32360,stmc,0,50,70,0,18,5,male_stmc,North West England
74,male,5.479829810369208e-4,2.9556415614202065e-4,0.002719632891373191,9.742441934913255e-4,32360,stmc,0,50,70,0,18,5,male_stmc,North West England
75,male,9.456847960128593e-4,4.147199405957289e-4,0.0035651808361196577,0.0015066827781211125,22688,stmc,0,50,75,0,21,5,male_stmc,North West England
76,male,9.456847960128593e-4,4.147199405957289e-4,0.0035651808361196577,0.0015066827781211125,22688,stmc,0,50,75,0,21,5,male_stmc,North West England
77,male,9.456847960128593e-4,4.147199405957289e-4,0.0035651808361196577,0.0015066827781211125,22688,stmc,0,50,75,0,21,5,male_stmc,North West England
78,male,9.456847960128593e-4,4.147199405957289e-4,0.0035651808361196577,0.0015066827781211125,22688,stmc,0,50,75,0,21,5,male_stmc,North West England
79,male,9.456847960128593e-4,4.147199405957289e-4,0.0035651808361196577,0.0015066827781211125,22688,stmc,0,50,75,0,21,5,male_stmc,North West England
80,male,0.0014251838560595505,4.66510833387295e-4,0.003411271466794821,0.0019294582328121198,15298,stmc,0,20,80,0,22,5,male_stmc,North West England
81,male,0.0014251838560595505,4.66510833387295e-4,0.003411271466794821,0.0019294582328121198,15298,stmc,0,20,80,0,22,5,male_stmc,North West England
82,male,0.0014251838560595505,4.66510833387295e-4,0.003411271466794821,0.0019294582328121198,15298,stmc,0,20,80,0,22,5,male_stmc,North West England
83,male,0.0014251838560595505,4.66510833387295e-4,0.003411271466794821,0.0019294582328121198,15298,stmc,0,20,80,0,22,5,male_stmc,North West England
84,male,0.0014251838560595505,4.66510833387295e-4,0.003411271466794821,0.0019294582328121198,15298,stmc,0,20,80,0,22,5,male_stmc,North West England
85,male,0.0019653273855125583,6.109632820745732e-4,0.004180428690245078,0.002664306991012967,7996,stmc,0,20,85,0,16,5,male_stmc,North West England
86,male,0.0019653273855125583,6.109632820745732e-4,0.004180428690245078,0.002664306991012967,7996,stmc,0,20,85,0,16,5,male_stmc,North West England
87,male,0.0019653273855125583,6.109632820745732e-4,0.004180428690245078,0.002664306991012967,7996,stmc,0,20,85,0,16,5,male_stmc,North West England
88,male,0.0019653273855125583,6.109632820745732e-4,0.004180428690245078,0.002664306991012967,7996,stmc,0,20,85,0,16,5,male_stmc,North West England
89,male,0.0019653273855125583,6.109632820745732e-4,0.004180428690245078,0.002664306991012967,7996,stmc,0,20,85,0,16,5,male_stmc,North West England
90,male,0.002484208531335622,7.3601509092892e-4,0.004613690665786257,0.003381227025426642,3023,stmc,0,10,90,0,8,5,male_stmc,North West England
91,male,0.002484208531335622,7.3601509092892e-4,0.004613690665786257,0.003381227025426642,3023,stmc,0,10,90,0,8,5,male_stmc,North West England
92,male,0.002484208531335622,7.3601509092892e-4,0.004613690665786257,0.003381227025426642,3023,stmc,0,10,90,0,8,5,male_stmc,North West England
93,male,0.002484208531335622,7.3601509092892e-4,0.004613690665786257,0.003381227025426642,3023,stmc,0,10,90,0,8,5,male_stmc,North West England
94,male,0.002484208531335622,7.3601509092892e-4,0.004613690665786257,0.003381227025426642,3023,stmc,0,10,90,0,8,5,male_stmc,North West England
95,male,0.003359764402638476,7.909018427354784e-4,0.002694893362891846,0.004586515104384187,495,stmc,0,10,95,0,2,6,male_stmc,North West England
96,male,0.003359764402638476,7.909018427354784e-4,0.002694893362891846,0.004586515104384187,495,stmc,0,10,95,0,2,6,male_stmc,North West England
97,male,0.003359764402638476,7.909018427354784e-4,0.002694893362891846,0.004586515104384187,495,stmc,0,10,95,0,2,6,male_stmc,North West England
98,male,0.003359764402638476,7.909018427354784e-4,0.002694893362891846,0.004586515104384187,495,stmc,0,10,95,0,2,6,male_stmc,North West England
99,male,0.003359764402638476,7.909018427354784e-4,0.002694893362891846,0.004586515104384187,495,stmc,0,10,95,0,2,6,male_stmc,North West England
100,male,0.003359764402638476,7.909018427354784e-4,0.002694893362891846,0.004586515104384187,495,stmc,0,10,95,0,2,6,male_stmc,North West England
