age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
41,female,4.6889497914298325e-5,1.2875633769012554e-4,0.0014749313494118192,2.1132044446674038e-4,8014,carc,0,50,40,0,0,5,female_carc,liverpool
42,female,4.6889497914298325e-5,1.2875633769012554e-4,0.0014749313494118192,2.1132044446674038e-4,8014,carc,0,50,40,0,0,5,female_carc,liverpool
43,female,4.6889497914298325e-5,1.2875633769012554e-4,0.0014749313494118192,2.1132044446674038e-4,8014,carc,0,50,40,0,0,5,female_carc,liverpool
44,female,4.6889497914298325e-5,1.2875633769012554e-4,0.0014749313494118192,2.1132044446674038e-4,8014,carc,0,50,40,0,0,5,female_carc,liverpool
45,female,7.931672883292283e-5,1.6854344911665375e-4,0.001956534210504521,2.891698026519957e-4,9231,carc,0,50,45,0,1,5,female_carc,liverpool
46,female,7.931672883292283e-5,1.6854344911665375e-4,0.001956534210504521,2.891698026519957e-4,9231,carc,0,50,45,0,1,5,female_carc,liverpool
47,female,7.931672883292283e-5,1.6854344911665375e-4,0.001956534210504521,2.891698026519957e-4,9231,carc,0,50,45,0,1,5,female_carc,liverpool
48,female,7.931672883292283e-5,1.6854344911665375e-4,0.001956534210504521,2.891698026519957e-4,9231,carc,0,50,45,0,1,5,female_carc,liverpool
49,female,7.931672883292283e-5,1.6854344911665375e-4,0.001956534210504521,2.891698026519957e-4,9231,carc,0,50,45,0,1,5,female_carc,liverpool
50,female,1.290429791242429e-4,2.523869805567275e-4,0.0030345494414635694,4.5056144099703347e-4,10009,carc,0,50,50,0,1,5,female_carc,liverpool
51,female,1.290429791242429e-4,2.523869805567275e-4,0.0030345494414635694,4.5056144099703347e-4,10009,carc,0,50,50,0,1,5,female_carc,liverpool
52,female,1.290429791242429e-4,2.523869805567275e-4,0.0030345494414635694,4.5056144099703347e-4,10009,carc,0,50,50,0,1,5,female_carc,liverpool
53,female,1.290429791242429e-4,2.523869805567275e-4,0.0030345494414635694,4.5056144099703347e-4,10009,carc,0,50,50,0,1,5,female_carc,liverpool
54,female,1.290429791242429e-4,2.523869805567275e-4,0.0030345494414635694,4.5056144099703347e-4,10009,carc,0,50,50,0,1,5,female_carc,liverpool
55,female,2.1474632541652097e-4,3.999682370757444e-4,0.00479257146127739,7.203343335447576e-4,9452,carc,0,50,55,0,2,5,female_carc,liverpool
56,female,2.1474632541652097e-4,3.999682370757444e-4,0.00479257146127739,7.203343335447576e-4,9452,carc,0,50,55,0,2,5,female_carc,liverpool
