age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
44,male,1.1351787819549111e-5,6.751278639916118e-6,0,2.2861331203373582e-5,35953,lvrc,0,50,40,0,0,5,male_lvrc,West Midlands
45,male,2.445707297117547e-5,1.1376175808420125e-5,0,4.008830473096373e-5,40917,lvrc,0,50,45,0,1,5,male_lvrc,West Midlands
46,male,2.445707297117547e-5,1.1376175808420125e-5,0,4.008830473096373e-5,40917,lvrc,0,50,45,0,1,5,male_lvrc,West Midlands
47,male,2.445707297117547e-5,1.1376175808420125e-5,0,4.008830473096373e-5,40917,lvrc,0,50,45,0,1,5,male_lvrc,West Midlands
48,male,2.445707297117547e-5,1.1376175808420125e-5,0,4.008830473096373e-5,40917,lvrc,0,50,45,0,1,5,male_lvrc,West Midlands
49,male,2.445707297117547e-5,1.1376175808420125e-5,0,4.008830473096373e-5,40917,lvrc,0,50,45,0,1,5,male_lvrc,West Midlands
50,male,4.950483508574898e-5,1.9130493396911762e-5,0,7.094576611564978e-5,40732,lvrc,0,50,50,0,2,5,male_lvrc,West Midlands
51,male,4.950483508574898e-5,1.9130493396911762e-5,0,7.094576611564978e-5,40732,lvrc,0,50,50,0,2,5,male_lvrc,West Midlands
52,male,4.950483508574898e-5,1.9130493396911762e-5,0,7.094576611564978e-5,40732,lvrc,0,50,50,0,2,5,male_lvrc,West Midlands
53,male,4.950483508574898e-5,1.9130493396911762e-5,0,7.094576611564978e-5,40732,lvrc,0,50,50,0,2,5,male_lvrc,West Midlands
54,male,4.950483508574898e-5,1.9130493396911762e-5,0,7.094576611564978e-5,40732,lvrc,0,50,50,0,2,5,male_lvrc,West Midlands
55,male,9.354128352650087e-5,3.126095684218102e-5,0,1.2086760177998566e-4,35430,lvrc,0,50,55,0,3,5,male_lvrc,West Midlands
56,male,9.354128352650087e-5,3.126095684218102e-5,0,1.2086760177998566e-4,35430,lvrc,0,50,55,0,3,5,male_lvrc,West Midlands
57,male,9.354128352650087e-5,3.126095684218102e-5,0,1.2086760177998566e-4,35430,lvrc,0,50,55,0,3,5,male_lvrc,West Midlands
58,male,9.354128352650087e-5,3.126095684218102e-5,0,1.2086760177998566e-4,35430,lvrc,0,50,55,0,3,5,male_lvrc,West Midlands
59,male,9.354128352650087e-5,3.126095684218102e-5,0,1.2086760177998566e-4,35430,lvrc,0,50,55,0,3,5,male_lvrc,West Midlands
60,male,1.527113559169221e-4,4.298325443314635e-5,4.185079096999878e-6,1.7398922836533206e-4,30814,lvrc,0,50,60,0,5,5,male_lvrc,West Midlands
61,male,1.527113559169221e-4,4.298325443314635e-5,4.185079096999878e-6,1.7398922836533206e-4,30814,lvrc,0,50,60,0,5,5,male_lvrc,West Midlands
62,male,1.527113559169221e-4,4.298325443314635e-5,4.185079096999878e-6,1.7398922836533206e-4,30814,lvrc,0,50,60,0,5,5,male_lvrc,West Midlands
63,male,1.527113559169221e-4,4.298325443314635e-5,4.185079096999878e-6,1.7398922836533206e-4,30814,lvrc,0,50,60,0,5,5,male_lvrc,West Midlands
64,male,1.527113559169221e-4,4.298325443314635e-5,4.185079096999878e-6,1.7398922836533206e-4,30814,lvrc,0,50,60,0,5,5,male_lvrc,West Midlands
65,male,2.389071638880577e-4,6.87002368926779e-5,1.3389560771323242e-4,2.788517922409464e-4,30100,lvrc,0,50,65,0,7,5,male_lvrc,West Midlands
66,male,2.389071638880577e-4,6.87002368926779e-5,1.3389560771323242e-4,2.788517922409464e-4,30100,lvrc,0,50,65,0,7,5,male_lvrc,West Midlands
67,male,2.389071638880577e-4,6.87002368926779e-5,1.3389560771323242e-4,2.788517922409464e-4,30100,lvrc,0,50,65,0,7,5,male_lvrc,West Midlands
68,male,2.389071638880577e-4,6.87002368926779e-5,1.3389560771323242e-4,2.788517922409464e-4,30100,lvrc,0,50,65,0,7,5,male_lvrc,West Midlands
69,male,2.389071638880577e-4,6.87002368926779e-5,1.3389560771323242e-4,2.788517922409464e-4,30100,lvrc,0,50,65,0,7,5,male_lvrc,West Midlands
70,male,3.031701588256975e-4,7.959833548913846e-5,1.3565510288769493e-4,3.3298785475945574e-4,26536,lvrc,0,50,70,0,8,5,male_lvrc,West Midlands
71,male,3.031701588256975e-4,7.959833548913846e-5,1.3565510288769493e-4,3.3298785475945574e-4,26536,lvrc,0,50,70,0,8,5,male_lvrc,West Midlands
72,male,3.031701588256975e-4,7.959833548913846e-5,1.3565510288769493e-4,3.3298785475945574e-4,26536,lvrc,0,50,70,0,8,5,male_lvrc,West Midlands
73,male,3.031701588256975e-4,7.959833548913846e-5,1.3565510288769493e-4,3.3298785475945574e-4,26536,lvrc,0,50,70,0,8,5,male_lvrc,West Midlands
74,male,3.031701588256975e-4,7.959833548913846e-5,1.3565510288769493e-4,3.3298785475945574e-4,26536,lvrc,0,50,70,0,8,5,male_lvrc,West Midlands
75,male,4.3907818186388845e-4,1.0081695382116007e-4,9.762698830849963e-5,4.4534073161889433e-4,18782,lvrc,0,50,75,0,8,5,male_lvrc,West Midlands
76,male,4.3907818186388845e-4,1.0081695382116007e-4,9.762698830849963e-5,4.4534073161889433e-4,18782,lvrc,0,50,75,0,8,5,male_lvrc,West Midlands
77,male,4.3907818186388845e-4,1.0081695382116007e-4,9.762698830849963e-5,4.4534073161889433e-4,18782,lvrc,0,50,75,0,8,5,male_lvrc,West Midlands
78,male,4.3907818186388845e-4,1.0081695382116007e-4,9.762698830849963e-5,4.4534073161889433e-4,18782,lvrc,0,50,75,0,8,5,male_lvrc,West Midlands
79,male,4.3907818186388845e-4,1.0081695382116007e-4,9.762698830849963e-5,4.4534073161889433e-4,18782,lvrc,0,50,75,0,8,5,male_lvrc,West Midlands
80,male,5.548980889789016e-4,1.2627537102041163e-4,1.8668610035633683e-4,5.66404345046534e-4,12675,lvrc,0,20,80,0,7,5,male_lvrc,West Midlands
81,male,5.548980889789016e-4,1.2627537102041163e-4,1.8668610035633683e-4,5.66404345046534e-4,12675,lvrc,0,20,80,0,7,5,male_lvrc,West Midlands
82,male,5.548980889789016e-4,1.2627537102041163e-4,1.8668610035633683e-4,5.66404345046534e-4,12675,lvrc,0,20,80,0,7,5,male_lvrc,West Midlands
83,male,5.548980889789016e-4,1.2627537102041163e-4,1.8668610035633683e-4,5.66404345046534e-4,12675,lvrc,0,20,80,0,7,5,male_lvrc,West Midlands
84,male,5.548980889789016e-4,1.2627537102041163e-4,1.8668610035633683e-4,5.66404345046534e-4,12675,lvrc,0,20,80,0,7,5,male_lvrc,West Midlands
85,male,7.07773206223341e-4,1.5919663689509231e-4,2.033607743321881e-4,7.22779816283198e-4,6746,lvrc,0,20,85,0,5,5,male_lvrc,West Midlands
86,male,7.07773206223341e-4,1.5919663689509231e-4,2.033607743321881e-4,7.22779816283198e-4,6746,lvrc,0,20,85,0,5,5,male_lvrc,West Midlands
87,male,7.07773206223341e-4,1.5919663689509231e-4,2.033607743321881e-4,7.22779816283198e-4,6746,lvrc,0,20,85,0,5,5,male_lvrc,West Midlands
88,male,7.07773206223341e-4,1.5919663689509231e-4,2.033607743321881e-4,7.22779816283198e-4,6746,lvrc,0,20,85,0,5,5,male_lvrc,West Midlands
89,male,7.07773206223341e-4,1.5919663689509231e-4,2.033607743321881e-4,7.22779816283198e-4,6746,lvrc,0,20,85,0,5,5,male_lvrc,West Midlands
90,male,6.703312218324768e-4,1.5005660661866196e-4,1.4820644117920546e-4,6.887716858595664e-4,2478,lvrc,0,10,90,0,2,5,male_lvrc,West Midlands
91,male,6.703312218324768e-4,1.5005660661866196e-4,1.4820644117920546e-4,6.887716858595664e-4,2478,lvrc,0,10,90,0,2,5,male_lvrc,West Midlands
92,male,6.703312218324768e-4,1.5005660661866196e-4,1.4820644117920546e-4,6.887716858595664e-4,2478,lvrc,0,10,90,0,2,5,male_lvrc,West Midlands
93,male,6.703312218324768e-4,1.5005660661866196e-4,1.4820644117920546e-4,6.887716858595664e-4,2478,lvrc,0,10,90,0,2,5,male_lvrc,West Midlands
94,male,6.703312218324768e-4,1.5005660661866196e-4,1.4820644117920546e-4,6.887716858595664e-4,2478,lvrc,0,10,90,0,2,5,male_lvrc,West Midlands
95,male,6.915035424276801e-4,1.4416777779029122e-4,0,7.132661009211467e-4,415,lvrc,0,10,95,0,0,6,male_lvrc,West Midlands
96,male,6.915035424276801e-4,1.4416777779029122e-4,0,7.132661009211467e-4,415,lvrc,0,10,95,0,0,6,male_lvrc,West Midlands
97,male,6.915035424276801e-4,1.4416777779029122e-4,0,7.132661009211467e-4,415,lvrc,0,10,95,0,0,6,male_lvrc,West Midlands
98,male,6.915035424276801e-4,1.4416777779029122e-4,0,7.132661009211467e-4,415,lvrc,0,10,95,0,0,6,male_lvrc,West Midlands
99,male,6.915035424276801e-4,1.4416777779029122e-4,0,7.132661009211467e-4,415,lvrc,0,10,95,0,0,6,male_lvrc,West Midlands
100,male,6.915035424276801e-4,1.4416777779029122e-4,0,7.132661009211467e-4,415,lvrc,0,10,95,0,0,6,male_lvrc,West Midlands
