age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
45,male,4.266981055476871e-4,5.610122512293133e-4,0.018569102162309795,0.0023254685714802522,40917,ishd,0,50,45,1,17,5,male_ishd,West Midlands
46,male,4.266981055476871e-4,5.610122512293133e-4,0.018569102162309795,0.0023254685714802522,40917,ishd,0,50,45,1,17,5,male_ishd,West Midlands
47,male,4.266981055476871e-4,5.610122512293133e-4,0.018569102162309795,0.0023254685714802522,40917,ishd,0,50,45,1,17,5,male_ishd,West Midlands
48,male,4.266981055476871e-4,5.610122512293133e-4,0.018569102162309795,0.0023254685714802522,40917,ishd,0,50,45,1,17,5,male_ishd,West Midlands
49,male,4.266981055476871e-4,5.610122512293133e-4,0.018569102162309795,0.0023254685714802522,40917,ishd,0,50,45,1,17,5,male_ishd,West Midlands
50,male,7.404034636046792e-4,8.934829906248352e-4,0.03207528673820159,0.004115873058006162,40732,ishd,0,50,50,2,30,5,male_ishd,West Midlands
51,male,7.404034636046792e-4,8.934829906248352e-4,0.03207528673820159,0.004115873058006162,40732,ishd,0,50,50,2,30,5,male_ishd,West Midlands
52,male,7.404034636046792e-4,8.934829906248352e-4,0.03207528673820159,0.004115873058006162,40732,ishd,0,50,50,2,30,5,male_ishd,West Midlands
53,male,7.404034636046792e-4,8.934829906248352e-4,0.03207528673820159,0.004115873058006162,40732,ishd,0,50,50,2,30,5,male_ishd,West Midlands
54,male,7.404034636046792e-4,8.934829906248352e-4,0.03207528673820159,0.004115873058006162,40732,ishd,0,50,50,2,30,5,male_ishd,West Midlands
55,male,0.0011595111536401152,0.0013668903265261147,0.05235824746542933,0.006681369900871012,35430,ishd,0,50,55,3,41,5,male_ishd,West Midlands
56,male,0.0011595111536401152,0.0013668903265261147,0.05235824746542933,0.006681369900871012,35430,ishd,0,50,55,3,41,5,male_ishd,West Midlands
57,male,0.0011595111536401152,0.0013668903265261147,0.05235824746542933,0.006681369900871012,35430,ishd,0,50,55,3,41,5,male_ishd,West Midlands
58,male,0.0011595111536401152,0.0013668903265261147,0.05235824746542933,0.006681369900871012,35430,ishd,0,50,55,3,41,5,male_ishd,West Midlands
59,male,0.0011595111536401152,0.0013668903265261147,0.05235824746542933,0.006681369900871012,35430,ishd,0,50,55,3,41,5,male_ishd,West Midlands
60,male,0.001885950388603591,0.002079688709800261,0.08005649957653173,0.010186376674121624,30814,ishd,0,50,60,4,58,5,male_ishd,West Midlands
61,male,0.001885950388603591,0.002079688709800261,0.08005649957653173,0.010186376674121624,30814,ishd,0,50,60,4,58,5,male_ishd,West Midlands
62,male,0.001885950388603591,0.002079688709800261,0.08005649957653173,0.010186376674121624,30814,ishd,0,50,60,4,58,5,male_ishd,West Midlands
63,male,0.001885950388603591,0.002079688709800261,0.08005649957653173,0.010186376674121624,30814,ishd,0,50,60,4,58,5,male_ishd,West Midlands
64,male,0.001885950388603591,0.002079688709800261,0.08005649957653173,0.010186376674121624,30814,ishd,0,50,60,4,58,5,male_ishd,West Midlands
65,male,0.0028133059702055243,0.0031129097037289628,0.12409454968155928,0.014609735030191211,30100,ishd,0,50,65,6,85,5,male_ishd,West Midlands
66,male,0.0028133059702055243,0.0031129097037289628,0.12409454968155928,0.014609735030191211,30100,ishd,0,50,65,6,85,5,male_ishd,West Midlands
67,male,0.0028133059702055243,0.0031129097037289628,0.12409454968155928,0.014609735030191211,30100,ishd,0,50,65,6,85,5,male_ishd,West Midlands
68,male,0.0028133059702055243,0.0031129097037289628,0.12409454968155928,0.014609735030191211,30100,ishd,0,50,65,6,85,5,male_ishd,West Midlands
69,male,0.0028133059702055243,0.0031129097037289628,0.12409454968155928,0.014609735030191211,30100,ishd,0,50,65,6,85,5,male_ishd,West Midlands
70,male,0.0041328931599406956,0.0042792888701043506,0.16819505810872218,0.02070179802632565,26536,ishd,0,50,70,8,109,5,male_ishd,West Midlands
71,male,0.0041328931599406956,0.0042792888701043506,0.16819505810872218,0.02070179802632565,26536,ishd,0,50,70,8,109,5,male_ishd,West Midlands
72,male,0.0041328931599406956,0.0042792888701043506,0.16819505810872218,0.02070179802632565,26536,ishd,0,50,70,8,109,5,male_ishd,West Midlands
73,male,0.0041328931599406956,0.0042792888701043506,0.16819505810872218,0.02070179802632565,26536,ishd,0,50,70,8,109,5,male_ishd,West Midlands
74,male,0.0041328931599406956,0.0042792888701043506,0.16819505810872218,0.02070179802632565,26536,ishd,0,50,70,8,109,5,male_ishd,West Midlands
75,male,0.007089603869358087,0.005397337412127931,0.21561233009664107,0.02850509499305963,18782,ishd,0,50,75,11,133,5,male_ishd,West Midlands
76,male,0.007089603869358087,0.005397337412127931,0.21561233009664107,0.02850509499305963,18782,ishd,0,50,75,11,133,5,male_ishd,West Midlands
77,male,0.007089603869358087,0.005397337412127931,0.21561233009664107,0.02850509499305963,18782,ishd,0,50,75,11,133,5,male_ishd,West Midlands
78,male,0.007089603869358087,0.005397337412127931,0.21561233009664107,0.02850509499305963,18782,ishd,0,50,75,11,133,5,male_ishd,West Midlands
79,male,0.007089603869358087,0.005397337412127931,0.21561233009664107,0.02850509499305963,18782,ishd,0,50,75,11,133,5,male_ishd,West Midlands
80,male,0.012150113401793599,0.0065129045675100476,0.24928003749259456,0.03581078295736232,12675,ishd,0,20,80,5,153,5,male_ishd,West Midlands
81,male,0.012150113401793599,0.0065129045675100476,0.24928003749259456,0.03581078295736232,12675,ishd,0,20,80,5,153,5,male_ishd,West Midlands
82,male,0.012150113401793599,0.0065129045675100476,0.24928003749259456,0.03581078295736232,12675,ishd,0,20,80,5,153,5,male_ishd,West Midlands
83,male,0.012150113401793599,0.0065129045675100476,0.24928003749259456,0.03581078295736232,12675,ishd,0,20,80,5,153,5,male_ishd,West Midlands
84,male,0.012150113401793599,0.0065129045675100476,0.24928003749259456,0.03581078295736232,12675,ishd,0,20,80,5,153,5,male_ishd,West Midlands
85,male,0.0219558864549815,0.007080265064341549,0.2515366416434767,0.04258767497130926,6746,ishd,0,20,85,5,147,5,male_ishd,West Midlands
86,male,0.0219558864549815,0.007080265064341549,0.2515366416434767,0.04258767497130926,6746,ishd,0,20,85,5,147,5,male_ishd,West Midlands
87,male,0.0219558864549815,0.007080265064341549,0.2515366416434767,0.04258767497130926,6746,ishd,0,20,85,5,147,5,male_ishd,West Midlands
88,male,0.0219558864549815,0.007080265064341549,0.2515366416434767,0.04258767497130926,6746,ishd,0,20,85,5,147,5,male_ishd,West Midlands
89,male,0.0219558864549815,0.007080265064341549,0.2515366416434767,0.04258767497130926,6746,ishd,0,20,85,5,147,5,male_ishd,West Midlands
90,male,0.03504129987014328,0.00665878561461666,0.20836678477404094,0.048218397827614605,2478,ishd,0,10,90,2,85,5,male_ishd,West Midlands
91,male,0.03504129987014328,0.00665878561461666,0.20836678477404094,0.048218397827614605,2478,ishd,0,10,90,2,85,5,male_ishd,West Midlands
92,male,0.03504129987014328,0.00665878561461666,0.20836678477404094,0.048218397827614605,2478,ishd,0,10,90,2,85,5,male_ishd,West Midlands
93,male,0.03504129987014328,0.00665878561461666,0.20836678477404094,0.048218397827614605,2478,ishd,0,10,90,2,85,5,male_ishd,West Midlands
94,male,0.03504129987014328,0.00665878561461666,0.20836678477404094,0.048218397827614605,2478,ishd,0,10,90,2,85,5,male_ishd,West Midlands
95,male,0.05792973819134036,0.005458627960904117,0.11658728984529121,0.0527835266650322,415,ishd,0,10,95,1,23,6,male_ishd,West Midlands
96,male,0.05792973819134036,0.005458627960904117,0.11658728984529121,0.0527835266650322,415,ishd,0,10,95,1,23,6,male_ishd,West Midlands
97,male,0.05792973819134036,0.005458627960904117,0.11658728984529121,0.0527835266650322,415,ishd,0,10,95,1,23,6,male_ishd,West Midlands
98,male,0.05792973819134036,0.005458627960904117,0.11658728984529121,0.0527835266650322,415,ishd,0,10,95,1,23,6,male_ishd,West Midlands
99,male,0.05792973819134036,0.005458627960904117,0.11658728984529121,0.0527835266650322,415,ishd,0,10,95,1,23,6,male_ishd,West Midlands
100,male,0.05792973819134036,0.005458627960904117,0.11658728984529121,0.0527835266650322,415,ishd,0,10,95,1,23,6,male_ishd,West Midlands
