age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
43,male,4.6028474692253536e-5,1.580087875615385e-5,8.381932402563452e-5,5.7446128103821074e-5,35953,tbalc,0,50,40,0,2,5,male_tbalc,West Midlands
44,male,4.6028474692253536e-5,1.580087875615385e-5,8.381932402563452e-5,5.7446128103821074e-5,35953,tbalc,0,50,40,0,2,5,male_tbalc,West Midlands
45,male,1.192087973425274e-4,3.800934264683166e-5,1.9447415840351652e-4,1.4137468545026002e-4,40917,tbalc,0,50,45,0,5,5,male_tbalc,West Midlands
46,male,1.192087973425274e-4,3.800934264683166e-5,1.9447415840351652e-4,1.4137468545026002e-4,40917,tbalc,0,50,45,0,5,5,male_tbalc,West Midlands
47,male,1.192087973425274e-4,3.800934264683166e-5,1.9447415840351652e-4,1.4137468545026002e-4,40917,tbalc,0,50,45,0,5,5,male_tbalc,West Midlands
48,male,1.192087973425274e-4,3.800934264683166e-5,1.9447415840351652e-4,1.4137468545026002e-4,40917,tbalc,0,50,45,0,5,5,male_tbalc,West Midlands
49,male,1.192087973425274e-4,3.800934264683166e-5,1.9447415840351652e-4,1.4137468545026002e-4,40917,tbalc,0,50,45,0,5,5,male_tbalc,West Midlands
50,male,2.722197518322022e-4,8.252789407190288e-5,4.702816835268949e-4,3.234236712731619e-4,40732,tbalc,0,50,50,0,11,5,male_tbalc,West Midlands
51,male,2.722197518322022e-4,8.252789407190288e-5,4.702816835268949e-4,3.234236712731619e-4,40732,tbalc,0,50,50,0,11,5,male_tbalc,West Midlands
52,male,2.722197518322022e-4,8.252789407190288e-5,4.702816835268949e-4,3.234236712731619e-4,40732,tbalc,0,50,50,0,11,5,male_tbalc,West Midlands
53,male,2.722197518322022e-4,8.252789407190288e-5,4.702816835268949e-4,3.234236712731619e-4,40732,tbalc,0,50,50,0,11,5,male_tbalc,West Midlands
54,male,2.722197518322022e-4,8.252789407190288e-5,4.702816835268949e-4,3.234236712731619e-4,40732,tbalc,0,50,50,0,11,5,male_tbalc,West Midlands
55,male,5.822215084796393e-4,1.9281021415402843e-4,0.0012118887774442962,7.286721562441735e-4,35430,tbalc,0,50,55,0,21,5,male_tbalc,West Midlands
56,male,5.822215084796393e-4,1.9281021415402843e-4,0.0012118887774442962,7.286721562441735e-4,35430,tbalc,0,50,55,0,21,5,male_tbalc,West Midlands
57,male,5.822215084796393e-4,1.9281021415402843e-4,0.0012118887774442962,7.286721562441735e-4,35430,tbalc,0,50,55,0,21,5,male_tbalc,West Midlands
58,male,5.822215084796393e-4,1.9281021415402843e-4,0.0012118887774442962,7.286721562441735e-4,35430,tbalc,0,50,55,0,21,5,male_tbalc,West Midlands
59,male,5.822215084796393e-4,1.9281021415402843e-4,0.0012118887774442962,7.286721562441735e-4,35430,tbalc,0,50,55,0,21,5,male_tbalc,West Midlands
60,male,0.0011229733832590278,3.760240963126896e-4,0.002593898520333873,0.0014328264688316438,30814,tbalc,0,50,60,0,35,5,male_tbalc,West Midlands
61,male,0.0011229733832590278,3.760240963126896e-4,0.002593898520333873,0.0014328264688316438,30814,tbalc,0,50,60,0,35,5,male_tbalc,West Midlands
62,male,0.0011229733832590278,3.760240963126896e-4,0.002593898520333873,0.0014328264688316438,30814,tbalc,0,50,60,0,35,5,male_tbalc,West Midlands
63,male,0.0011229733832590278,3.760240963126896e-4,0.002593898520333873,0.0014328264688316438,30814,tbalc,0,50,60,0,35,5,male_tbalc,West Midlands
