age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
44,male,4.7940178249803926e-5,1.6006525561217978e-5,8.205873852670678e-5,5.889542436940077e-5,17844,tbalc,0,50,40,0,1,5,male_tbalc,westmidlands
45,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
46,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
47,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
48,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
49,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
50,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
51,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
52,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
53,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
54,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
55,male,6.01680307357114e-4,1.8668565018547617e-4,0.0011024500915381194,7.285398113679112e-4,15863,tbalc,0,50,55,0,10,5,male_tbalc,westmidlands
56,male,6.01680307357114e-4,1.8668565018547617e-4,0.0011024500915381194,7.285398113679112e-4,15863,tbalc,0,50,55,0,10,5,male_tbalc,westmidlands
57,male,6.01680307357114e-4,1.8668565018547617e-4,0.0011024500915381194,7.285398113679112e-4,15863,tbalc,0,50,55,0,10,5,male_tbalc,westmidlands
58,male,6.01680307357114e-4,1.8668565018547617e-4,0.0011024500915381194,7.285398113679112e-4,15863,tbalc,0,50,55,0,10,5,male_tbalc,westmidlands
59,male,6.01680307357114e-4,1.8668565018547617e-4,0.0011024500915381194,7.285398113679112e-4,15863,tbalc,0,50,55,0,10,5,male_tbalc,westmidlands
60,male,0.0012361692788765075,3.8328876157117615e-4,0.002448757879414145,0.0015212041832538955,13427,tbalc,0,50,60,0,17,5,male_tbalc,westmidlands
61,male,0.0012361692788765075,3.8328876157117615e-4,0.002448757879414145,0.0015212041832538955,13427,tbalc,0,50,60,0,17,5,male_tbalc,westmidlands
62,male,0.0012361692788765075,3.8328876157117615e-4,0.002448757879414145,0.0015212041832538955,13427,tbalc,0,50,60,0,17,5,male_tbalc,westmidlands
63,male,0.0012361692788765075,3.8328876157117615e-4,0.002448757879414145,0.0015212041832538955,13427,tbalc,0,50,60,0,17,5,male_tbalc,westmidlands
64,male,0.0012361692788765075,3.8328876157117615e-4,0.002448757879414145,0.0015212041832538955,13427,tbalc,0,50,60,0,17,5,male_tbalc,westmidlands
65,male,0.0021942672733378434,6.580108819536353e-4,0.004190125872171539,0.0026829597130185877,12231,tbalc,0,50,65,0,27,5,male_tbalc,westmidlands
66,male,0.0021942672733378434,6.580108819536353e-4,0.004190125872171539,0.0026829597130185877,12231,tbalc,0,50,65,0,27,5,male_tbalc,westmidlands
67,male,0.0021942672733378434,6.580108819536353e-4,0.004190125872171539,0.0026829597130185877,12231,tbalc,0,50,65,0,27,5,male_tbalc,westmidlands
68,male,0.0021942672733378434,6.580108819536353e-4,0.004190125872171539,0.0026829597130185877,12231,tbalc,0,50,65,0,27,5,male_tbalc,westmidlands
69,male,0.0021942672733378434,6.580108819536353e-4,0.004190125872171539,0.0026829597130185877,12231,tbalc,0,50,65,0,27,5,male_tbalc,westmidlands
70,male,0.002872629992438415,8.140714784384337e-4,0.005060546672173447,0.003427267217947551,10547,tbalc,0,50,70,0,30,5,male_tbalc,westmidlands
