age,sex,inc,mort,ylds (years lived with disability)_rate_lvrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Lvrc,0,10,0,1,0,5,male_Lvrc
1,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Lvrc,0,10,0,1,0,5,male_Lvrc
2,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Lvrc,0,10,0,1,0,5,male_Lvrc
3,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Lvrc,0,10,0,1,0,5,male_Lvrc
4,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Lvrc,0,10,0,1,0,5,male_Lvrc
5,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0.18099699341985107,6917,Lvrc,0,10,5,2,0,5,male_Lvrc
6,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0.18099699341985107,6917,Lvrc,0,10,5,2,0,5,male_Lvrc
7,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0.18099699341985107,6917,Lvrc,0,10,5,2,0,5,male_Lvrc
8,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0.18099699341985107,6917,Lvrc,0,10,5,2,0,5,male_Lvrc
9,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0.18099699341985107,6917,Lvrc,0,10,5,2,0,5,male_Lvrc
10,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0.2136923923507678,6234,Lvrc,0,50,10,11,0,5,male_Lvrc
11,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0.2136923923507678,6234,Lvrc,0,50,10,11,0,5,male_Lvrc
12,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0.2136923923507678,6234,Lvrc,0,50,10,11,0,5,male_Lvrc
13,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0.2136923923507678,6234,Lvrc,0,50,10,11,0,5,male_Lvrc
14,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0.2136923923507678,6234,Lvrc,0,50,10,11,0,5,male_Lvrc
15,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0.2299387491784539,6436,Lvrc,0,50,15,11,0,5,male_Lvrc
16,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0.2299387491784539,6436,Lvrc,0,50,15,11,0,5,male_Lvrc
17,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0.2299387491784539,6436,Lvrc,0,50,15,11,0,5,male_Lvrc
18,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0.2299387491784539,6436,Lvrc,0,50,15,11,0,5,male_Lvrc
19,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0.2299387491784539,6436,Lvrc,0,50,15,11,0,5,male_Lvrc
20,male,5.906740477379569e-6,9.052433011737349e-7,1.2442394611214387e-6,0.20973255769110707,7845,Lvrc,0,50,20,10,0,5,male_Lvrc
