age,sex,inc,mort,ylds..years.lived.with.disability._rate_otri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
18,male,2.8683851435766104e-4,3.8730691947400846e-7,1.3360945090869733e-5,2.3086045678066602e-4,6436,Otri,0,50,15,0,0,5,male_Otri
19,male,2.8683851435766104e-4,3.8730691947400846e-7,1.3360945090869733e-5,2.3086045678066602e-4,6436,Otri,0,50,15,0,0,5,male_Otri
20,male,2.896774382421084e-4,4.299360135416959e-7,1.8285866048272907e-5,3.2140513641390467e-4,7845,Otri,0,50,20,0,0,5,male_Otri
21,male,2.896774382421084e-4,4.299360135416959e-7,1.8285866048272907e-5,3.2140513641390467e-4,7845,Otri,0,50,20,0,0,5,male_Otri
22,male,2.896774382421084e-4,4.299360135416959e-7,1.8285866048272907e-5,3.2140513641390467e-4,7845,Otri,0,50,20,0,0,5,male_Otri
23,male,2.896774382421084e-4,4.299360135416959e-7,1.8285866048272907e-5,3.2140513641390467e-4,7845,Otri,0,50,20,0,0,5,male_Otri
24,male,2.896774382421084e-4,4.299360135416959e-7,1.8285866048272907e-5,3.2140513641390467e-4,7845,Otri,0,50,20,0,0,5,male_Otri
25,male,2.8556886719297356e-4,3.5354916416805247e-7,2.321351533921769e-5,4.180979018680969e-4,9023,Otri,0,50,25,0,0,5,male_Otri
26,male,2.8556886719297356e-4,3.5354916416805247e-7,2.321351533921769e-5,4.180979018680969e-4,9023,Otri,0,50,25,0,0,5,male_Otri
27,male,2.8556886719297356e-4,3.5354916416805247e-7,2.321351533921769e-5,4.180979018680969e-4,9023,Otri,0,50,25,0,0,5,male_Otri
28,male,2.8556886719297356e-4,3.5354916416805247e-7,2.321351533921769e-5,4.180979018680969e-4,9023,Otri,0,50,25,0,0,5,male_Otri
29,male,2.8556886719297356e-4,3.5354916416805247e-7,2.321351533921769e-5,4.180979018680969e-4,9023,Otri,0,50,25,0,0,5,male_Otri
30,male,2.8891924139741486e-4,3.099703534056227e-7,2.8852250668554426e-5,5.253822899816632e-4,8448,Otri,0,50,30,0,0,5,male_Otri
31,male,2.8891924139741486e-4,3.099703534056227e-7,2.8852250668554426e-5,5.253822899816632e-4,8448,Otri,0,50,30,0,0,5,male_Otri
32,male,2.8891924139741486e-4,3.099703534056227e-7,2.8852250668554426e-5,5.253822899816632e-4,8448,Otri,0,50,30,0,0,5,male_Otri
33,male,2.8891924139741486e-4,3.099703534056227e-7,2.8852250668554426e-5,5.253822899816632e-4,8448,Otri,0,50,30,0,0,5,male_Otri
34,male,2.8891924139741486e-4,3.099703534056227e-7,2.8852250668554426e-5,5.253822899816632e-4,8448,Otri,0,50,30,0,0,5,male_Otri
35,male,2.930467515030578e-4,2.5300542250970475e-7,3.3983022125961494e-5,6.208640057914535e-4,7997,Otri,0,50,35,0,0,5,male_Otri
36,male,2.930467515030578e-4,2.5300542250970475e-7,3.3983022125961494e-5,6.208640057914535e-4,7997,Otri,0,50,35,0,0,5,male_Otri
37,male,2.930467515030578e-4,2.5300542250970475e-7,3.3983022125961494e-5,6.208640057914535e-4,7997,Otri,0,50,35,0,0,5,male_Otri
38,male,2.930467515030578e-4,2.5300542250970475e-7,3.3983022125961494e-5,6.208640057914535e-4,7997,Otri,0,50,35,0,0,5,male_Otri
39,male,2.930467515030578e-4,2.5300542250970475e-7,3.3983022125961494e-5,6.208640057914535e-4,7997,Otri,0,50,35,0,0,5,male_Otri
40,male,3.001396920477188e-4,2.5472566942020454e-7,4.032429020070701e-5,7.439212679557935e-4,7179,Otri,0,50,40,0,0,5,male_Otri
41,male,3.001396920477188e-4,2.5472566942020454e-7,4.032429020070701e-5,7.439212679557935e-4,7179,Otri,0,50,40,0,0,5,male_Otri
42,male,3.001396920477188e-4,2.5472566942020454e-7,4.032429020070701e-5,7.439212679557935e-4,7179,Otri,0,50,40,0,0,5,male_Otri
43,male,3.001396920477188e-4,2.5472566942020454e-7,4.032429020070701e-5,7.439212679557935e-4,7179,Otri,0,50,40,0,0,5,male_Otri
44,male,3.001396920477188e-4,2.5472566942020454e-7,4.032429020070701e-5,7.439212679557935e-4,7179,Otri,0,50,40,0,0,5,male_Otri
45,male,3.0481436259259867e-4,2.389078407081502e-7,4.815684461762873e-5,8.969456845621154e-4,7628,Otri,0,50,45,0,0,5,male_Otri
46,male,3.0481436259259867e-4,2.389078407081502e-7,4.815684461762873e-5,8.969456845621154e-4,7628,Otri,0,50,45,0,0,5,male_Otri
47,male,3.0481436259259867e-4,2.389078407081502e-7,4.815684461762873e-5,8.969456845621154e-4,7628,Otri,0,50,45,0,0,5,male_Otri
48,male,3.0481436259259867e-4,2.389078407081502e-7,4.815684461762873e-5,8.969456845621154e-4,7628,Otri,0,50,45,0,0,5,male_Otri
49,male,3.0481436259259867e-4,2.389078407081502e-7,4.815684461762873e-5,8.969456845621154e-4,7628,Otri,0,50,45,0,0,5,male_Otri
50,male,2.9003068226158245e-4,1.7827122102679613e-7,5.524133870148652e-5,0.0010425849607361677,7605,Otri,0,50,50,0,0,5,male_Otri
51,male,2.9003068226158245e-4,1.7827122102679613e-7,5.524133870148652e-5,0.0010425849607361677,7605,Otri,0,50,50,0,0,5,male_Otri
52,male,2.9003068226158245e-4,1.7827122102679613e-7,5.524133870148652e-5,0.0010425849607361677,7605,Otri,0,50,50,0,0,5,male_Otri
53,male,2.9003068226158245e-4,1.7827122102679613e-7,5.524133870148652e-5,0.0010425849607361677,7605,Otri,0,50,50,0,0,5,male_Otri
54,male,2.9003068226158245e-4,1.7827122102679613e-7,5.524133870148652e-5,0.0010425849607361677,7605,Otri,0,50,50,0,0,5,male_Otri
55,male,2.6500720925959695e-4,1.341518233998241e-7,6.166789235131368e-5,0.0011839609982179217,6479,Otri,0,50,55,0,0,5,male_Otri
56,male,2.6500720925959695e-4,1.341518233998241e-7,6.166789235131368e-5,0.0011839609982179217,6479,Otri,0,50,55,0,0,5,male_Otri
57,male,2.6500720925959695e-4,1.341518233998241e-7,6.166789235131368e-5,0.0011839609982179217,6479,Otri,0,50,55,0,0,5,male_Otri
58,male,2.6500720925959695e-4,1.341518233998241e-7,6.166789235131368e-5,0.0011839609982179217,6479,Otri,0,50,55,0,0,5,male_Otri
59,male,2.6500720925959695e-4,1.341518233998241e-7,6.166789235131368e-5,0.0011839609982179217,6479,Otri,0,50,55,0,0,5,male_Otri
60,male,2.446407026736194e-4,1.372286243267283e-7,6.72424500015627e-5,0.001316902009093373,5560,Otri,0,50,60,0,0,5,male_Otri
61,male,2.446407026736194e-4,1.372286243267283e-7,6.72424500015627e-5,0.001316902009093373,5560,Otri,0,50,60,0,0,5,male_Otri
62,male,2.446407026736194e-4,1.372286243267283e-7,6.72424500015627e-5,0.001316902009093373,5560,Otri,0,50,60,0,0,5,male_Otri
63,male,2.446407026736194e-4,1.372286243267283e-7,6.72424500015627e-5,0.001316902009093373,5560,Otri,0,50,60,0,0,5,male_Otri
64,male,2.446407026736194e-4,1.372286243267283e-7,6.72424500015627e-5,0.001316902009093373,5560,Otri,0,50,60,0,0,5,male_Otri
