age,sex,inc,mort,ylds..years.lived.with.disability._rate_stmc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
27,female,4.7235647128178805e-6,1.4039794974336547e-6,1.7673579543025896e-6,1.763391877066547e-5,8833,Stmc,0,50,25,0,0,5,female_Stmc
28,female,4.7235647128178805e-6,1.4039794974336547e-6,1.7673579543025896e-6,1.763391877066547e-5,8833,Stmc,0,50,25,0,0,5,female_Stmc
29,female,4.7235647128178805e-6,1.4039794974336547e-6,1.7673579543025896e-6,1.763391877066547e-5,8833,Stmc,0,50,25,0,0,5,female_Stmc
30,female,1.0965633152179306e-5,3.345475654484344e-6,4.1633843793898164e-6,4.209600050897998e-5,7963,Stmc,0,50,30,0,0,5,female_Stmc
31,female,1.0965633152179306e-5,3.345475654484344e-6,4.1633843793898164e-6,4.209600050897998e-5,7963,Stmc,0,50,30,0,0,5,female_Stmc
32,female,1.0965633152179306e-5,3.345475654484344e-6,4.1633843793898164e-6,4.209600050897998e-5,7963,Stmc,0,50,30,0,0,5,female_Stmc
33,female,1.0965633152179306e-5,3.345475654484344e-6,4.1633843793898164e-6,4.209600050897998e-5,7963,Stmc,0,50,30,0,0,5,female_Stmc
34,female,1.0965633152179306e-5,3.345475654484344e-6,4.1633843793898164e-6,4.209600050897998e-5,7963,Stmc,0,50,30,0,0,5,female_Stmc
35,female,1.792901345242313e-5,6.277287421216808e-6,6.556894004512277e-6,6.361681859016871e-5,7482,Stmc,0,50,35,0,0,5,female_Stmc
36,female,1.792901345242313e-5,6.277287421216808e-6,6.556894004512277e-6,6.361681859016871e-5,7482,Stmc,0,50,35,0,0,5,female_Stmc
37,female,1.792901345242313e-5,6.277287421216808e-6,6.556894004512277e-6,6.361681859016871e-5,7482,Stmc,0,50,35,0,0,5,female_Stmc
38,female,1.792901345242313e-5,6.277287421216808e-6,6.556894004512277e-6,6.361681859016871e-5,7482,Stmc,0,50,35,0,0,5,female_Stmc
39,female,1.792901345242313e-5,6.277287421216808e-6,6.556894004512277e-6,6.361681859016871e-5,7482,Stmc,0,50,35,0,0,5,female_Stmc
40,female,2.7856534472105197e-5,1.1187724762131745e-5,1.0051592254871523e-5,9.593893838842015e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
41,female,2.7856534472105197e-5,1.1187724762131745e-5,1.0051592254871523e-5,9.593893838842015e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
42,female,2.7856534472105197e-5,1.1187724762131745e-5,1.0051592254871523e-5,9.593893838842015e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
43,female,2.7856534472105197e-5,1.1187724762131745e-5,1.0051592254871523e-5,9.593893838842015e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
44,female,2.7856534472105197e-5,1.1187724762131745e-5,1.0051592254871523e-5,9.593893838842015e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
45,female,4.1931882694048526e-5,1.726176386614242e-5,1.51195823777469e-5,1.4681048247719083e-4,7531,Stmc,0,50,45,0,0,5,female_Stmc
46,female,4.1931882694048526e-5,1.726176386614242e-5,1.51195823777469e-5,1.4681048247719083e-4,7531,Stmc,0,50,45,0,0,5,female_Stmc
47,female,4.1931882694048526e-5,1.726176386614242e-5,1.51195823777469e-5,1.4681048247719083e-4,7531,Stmc,0,50,45,0,0,5,female_Stmc
48,female,4.1931882694048526e-5,1.726176386614242e-5,1.51195823777469e-5,1.4681048247719083e-4,7531,Stmc,0,50,45,0,0,5,female_Stmc
49,female,4.1931882694048526e-5,1.726176386614242e-5,1.51195823777469e-5,1.4681048247719083e-4,7531,Stmc,0,50,45,0,0,5,female_Stmc
50,female,6.05359478644232e-5,2.6706426748494244e-5,2.1244117760343457e-5,2.069177450956754e-4,7629,Stmc,0,50,50,0,0,5,female_Stmc
51,female,6.05359478644232e-5,2.6706426748494244e-5,2.1244117760343457e-5,2.069177450956754e-4,7629,Stmc,0,50,50,0,0,5,female_Stmc
52,female,6.05359478644232e-5,2.6706426748494244e-5,2.1244117760343457e-5,2.069177450956754e-4,7629,Stmc,0,50,50,0,0,5,female_Stmc
53,female,6.05359478644232e-5,2.6706426748494244e-5,2.1244117760343457e-5,2.069177450956754e-4,7629,Stmc,0,50,50,0,0,5,female_Stmc
54,female,6.05359478644232e-5,2.6706426748494244e-5,2.1244117760343457e-5,2.069177450956754e-4,7629,Stmc,0,50,50,0,0,5,female_Stmc
55,female,9.59326066159196e-5,4.4695897794100305e-5,3.3257006748680306e-5,3.181560412168341e-4,6580,Stmc,0,50,55,0,0,5,female_Stmc
56,female,9.59326066159196e-5,4.4695897794100305e-5,3.3257006748680306e-5,3.181560412168341e-4,6580,Stmc,0,50,55,0,0,5,female_Stmc
