age,sex,inc,mort,ylds..years.lived.with.disability._rate_ishd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
35,male,6.007226064506369e-4,5.8819667408722994e-5,1.5219107428047262e-4,0.0045555128280250256,7997,Ishd,0,50,35,0,0,5,male_Ishd
36,male,6.007226064506369e-4,5.8819667408722994e-5,1.5219107428047262e-4,0.0045555128280250256,7997,Ishd,0,50,35,0,0,5,male_Ishd
37,male,6.007226064506369e-4,5.8819667408722994e-5,1.5219107428047262e-4,0.0045555128280250256,7997,Ishd,0,50,35,0,0,5,male_Ishd
38,male,6.007226064506369e-4,5.8819667408722994e-5,1.5219107428047262e-4,0.0045555128280250256,7997,Ishd,0,50,35,0,0,5,male_Ishd
39,male,6.007226064506369e-4,5.8819667408722994e-5,1.5219107428047262e-4,0.0045555128280250256,7997,Ishd,0,50,35,0,0,5,male_Ishd
40,male,0.0012474619887458348,1.5748157969740722e-4,2.9324770711450124e-4,0.009456533258941661,7179,Ishd,0,50,40,0,1,5,male_Ishd
41,male,0.0012474619887458348,1.5748157969740722e-4,2.9324770711450124e-4,0.009456533258941661,7179,Ishd,0,50,40,0,1,5,male_Ishd
42,male,0.0012474619887458348,1.5748157969740722e-4,2.9324770711450124e-4,0.009456533258941661,7179,Ishd,0,50,40,0,1,5,male_Ishd
43,male,0.0012474619887458348,1.5748157969740722e-4,2.9324770711450124e-4,0.009456533258941661,7179,Ishd,0,50,40,0,1,5,male_Ishd
44,male,0.0012474619887458348,1.5748157969740722e-4,2.9324770711450124e-4,0.009456533258941661,7179,Ishd,0,50,40,0,1,5,male_Ishd
45,male,0.002222567470986605,3.021342729833205e-4,5.056088354667485e-4,0.017767363960075524,7628,Ishd,0,50,45,1,2,5,male_Ishd
46,male,0.002222567470986605,3.021342729833205e-4,5.056088354667485e-4,0.017767363960075524,7628,Ishd,0,50,45,1,2,5,male_Ishd
47,male,0.002222567470986605,3.021342729833205e-4,5.056088354667485e-4,0.017767363960075524,7628,Ishd,0,50,45,1,2,5,male_Ishd
48,male,0.002222567470986605,3.021342729833205e-4,5.056088354667485e-4,0.017767363960075524,7628,Ishd,0,50,45,1,2,5,male_Ishd
49,male,0.002222567470986605,3.021342729833205e-4,5.056088354667485e-4,0.017767363960075524,7628,Ishd,0,50,45,1,2,5,male_Ishd
50,male,0.003930588524485003,5.320173612748998e-4,7.945814526033652e-4,0.030892343649997454,7605,Ishd,0,50,50,2,4,5,male_Ishd
51,male,0.003930588524485003,5.320173612748998e-4,7.945814526033652e-4,0.030892343649997454,7605,Ishd,0,50,50,2,4,5,male_Ishd
52,male,0.003930588524485003,5.320173612748998e-4,7.945814526033652e-4,0.030892343649997454,7605,Ishd,0,50,50,2,4,5,male_Ishd
53,male,0.003930588524485003,5.320173612748998e-4,7.945814526033652e-4,0.030892343649997454,7605,Ishd,0,50,50,2,4,5,male_Ishd
54,male,0.003930588524485003,5.320173612748998e-4,7.945814526033652e-4,0.030892343649997454,7605,Ishd,0,50,50,2,4,5,male_Ishd
55,male,0.006370345426109752,8.144436069847357e-4,0.0012143954759332206,0.05053130742872564,6479,Ishd,0,50,55,3,5,5,male_Ishd
56,male,0.006370345426109752,8.144436069847357e-4,0.0012143954759332206,0.05053130742872564,6479,Ishd,0,50,55,3,5,5,male_Ishd
