age,sex,inc,mort,ylds..years.lived.with.disability._rate_pdri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,0,NaN,NaN,5,female_Pdri
1,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,0,NaN,NaN,5,female_Pdri
2,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,0,NaN,NaN,5,female_Pdri
3,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,0,NaN,NaN,5,female_Pdri
4,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,0,NaN,NaN,5,female_Pdri
5,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,5,NaN,NaN,5,female_Pdri
6,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,5,NaN,NaN,5,female_Pdri
7,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,5,NaN,NaN,5,female_Pdri
8,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,5,NaN,NaN,5,female_Pdri
9,female,NA,NaN,NaN,NaN,NaN,Pdri,0,10,5,NaN,NaN,5,female_Pdri
10,female,NA,NaN,NaN,NaN,NaN,Pdri,0,50,10,NaN,NaN,5,female_Pdri
11,female,NA,NaN,NaN,NaN,NaN,Pdri,0,50,10,NaN,NaN,5,female_Pdri
12,female,NA,NaN,NaN,NaN,NaN,Pdri,0,50,10,NaN,NaN,5,female_Pdri
13,female,NA,NaN,NaN,NaN,NaN,Pdri,0,50,10,NaN,NaN,5,female_Pdri
14,female,NA,NaN,NaN,NaN,NaN,Pdri,0,50,10,NaN,NaN,5,female_Pdri
15,female,0.001267078163413761,5.392446238850295e-6,1.1513778785329998e-4,0.0020804706111739,6338,Pdri,0,50,15,0,0,5,female_Pdri
16,female,0.001267078163413761,5.392446238850295e-6,1.1513778785329998e-4,0.0020804706111739,6338,Pdri,0,50,15,0,0,5,female_Pdri
17,female,0.001267078163413761,5.392446238850295e-6,1.1513778785329998e-4,0.0020804706111739,6338,Pdri,0,50,15,0,0,5,female_Pdri
18,female,0.001267078163413761,5.392446238850295e-6,1.1513778785329998e-4,0.0020804706111739,6338,Pdri,0,50,15,0,0,5,female_Pdri
19,female,0.001267078163413761,5.392446238850295e-6,1.1513778785329998e-4,0.0020804706111739,6338,Pdri,0,50,15,0,0,5,female_Pdri
20,female,9.758935095794569e-4,2.6852077504063137e-6,1.4907595874525658e-4,0.002792045678491142,7828,Pdri,0,50,20,0,0,5,female_Pdri
21,female,9.758935095794569e-4,2.6852077504063137e-6,1.4907595874525658e-4,0.002792045678491142,7828,Pdri,0,50,20,0,0,5,female_Pdri
22,female,9.758935095794569e-4,2.6852077504063137e-6,1.4907595874525658e-4,0.002792045678491142,7828,Pdri,0,50,20,0,0,5,female_Pdri
23,female,9.758935095794569e-4,2.6852077504063137e-6,1.4907595874525658e-4,0.002792045678491142,7828,Pdri,0,50,20,0,0,5,female_Pdri
24,female,9.758935095794569e-4,2.6852077504063137e-6,1.4907595874525658e-4,0.002792045678491142,7828,Pdri,0,50,20,0,0,5,female_Pdri
25,female,7.342015346661712e-4,1.9212654970932382e-6,1.7598140115402907e-4,0.003368016853329752,8833,Pdri,0,50,25,0,0,5,female_Pdri
26,female,7.342015346661712e-4,1.9212654970932382e-6,1.7598140115402907e-4,0.003368016853329752,8833,Pdri,0,50,25,0,0,5,female_Pdri
27,female,7.342015346661712e-4,1.9212654970932382e-6,1.7598140115402907e-4,0.003368016853329752,8833,Pdri,0,50,25,0,0,5,female_Pdri
28,female,7.342015346661712e-4,1.9212654970932382e-6,1.7598140115402907e-4,0.003368016853329752,8833,Pdri,0,50,25,0,0,5,female_Pdri
29,female,7.342015346661712e-4,1.9212654970932382e-6,1.7598140115402907e-4,0.003368016853329752,8833,Pdri,0,50,25,0,0,5,female_Pdri
30,female,5.857818409030097e-4,1.6224997588940912e-6,1.9886049096318623e-4,0.003903620274298624,7963,Pdri,0,50,30,0,0,5,female_Pdri
31,female,5.857818409030097e-4,1.6224997588940912e-6,1.9886049096318623e-4,0.003903620274298624,7963,Pdri,0,50,30,0,0,5,female_Pdri
32,female,5.857818409030097e-4,1.6224997588940912e-6,1.9886049096318623e-4,0.003903620274298624,7963,Pdri,0,50,30,0,0,5,female_Pdri
33,female,5.857818409030097e-4,1.6224997588940912e-6,1.9886049096318623e-4,0.003903620274298624,7963,Pdri,0,50,30,0,0,5,female_Pdri
34,female,5.857818409030097e-4,1.6224997588940912e-6,1.9886049096318623e-4,0.003903620274298624,7963,Pdri,0,50,30,0,0,5,female_Pdri
35,female,5.266123774684192e-4,1.8934635067479173e-6,2.1881575022981084e-4,0.004331536663016014,7482,Pdri,0,50,35,0,0,5,female_Pdri
36,female,5.266123774684192e-4,1.8934635067479173e-6,2.1881575022981084e-4,0.004331536663016014,7482,Pdri,0,50,35,0,0,5,female_Pdri
37,female,5.266123774684192e-4,1.8934635067479173e-6,2.1881575022981084e-4,0.004331536663016014,7482,Pdri,0,50,35,0,0,5,female_Pdri
38,female,5.266123774684192e-4,1.8934635067479173e-6,2.1881575022981084e-4,0.004331536663016014,7482,Pdri,0,50,35,0,0,5,female_Pdri
39,female,5.266123774684192e-4,1.8934635067479173e-6,2.1881575022981084e-4,0.004331536663016014,7482,Pdri,0,50,35,0,0,5,female_Pdri
40,female,5.13474553323135e-4,2.1856476738686513e-6,2.4108762521060593e-4,0.004805205308630944,6901,Pdri,0,50,40,0,0,5,female_Pdri
41,female,5.13474553323135e-4,2.1856476738686513e-6,2.4108762521060593e-4,0.004805205308630944,6901,Pdri,0,50,40,0,0,5,female_Pdri
42,female,5.13474553323135e-4,2.1856476738686513e-6,2.4108762521060593e-4,0.004805205308630944,6901,Pdri,0,50,40,0,0,5,female_Pdri
43,female,5.13474553323135e-4,2.1856476738686513e-6,2.4108762521060593e-4,0.004805205308630944,6901,Pdri,0,50,40,0,0,5,female_Pdri
44,female,5.13474553323135e-4,2.1856476738686513e-6,2.4108762521060593e-4,0.004805205308630944,6901,Pdri,0,50,40,0,0,5,female_Pdri
45,female,5.571592102927494e-4,2.7252650454836305e-6,2.6542181206137795e-4,0.005288090339776981,7531,Pdri,0,50,45,0,0,5,female_Pdri
46,female,5.571592102927494e-4,2.7252650454836305e-6,2.6542181206137795e-4,0.005288090339776981,7531,Pdri,0,50,45,0,0,5,female_Pdri
47,female,5.571592102927494e-4,2.7252650454836305e-6,2.6542181206137795e-4,0.005288090339776981,7531,Pdri,0,50,45,0,0,5,female_Pdri
48,female,5.571592102927494e-4,2.7252650454836305e-6,2.6542181206137795e-4,0.005288090339776981,7531,Pdri,0,50,45,0,0,5,female_Pdri
49,female,5.571592102927494e-4,2.7252650454836305e-6,2.6542181206137795e-4,0.005288090339776981,7531,Pdri,0,50,45,0,0,5,female_Pdri
50,female,6.223028749252743e-4,3.1786197343522227e-6,2.9248238576721943e-4,0.005857866422871748,7629,Pdri,0,50,50,0,0,5,female_Pdri
