age,sex,inc,mort,ylds..years.lived.with.disability._rate_otri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,0,NaN,NaN,5,female_Otri
1,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,0,NaN,NaN,5,female_Otri
2,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,0,NaN,NaN,5,female_Otri
3,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,0,NaN,NaN,5,female_Otri
4,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,0,NaN,NaN,5,female_Otri
5,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,5,NaN,NaN,5,female_Otri
6,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,5,NaN,NaN,5,female_Otri
7,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,5,NaN,NaN,5,female_Otri
8,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,5,NaN,NaN,5,female_Otri
9,female,NA,NaN,NaN,NaN,NaN,Otri,0,10,5,NaN,NaN,5,female_Otri
10,female,NA,NaN,NaN,NaN,NaN,Otri,0,50,10,NaN,NaN,5,female_Otri
11,female,NA,NaN,NaN,NaN,NaN,Otri,0,50,10,NaN,NaN,5,female_Otri
12,female,NA,NaN,NaN,NaN,NaN,Otri,0,50,10,NaN,NaN,5,female_Otri
13,female,NA,NaN,NaN,NaN,NaN,Otri,0,50,10,NaN,NaN,5,female_Otri
14,female,NA,NaN,NaN,NaN,NaN,Otri,0,50,10,NaN,NaN,5,female_Otri
15,female,0.0012694843773874156,7.507207302721196e-7,5.2556637512022796e-5,9.626703929789009e-4,6338,Otri,0,50,15,0,0,5,female_Otri
16,female,0.0012694843773874156,7.507207302721196e-7,5.2556637512022796e-5,9.626703929789009e-4,6338,Otri,0,50,15,0,0,5,female_Otri
17,female,0.0012694843773874156,7.507207302721196e-7,5.2556637512022796e-5,9.626703929789009e-4,6338,Otri,0,50,15,0,0,5,female_Otri
18,female,0.0012694843773874156,7.507207302721196e-7,5.2556637512022796e-5,9.626703929789009e-4,6338,Otri,0,50,15,0,0,5,female_Otri
19,female,0.0012694843773874156,7.507207302721196e-7,5.2556637512022796e-5,9.626703929789009e-4,6338,Otri,0,50,15,0,0,5,female_Otri
20,female,0.0011453089330769669,5.815637486540314e-7,7.305219893478106e-5,0.0013757579827492056,7828,Otri,0,50,20,0,0,5,female_Otri
21,female,0.0011453089330769669,5.815637486540314e-7,7.305219893478106e-5,0.0013757579827492056,7828,Otri,0,50,20,0,0,5,female_Otri
22,female,0.0011453089330769669,5.815637486540314e-7,7.305219893478106e-5,0.0013757579827492056,7828,Otri,0,50,20,0,0,5,female_Otri
23,female,0.0011453089330769669,5.815637486540314e-7,7.305219893478106e-5,0.0013757579827492056,7828,Otri,0,50,20,0,0,5,female_Otri
24,female,0.0011453089330769669,5.815637486540314e-7,7.305219893478106e-5,0.0013757579827492056,7828,Otri,0,50,20,0,0,5,female_Otri
25,female,9.887923435699386e-4,4.645464531826121e-7,9.20320878997768e-5,0.001766366183909434,8833,Otri,0,50,25,0,0,5,female_Otri
26,female,9.887923435699386e-4,4.645464531826121e-7,9.20320878997768e-5,0.001766366183909434,8833,Otri,0,50,25,0,0,5,female_Otri
27,female,9.887923435699386e-4,4.645464531826121e-7,9.20320878997768e-5,0.001766366183909434,8833,Otri,0,50,25,0,0,5,female_Otri
28,female,9.887923435699386e-4,4.645464531826121e-7,9.20320878997768e-5,0.001766366183909434,8833,Otri,0,50,25,0,0,5,female_Otri
29,female,9.887923435699386e-4,4.645464531826121e-7,9.20320878997768e-5,0.001766366183909434,8833,Otri,0,50,25,0,0,5,female_Otri
30,female,8.453557857616571e-4,3.487685863606479e-7,1.1049541790164175e-4,0.0021532031033787043,7963,Otri,0,50,30,0,0,5,female_Otri
31,female,8.453557857616571e-4,3.487685863606479e-7,1.1049541790164175e-4,0.0021532031033787043,7963,Otri,0,50,30,0,0,5,female_Otri
32,female,8.453557857616571e-4,3.487685863606479e-7,1.1049541790164175e-4,0.0021532031033787043,7963,Otri,0,50,30,0,0,5,female_Otri
33,female,8.453557857616571e-4,3.487685863606479e-7,1.1049541790164175e-4,0.0021532031033787043,7963,Otri,0,50,30,0,0,5,female_Otri
34,female,8.453557857616571e-4,3.487685863606479e-7,1.1049541790164175e-4,0.0021532031033787043,7963,Otri,0,50,30,0,0,5,female_Otri
35,female,6.945345622827412e-4,4.2980337366694893e-7,1.2353499825263836e-4,0.0024179529961954223,7482,Otri,0,50,35,0,0,5,female_Otri
36,female,6.945345622827412e-4,4.2980337366694893e-7,1.2353499825263836e-4,0.0024179529961954223,7482,Otri,0,50,35,0,0,5,female_Otri
37,female,6.945345622827412e-4,4.2980337366694893e-7,1.2353499825263836e-4,0.0024179529961954223,7482,Otri,0,50,35,0,0,5,female_Otri
38,female,6.945345622827412e-4,4.2980337366694893e-7,1.2353499825263836e-4,0.0024179529961954223,7482,Otri,0,50,35,0,0,5,female_Otri
39,female,6.945345622827412e-4,4.2980337366694893e-7,1.2353499825263836e-4,0.0024179529961954223,7482,Otri,0,50,35,0,0,5,female_Otri
40,female,5.636493560195019e-4,3.9843590938754864e-7,1.36195747348777e-4,0.002697250983241741,6901,Otri,0,50,40,0,0,5,female_Otri
41,female,5.636493560195019e-4,3.9843590938754864e-7,1.36195747348777e-4,0.002697250983241741,6901,Otri,0,50,40,0,0,5,female_Otri
42,female,5.636493560195019e-4,3.9843590938754864e-7,1.36195747348777e-4,0.002697250983241741,6901,Otri,0,50,40,0,0,5,female_Otri
43,female,5.636493560195019e-4,3.9843590938754864e-7,1.36195747348777e-4,0.002697250983241741,6901,Otri,0,50,40,0,0,5,female_Otri
44,female,5.636493560195019e-4,3.9843590938754864e-7,1.36195747348777e-4,0.002697250983241741,6901,Otri,0,50,40,0,0,5,female_Otri
