age,sex,inc,mort,ylds (years lived with disability)_rate_adaod,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Adaod,0,10,0,2,0,5,female_Adaod
1,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Adaod,0,10,0,2,0,5,female_Adaod
2,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Adaod,0,10,0,2,0,5,female_Adaod
3,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Adaod,0,10,0,2,0,5,female_Adaod
4,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Adaod,0,10,0,2,0,5,female_Adaod
5,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Adaod,0,10,5,2,0,5,female_Adaod
6,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Adaod,0,10,5,2,0,5,female_Adaod
7,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Adaod,0,10,5,2,0,5,female_Adaod
8,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Adaod,0,10,5,2,0,5,female_Adaod
9,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Adaod,0,10,5,2,0,5,female_Adaod
10,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Adaod,0,50,10,11,0,5,female_Adaod
11,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Adaod,0,50,10,11,0,5,female_Adaod
12,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Adaod,0,50,10,11,0,5,female_Adaod
13,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Adaod,0,50,10,11,0,5,female_Adaod
14,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Adaod,0,50,10,11,0,5,female_Adaod
15,female,0.9541256103637141,0,0.02186528525122456,0.22637192495487984,6338,Adaod,0,50,15,11,0,5,female_Adaod
16,female,0.9541256103637141,0,0.02186528525122456,0.22637192495487984,6338,Adaod,0,50,15,11,0,5,female_Adaod
17,female,0.9541256103637141,0,0.02186528525122456,0.22637192495487984,6338,Adaod,0,50,15,11,0,5,female_Adaod
18,female,0.9541256103637141,0,0.02186528525122456,0.22637192495487984,6338,Adaod,0,50,15,11,0,5,female_Adaod
