age,sex,inc,mort,ylds..years.lived.with.disability._rate_lvrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
84,female,4.491250593663085e-4,3.890304256443879e-4,1.1192529299318951e-4,3.4300329348835247e-4,2983,Lvrc,0,20,80,0,1,5,female_Lvrc
85,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
86,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
87,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
88,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
89,female,6.122289237167855e-4,5.298430605472171e-4,1.4931705078934974e-4,4.3726476612893864e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
90,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
91,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
92,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
93,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
94,female,6.814819186075108e-4,5.91265006826326e-4,1.5814486966377416e-4,3.7777418711057995e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
95,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
96,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
97,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
98,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
99,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
100,female,8.156203524890135e-4,7.089973928030126e-4,1.5451021233725478e-4,1.3128463186640519e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
