age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_rdin,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,4.623844929485789e-6,0.0024038851755727995,5.628371889086837e-4,4.041535437303308e-5,6598,Rdin,0,10,0,0,0,5,female_Rdin
1,female,4.623844929485789e-6,0.0024038851755727995,5.628371889086837e-4,4.041535437303308e-5,6598,Rdin,0,10,0,0,0,5,female_Rdin
2,female,4.623844929485789e-6,0.0024038851755727995,5.628371889086837e-4,4.041535437303308e-5,6598,Rdin,0,10,0,0,0,5,female_Rdin
3,female,4.623844929485789e-6,0.0024038851755727995,5.628371889086837e-4,4.041535437303308e-5,6598,Rdin,0,10,0,0,0,5,female_Rdin
4,female,4.623844929485789e-6,0.0024038851755727995,5.628371889086837e-4,4.041535437303308e-5,6598,Rdin,0,10,0,0,0,5,female_Rdin
5,female,3.3743565761356175e-6,0.006195017735165832,0.00240386113042305,1.5743565284050796e-4,6603,Rdin,0,10,5,0,0,5,female_Rdin
6,female,3.3743565761356175e-6,0.006195017735165832,0.00240386113042305,1.5743565284050796e-4,6603,Rdin,0,10,5,0,0,5,female_Rdin
7,female,3.3743565761356175e-6,0.006195017735165832,0.00240386113042305,1.5743565284050796e-4,6603,Rdin,0,10,5,0,0,5,female_Rdin
8,female,3.3743565761356175e-6,0.006195017735165832,0.00240386113042305,1.5743565284050796e-4,6603,Rdin,0,10,5,0,0,5,female_Rdin
9,female,3.3743565761356175e-6,0.006195017735165832,0.00240386113042305,1.5743565284050796e-4,6603,Rdin,0,10,5,0,0,5,female_Rdin
10,female,5.953289228809292e-6,0.009172682120403517,0.005505564516077873,3.406039305013e-4,6051,Rdin,0,50,10,0,0,5,female_Rdin
11,female,5.953289228809292e-6,0.009172682120403517,0.005505564516077873,3.406039305013e-4,6051,Rdin,0,50,10,0,0,5,female_Rdin
12,female,5.953289228809292e-6,0.009172682120403517,0.005505564516077873,3.406039305013e-4,6051,Rdin,0,50,10,0,0,5,female_Rdin
13,female,5.953289228809292e-6,0.009172682120403517,0.005505564516077873,3.406039305013e-4,6051,Rdin,0,50,10,0,0,5,female_Rdin
