age,sex,inc,mort,ylds..years.lived.with.disability._rate_brsc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
30,male,1.0743218270893382e-6,1.5331051050572646e-7,9.54278241280183e-7,1.1269658156699137e-5,8448,Brsc,0,50,30,0,0,5,male_Brsc
31,male,1.0743218270893382e-6,1.5331051050572646e-7,9.54278241280183e-7,1.1269658156699137e-5,8448,Brsc,0,50,30,0,0,5,male_Brsc
32,male,1.0743218270893382e-6,1.5331051050572646e-7,9.54278241280183e-7,1.1269658156699137e-5,8448,Brsc,0,50,30,0,0,5,male_Brsc
33,male,1.0743218270893382e-6,1.5331051050572646e-7,9.54278241280183e-7,1.1269658156699137e-5,8448,Brsc,0,50,30,0,0,5,male_Brsc
34,male,1.0743218270893382e-6,1.5331051050572646e-7,9.54278241280183e-7,1.1269658156699137e-5,8448,Brsc,0,50,30,0,0,5,male_Brsc
35,male,2.2010076154651722e-6,3.912166433114968e-7,1.8683827688388944e-6,2.098984679655981e-5,7997,Brsc,0,50,35,0,0,5,male_Brsc
36,male,2.2010076154651722e-6,3.912166433114968e-7,1.8683827688388944e-6,2.098984679655981e-5,7997,Brsc,0,50,35,0,0,5,male_Brsc
37,male,2.2010076154651722e-6,3.912166433114968e-7,1.8683827688388944e-6,2.098984679655981e-5,7997,Brsc,0,50,35,0,0,5,male_Brsc
38,male,2.2010076154651722e-6,3.912166433114968e-7,1.8683827688388944e-6,2.098984679655981e-5,7997,Brsc,0,50,35,0,0,5,male_Brsc
39,male,2.2010076154651722e-6,3.912166433114968e-7,1.8683827688388944e-6,2.098984679655981e-5,7997,Brsc,0,50,35,0,0,5,male_Brsc
40,male,4.634648948794926e-6,9.010858250173558e-7,3.868858630931137e-6,4.2064030313347124e-5,7179,Brsc,0,50,40,0,0,5,male_Brsc
41,male,4.634648948794926e-6,9.010858250173558e-7,3.868858630931137e-6,4.2064030313347124e-5,7179,Brsc,0,50,40,0,0,5,male_Brsc
42,male,4.634648948794926e-6,9.010858250173558e-7,3.868858630931137e-6,4.2064030313347124e-5,7179,Brsc,0,50,40,0,0,5,male_Brsc
43,male,4.634648948794926e-6,9.010858250173558e-7,3.868858630931137e-6,4.2064030313347124e-5,7179,Brsc,0,50,40,0,0,5,male_Brsc
44,male,4.634648948794926e-6,9.010858250173558e-7,3.868858630931137e-6,4.2064030313347124e-5,7179,Brsc,0,50,40,0,0,5,male_Brsc
45,male,7.010041337611977e-6,1.559548563438975e-6,5.86807363454438e-6,6.314292777769174e-5,7628,Brsc,0,50,45,0,0,5,male_Brsc
46,male,7.010041337611977e-6,1.559548563438975e-6,5.86807363454438e-6,6.314292777769174e-5,7628,Brsc,0,50,45,0,0,5,male_Brsc
47,male,7.010041337611977e-6,1.559548563438975e-6,5.86807363454438e-6,6.314292777769174e-5,7628,Brsc,0,50,45,0,0,5,male_Brsc
48,male,7.010041337611977e-6,1.559548563438975e-6,5.86807363454438e-6,6.314292777769174e-5,7628,Brsc,0,50,45,0,0,5,male_Brsc
49,male,7.010041337611977e-6,1.559548563438975e-6,5.86807363454438e-6,6.314292777769174e-5,7628,Brsc,0,50,45,0,0,5,male_Brsc
