age,sex,inc,mort,ylds (years lived with disability)_rate_adaod,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
46,male,1.1776634740306553e-4,5.523588700867546e-6,5.502851383889459e-5,4.2156498714579103e-4,7628,Adaod,0,50,45,0,0,5,male_Adaod
47,male,1.1776634740306553e-4,5.523588700867546e-6,5.502851383889459e-5,4.2156498714579103e-4,7628,Adaod,0,50,45,0,0,5,male_Adaod
48,male,1.1776634740306553e-4,5.523588700867546e-6,5.502851383889459e-5,4.2156498714579103e-4,7628,Adaod,0,50,45,0,0,5,male_Adaod
49,male,1.1776634740306553e-4,5.523588700867546e-6,5.502851383889459e-5,4.2156498714579103e-4,7628,Adaod,0,50,45,0,0,5,male_Adaod
50,male,2.0350597548077803e-4,1.3294640263462254e-5,1.4953860429728913e-4,0.0011976182858768993,7605,Adaod,0,50,50,0,0,5,male_Adaod
51,male,2.0350597548077803e-4,1.3294640263462254e-5,1.4953860429728913e-4,0.0011976182858768993,7605,Adaod,0,50,50,0,0,5,male_Adaod
52,male,2.0350597548077803e-4,1.3294640263462254e-5,1.4953860429728913e-4,0.0011976182858768993,7605,Adaod,0,50,50,0,0,5,male_Adaod
53,male,2.0350597548077803e-4,1.3294640263462254e-5,1.4953860429728913e-4,0.0011976182858768993,7605,Adaod,0,50,50,0,0,5,male_Adaod
54,male,2.0350597548077803e-4,1.3294640263462254e-5,1.4953860429728913e-4,0.0011976182858768993,7605,Adaod,0,50,50,0,0,5,male_Adaod
55,male,3.824251389302763e-4,3.229712109202234e-5,3.0225674914084705e-4,0.0024880484637992348,6479,Adaod,0,50,55,0,0,5,male_Adaod
56,male,3.824251389302763e-4,3.229712109202234e-5,3.0225674914084705e-4,0.0024880484637992348,6479,Adaod,0,50,55,0,0,5,male_Adaod
57,male,3.824251389302763e-4,3.229712109202234e-5,3.0225674914084705e-4,0.0024880484637992348,6479,Adaod,0,50,55,0,0,5,male_Adaod
58,male,3.824251389302763e-4,3.229712109202234e-5,3.0225674914084705e-4,0.0024880484637992348,6479,Adaod,0,50,55,0,0,5,male_Adaod
59,male,3.824251389302763e-4,3.229712109202234e-5,3.0225674914084705e-4,0.0024880484637992348,6479,Adaod,0,50,55,0,0,5,male_Adaod
60,male,8.441611562199854e-4,9.529732929591091e-5,0.00061576565469295165,0.005130064315592749,5560,Adaod,0,50,60,0,1,5,male_Adaod
61,male,8.441611562199854e-4,9.529732929591091e-5,0.00061576565469295165,0.005130064315592749,5560,Adaod,0,50,60,0,1,5,male_Adaod
62,male,8.441611562199854e-4,9.529732929591091e-5,0.00061576565469295165,0.005130064315592749,5560,Adaod,0,50,60,0,1,5,male_Adaod
63,male,8.441611562199854e-4,9.529732929591091e-5,0.00061576565469295165,0.005130064315592749,5560,Adaod,0,50,60,0,1,5,male_Adaod
64,male,8.441611562199854e-4,9.529732929591091e-5,0.00061576565469295165,0.005130064315592749,5560,Adaod,0,50,60,0,1,5,male_Adaod
65,male,0.0019019891402481594,2.3294622248619666e-4,0.0012894008919711992,0.01087853242678262,5418,Adaod,0,50,65,1,1,5,male_Adaod
66,male,0.0019019891402481594,2.3294622248619666e-4,0.0012894008919711992,0.01087853242678262,5418,Adaod,0,50,65,1,1,5,male_Adaod
67,male,0.0019019891402481594,2.3294622248619666e-4,0.0012894008919711992,0.01087853242678262,5418,Adaod,0,50,65,1,1,5,male_Adaod
68,male,0.0019019891402481594,2.3294622248619666e-4,0.0012894008919711992,0.01087853242678262,5418,Adaod,0,50,65,1,1,5,male_Adaod
69,male,0.0019019891402481594,2.3294622248619666e-4,0.0012894008919711992,0.01087853242678262,5418,Adaod,0,50,65,1,1,5,male_Adaod
70,male,0.004585235712118072,6.34908216215866e-4,0.003304238913331639,0.024034644593573056,4800,Adaod,0,50,70,1,3,5,male_Adaod
71,male,0.004585235712118072,6.34908216215866e-4,0.003304238913331639,0.024034644593573056,4800,Adaod,0,50,70,1,3,5,male_Adaod
72,male,0.004585235712118072,6.34908216215866e-4,0.003304238913331639,0.024034644593573056,4800,Adaod,0,50,70,1,3,5,male_Adaod
73,male,0.004585235712118072,6.34908216215866e-4,0.003304238913331639,0.024034644593573056,4800,Adaod,0,50,70,1,3,5,male_Adaod
74,male,0.004585235712118072,6.34908216215866e-4,0.003304238913331639,0.024034644593573056,4800,Adaod,0,50,70,1,3,5,male_Adaod
75,male,0.010298003218261197,0.0020844808163086163,0.007223164353604956,0.0534966267277211,3332,Adaod,0,50,75,3,7,5,male_Adaod
76,male,0.010298003218261197,0.0020844808163086163,0.007223164353604956,0.0534966267277211,3332,Adaod,0,50,75,3,7,5,male_Adaod
77,male,0.010298003218261197,0.0020844808163086163,0.007223164353604956,0.0534966267277211,3332,Adaod,0,50,75,3,7,5,male_Adaod
78,male,0.010298003218261197,0.0020844808163086163,0.007223164353604956,0.0534966267277211,3332,Adaod,0,50,75,3,7,5,male_Adaod
79,male,0.010298003218261197,0.0020844808163086163,0.007223164353604956,0.0534966267277211,3332,Adaod,0,50,75,3,7,5,male_Adaod
80,male,0.018438089667975055,0.006127321402287194,0.017552174025781596,0.10724268939433922,2291,Adaod,0,20,80,2,14,5,male_Adaod
81,male,0.018438089667975055,0.006127321402287194,0.017552174025781596,0.10724268939433922,2291,Adaod,0,20,80,2,14,5,male_Adaod
82,male,0.018438089667975055,0.006127321402287194,0.017552174025781596,0.10724268939433922,2291,Adaod,0,20,80,2,14,5,male_Adaod
83,male,0.018438089667975055,0.006127321402287194,0.017552174025781596,0.10724268939433922,2291,Adaod,0,20,80,2,14,5,male_Adaod
84,male,0.018438089667975055,0.006127321402287194,0.017552174025781596,0.10724268939433922,2291,Adaod,0,20,80,2,14,5,male_Adaod
85,male,0.02721435049307569,0.01683079181181238,0.028826234145851882,0.18100076969417728,1276,Adaod,0,20,85,4,21,5,male_Adaod
86,male,0.02721435049307569,0.01683079181181238,0.028826234145851882,0.18100076969417728,1276,Adaod,0,20,85,4,21,5,male_Adaod
87,male,0.02721435049307569,0.01683079181181238,0.028826234145851882,0.18100076969417728,1276,Adaod,0,20,85,4,21,5,male_Adaod
88,male,0.02721435049307569,0.01683079181181238,0.028826234145851882,0.18100076969417728,1276,Adaod,0,20,85,4,21,5,male_Adaod
89,male,0.02721435049307569,0.01683079181181238,0.028826234145851882,0.18100076969417728,1276,Adaod,0,20,85,4,21,5,male_Adaod
90,male,0.03590699647755461,0.03538792042621234,0.03938933737842077,0.2525959936064164,506,Adaod,0,10,90,3,18,5,male_Adaod
91,male,0.03590699647755461,0.03538792042621234,0.03938933737842077,0.2525959936064164,506,Adaod,0,10,90,3,18,5,male_Adaod
92,male,0.03590699647755461,0.03538792042621234,0.03938933737842077,0.2525959936064164,506,Adaod,0,10,90,3,18,5,male_Adaod
93,male,0.03590699647755461,0.03538792042621234,0.03938933737842077,0.2525959936064164,506,Adaod,0,10,90,3,18,5,male_Adaod
94,male,0.03590699647755461,0.03538792042621234,0.03938933737842077,0.2525959936064164,506,Adaod,0,10,90,3,18,5,male_Adaod
95,male,0.043512763361434836,0.05694873510258432,0.04629839378271833,0.300337455510671,91,Adaod,0,10,95,3,5,6,male_Adaod
96,male,0.043512763361434836,0.05694873510258432,0.04629839378271833,0.300337455510671,91,Adaod,0,10,95,3,5,6,male_Adaod
97,male,0.043512763361434836,0.05694873510258432,0.04629839378271833,0.300337455510671,91,Adaod,0,10,95,3,5,6,male_Adaod
98,male,0.043512763361434836,0.05694873510258432,0.04629839378271833,0.300337455510671,91,Adaod,0,10,95,3,5,6,male_Adaod
99,male,0.043512763361434836,0.05694873510258432,0.04629839378271833,0.300337455510671,91,Adaod,0,10,95,3,5,6,male_Adaod
100,male,0.043512763361434836,0.05694873510258432,0.04629839378271833,0.300337455510671,91,Adaod,0,10,95,3,5,6,male_Adaod
