age,sex,inc,mort,ylds..years.lived.with.disability._rate_mvri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,male_Mvri
1,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,male_Mvri
2,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,male_Mvri
3,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,male_Mvri
4,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,male_Mvri
5,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,male_Mvri
6,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,male_Mvri
7,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,male_Mvri
8,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,male_Mvri
9,male,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,male_Mvri
10,male,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,male_Mvri
11,male,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,male_Mvri
12,male,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,male_Mvri
13,male,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,male_Mvri
14,male,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,male_Mvri
15,male,0.003457594051388327,3.3186291806591976e-5,1.5127421183713845e-4,0.0020184576917218833,6436,Mvri,0,50,15,0,0,5,male_Mvri
16,male,0.003457594051388327,3.3186291806591976e-5,1.5127421183713845e-4,0.0020184576917218833,6436,Mvri,0,50,15,0,0,5,male_Mvri
17,male,0.003457594051388327,3.3186291806591976e-5,1.5127421183713845e-4,0.0020184576917218833,6436,Mvri,0,50,15,0,0,5,male_Mvri
