age,sex,inc,mort,ylds..years.lived.with.disability._rate_cyri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,female_Cyri
1,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,female_Cyri
2,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,female_Cyri
3,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,female_Cyri
4,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,female_Cyri
5,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,female_Cyri
6,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,female_Cyri
7,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,female_Cyri
8,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,female_Cyri
9,female,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,female_Cyri
10,female,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,female_Cyri
11,female,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,female_Cyri
12,female,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,female_Cyri
13,female,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,female_Cyri
14,female,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,female_Cyri
15,female,0.002654069616391711,1.440465226739481e-6,1.2455046825553801e-4,0.0023300692452988543,6338,Cyri,0,50,15,0,0,5,female_Cyri
16,female,0.002654069616391711,1.440465226739481e-6,1.2455046825553801e-4,0.0023300692452988543,6338,Cyri,0,50,15,0,0,5,female_Cyri
17,female,0.002654069616391711,1.440465226739481e-6,1.2455046825553801e-4,0.0023300692452988543,6338,Cyri,0,50,15,0,0,5,female_Cyri
18,female,0.002654069616391711,1.440465226739481e-6,1.2455046825553801e-4,0.0023300692452988543,6338,Cyri,0,50,15,0,0,5,female_Cyri
19,female,0.002654069616391711,1.440465226739481e-6,1.2455046825553801e-4,0.0023300692452988543,6338,Cyri,0,50,15,0,0,5,female_Cyri
20,female,0.002016421673730071,9.675937770155437e-7,1.6495708147208757e-4,0.003211518483170116,7828,Cyri,0,50,20,0,0,5,female_Cyri
21,female,0.002016421673730071,9.675937770155437e-7,1.6495708147208757e-4,0.003211518483170116,7828,Cyri,0,50,20,0,0,5,female_Cyri
22,female,0.002016421673730071,9.675937770155437e-7,1.6495708147208757e-4,0.003211518483170116,7828,Cyri,0,50,20,0,0,5,female_Cyri
23,female,0.002016421673730071,9.675937770155437e-7,1.6495708147208757e-4,0.003211518483170116,7828,Cyri,0,50,20,0,0,5,female_Cyri
24,female,0.002016421673730071,9.675937770155437e-7,1.6495708147208757e-4,0.003211518483170116,7828,Cyri,0,50,20,0,0,5,female_Cyri
25,female,0.0016286806505732515,7.300669272525019e-7,2.0077706780079966e-4,0.0039628914934016655,8833,Cyri,0,50,25,0,0,5,female_Cyri
26,female,0.0016286806505732515,7.300669272525019e-7,2.0077706780079966e-4,0.0039628914934016655,8833,Cyri,0,50,25,0,0,5,female_Cyri
27,female,0.0016286806505732515,7.300669272525019e-7,2.0077706780079966e-4,0.0039628914934016655,8833,Cyri,0,50,25,0,0,5,female_Cyri
28,female,0.0016286806505732515,7.300669272525019e-7,2.0077706780079966e-4,0.0039628914934016655,8833,Cyri,0,50,25,0,0,5,female_Cyri
29,female,0.0016286806505732515,7.300669272525019e-7,2.0077706780079966e-4,0.0039628914934016655,8833,Cyri,0,50,25,0,0,5,female_Cyri
30,female,0.0014827661900579392,5.570236818716201e-7,2.33682925986942e-4,0.00468145476176916,7963,Cyri,0,50,30,0,0,5,female_Cyri
31,female,0.0014827661900579392,5.570236818716201e-7,2.33682925986942e-4,0.00468145476176916,7963,Cyri,0,50,30,0,0,5,female_Cyri
32,female,0.0014827661900579392,5.570236818716201e-7,2.33682925986942e-4,0.00468145476176916,7963,Cyri,0,50,30,0,0,5,female_Cyri
33,female,0.0014827661900579392,5.570236818716201e-7,2.33682925986942e-4,0.00468145476176916,7963,Cyri,0,50,30,0,0,5,female_Cyri
34,female,0.0014827661900579392,5.570236818716201e-7,2.33682925986942e-4,0.00468145476176916,7963,Cyri,0,50,30,0,0,5,female_Cyri
35,female,0.001429619703298796,6.425133721131423e-7,2.6819795095436736e-4,0.0053572000249242965,7482,Cyri,0,50,35,0,0,5,female_Cyri
36,female,0.001429619703298796,6.425133721131423e-7,2.6819795095436736e-4,0.0053572000249242965,7482,Cyri,0,50,35,0,0,5,female_Cyri
37,female,0.001429619703298796,6.425133721131423e-7,2.6819795095436736e-4,0.0053572000249242965,7482,Cyri,0,50,35,0,0,5,female_Cyri
38,female,0.001429619703298796,6.425133721131423e-7,2.6819795095436736e-4,0.0053572000249242965,7482,Cyri,0,50,35,0,0,5,female_Cyri
39,female,0.001429619703298796,6.425133721131423e-7,2.6819795095436736e-4,0.0053572000249242965,7482,Cyri,0,50,35,0,0,5,female_Cyri
40,female,0.0014061042398911673,6.021404459075051e-7,3.0553623430117175e-4,0.006082900724579681,6901,Cyri,0,50,40,0,0,5,female_Cyri
41,female,0.0014061042398911673,6.021404459075051e-7,3.0553623430117175e-4,0.006082900724579681,6901,Cyri,0,50,40,0,0,5,female_Cyri
42,female,0.0014061042398911673,6.021404459075051e-7,3.0553623430117175e-4,0.006082900724579681,6901,Cyri,0,50,40,0,0,5,female_Cyri
43,female,0.0014061042398911673,6.021404459075051e-7,3.0553623430117175e-4,0.006082900724579681,6901,Cyri,0,50,40,0,0,5,female_Cyri
44,female,0.0014061042398911673,6.021404459075051e-7,3.0553623430117175e-4,0.006082900724579681,6901,Cyri,0,50,40,0,0,5,female_Cyri
45,female,0.0014725775568130055,7.487389284205881e-7,3.472740850067312e-4,0.006901138830344682,7531,Cyri,0,50,45,0,0,5,female_Cyri
46,female,0.0014725775568130055,7.487389284205881e-7,3.472740850067312e-4,0.006901138830344682,7531,Cyri,0,50,45,0,0,5,female_Cyri
47,female,0.0014725775568130055,7.487389284205881e-7,3.472740850067312e-4,0.006901138830344682,7531,Cyri,0,50,45,0,0,5,female_Cyri
48,female,0.0014725775568130055,7.487389284205881e-7,3.472740850067312e-4,0.006901138830344682,7531,Cyri,0,50,45,0,0,5,female_Cyri
49,female,0.0014725775568130055,7.487389284205881e-7,3.472740850067312e-4,0.006901138830344682,7531,Cyri,0,50,45,0,0,5,female_Cyri
50,female,0.0016723140412518557,8.800119290749731e-7,3.9531631771544173e-4,0.007852179028422389,7629,Cyri,0,50,50,0,0,5,female_Cyri
51,female,0.0016723140412518557,8.800119290749731e-7,3.9531631771544173e-4,0.007852179028422389,7629,Cyri,0,50,50,0,0,5,female_Cyri
52,female,0.0016723140412518557,8.800119290749731e-7,3.9531631771544173e-4,0.007852179028422389,7629,Cyri,0,50,50,0,0,5,female_Cyri
53,female,0.0016723140412518557,8.800119290749731e-7,3.9531631771544173e-4,0.007852179028422389,7629,Cyri,0,50,50,0,0,5,female_Cyri
54,female,0.0016723140412518557,8.800119290749731e-7,3.9531631771544173e-4,0.007852179028422389,7629,Cyri,0,50,50,0,0,5,female_Cyri
55,female,0.0017402013389244773,9.044282547700835e-7,4.5246618655989476e-4,0.008964076906472777,6580,Cyri,0,50,55,0,0,5,female_Cyri
56,female,0.0017402013389244773,9.044282547700835e-7,4.5246618655989476e-4,0.008964076906472777,6580,Cyri,0,50,55,0,0,5,female_Cyri
57,female,0.0017402013389244773,9.044282547700835e-7,4.5246618655989476e-4,0.008964076906472777,6580,Cyri,0,50,55,0,0,5,female_Cyri
58,female,0.0017402013389244773,9.044282547700835e-7,4.5246618655989476e-4,0.008964076906472777,6580,Cyri,0,50,55,0,0,5,female_Cyri
59,female,0.0017402013389244773,9.044282547700835e-7,4.5246618655989476e-4,0.008964076906472777,6580,Cyri,0,50,55,0,0,5,female_Cyri
60,female,0.001625562270965557,9.369307164069882e-7,5.121748566585215e-4,0.01021679725208343,5725,Cyri,0,50,60,1,0,5,female_Cyri
61,female,0.001625562270965557,9.369307164069882e-7,5.121748566585215e-4,0.01021679725208343,5725,Cyri,0,50,60,1,0,5,female_Cyri
62,female,0.001625562270965557,9.369307164069882e-7,5.121748566585215e-4,0.01021679725208343,5725,Cyri,0,50,60,1,0,5,female_Cyri
63,female,0.001625562270965557,9.369307164069882e-7,5.121748566585215e-4,0.01021679725208343,5725,Cyri,0,50,60,1,0,5,female_Cyri
64,female,0.001625562270965557,9.369307164069882e-7,5.121748566585215e-4,0.01021679725208343,5725,Cyri,0,50,60,1,0,5,female_Cyri
65,female,0.0015490442214238672,9.738154451863696e-7,5.486221142718723e-4,0.011088306446110249,5670,Cyri,0,50,65,1,0,5,female_Cyri
66,female,0.0015490442214238672,9.738154451863696e-7,5.486221142718723e-4,0.011088306446110249,5670,Cyri,0,50,65,1,0,5,female_Cyri
67,female,0.0015490442214238672,9.738154451863696e-7,5.486221142718723e-4,0.011088306446110249,5670,Cyri,0,50,65,1,0,5,female_Cyri
68,female,0.0015490442214238672,9.738154451863696e-7,5.486221142718723e-4,0.011088306446110249,5670,Cyri,0,50,65,1,0,5,female_Cyri
69,female,0.0015490442214238672,9.738154451863696e-7,5.486221142718723e-4,0.011088306446110249,5670,Cyri,0,50,65,1,0,5,female_Cyri
