age,sex,inc,mort,ylds..years.lived.with.disability._rate_allc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,female_Allc
1,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,female_Allc
2,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,female_Allc
3,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,female_Allc
4,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,female_Allc
5,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,female_Allc
6,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,female_Allc
7,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,female_Allc
8,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,female_Allc
9,female,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,female_Allc
10,female,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,female_Allc
11,female,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,female_Allc
12,female,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,female_Allc
13,female,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,female_Allc
14,female,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,female_Allc
15,female,5.4774720098795235,1.9041980853822752e-4,0.09151320966601438,0.950316165296294,6338,Allc,0,50,15,48,1,5,female_Allc
16,female,5.4774720098795235,1.9041980853822752e-4,0.09151320966601438,0.950316165296294,6338,Allc,0,50,15,48,1,5,female_Allc
17,female,5.4774720098795235,1.9041980853822752e-4,0.09151320966601438,0.950316165296294,6338,Allc,0,50,15,48,1,5,female_Allc
18,female,5.4774720098795235,1.9041980853822752e-4,0.09151320966601438,0.950316165296294,6338,Allc,0,50,15,48,1,5,female_Allc
19,female,5.4774720098795235,1.9041980853822752e-4,0.09151320966601438,0.950316165296294,6338,Allc,0,50,15,48,1,5,female_Allc
20,female,5.751923257524711,1.9479972648326293e-4,0.11433794590372379,0.9753837953693966,7828,Allc,0,50,20,49,2,5,female_Allc
21,female,5.751923257524711,1.9479972648326293e-4,0.11433794590372379,0.9753837953693966,7828,Allc,0,50,20,49,2,5,female_Allc
22,female,5.751923257524711,1.9479972648326293e-4,0.11433794590372379,0.9753837953693966,7828,Allc,0,50,20,49,2,5,female_Allc
23,female,5.751923257524711,1.9479972648326293e-4,0.11433794590372379,0.9753837953693966,7828,Allc,0,50,20,49,2,5,female_Allc
24,female,5.751923257524711,1.9479972648326293e-4,0.11433794590372379,0.9753837953693966,7828,Allc,0,50,20,49,2,5,female_Allc
25,female,5.7789781184556,2.471737022807852e-4,0.12954449889313807,0.9865228767711501,8833,Allc,0,50,25,49,2,5,female_Allc
26,female,5.7789781184556,2.471737022807852e-4,0.12954449889313807,0.9865228767711501,8833,Allc,0,50,25,49,2,5,female_Allc
27,female,5.7789781184556,2.471737022807852e-4,0.12954449889313807,0.9865228767711501,8833,Allc,0,50,25,49,2,5,female_Allc
28,female,5.7789781184556,2.471737022807852e-4,0.12954449889313807,0.9865228767711501,8833,Allc,0,50,25,49,2,5,female_Allc
29,female,5.7789781184556,2.471737022807852e-4,0.12954449889313807,0.9865228767711501,8833,Allc,0,50,25,49,2,5,female_Allc
30,female,5.608871894106647,3.4333868061021716e-4,0.13737604219666302,0.9899010686895966,7963,Allc,0,50,30,49,3,5,female_Allc
31,female,5.608871894106647,3.4333868061021716e-4,0.13737604219666302,0.9899010686895966,7963,Allc,0,50,30,49,3,5,female_Allc
32,female,5.608871894106647,3.4333868061021716e-4,0.13737604219666302,0.9899010686895966,7963,Allc,0,50,30,49,3,5,female_Allc
33,female,5.608871894106647,3.4333868061021716e-4,0.13737604219666302,0.9899010686895966,7963,Allc,0,50,30,49,3,5,female_Allc
34,female,5.608871894106647,3.4333868061021716e-4,0.13737604219666302,0.9899010686895966,7963,Allc,0,50,30,49,3,5,female_Allc
35,female,5.43529452143271,5.982458972925622e-4,0.14794692259804457,0.9923206664209754,7482,Allc,0,50,35,50,4,5,female_Allc
36,female,5.43529452143271,5.982458972925622e-4,0.14794692259804457,0.9923206664209754,7482,Allc,0,50,35,50,4,5,female_Allc
37,female,5.43529452143271,5.982458972925622e-4,0.14794692259804457,0.9923206664209754,7482,Allc,0,50,35,50,4,5,female_Allc
38,female,5.43529452143271,5.982458972925622e-4,0.14794692259804457,0.9923206664209754,7482,Allc,0,50,35,50,4,5,female_Allc
39,female,5.43529452143271,5.982458972925622e-4,0.14794692259804457,0.9923206664209754,7482,Allc,0,50,35,50,4,5,female_Allc
40,female,5.169583575510932,8.844956528051418e-4,0.15665191948715035,0.9941986492963156,6901,Allc,0,50,40,50,6,5,female_Allc
41,female,5.169583575510932,8.844956528051418e-4,0.15665191948715035,0.9941986492963156,6901,Allc,0,50,40,50,6,5,female_Allc
42,female,5.169583575510932,8.844956528051418e-4,0.15665191948715035,0.9941986492963156,6901,Allc,0,50,40,50,6,5,female_Allc
43,female,5.169583575510932,8.844956528051418e-4,0.15665191948715035,0.9941986492963156,6901,Allc,0,50,40,50,6,5,female_Allc
44,female,5.169583575510932,8.844956528051418e-4,0.15665191948715035,0.9941986492963156,6901,Allc,0,50,40,50,6,5,female_Allc
45,female,4.817317212910396,0.0015203220790051806,0.16413918425129223,0.9946631998483229,7531,Allc,0,50,45,50,11,5,female_Allc
46,female,4.817317212910396,0.0015203220790051806,0.16413918425129223,0.9946631998483229,7531,Allc,0,50,45,50,11,5,female_Allc
47,female,4.817317212910396,0.0015203220790051806,0.16413918425129223,0.9946631998483229,7531,Allc,0,50,45,50,11,5,female_Allc
48,female,4.817317212910396,0.0015203220790051806,0.16413918425129223,0.9946631998483229,7531,Allc,0,50,45,50,11,5,female_Allc
49,female,4.817317212910396,0.0015203220790051806,0.16413918425129223,0.9946631998483229,7531,Allc,0,50,45,50,11,5,female_Allc
50,female,4.586434482691368,0.002312932555575431,0.16908403532689573,0.994604708424215,7629,Allc,0,50,50,50,18,5,female_Allc
51,female,4.586434482691368,0.002312932555575431,0.16908403532689573,0.994604708424215,7629,Allc,0,50,50,50,18,5,female_Allc
52,female,4.586434482691368,0.002312932555575431,0.16908403532689573,0.994604708424215,7629,Allc,0,50,50,50,18,5,female_Allc
53,female,4.586434482691368,0.002312932555575431,0.16908403532689573,0.994604708424215,7629,Allc,0,50,50,50,18,5,female_Allc
54,female,4.586434482691368,0.002312932555575431,0.16908403532689573,0.994604708424215,7629,Allc,0,50,50,50,18,5,female_Allc
