age,sex,inc,mort,ylds..years.lived.with.disability._rate_crdd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
54,male,0.01667837816089468,8.326327306262874e-4,0.004236733499993189,0.09622777062544971,7605,Crdd,0,50,50,5,6,5,male_Crdd
55,male,0.02725109758730056,0.0012734701771494248,0.0067848095960749595,0.15409568393680623,6479,Crdd,0,50,55,8,8,5,male_Crdd
56,male,0.02725109758730056,0.0012734701771494248,0.0067848095960749595,0.15409568393680623,6479,Crdd,0,50,55,8,8,5,male_Crdd
57,male,0.02725109758730056,0.0012734701771494248,0.0067848095960749595,0.15409568393680623,6479,Crdd,0,50,55,8,8,5,male_Crdd
58,male,0.02725109758730056,0.0012734701771494248,0.0067848095960749595,0.15409568393680623,6479,Crdd,0,50,55,8,8,5,male_Crdd
59,male,0.02725109758730056,0.0012734701771494248,0.0067848095960749595,0.15409568393680623,6479,Crdd,0,50,55,8,8,5,male_Crdd
60,male,0.04154440120533345,0.002184666605668042,0.010580975302753955,0.23395707742811492,5560,Crdd,0,50,60,12,12,5,male_Crdd
61,male,0.04154440120533345,0.002184666605668042,0.010580975302753955,0.23395707742811492,5560,Crdd,0,50,60,12,12,5,male_Crdd
62,male,0.04154440120533345,0.002184666605668042,0.010580975302753955,0.23395707742811492,5560,Crdd,0,50,60,12,12,5,male_Crdd
63,male,0.04154440120533345,0.002184666605668042,0.010580975302753955,0.23395707742811492,5560,Crdd,0,50,60,12,12,5,male_Crdd
64,male,0.04154440120533345,0.002184666605668042,0.010580975302753955,0.23395707742811492,5560,Crdd,0,50,60,12,12,5,male_Crdd
65,male,0.06133273924840992,0.003430645492272926,0.015185653360009885,0.32831944512019656,5418,Crdd,0,50,65,16,19,5,male_Crdd
66,male,0.06133273924840992,0.003430645492272926,0.015185653360009885,0.32831944512019656,5418,Crdd,0,50,65,16,19,5,male_Crdd
67,male,0.06133273924840992,0.003430645492272926,0.015185653360009885,0.32831944512019656,5418,Crdd,0,50,65,16,19,5,male_Crdd
68,male,0.06133273924840992,0.003430645492272926,0.015185653360009885,0.32831944512019656,5418,Crdd,0,50,65,16,19,5,male_Crdd
69,male,0.06133273924840992,0.003430645492272926,0.015185653360009885,0.32831944512019656,5418,Crdd,0,50,65,16,19,5,male_Crdd
70,male,0.08644667144525513,0.005778234613958902,0.021785479581983583,0.42651623160385055,4800,Crdd,0,50,70,21,28,5,male_Crdd
71,male,0.08644667144525513,0.005778234613958902,0.021785479581983583,0.42651623160385055,4800,Crdd,0,50,70,21,28,5,male_Crdd
72,male,0.08644667144525513,0.005778234613958902,0.021785479581983583,0.42651623160385055,4800,Crdd,0,50,70,21,28,5,male_Crdd
73,male,0.08644667144525513,0.005778234613958902,0.021785479581983583,0.42651623160385055,4800,Crdd,0,50,70,21,28,5,male_Crdd
74,male,0.08644667144525513,0.005778234613958902,0.021785479581983583,0.42651623160385055,4800,Crdd,0,50,70,21,28,5,male_Crdd
75,male,0.11941224050329058,0.010458268311217085,0.02868887787660459,0.5093803107951866,3332,Crdd,0,50,75,25,35,5,male_Crdd
76,male,0.11941224050329058,0.010458268311217085,0.02868887787660459,0.5093803107951866,3332,Crdd,0,50,75,25,35,5,male_Crdd
77,male,0.11941224050329058,0.010458268311217085,0.02868887787660459,0.5093803107951866,3332,Crdd,0,50,75,25,35,5,male_Crdd
78,male,0.11941224050329058,0.010458268311217085,0.02868887787660459,0.5093803107951866,3332,Crdd,0,50,75,25,35,5,male_Crdd
79,male,0.11941224050329058,0.010458268311217085,0.02868887787660459,0.5093803107951866,3332,Crdd,0,50,75,25,35,5,male_Crdd
80,male,0.15859500668274237,0.02050560089611643,0.03566355813566952,0.5653623281478449,2291,Crdd,0,20,80,11,46,5,male_Crdd
81,male,0.15859500668274237,0.02050560089611643,0.03566355813566952,0.5653623281478449,2291,Crdd,0,20,80,11,46,5,male_Crdd
82,male,0.15859500668274237,0.02050560089611643,0.03566355813566952,0.5653623281478449,2291,Crdd,0,20,80,11,46,5,male_Crdd
83,male,0.15859500668274237,0.02050560089611643,0.03566355813566952,0.5653623281478449,2291,Crdd,0,20,80,11,46,5,male_Crdd
84,male,0.15859500668274237,0.02050560089611643,0.03566355813566952,0.5653623281478449,2291,Crdd,0,20,80,11,46,5,male_Crdd
85,male,0.19759594972926647,0.04241971551542009,0.0405215459053916,0.5852777750006185,1276,Crdd,0,20,85,12,53,5,male_Crdd
86,male,0.19759594972926647,0.04241971551542009,0.0405215459053916,0.5852777750006185,1276,Crdd,0,20,85,12,53,5,male_Crdd
87,male,0.19759594972926647,0.04241971551542009,0.0405215459053916,0.5852777750006185,1276,Crdd,0,20,85,12,53,5,male_Crdd
88,male,0.19759594972926647,0.04241971551542009,0.0405215459053916,0.5852777750006185,1276,Crdd,0,20,85,12,53,5,male_Crdd
89,male,0.19759594972926647,0.04241971551542009,0.0405215459053916,0.5852777750006185,1276,Crdd,0,20,85,12,53,5,male_Crdd
90,male,0.2349312867311021,0.06888991677510024,0.043351867273001825,0.574405156305787,506,Crdd,0,10,90,6,34,5,male_Crdd
91,male,0.2349312867311021,0.06888991677510024,0.043351867273001825,0.574405156305787,506,Crdd,0,10,90,6,34,5,male_Crdd
92,male,0.2349312867311021,0.06888991677510024,0.043351867273001825,0.574405156305787,506,Crdd,0,10,90,6,34,5,male_Crdd
93,male,0.2349312867311021,0.06888991677510024,0.043351867273001825,0.574405156305787,506,Crdd,0,10,90,6,34,5,male_Crdd
94,male,0.2349312867311021,0.06888991677510024,0.043351867273001825,0.574405156305787,506,Crdd,0,10,90,6,34,5,male_Crdd
95,male,0.26973100927823457,0.11438333307831342,0.04630813728295626,0.5327053863858954,91,Crdd,0,10,95,5,10,6,male_Crdd
96,male,0.26973100927823457,0.11438333307831342,0.04630813728295626,0.5327053863858954,91,Crdd,0,10,95,5,10,6,male_Crdd
97,male,0.26973100927823457,0.11438333307831342,0.04630813728295626,0.5327053863858954,91,Crdd,0,10,95,5,10,6,male_Crdd
98,male,0.26973100927823457,0.11438333307831342,0.04630813728295626,0.5327053863858954,91,Crdd,0,10,95,5,10,6,male_Crdd
99,male,0.26973100927823457,0.11438333307831342,0.04630813728295626,0.5327053863858954,91,Crdd,0,10,95,5,10,6,male_Crdd
100,male,0.26973100927823457,0.11438333307831342,0.04630813728295626,0.5327053863858954,91,Crdd,0,10,95,5,10,6,male_Crdd
