age,sex,inc,mort,ylds..years.lived.with.disability._rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
51,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,Iscs,0,50,50,0,0,5,male_Iscs
52,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,Iscs,0,50,50,0,0,5,male_Iscs
53,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,Iscs,0,50,50,0,0,5,male_Iscs
54,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,Iscs,0,50,50,0,0,5,male_Iscs
55,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,Iscs,0,50,55,1,0,5,male_Iscs
56,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,Iscs,0,50,55,1,0,5,male_Iscs
57,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,Iscs,0,50,55,1,0,5,male_Iscs
58,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,Iscs,0,50,55,1,0,5,male_Iscs
59,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,Iscs,0,50,55,1,0,5,male_Iscs
60,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,Iscs,0,50,60,1,1,5,male_Iscs
61,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,Iscs,0,50,60,1,1,5,male_Iscs
62,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,Iscs,0,50,60,1,1,5,male_Iscs
63,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,Iscs,0,50,60,1,1,5,male_Iscs
64,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,Iscs,0,50,60,1,1,5,male_Iscs
65,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,Iscs,0,50,65,2,1,5,male_Iscs
66,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,Iscs,0,50,65,2,1,5,male_Iscs
67,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,Iscs,0,50,65,2,1,5,male_Iscs
