age,sex,inc,mort,ylds..years.lived.with.disability._rate_pdri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
27,male,8.752547638831622e-4,7.636846050160668e-6,1.5788384655450455e-4,0.0028259424646629775,9023,Pdri,0,50,25,0,0,5,male_Pdri
28,male,8.752547638831622e-4,7.636846050160668e-6,1.5788384655450455e-4,0.0028259424646629775,9023,Pdri,0,50,25,0,0,5,male_Pdri
29,male,8.752547638831622e-4,7.636846050160668e-6,1.5788384655450455e-4,0.0028259424646629775,9023,Pdri,0,50,25,0,0,5,male_Pdri
30,male,7.567050301469004e-4,7.040111608461265e-6,1.8518096840985712e-4,0.0034139626661731774,8448,Pdri,0,50,30,0,0,5,male_Pdri
31,male,7.567050301469004e-4,7.040111608461265e-6,1.8518096840985712e-4,0.0034139626661731774,8448,Pdri,0,50,30,0,0,5,male_Pdri
32,male,7.567050301469004e-4,7.040111608461265e-6,1.8518096840985712e-4,0.0034139626661731774,8448,Pdri,0,50,30,0,0,5,male_Pdri
33,male,7.567050301469004e-4,7.040111608461265e-6,1.8518096840985712e-4,0.0034139626661731774,8448,Pdri,0,50,30,0,0,5,male_Pdri
34,male,7.567050301469004e-4,7.040111608461265e-6,1.8518096840985712e-4,0.0034139626661731774,8448,Pdri,0,50,30,0,0,5,male_Pdri
35,male,6.9546115383811e-4,6.931780950105396e-6,2.1017415862719998e-4,0.0039014718488320985,7997,Pdri,0,50,35,0,0,5,male_Pdri
36,male,6.9546115383811e-4,6.931780950105396e-6,2.1017415862719998e-4,0.0039014718488320985,7997,Pdri,0,50,35,0,0,5,male_Pdri
37,male,6.9546115383811e-4,6.931780950105396e-6,2.1017415862719998e-4,0.0039014718488320985,7997,Pdri,0,50,35,0,0,5,male_Pdri
38,male,6.9546115383811e-4,6.931780950105396e-6,2.1017415862719998e-4,0.0039014718488320985,7997,Pdri,0,50,35,0,0,5,male_Pdri
39,male,6.9546115383811e-4,6.931780950105396e-6,2.1017415862719998e-4,0.0039014718488320985,7997,Pdri,0,50,35,0,0,5,male_Pdri
40,male,6.314091039410558e-4,8.816885204276936e-6,2.3659122596168705e-4,0.004436207088608448,7179,Pdri,0,50,40,0,0,5,male_Pdri
41,male,6.314091039410558e-4,8.816885204276936e-6,2.3659122596168705e-4,0.004436207088608448,7179,Pdri,0,50,40,0,0,5,male_Pdri
42,male,6.314091039410558e-4,8.816885204276936e-6,2.3659122596168705e-4,0.004436207088608448,7179,Pdri,0,50,40,0,0,5,male_Pdri
43,male,6.314091039410558e-4,8.816885204276936e-6,2.3659122596168705e-4,0.004436207088608448,7179,Pdri,0,50,40,0,0,5,male_Pdri
44,male,6.314091039410558e-4,8.816885204276936e-6,2.3659122596168705e-4,0.004436207088608448,7179,Pdri,0,50,40,0,0,5,male_Pdri
45,male,5.804611302768649e-4,9.895238320485362e-6,2.6127134473212944e-4,0.004923701229462383,7628,Pdri,0,50,45,0,0,5,male_Pdri
46,male,5.804611302768649e-4,9.895238320485362e-6,2.6127134473212944e-4,0.004923701229462383,7628,Pdri,0,50,45,0,0,5,male_Pdri
47,male,5.804611302768649e-4,9.895238320485362e-6,2.6127134473212944e-4,0.004923701229462383,7628,Pdri,0,50,45,0,0,5,male_Pdri
48,male,5.804611302768649e-4,9.895238320485362e-6,2.6127134473212944e-4,0.004923701229462383,7628,Pdri,0,50,45,0,0,5,male_Pdri
49,male,5.804611302768649e-4,9.895238320485362e-6,2.6127134473212944e-4,0.004923701229462383,7628,Pdri,0,50,45,0,0,5,male_Pdri
50,male,5.201195073040603e-4,9.720900893932528e-6,2.825725183130541e-4,0.005392841804654519,7605,Pdri,0,50,50,0,0,5,male_Pdri
51,male,5.201195073040603e-4,9.720900893932528e-6,2.825725183130541e-4,0.005392841804654519,7605,Pdri,0,50,50,0,0,5,male_Pdri
52,male,5.201195073040603e-4,9.720900893932528e-6,2.825725183130541e-4,0.005392841804654519,7605,Pdri,0,50,50,0,0,5,male_Pdri
53,male,5.201195073040603e-4,9.720900893932528e-6,2.825725183130541e-4,0.005392841804654519,7605,Pdri,0,50,50,0,0,5,male_Pdri
54,male,5.201195073040603e-4,9.720900893932528e-6,2.825725183130541e-4,0.005392841804654519,7605,Pdri,0,50,50,0,0,5,male_Pdri
55,male,4.187370060307199e-4,9.604783275919688e-6,3.018338328527563e-4,0.005849764169250289,6479,Pdri,0,50,55,0,0,5,male_Pdri
56,male,4.187370060307199e-4,9.604783275919688e-6,3.018338328527563e-4,0.005849764169250289,6479,Pdri,0,50,55,0,0,5,male_Pdri
57,male,4.187370060307199e-4,9.604783275919688e-6,3.018338328527563e-4,0.005849764169250289,6479,Pdri,0,50,55,0,0,5,male_Pdri
58,male,4.187370060307199e-4,9.604783275919688e-6,3.018338328527563e-4,0.005849764169250289,6479,Pdri,0,50,55,0,0,5,male_Pdri
59,male,4.187370060307199e-4,9.604783275919688e-6,3.018338328527563e-4,0.005849764169250289,6479,Pdri,0,50,55,0,0,5,male_Pdri
60,male,3.411786167130989e-4,1.3490408213702051e-5,3.1418884794005315e-4,0.006213764739725803,5560,Pdri,0,50,60,0,0,5,male_Pdri
61,male,3.411786167130989e-4,1.3490408213702051e-5,3.1418884794005315e-4,0.006213764739725803,5560,Pdri,0,50,60,0,0,5,male_Pdri
62,male,3.411786167130989e-4,1.3490408213702051e-5,3.1418884794005315e-4,0.006213764739725803,5560,Pdri,0,50,60,0,0,5,male_Pdri
63,male,3.411786167130989e-4,1.3490408213702051e-5,3.1418884794005315e-4,0.006213764739725803,5560,Pdri,0,50,60,0,0,5,male_Pdri
64,male,3.411786167130989e-4,1.3490408213702051e-5,3.1418884794005315e-4,0.006213764739725803,5560,Pdri,0,50,60,0,0,5,male_Pdri
65,male,3.0084751926679024e-4,1.538545952290481e-5,3.2114652535352887e-4,0.00651017890362592,5418,Pdri,0,50,65,0,0,5,male_Pdri
66,male,3.0084751926679024e-4,1.538545952290481e-5,3.2114652535352887e-4,0.00651017890362592,5418,Pdri,0,50,65,0,0,5,male_Pdri
67,male,3.0084751926679024e-4,1.538545952290481e-5,3.2114652535352887e-4,0.00651017890362592,5418,Pdri,0,50,65,0,0,5,male_Pdri
68,male,3.0084751926679024e-4,1.538545952290481e-5,3.2114652535352887e-4,0.00651017890362592,5418,Pdri,0,50,65,0,0,5,male_Pdri
69,male,3.0084751926679024e-4,1.538545952290481e-5,3.2114652535352887e-4,0.00651017890362592,5418,Pdri,0,50,65,0,0,5,male_Pdri
70,male,3.106209739596058e-4,2.0050434940591484e-5,3.2317811836588364e-4,0.0067671735308940835,4800,Pdri,0,50,70,0,0,5,male_Pdri
71,male,3.106209739596058e-4,2.0050434940591484e-5,3.2317811836588364e-4,0.0067671735308940835,4800,Pdri,0,50,70,0,0,5,male_Pdri
72,male,3.106209739596058e-4,2.0050434940591484e-5,3.2317811836588364e-4,0.0067671735308940835,4800,Pdri,0,50,70,0,0,5,male_Pdri
73,male,3.106209739596058e-4,2.0050434940591484e-5,3.2317811836588364e-4,0.0067671735308940835,4800,Pdri,0,50,70,0,0,5,male_Pdri
74,male,3.106209739596058e-4,2.0050434940591484e-5,3.2317811836588364e-4,0.0067671735308940835,4800,Pdri,0,50,70,0,0,5,male_Pdri
75,male,4.2666041577975886e-4,3.364354943482202e-5,3.270353448809909e-4,0.007141169364306999,3332,Pdri,0,50,75,0,0,5,male_Pdri
76,male,4.2666041577975886e-4,3.364354943482202e-5,3.270353448809909e-4,0.007141169364306999,3332,Pdri,0,50,75,0,0,5,male_Pdri
77,male,4.2666041577975886e-4,3.364354943482202e-5,3.270353448809909e-4,0.007141169364306999,3332,Pdri,0,50,75,0,0,5,male_Pdri
78,male,4.2666041577975886e-4,3.364354943482202e-5,3.270353448809909e-4,0.007141169364306999,3332,Pdri,0,50,75,0,0,5,male_Pdri
79,male,4.2666041577975886e-4,3.364354943482202e-5,3.270353448809909e-4,0.007141169364306999,3332,Pdri,0,50,75,0,0,5,male_Pdri
80,male,6.359618163488868e-4,5.41555447442475e-5,3.332519301451196e-4,0.007650700888470038,2291,Pdri,0,20,80,0,0,5,male_Pdri
81,male,6.359618163488868e-4,5.41555447442475e-5,3.332519301451196e-4,0.007650700888470038,2291,Pdri,0,20,80,0,0,5,male_Pdri
82,male,6.359618163488868e-4,5.41555447442475e-5,3.332519301451196e-4,0.007650700888470038,2291,Pdri,0,20,80,0,0,5,male_Pdri
83,male,6.359618163488868e-4,5.41555447442475e-5,3.332519301451196e-4,0.007650700888470038,2291,Pdri,0,20,80,0,0,5,male_Pdri
84,male,6.359618163488868e-4,5.41555447442475e-5,3.332519301451196e-4,0.007650700888470038,2291,Pdri,0,20,80,0,0,5,male_Pdri
85,male,8.502475505933863e-4,9.106097805462935e-5,3.420984720407295e-4,0.008404484223581626,1276,Pdri,0,20,85,0,0,5,male_Pdri
86,male,8.502475505933863e-4,9.106097805462935e-5,3.420984720407295e-4,0.008404484223581626,1276,Pdri,0,20,85,0,0,5,male_Pdri
87,male,8.502475505933863e-4,9.106097805462935e-5,3.420984720407295e-4,0.008404484223581626,1276,Pdri,0,20,85,0,0,5,male_Pdri
88,male,8.502475505933863e-4,9.106097805462935e-5,3.420984720407295e-4,0.008404484223581626,1276,Pdri,0,20,85,0,0,5,male_Pdri
89,male,8.502475505933863e-4,9.106097805462935e-5,3.420984720407295e-4,0.008404484223581626,1276,Pdri,0,20,85,0,0,5,male_Pdri
90,male,0.0011476986674034322,1.1336449473028588e-4,3.7149415443535653e-4,0.009550300533930382,506,Pdri,0,10,90,0,0,5,male_Pdri
91,male,0.0011476986674034322,1.1336449473028588e-4,3.7149415443535653e-4,0.009550300533930382,506,Pdri,0,10,90,0,0,5,male_Pdri
92,male,0.0011476986674034322,1.1336449473028588e-4,3.7149415443535653e-4,0.009550300533930382,506,Pdri,0,10,90,0,0,5,male_Pdri
93,male,0.0011476986674034322,1.1336449473028588e-4,3.7149415443535653e-4,0.009550300533930382,506,Pdri,0,10,90,0,0,5,male_Pdri
94,male,0.0011476986674034322,1.1336449473028588e-4,3.7149415443535653e-4,0.009550300533930382,506,Pdri,0,10,90,0,0,5,male_Pdri
95,male,0.0015233599988115402,1.62150482153875e-4,4.309669526717051e-4,0.011182070016846428,91,Pdri,0,10,95,0,0,6,male_Pdri
96,male,0.0015233599988115402,1.62150482153875e-4,4.309669526717051e-4,0.011182070016846428,91,Pdri,0,10,95,0,0,6,male_Pdri
97,male,0.0015233599988115402,1.62150482153875e-4,4.309669526717051e-4,0.011182070016846428,91,Pdri,0,10,95,0,0,6,male_Pdri
98,male,0.0015233599988115402,1.62150482153875e-4,4.309669526717051e-4,0.011182070016846428,91,Pdri,0,10,95,0,0,6,male_Pdri
99,male,0.0015233599988115402,1.62150482153875e-4,4.309669526717051e-4,0.011182070016846428,91,Pdri,0,10,95,0,0,6,male_Pdri
100,male,0.0015233599988115402,1.62150482153875e-4,4.309669526717051e-4,0.011182070016846428,91,Pdri,0,10,95,0,0,6,male_Pdri
