sex,age_cat,dem_index,scen_pif_pa_ac,scen_pif_pa_ap_noise_no2_ihd,scen_pif_pa_neo,scen_pif_pa_ap_lc,scen_pif_ap_copd,scen_pif_pa_ap_stroke,scen_pif_pa_t2d,scen_pif_ap_lri,scen_pif_pa_breast,scen_pif_pa_colon,scen_pif_pa_endo,scen_car/taxi_Fatal,scen_car/taxi_Serious,scen_cyclist_Fatal,scen_cyclist_Serious,scen_motorcycle_Fatal,scen_motorcycle_Serious,scen_pedestrian_Fatal,scen_pedestrian_Serious
male,16-19,1,0.0028831081098950337,0.0030156585941178374,0.0014545454239845942,0.0011736221751584169,-6.086437132631821e-6,0.004227237503997008,0.004109507248991017,-8.540620178517549e-6,8.859545371928568e-4,0.00164881497061912,0.001631974510601168,0.6115852387392664,7.2774505169433255,0.24524933607433277,3.244713891610363,0.45297890644767014,5.57159477255202,0.2870814889012725,3.7381603187390975
male,20-24,2,0.004464052154814423,0.004625613784594029,0.002218495287482801,0.00180696501279155,-6.690553573537502e-5,0.006391106270399799,0.005918241077659728,-9.716416017282399e-5,0.0012981582634959837,0.0024550946805978143,0.002479701464749853,0.9884237384206367,11.968596954397396,0.26807957995188414,3.6043381861785244,0.508121577254563,6.352095251456438,0.23955524236675813,3.167828159588004
male,25-29,3,0.004881786851954632,0.004808334177245671,0.002356508556968111,0.0020359254886500888,-4.7765713988719914e-5,0.006489952177540156,0.00613042416524586,-6.923727799423626e-5,0.0013043767687422065,0.0025237135682860544,0.0026619446146312785,0.8917728207389729,10.992086359465757,0.24226822972281803,3.310322794950957,1.34781075189494e-13,1.34781075189494e-13,0.16454127127807558,2.2097544639302713
male,30-34,4,0.004505545519488753,0.004399680289662438,0.0021531452978987807,0.0018496582264248434,-7.625819072213198e-5,0.005919427884702134,0.005585816035644924,-1.0332348359305385e-4,0.001173120099809016,0.002290033834832245,0.0024330069498249536,1.1824332290104058,14.792661826590573,0.25304372518974194,3.5037168313119658,0.22012086830712643,2.835405096375939,0.16701641185921315,2.2716234678308624
male,35-39,5,0.00643419289839133,0.0062135918655899375,0.003115474247421825,0.0026342229104112896,-1.3671376960646312e-4,0.008326664168877947,0.007740448461924062,-1.910935570586036e-4,0.001727675254378437,0.0033126007092305204,0.0035313810263662595,0.80371936045702,10.163010252600865,0.2070516611758342,2.894126419238305,0.015200238240680394,0.1977067776532735,0.08502822362121654,1.1669789352712368
male,40-44,6,0.006157276845194153,0.006165212710190681,0.003100358881718839,0.0024419769353727252,-1.904061367824796e-4,0.008428790096915972,0.00785848878208985,-2.7025547819375576e-4,0.0018331690135934074,0.003414241930963956,0.0034794258821028365,0.8569650204202323,10.900339789071799,0.1723573455530747,2.421649651176858,0.2990465405667764,3.910402981243453,0.07162807433196514,0.9879272483714837
male,45-49,7,0.0061306546376298935,0.006099473836338066,0.003044429004789931,0.0024199212356210854,-1.821398259352545e-4,0.008326053354715745,0.007719480233301112,-2.6087068227153713e-4,0.0017647719929408054,0.0033225326181612683,0.003418735276528396,0.6551708268268243,8.351051786757997,0.1658935014398627,2.335098432160264,1.34781075189494e-13,1.34781075189494e-13,0.07232189841274106,0.9992400937895372
male,50-54,8,0.006058318894170845,0.005889073960196862,0.0029370131532859807,0.002616746391216173,-8.888531718610715e-5,0.007813209638387745,0.006982784724235389,-1.2770349611922175e-4,0.0015823619253604968,0.0030593010478248807,0.003320016709021183,0.44189538796756966,5.630561151243572,0.0862838163997833,1.2141446871739638,0.026209257396220834,0.3432561391176253,0.03713069197500638,0.5128666533975333
male,55-59,9,0.006917106334716212,0.006761427955996414,0.003326586864033628,0.0029851291962952747,-1.1238007180824619e-4,0.009017547466210835,0.007860326617985991,-1.6239622384978697e-4,0.0017669386211912233,0.0034527081167919993,0.0037399842756118628,0.35535485803752287,4.521076754214319,0.060967486424268566,0.856780436370924,0.20277914649020123,2.6521533185082493,0.04081694824391636,0.5630771422301172
male,60-64,10,0.00557435586291985,0.005379147045621845,0.0026528180211710076,0.002459145555342061,-3.605456187896133e-5,0.007086024108490146,0.006279694356852144,-5.149612756422124e-5,0.001385362828940905,0.0027216447448693286,0.003013065684039861,0.3385039654293411,4.299459789016297,0.054265504131575854,0.7614776318989194,1.34781075189494e-13,1.34781075189494e-13,0.042014041959251534,0.5787789159306224
male,65-69,11,0.003354895347502842,0.0032740006014349283,0.0015683787398857389,0.001623547478837499,7.607062683965349e-5,0.004199369538886391,0.0036108617400885034,1.1125081136909197e-4,7.750352655440799e-4,0.001568507184989879,0.0017717290093450667,0.23076991006675893,2.9246266301193695,0.04106425886759805,0.5751183676811995,1.34781075189494e-13,1.34781075189494e-13,0.03420430441032289,0.47032360715556776
male,70-74,12,0.002557550884476688,0.0025667711046759795,0.0012154329123245688,0.0012879643213955735,9.984306630825691e-5,0.00335715748201748,0.0027790253937694446,1.454403489459072e-4,6.214422047280288e-4,0.0012379599828806175,0.0013628021710851948,0.18275572512786725,2.308198815289057,0.014960359421970344,0.20889466225712494,0.005481348064554787,0.07121833644616166,0.02946515311254929,0.4039945077929617
male,75-79,13,0.002201371945003769,0.0021109671457181407,9.89525862253951e-4,0.0012559663313706927,1.6214324333855968e-4,0.0026096571998924694,0.002056847245783879,2.355733254992734e-4,4.1716836580032676e-4,9.155568989128776e-4,0.0011167753958135948,0.10626317262849938,1.334921682657936,0.042521920398644227,0.5909406358214899,1.34781075189494e-13,1.34781075189494e-13,0.015631289717616948,0.21335303683634432
male,80-84,14,0.0017975992200519114,0.0017759676357695991,8.209159693782355e-4,0.0010968355722280946,1.8122041646159256e-4,0.0022183858159953345,0.00168778052499405,2.628361564860737e-4,3.5156455348835905e-4,7.664481581578447e-4,9.135918275161511e-4,0.06963092826149683,0.8679170665449437,0.01396588367222628,0.1927457677560155,1.34781075189494e-13,1.34781075189494e-13,0.011090193327682494,0.1503701758752003
