age,sex,age_cat,sex_age_cat,population_number,area,sex_age_area_cat,dw_adj_crdd,dw_adj_ishd,dw_adj_strk,dw_adj_iscs,dw_adj_copd,dw_adj_adaod,dw_adj_stmc,dw_adj_lvrc,dw_adj_dmt2,dw_adj_tbalc,dw_adj_brsc,dw_adj_utrc,dw_adj_carc,deaths_rate_crdd,ylds (years lived with disability)_rate_crdd,deaths_rate_ishd,ylds (years lived with disability)_rate_ishd,deaths_rate_strk,ylds (years lived with disability)_rate_strk,deaths_rate_iscs,ylds (years lived with disability)_rate_iscs,deaths_rate_copd,ylds (years lived with disability)_rate_copd,deaths_rate_adaod,ylds (years lived with disability)_rate_adaod,deaths_rate_stmc,ylds (years lived with disability)_rate_stmc,deaths_rate_lvrc,ylds (years lived with disability)_rate_lvrc,mx,pyld_rate,deaths_rate_lri,ylds_rate_lri,deaths_rate_pedestrian,ylds_rate_pedestrian,deaths_rate_cyclist,ylds_rate_cyclist,deaths_rate_motorcyclist,ylds_rate_motorcyclist,deaths_rate_motor,ylds_rate_motor,deaths_rate_other,ylds_rate_other,deaths_rate_dmt2,ylds (years lived with disability)_rate_dmt2,deaths_rate_tbalc,ylds (years lived with disability)_rate_tbalc,deaths_rate_brsc,ylds (years lived with disability)_rate_brsc,deaths_rate_utrc,ylds (years lived with disability)_rate_utrc,deaths_rate_carc,ylds (years lived with disability)_rate_carc,model,incidence_adaod,case_fatality_adaod,prevalence_adaod,incidence_brsc,case_fatality_brsc,prevalence_brsc,incidence_carc,case_fatality_carc,prevalence_carc,incidence_copd,case_fatality_copd,prevalence_copd,incidence_crdd,case_fatality_crdd,prevalence_crdd,incidence_dmt2,case_fatality_dmt2,prevalence_dmt2,incidence_iscs,case_fatality_iscs,prevalence_iscs,incidence_ishd,case_fatality_ishd,prevalence_ishd,incidence_lvrc,case_fatality_lvrc,prevalence_lvrc,incidence_stmc,case_fatality_stmc,prevalence_stmc,incidence_strk,case_fatality_strk,prevalence_strk,incidence_tbalc,case_fatality_tbalc,prevalence_tbalc,incidence_utrc,case_fatality_utrc,prevalence_utrc,lower95_incidence_adaod,lower95_case_fatality_adaod,lower95_prevalence_adaod,lower95_incidence_brsc,lower95_case_fatality_brsc,lower95_prevalence_brsc,lower95_incidence_carc,lower95_case_fatality_carc,lower95_prevalence_carc,lower95_incidence_copd,lower95_case_fatality_copd,lower95_prevalence_copd,lower95_incidence_crdd,lower95_case_fatality_crdd,lower95_prevalence_crdd,lower95_incidence_dmt2,lower95_case_fatality_dmt2,lower95_prevalence_dmt2,lower95_incidence_iscs,lower95_case_fatality_iscs,lower95_prevalence_iscs,lower95_incidence_ishd,lower95_case_fatality_ishd,lower95_prevalence_ishd,lower95_incidence_lvrc,lower95_case_fatality_lvrc,lower95_prevalence_lvrc,lower95_incidence_stmc,lower95_case_fatality_stmc,lower95_prevalence_stmc,lower95_incidence_strk,lower95_case_fatality_strk,lower95_prevalence_strk,lower95_incidence_tbalc,lower95_case_fatality_tbalc,lower95_prevalence_tbalc,lower95_incidence_utrc,lower95_case_fatality_utrc,lower95_prevalence_utrc,upper95_incidence_adaod,upper95_case_fatality_adaod,upper95_prevalence_adaod,upper95_incidence_brsc,upper95_case_fatality_brsc,upper95_prevalence_brsc,upper95_incidence_carc,upper95_case_fatality_carc,upper95_prevalence_carc,upper95_incidence_copd,upper95_case_fatality_copd,upper95_prevalence_copd,upper95_incidence_crdd,upper95_case_fatality_crdd,upper95_prevalence_crdd,upper95_incidence_dmt2,upper95_case_fatality_dmt2,upper95_prevalence_dmt2,upper95_incidence_iscs,upper95_case_fatality_iscs,upper95_prevalence_iscs,upper95_incidence_ishd,upper95_case_fatality_ishd,upper95_prevalence_ishd,upper95_incidence_lvrc,upper95_case_fatality_lvrc,upper95_prevalence_lvrc,upper95_incidence_stmc,upper95_case_fatality_stmc,upper95_prevalence_stmc,upper95_incidence_strk,upper95_case_fatality_strk,upper95_prevalence_strk,upper95_incidence_tbalc,upper95_case_fatality_tbalc,upper95_prevalence_tbalc,upper95_incidence_utrc,upper95_case_fatality_utrc,upper95_prevalence_utrc
0,male,0,male_0,0,England,male_0_England,0.11351278287180945,0,173.24199866285093,0.1177587734220596,0.06383456934004976,0,0,0,0,0,0,0,0,2.2572311413976244e-5,0,0,0,2.1702451977698017e-6,0,1.1645427442947398e-6,0,8.16400130717938e-7,0,0,0,0,0,0,0,0.0027717101589698275,0,9.482458631530554e-5,0,3.266197643287694e-6,0,2.210579667848683e-7,0,6.333649192161213e-7,0,2.8531585549274294e-6,0,1.0409810156684319e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,male,0,male_1,0,England,male_1_England,0.11042450259283243,0,68.91046914493316,0.11699169795269965,0.0634388158201818,0,0,0,0,0,0,0,0,1.6164484070812707e-5,0,0,0,1.784124580764665e-6,0,7.921082169819448e-7,0,6.4680206909214e-7,0,0,0,0,0,0,0,0.0016581406229548043,0,5.745725853291742e-5,0,3.247526189218272e-6,0,2.730479561297202e-7,0,6.062769667765899e-7,0,2.645220345307544e-6,0,1.0375599147391095e-7,0,0,0,0,0,0,0,0,0,0,0,smoothed,1.5371546233156978e-6,0.010116973626423532,0,1.5758471420037093e-6,0.008813271094405915,0,1.4197550318084942e-6,0.03287161653722022,0,1.1395379227736241e-4,4.5203829959344075e-4,0,2.9919570817424454e-4,0.0059428640850305355,0,2.0841606509668683e-6,9.439323413472372e-5,0,5.353662589441073e-5,0.0024838755916796688,0,1.4207429454039162e-6,0.024848054413618113,0,1.1332336261163601e-6,0.06919128734932611,0,1.098946049060317e-6,0.0590073078807761,0,7.232512160491904e-5,0.009744934277341391,0,1.0783824524723524e-6,0.3920347003520229,0,2.0539073869858416e-6,306470.27928679483,0,5.596693764252207e-8,0.0072155655179977,0,6.043846322069802e-8,0.004289326103694365,0,5.4589758606006165e-8,0.02859498695934763,0,8.185395775996051e-5,3.884249441132357e-4,0,2.4708261190186607e-4,0.005711766533335264,0,8.13841829905784e-8,7.450876857766397e-5,0,3.317471530320739e-5,0.0019640720913976146,0,6.282945968596134e-8,0.02341426174517668,0,3.85745757412399e-8,0.046187530325870516,0,4.004363279858954e-8,0.046893636641447384,0,4.902228679243085e-5,0.008770686626269076,0,3.688198751187419e-8,0.3111618604547046,0,5.300730517303001e-8,147.4154473441108,0,8.323061768624905e-6,0.013780010361475985,0,8.433514224523782e-6,0.017046447730211457,0,7.474058966833957e-6,0.03781168958851147,0,1.5382477084371744e-4,5.208748859866111e-4,0,3.57870546672503e-4,0.006177980523021415,0,1.0332403045319642e-5,1.1570996391014284e-4,0,8.09905020401676e-5,0.0031046717494937494,0,7.637614460902763e-6,0.026367240925760375,0,5.81258450629505e-6,0.1127489905395547,0,5.970885924427859e-6,0.07327006375563898,0,1.0251574747862597e-4,0.010795727292612793,0,6.002686469098995e-6,0.4935664078989265,0,1.0166211609192399e-5,332385853.0214467,0
2,male,2,male_2,1713147.3122216067,England,male_2_England,0.10742024346847984,0,27.410517047983376,0.11622961917920012,0.06304551584312151,0,0,0,0,0,0,0,0,1.157571063430271e-5,0,0,0,1.4667008700029467e-6,0,5.387826513747228e-7,0,5.124361215057329e-7,0,0,0,0,0,0,0,9.919617015492128e-4,0,3.481519599928539e-5,0,3.2289614718608138e-6,0,3.372653219921003e-7,0,5.803475205079947e-7,0,2.452436673435044e-6,0,1.034150056984635e-7,0,0,0,0,0,0,0,0,0,0,0,smoothed,1.5554360287988791e-6,0.010116973626423532,1.5279256859403359e-6,1.5376506893390705e-6,0.008813271094405915,1.568478655132398e-6,1.4666209282614144e-6,0.03287161653722022,1.3966165147151373e-6,1.1425284692433225e-4,4.5203829959344075e-4,1.1392170605680521e-4,2.8601855206437303e-4,0.0059428640850305355,2.98258743095604e-4,1.9738063013165294e-6,9.439323413472372e-5,2.084069132819565e-6,5.3829761130346476e-5,0.0024838755916796688,5.3465185929247574e-5,1.4168442009362623e-6,0.024848054413618113,1.4036644087590388e-6,1.1381186758213715e-6,0.06919128734932611,1.094444830342543e-6,1.2166503908331945e-6,0.0590073078807761,1.0659148077106563e-6,6.952192178472769e-5,0.009744934277341391,7.195709263842004e-5,1.09041720140978e-6,0.3920347003520229,8.945245153278307e-7,1.9466734284445535e-6,306470.27928679483,5.482881299152614e-12,5.2525388834365503e-8,0.0072155655179977,5.574278546807234e-8,5.565556076399623e-8,0.004289326103694365,6.003557864126064e-8,5.031745299028148e-8,0.02859498695934763,5.374677799022386e-8,8.265965861486086e-5,3.884249441132357e-4,8.183165490426836e-5,2.3572526739236378e-4,0.005711766533335264,2.463371719059966e-4,7.253468747889669e-8,7.450876857766397e-5,8.138037618181503e-8,3.3581970285314886e-5,0.0019640720913976146,3.313561366626781e-5,4.873160877474838e-8,0.02341426174517668,6.206693811542322e-8,4.081255857695771e-8,0.046187530325870516,3.7413620135901736e-8,4.164834814854343e-8,0.046893636641447384,3.888573485113596e-8,4.66889385943354e-5,0.008770686626269076,4.8765119450765155e-5,3.769700173975389e-8,0.3111618604547046,3.0507689098820926e-8,7.583478014212931e-8,147.4154473441108,2.4003137354463985e-15,8.507197295557158e-6,0.013780010361475985,8.286023165391836e-6,8.366016607945465e-6,0.017046447730211457,8.394885830676277e-6,7.718327990504734e-6,0.03781168958851147,7.349383419212884e-6,1.5250485796516886e-4,5.208748859866111e-4,1.5377924028970615e-4,3.4438685762155756e-4,0.006177980523021415,3.5672658780380636e-4,1.0724053030211664e-5,1.1570996391014284e-4,1.0331912362027926e-5,8.133639554467669e-5,0.0031046717494937494,8.087546083700349e-5,7.703726518710647e-6,0.026367240925760375,7.546090165385353e-6,6.154628288721071e-6,0.1127489905395547,5.621865683896338e-6,6.138277201707314e-6,0.07327006375563898,5.799958280126965e-6,9.875777903548649e-5,0.010795727292612793,1.020010513141968e-4,5.795347847088484e-6,0.4935664078989265,4.973500879533405e-6,1.0666516609448587e-5,332385853.0214467,1.657957905295334e-8
3,male,0,male_3,0,England,male_3_England,0.10372739137591147,0,9.50194182510555,0.11539717428099068,0.0626603415219307,0,0,0,0,0,0,0,0,7.98894534832346e-6,0,0,0,1.1750599404943798e-6,0,3.554049869864832e-7,0,3.976492287352282e-7,0,0,0,0,0,0,0,5.673022685648197e-4,0,1.969224071498523e-5,0,3.1879493241373542e-6,0,4.172613896305537e-7,0,5.449869915294816e-7,0,2.2337176302955227e-6,0,1.0211276833249682e-7,0,0,0,0,0,0,0,0,0,0,0,smoothed,1.579608009647338e-6,0.010116973626423532,3.7844480947383716e-6,1.5480164472336776e-6,0.008813271094405915,3.741844179382293e-6,1.4389148946201157e-6,0.03287161653722022,3.3506491318313575e-6,1.1427747818503102e-4,4.5203829959344075e-4,2.287231071761454e-4,2.824780829510854e-4,0.0059428640850305355,5.827915254992924e-4,1.936320386106782e-6,9.439323413472372e-5,4.721723177200592e-6,5.376993313254211e-5,0.0024838755916796688,1.0795895303240347e-4,1.4241381741502357e-6,0.024848054413618113,3.39542093342182e-6,1.0968492432536565e-6,0.06919128734932611,2.5639862118573523e-6,1.225306695912079e-6,0.0590073078807761,2.6857821279801787e-6,6.851782553534663e-5,0.009744934277341391,1.412042078575833e-4,1.090943200836554e-6,0.3920347003520229,1.81791055628644e-6,2.188928556292994e-6,306470.27928679483,5.4778759536065884e-12,5.7813785007247616e-8,0.0072155655179977,5.298927047308468e-7,5.283791191498128e-8,0.004289326103694365,5.245003934114694e-7,6.217172542049441e-8,0.02859498695934763,5.12500601554403e-7,8.282346581791647e-5,3.884249441132357e-4,1.828275322838807e-4,2.323592788504646e-4,0.005711766533335264,5.085237745556307e-4,7.60606891293089e-8,7.450876857766397e-5,6.909729050885337e-7,3.307055580050159e-5,0.0019640720913976146,7.778400126274338e-5,5.334700861709611e-8,0.02341426174517668,4.968426215867157e-7,4.1562210642184586e-8,0.046187530325870516,3.656348152776901e-7,4.171230692194639e-8,0.046893636641447384,3.7901423281633425e-7,4.561342888084621e-5,0.008770686626269076,1.0785305269897841e-4,4.407478730272671e-8,0.3111618604547046,2.5801683760626467e-7,8.129659177704413e-8,147.4154473441108,3.2212378853304387e-15,8.355313005741562e-6,0.013780010361475985,1.2463456426758197e-5,8.572039159331223e-6,0.017046447730211457,1.2825525330948923e-5,7.5489180964495274e-006,0.03781168958851147,1.1088369016363003e-5,1.522008003178023e-4,5.208748859866111e-4,2.8186917475609867e-4,3.3955060193730977e-4,0.006177980523021415,6.631518435176446e-4,1.0587008556891434e-5,1.1570996391014284e-4,1.605933309775022e-5,8.108629808047345e-5,0.0031046717494937494,0.00014577102125578334,7.576292511017084e-6,0.026367240925760375,1.1100084092804504e-5,6.097971107616812e-6,0.1127489905395547,8.398939012530441e-6,6.38696763106083e-6,0.07327006375563898,8.761476212613095e-6,9.857184028112325e-5,0.010795727292612793,1.818302987967459e-4,5.77626756144969e-6,0.4935664078989265,6.2887917670585775e-6,1.0798045140536243e-5,332385853.0214467,1.750719939875109e-8
4,male,0,male_4,0,England,male_4_England,0.09942312801293539,0,2.8705864120708844,0.11449594945247853,0.0622831735002837,0,0,0,0,0,0,0,0,5.31357986406568e-6,0,0,0,9.174461664990559e-7,0,2.2736010517050652e-7,0,3.02240478024964e-7,0,0,0,0,0,0,0,3.101560130644486e-4,0,1.0397376603341842e-5,0,3.1253474141183748e-6,0,5.170689555006242e-7,0,5.020709313531531e-7,0,1.9987260129904474e-6,0,9.988554764371254e-8,0,0,0,0,0,0,0,0,0,0,0,smoothed,1.5604193127978086e-6,0.010116973626423532,5.961226131949741e-6,1.6176388336768523e-6,0.008813271094405915,5.9242194339808545e-6,1.4552967567933213e-6,0.03287161653722022,5.237811788663459e-6,1.1437002341442115e-4,4.5203829959344075e-4,3.441268801926817e-4,2.8040897012771525e-4,0.0059428640850305355,8.614765312288247e-4,1.9158125108566385e-6,9.439323413472372e-5,7.5587977786001454e-6,5.3908063011844345e-5,0.0024838755916796688,1.62264402796164e-4,1.4692381073575488e-6,0.024848054413618113,5.309533196623904e-6,1.1048831946958766e-6,0.06919128734932611,3.940712072909818e-6,1.1190897908490316e-6,0.0590073078807761,4.19219104966881e-6,6.81808485795901e-5,0.009744934277341391,2.091245818146688e-4,1.141418040486482e-6,0.3920347003520229,2.428089465303688e-6,2.0185881100999727e-006,306470.27928679483,5.374963717046452e-12,5.4588053922371134e-8,0.0072155655179977,1.3999549642193382e-6,5.8072062345400765e-8,0.004289326103694365,1.3532737803784348e-6,6.5863646824459e-8,0.02859498695934763,1.2429075554732458e-6,8.28434457137303e-5,3.884249441132357e-4,2.8494922610440717e-4,2.2957328677243417e-4,0.005711766533335264,7.716759257368092e-4,7.797799524607727e-8,7.450876857766397e-5,1.8304750662239863e-6,3.33948624916263e-5,0.0019640720913976146,1.2440408492386373e-4,5.313541443343452e-8,0.02341426174517668,1.1943056106728111e-6,4.44835261558003e-8,0.046187530325870516,9.020644682040065e-7,4.12790247195149e-8,0.046893636641447384,9.044626532307729e-7,4.526518328285409e-5,0.008770686626269076,1.6756341392470508e-4,4.597835236102011e-8,0.3111618604547046,5.612170727366973e-7,8.615808642217118e-8,147.4154473441108,2.940269513838722e-15,8.307123571862382e-6,0.013780010361475985,1.627179829112273e-5,8.245661995874396e-6,0.017046447730211457,1.615780579455934e-5,7.69830383804429e-6,0.03781168958851147,1.4088665446616235e-5,1.5363650526002999e-4,5.208748859866111e-4,4.093419579020317e-4,3.37010560382439e-4,0.006177980523021415,9.59169202638974e-4,1.0919366019024498e-5,1.1570996391014284e-4,2.0427032680492423e-5,8.129691206799576e-5,0.0031046717494937494,2.0815786808235355e-4,7.73477474398218e-6,0.026367240925760375,1.4186786995322554e-5,6.025189793046996e-6,0.1127489905395547,1.0625055425542332e-5,6.047932619978222e-6,0.07327006375563898,1.1196457538220748e-5,9.809928343908036e-5,0.010795727292612793,2.5701929999814426e-4,5.681676263244796e-6,0.4935664078989265,6.938767882506741e-6,1.0717081616165169e-5,332385853.0214467,1.8373941286673676e-8
5,male,0,male_5,0,England,male_5_England,0.09565068129801889,0,0.9289606612643481,0.1136388360506647,0.06190546615031911,0,0,0,0,0,0,0,0,3.600037194435897e-6,0,0,0,7.256047393628868e-7,0,1.4769459105236964e-7,0,2.3211813552132887e-7,0,0,0,0,0,0,0,1.7342945350049238e-4,0,5.682000139111418e-6,0,3.074793960792854e-6,0,6.402312246592882e-7,0,4.6698566540842687e-7,0,1.804392428994329e-6,0,9.816625032664746e-8,0,0,0,0,0,0,0,0,0,0,0,smoothed,1.5964094913887092e-6,0.010116973626423532,8.149224621378551e-6,1.6248291492549913e-6,0.008813271094405915,8.170002211924852e-6,1.4384243751514064e-6,0.03287161653722022,7.095866739628069e-6,1.140892157728135e-4,4.5203829959344075e-4,4.5874472643379677e-4,2.7862020150875796e-4,0.0059428640850305355,0.001136813025503779,1.928194394194845e-6,9.439323413472372e-5,1.0460874356593252e-5,5.4191471096894415e-5,0.0024838755916796688,2.1656390698471687e-4,1.5138020984238e-6,0.024848054413618113,7.234970533707466e-6,1.1478834713587055e-6,0.06919128734932611,5.141189592155234e-6,1.2486593828782974e-6,0.0590073078807761,5.537765300585448e-6,6.817528787082837e-5,0.009744934277341391,2.758540738322683e-4,1.072386497083773e-6,0.3920347003520229,2.897078741390763e-6,2.0887356458378782e-6,306470.27928679483,6.142243079271091e-12,4.961540073287446e-8,0.0072155655179977,2.419288614824199e-6,6.375491848551194e-8,0.004289326103694365,2.4691193587542565e-6,5.340994778042868e-8,0.02859498695934763,2.177944324506771e-6,8.175870272478755e-5,3.884249441132357e-4,3.917217729019848e-4,2.290911678624318e-4,0.005711766533335264,0.0010329704726354568,4.723145822523179e-9,7.450876857766397e-5,3.1835334385285673e-6,3.360699591612094e-5,0.0019640720913976146,1.7234982150927708e-4,6.019620321031301e-8,0.02341426174517668,2.133934683110002e-6,4.583658473351824e-8,0.046187530325870516,1.5110782883017197e-6,4.61334675828321e-8,0.046893636641447384,1.6224673091057705e-6,4.508323128506963e-5,0.008770686626269076,2.2724929834966098e-4,3.8691509142241434e-8,0.3111618604547046,8.104228906212103e-7,3.818906698286516e-8,147.4154473441108,2.523732594145026e-15,8.539569832017388e-6,0.013780010361475985,1.9486888213005525e-5,8.968170224883627e-6,0.017046447730211457,1.956856743035224e-5,7.936080906469156e-6,0.03781168958851147,1.6621384064854287e-5,1.5399554998650334e-4,5.208748859866111e-4,5.340025087493634e-4,3.3596859575050683e-4,0.006177980523021415,0.0012474821009761385,1.087695431025348e-5,1.1570996391014284e-4,2.5394826884007176e-5,8.168617719120884e-5,0.0031046717494937494,2.6900770311825885e-4,7.826314570716212e-6,0.026367240925760375,1.7225443714364058e-5,6.113055522310062e-6,0.1127489905395547,1.2498640097517806e-5,6.299812594727764e-6,0.07327006375563898,1.3047731942023933e-5,9.765500760033749e-5,0.010795727292612793,3.303058992913505e-4,5.906608391523894e-6,0.4935664078989265,7.365028647016225e-6,1.0890068691445858e-5,332385853.0214467,2.0373015152926073e-8
6,male,0,male_6,0,England,male_6_England,0.09339323672791885,0,0.3958200463570864,0.11293544127188447,0.061518880391141874,0,0,0,0,0,0,0,0,2.6261214989609284e-6,0,0,0,6.042482960192913e-7,0,1.0201246936592634e-7,0,1.8581525743708282e-7,0,0,0,0,0,0,0,1.0611416630450503e-4,0,3.563477410953441e-6,0,3.0680119561811493e-6,0,7.901648998409228e-7,0,4.513153911608003e-7,0,1.6877949473158043e-6,0,9.830362219488442e-8,0,0,0,0,0,0,0,0,0,0,0,smoothed,1.546882476703332e-6,0.010116973626423532,1.0360556553095567e-5,1.6289339807972035e-6,0.008813271094405915,1.0401958160151177e-5,1.4381957553966653e-6,0.03287161653722022,8.986457146078735e-6,1.4585164597953384e-4,4.5203829959344075e-4,5.737317210214277e-4,2.1153181019460882e-4,0.0059428640850305355,0.0014079473138506448,1.903299644009108e-6,9.439323413472372e-5,1.3376227501660734e-5,3.100182234968543e-5,0.0024838755916796688,2.706923674857868e-4,1.433792177969074e-6,0.024848054413618113,9.178378049108041e-6,2.67982068389863e-6,0.06919128734932611,6.333390786903892e-6,1.1481102930767865e-6,0.0590073078807761,6.921172272085453e-6,4.8693314844983346e-5,0.009744934277341391,3.417006436552926e-4,1.0624832868631517e-6,0.3920347003520229,3.1269017753612586e-6,1.9031495858931768e-6,306470.27928679483,4.745530238184457e-12,5.873136366531933e-8,0.0072155655179977,3.6482013177410777e-6,5.631932641657096e-8,0.004289326103694365,3.5464473152582335e-6,5.006407688982826e-8,0.02859498695934763,3.175334055807659e-6,1.0980897374460435e-4,3.884249441132357e-4,4.96266245376408e-4,1.6869777680997866e-4,0.005711766533335264,0.0012945587807702697,8.583389744897689e-8,7.450876857766397e-5,4.6779555643170945e-6,1.6586289464452418e-5,0.0019640720913976146,2.2119879243967996e-4,4.8722611235193465e-8,0.02341426174517668,3.2043357463843453e-6,3.642949367610133e-7,0.046187530325870516,2.2673621747146755e-6,4.3057127965221946e-8,0.046893636641447384,2.379529134355596e-6,3.0425030773436206e-5,0.008770686626269076,2.876085039788857e-4,4.20211568904065e-8,0.3111618604547046,1.0215938085833735e-6,5.40174565574551e-8,147.4154473441108,3.1935220048791058e-15,7.935831773656473e-6,0.013780010361475985,2.239823820921553e-5,8.1621010977836e-6,0.017046447730211457,2.294663994097541e-5,7.78307374360069e-6,0.03781168958851147,1.9578682191764987e-5,1.8774250059812748e-4,5.208748859866111e-4,6.564947044403382e-4,2.602140705692098e-4,0.006177980523021415,0.001529684216072704,9.919015948319462e-6,1.1570996391014284e-4,2.9398111791850654e-5,5.202107504116458e-5,0.0031046717494937494,3.2827366983561495e-4,8.049809468522712e-6,0.026367240925760375,2.0090715200469166e-5,9.066359139981486e-6,0.1127489905395547,1.4603422237471713e-5,6.06989291648353e-6,0.07327006375563898,1.5030234829617488e-5,7.329982006746584e-5,0.010795727292612793,4.013356715200525e-4,5.593642345438738e-6,0.4935664078989265,7.840980558019488e-6,1.0203886166583916e-5,332385853.0214467,1.8759343567985036e-8
7,male,7,male_7,1783875.432061404,England,male_7_England,0.09358139954663856,0,0.2729463766986187,0.11249304395230186,0.061115289997538486,0,0,0,0,0,0,0,0,2.1801015989099863e-6,0,0,0,5.507105721228341e-7,0,7.844387272086827e-8,0,1.599489561628211e-7,0,0,0,0,0,0,0,7.600858244657398e-5,0,2.8437313373932275e-6,0,3.1377177015339215e-6,0,9.696957291908588e-7,0,4.6641601487987666e-7,0,1.6798772149304491e-6,0,1.0172681268338334e-7,0,0,0,0,0,0,0,0,0,0,0,smoothed,1.598491042906857e-6,0.010116973626423532,1.2441786778296524e-5,1.5691485446828185e-6,0.008813271094405915,1.2645808801656171e-5,1.4411547524860898e-6,0.03287161653722022,1.0756180380807843e-5,1.4577673381599245e-4,4.5203829959344075e-4,7.20056316772267e-4,2.1218165030612246e-4,0.0059428640850305355,0.0016114522645715203,1.9015569445201547e-6,9.439323413472372e-5,1.617964366517916e-5,3.1041437751092065e-5,0.0024838755916796688,3.0199474065595923e-4,1.461877818912579e-6,0.024848054413618113,1.1054680318071165e-5,2.7535579890433145e-6,0.06919128734932611,8.982333903480951e-6,1.1350801221766098e-6,0.0590073078807761,8.171785646063238e-6,4.9009867528115376e-5,0.009744934277341391,3.877892442704643e-4,1.0489014890506496e-6,0.3920347003520229,3.310468015805368e-6,1.9062538777473977e-6,306470.27928679483,5.602999447909784e-12,6.931827163343195e-8,0.0072155655179977,4.8327826024893825e-6,6.075370712505525e-8,0.004289326103694365,4.853272673594154e-6,5.444218488746819e-8,0.02859498695934763,4.1878854326450646e-6,1.1042385313786493e-4,3.884249441132357e-4,6.367875536966084e-4,1.6996009858659798e-4,0.005711766533335264,0.0014904230465989674,6.762717128055433e-8,7.450876857766397e-5,6.136387983329274e-6,1.658623882340226e-5,0.0019640720913976146,2.493317807096428e-4,5.879405477090506e-8,0.02341426174517668,4.391877763335926e-6,3.9772987398194435e-7,0.046187530325870516,3.6952298394495866e-6,4.437153201444196e-8,0.046893636641447384,3.122157174883349e-6,3.060092664287064e-5,0.008770686626269076,3.301843596333448e-4,4.072352227642039e-8,0.3111618604547046,1.1298342289603637e-6,3.540535634824667e-8,147.4154473441108,2.4812922210891074e-15,8.143914468934165e-6,0.013780010361475985,2.548461245774848e-5,8.712551316393922e-6,0.017046447730211457,2.6029623865220525e-5,7.846014817417735e-6,0.03781168958851147,2.191966782063348e-5,1.8786771463589303e-4,5.208748859866111e-4,8.108555630928531e-4,2.6263943677778517e-4,0.006177980523021415,0.0017403866101678592,9.982464077206138e-6,1.1570996391014284e-4,3.3451164629026674e-5,5.182752857320964e-5,0.0031046717494937494,3.63216307948126e-4,8.004544180482533e-6,0.026367240925760375,2.2778277681165115e-5,9.072171867630934e-6,0.1127489905395547,1.8420589825260234e-5,6.36860135614012e-6,0.07327006375563898,1.6593465767134265e-5,7.376633889580931e-5,0.010795727292612793,4.5115309149688644e-4,5.711019564962541e-6,0.4935664078989265,7.936568422312805e-6,1.079192227685159e-5,332385853.0214467,1.735268448694788e-8
