sex,age_cat,dem_index,scen_pif_pa_ac,pif_ihd,scen_pif_pa_neo,pif_lc,pif_copd,pif_stroke,pif_t2d,pif_breast,pif_colon,pif_endo,pif_motor_deaths,pif_motor_ylds,pif_cyclist_deaths,pif_cyclist_ylds,pif_motorcyclist_deaths,pif_motorcyclist_ylds,pif_pedestrian_deaths,pif_pedestrian_ylds,age
male,50-54,8,0.006058318894170845,0.005889073960196862,0.0029370131532859807,0.002616746391216173,-8.888531718610715e-5,0.007813209638387745,0.006982784724235389,0.0015823619253604968,0.0030593010478248807,0.003320016709021183,0.44189538796756966,5.630561151243572,0.0862838163997833,1.2141446871739638,0.026209257396220834,0.3432561391176253,0.03713069197500638,0.5128666533975333,54
male,50-54,8,0.006058318894170845,0.005889073960196862,0.0029370131532859807,0.002616746391216173,-8.888531718610715e-5,0.007813209638387745,0.006982784724235389,0.0015823619253604968,0.0030593010478248807,0.003320016709021183,0.44189538796756966,5.630561151243572,0.0862838163997833,1.2141446871739638,0.026209257396220834,0.3432561391176253,0.03713069197500638,0.5128666533975333,55
male,50-54,8,0.006058318894170845,0.005889073960196862,0.0029370131532859807,0.002616746391216173,-8.888531718610715e-5,0.007813209638387745,0.006982784724235389,0.0015823619253604968,0.0030593010478248807,0.003320016709021183,0.44189538796756966,5.630561151243572,0.0862838163997833,1.2141446871739638,0.026209257396220834,0.3432561391176253,0.03713069197500638,0.5128666533975333,56
male,55-59,9,0.006917106334716212,0.006761427955996414,0.003326586864033628,0.0029851291962952747,-1.1238007180824619e-4,0.009017547466210835,0.007860326617985991,0.0017669386211912233,0.0034527081167919993,0.0037399842756118628,0.35535485803752287,4.521076754214319,0.060967486424268566,0.856780436370924,0.20277914649020123,2.6521533185082493,0.04081694824391636,0.5630771422301172,57
male,55-59,9,0.006917106334716212,0.006761427955996414,0.003326586864033628,0.0029851291962952747,-1.1238007180824619e-4,0.009017547466210835,0.007860326617985991,0.0017669386211912233,0.0034527081167919993,0.0037399842756118628,0.35535485803752287,4.521076754214319,0.060967486424268566,0.856780436370924,0.20277914649020123,2.6521533185082493,0.04081694824391636,0.5630771422301172,58
male,55-59,9,0.006917106334716212,0.006761427955996414,0.003326586864033628,0.0029851291962952747,-1.1238007180824619e-4,0.009017547466210835,0.007860326617985991,0.0017669386211912233,0.0034527081167919993,0.0037399842756118628,0.35535485803752287,4.521076754214319,0.060967486424268566,0.856780436370924,0.20277914649020123,2.6521533185082493,0.04081694824391636,0.5630771422301172,59
male,55-59,9,0.006917106334716212,0.006761427955996414,0.003326586864033628,0.0029851291962952747,-1.1238007180824619e-4,0.009017547466210835,0.007860326617985991,0.0017669386211912233,0.0034527081167919993,0.0037399842756118628,0.35535485803752287,4.521076754214319,0.060967486424268566,0.856780436370924,0.20277914649020123,2.6521533185082493,0.04081694824391636,0.5630771422301172,60
male,55-59,9,0.006917106334716212,0.006761427955996414,0.003326586864033628,0.0029851291962952747,-1.1238007180824619e-4,0.009017547466210835,0.007860326617985991,0.0017669386211912233,0.0034527081167919993,0.0037399842756118628,0.35535485803752287,4.521076754214319,0.060967486424268566,0.856780436370924,0.20277914649020123,2.6521533185082493,0.04081694824391636,0.5630771422301172,61
male,60-64,10,0.00557435586291985,0.005379147045621845,0.0026528180211710076,0.002459145555342061,-3.605456187896133e-5,0.007086024108490146,0.006279694356852144,0.001385362828940905,0.0027216447448693286,0.003013065684039861,0.3385039654293411,4.299459789016297,0.054265504131575854,0.7614776318989194,1.34781075189494e-13,1.34781075189494e-13,0.042014041959251534,0.5787789159306224,62
male,60-64,10,0.00557435586291985,0.005379147045621845,0.0026528180211710076,0.002459145555342061,-3.605456187896133e-5,0.007086024108490146,0.006279694356852144,0.001385362828940905,0.0027216447448693286,0.003013065684039861,0.3385039654293411,4.299459789016297,0.054265504131575854,0.7614776318989194,1.34781075189494e-13,1.34781075189494e-13,0.042014041959251534,0.5787789159306224,63
male,60-64,10,0.00557435586291985,0.005379147045621845,0.0026528180211710076,0.002459145555342061,-3.605456187896133e-5,0.007086024108490146,0.006279694356852144,0.001385362828940905,0.0027216447448693286,0.003013065684039861,0.3385039654293411,4.299459789016297,0.054265504131575854,0.7614776318989194,1.34781075189494e-13,1.34781075189494e-13,0.042014041959251534,0.5787789159306224,64
male,60-64,10,0.00557435586291985,0.005379147045621845,0.0026528180211710076,0.002459145555342061,-3.605456187896133e-5,0.007086024108490146,0.006279694356852144,0.001385362828940905,0.0027216447448693286,0.003013065684039861,0.3385039654293411,4.299459789016297,0.054265504131575854,0.7614776318989194,1.34781075189494e-13,1.34781075189494e-13,0.042014041959251534,0.5787789159306224,65
male,60-64,10,0.00557435586291985,0.005379147045621845,0.0026528180211710076,0.002459145555342061,-3.605456187896133e-5,0.007086024108490146,0.006279694356852144,0.001385362828940905,0.0027216447448693286,0.003013065684039861,0.3385039654293411,4.299459789016297,0.054265504131575854,0.7614776318989194,1.34781075189494e-13,1.34781075189494e-13,0.042014041959251534,0.5787789159306224,66
male,65-69,11,0.003354895347502842,0.0032740006014349283,0.0015683787398857389,0.001623547478837499,7.607062683965349e-5,0.004199369538886391,0.0036108617400885034,7.750352655440799e-4,0.001568507184989879,0.0017717290093450667,0.23076991006675893,2.9246266301193695,0.04106425886759805,0.5751183676811995,1.34781075189494e-13,1.34781075189494e-13,0.03420430441032289,0.47032360715556776,67
male,65-69,11,0.003354895347502842,0.0032740006014349283,0.0015683787398857389,0.001623547478837499,7.607062683965349e-5,0.004199369538886391,0.0036108617400885034,7.750352655440799e-4,0.001568507184989879,0.0017717290093450667,0.23076991006675893,2.9246266301193695,0.04106425886759805,0.5751183676811995,1.34781075189494e-13,1.34781075189494e-13,0.03420430441032289,0.47032360715556776,68
male,65-69,11,0.003354895347502842,0.0032740006014349283,0.0015683787398857389,0.001623547478837499,7.607062683965349e-5,0.004199369538886391,0.0036108617400885034,7.750352655440799e-4,0.001568507184989879,0.0017717290093450667,0.23076991006675893,2.9246266301193695,0.04106425886759805,0.5751183676811995,1.34781075189494e-13,1.34781075189494e-13,0.03420430441032289,0.47032360715556776,69
