sex,age,population_number,incidence_number_stmc,incidence_number_lvrc,incidence_number_tbalc,incidence_number_brsc,incidence_number_dmt2,incidence_number_allc,incidence_number_lwri,incidence_number_copd,incidence_number_iscs,incidence_number_carc,incidence_number_crdd,incidence_number_ishd,incidence_number_strk,incidence_number_adaod,incidence_number_pdri,incidence_number_cyri,incidence_number_mtri,incidence_number_mvri,incidence_number_otri,deaths_number_allc,deaths_number_lwri,deaths_number_copd,deaths_number_iscs,deaths_number_crdd,deaths_number_strk,deaths_number_pdri,deaths_number_cyri,deaths_number_mtri,deaths_number_mvri,deaths_number_otri,ylds (years lived with disability)_number_stmc,ylds (years lived with disability)_number_lvrc,ylds (years lived with disability)_number_tbalc,ylds (years lived with disability)_number_brsc,ylds (years lived with disability)_number_dmt2,ylds (years lived with disability)_number_allc,ylds (years lived with disability)_number_lwri,ylds (years lived with disability)_number_copd,ylds (years lived with disability)_number_iscs,ylds (years lived with disability)_number_carc,ylds (years lived with disability)_number_crdd,ylds (years lived with disability)_number_ishd,ylds (years lived with disability)_number_strk,ylds (years lived with disability)_number_adaod,ylds (years lived with disability)_number_pdri,ylds (years lived with disability)_number_cyri,ylds (years lived with disability)_number_mtri,ylds (years lived with disability)_number_mvri,ylds (years lived with disability)_number_otri,prevalence_number_stmc,prevalence_number_lvrc,prevalence_number_tbalc,prevalence_number_brsc,prevalence_number_dmt2,prevalence_number_allc,prevalence_number_lwri,prevalence_number_copd,prevalence_number_iscs,prevalence_number_carc,prevalence_number_crdd,prevalence_number_ishd,prevalence_number_strk,prevalence_number_adaod,prevalence_number_pdri,prevalence_number_cyri,prevalence_number_mtri,prevalence_number_mvri,prevalence_number_otri,incidence_number_utrc,ylds (years lived with disability)_number_utrc,prevalence_number_utrc,deaths_number_lvrc,deaths_number_stmc,deaths_number_tbalc,deaths_number_brsc,deaths_number_dmt2,deaths_number_carc,deaths_number_ishd,deaths_number_utrc,deaths_number_adaod,age_cat,sex_age_cat,incidence_rate_stmc,incidence_rate_lvrc,incidence_rate_tbalc,incidence_rate_brsc,incidence_rate_utrc,incidence_rate_dmt2,incidence_rate_allc,incidence_rate_lwri,incidence_rate_copd,incidence_rate_iscs,incidence_rate_carc,incidence_rate_crdd,incidence_rate_ishd,incidence_rate_strk,incidence_rate_adaod,incidence_rate_pdri,incidence_rate_cyri,incidence_rate_mtri,incidence_rate_mvri,incidence_rate_otri,deaths_rate_stmc,deaths_rate_lvrc,deaths_rate_tbalc,deaths_rate_brsc,deaths_rate_utrc,deaths_rate_dmt2,deaths_rate_allc,deaths_rate_lwri,deaths_rate_copd,deaths_rate_iscs,deaths_rate_carc,deaths_rate_crdd,deaths_rate_ishd,deaths_rate_strk,deaths_rate_adaod,deaths_rate_pdri,deaths_rate_cyri,deaths_rate_mtri,deaths_rate_mvri,deaths_rate_otri,ylds (years lived with disability)_rate_stmc,ylds (years lived with disability)_rate_lvrc,ylds (years lived with disability)_rate_tbalc,ylds (years lived with disability)_rate_brsc,ylds (years lived with disability)_rate_utrc,ylds (years lived with disability)_rate_dmt2,ylds (years lived with disability)_rate_allc,ylds (years lived with disability)_rate_lwri,ylds (years lived with disability)_rate_copd,ylds (years lived with disability)_rate_iscs,ylds (years lived with disability)_rate_carc,ylds (years lived with disability)_rate_crdd,ylds (years lived with disability)_rate_ishd,ylds (years lived with disability)_rate_strk,ylds (years lived with disability)_rate_adaod,ylds (years lived with disability)_rate_pdri,ylds (years lived with disability)_rate_cyri,ylds (years lived with disability)_rate_mtri,ylds (years lived with disability)_rate_mvri,ylds (years lived with disability)_rate_otri,prevalence_rate_stmc,prevalence_rate_lvrc,prevalence_rate_tbalc,prevalence_rate_brsc,prevalence_rate_utrc,prevalence_rate_dmt2,prevalence_rate_allc,prevalence_rate_lwri,prevalence_rate_copd,prevalence_rate_iscs,prevalence_rate_carc,prevalence_rate_crdd,prevalence_rate_ishd,prevalence_rate_strk,prevalence_rate_adaod,prevalence_rate_pdri,prevalence_rate_cyri,prevalence_rate_mtri,prevalence_rate_mvri,prevalence_rate_otri
female,Under 5,32989.65318386344,0,0,0,0,0,233518.0306192,712.278334139,4.277171978996,1.493909252107,0,10.12539715657,0,2.302602373995,0,16.06485394014,14.90336967292,7.536849116798,29.4506634987,11.34760200732,21.040713371784616,0.7375657516361886,0.015050415067520776,0.010651012704651092,0.27466659980129926,0.03531497701259547,0.05685861420027563,0.004523574882737445,0.005915610992748129,0.08104645296686756,0.0041947875569241086,0,0,0,0,0,923.732582985,1.156853244472,0.93740340106,0.6699368933931,0,2.0832996588970003,0,0.947619396874,0,0.31731302184960003,0.18750472855529998,0.1629891241716,0.5185908508183,0.1468907986723,0,0,0,0,0,21559.5661401,18.33807541506,12.70693387426,4.718910796794,0,6.500996658908,0,0,0,4.579728041141,2.994187039666,2.462970038954,6.125736720622999,2.405181820669,0,0,0,0,0,0,0,0,0,0,0,0,2,female_2,0,0,0,0,0,0,7.078523357542389,0.021590961571169347,1.296519231395902e-4,4.528417573173309e-5,0,3.0692645054912964e-4,0,6.979771388203909e-5,0,4.86966439162142e-4,4.5175890725064773e-4,2.284609988105172e-4,8.927242531032578e-4,3.4397457724322385e-4,0,0,0,0,0,0,6.377973498089538e-4,2.2357487286255e-5,4.562162258463068e-7,3.228591899796306e-7,0,8.325840780152539e-6,0,1.0704864587624535e-6,0,1.723528704087361e-6,1.371210196580698e-7,1.793171622562462e-7,2.4567234009756315e-6,1.2715464250396991e-7,0,0,0,0,0,0,0.028000675782697666,3.506715387471437e-5,2.8415072927123753e-5,2.0307485188137504e-5,0,6.315009276654129e-5,0,2.8724745652601118e-5,0,9.618561919432682e-6,5.683743551660496e-6,4.940613448198495e-6,1.5719803052429892e-5,4.4526324012448294e-006,0,0,0,0,0,0,0.6535250922445479,5.558735435275776e-4,3.851793713453002e-4,1.4304214629034682e-4,0,1.9706168545257388e-4,0,0,0,1.3882316420898684e-4,9.076139791401556e-5,7.465886425743746e-5,1.8568660563001438e-4,7.29071568974684e-5
female,5 to 9,33012.78728211009,0,0.021364126372789997,0,0,0,216286.41225599998,354.255464041,5.376351755459,1.16517905941,0,8.81921234287,0,2.03755346611,0,36.016928155689996,60.93445001836,14.133704230380001,68.00577989573,25.42394039953,1.4263643962241288,0.058277038728275554,0.008886629907384588,0.0015010968437723776,0.05127570034451659,0.011658237477857231,0.043620553216492414,0.008870993036630954,0.004761937804611756,0.049471480219856465,0.004671951584238165,0,0.00451645845958,0,0,0,1252.933549634,0.5425632186395,2.8981753272599997,1.8570035585909999,0,3.992294474585,0,2.709711633893,0,1.249745332429,1.097118834477,0.5382282764683,1.8069524452999999,0.505344829164,0,0,0,0,0,26350.66492567,8.44281789665,40.05820955018,13.18300614035,0,6.875426118837,0,6.4203636723069994,0,20.03216517875,18.53297267481,8.89190834876,23.25457875681,8.6465311951,0,0,0,0.005704502041981558,0,0,0,0,0,0,0,0,7,female_7,0,6.47147003681431e-7,0,0,0,0,6.551595004921242,0.010730855926030033,1.6285664429105902e-4,3.5294779851606785e-5,0,2.671453418187808e-4,0,6.172012828538618e-5,0,0.001090999310294768,0.001845783256580122,4.281281707479203e-4,0.0020599829791585916,7.701240183771896e-4,0,1.7279674064579443e-7,0,0,0,0,4.3206421318962295e-5,1.7652868335615022e-6,2.691875069937014e-7,4.547016375638887e-8,0,1.5532072437974156e-6,0,3.531430829584913e-7,0,1.321322942038607e-6,2.6871384596593033e-7,1.4424525151174649e-7,1.4985550840375566e-6,1.4151945257799954e-7,0,1.3680936483747033e-7,0,0,0,0,0.03795297679432767,1.6434941224533306e-5,8.778947692279669e-5,5.625103820292466e-5,0,1.2093176018337774e-4,0,8.208066803742487e-5,0,3.7856401574012126e-5,3.323314766189215e-5,1.630363022270375e-5,5.473492528391272e-5,1.5307548097819983e-5,0,0,0,0,0,0,0.7981957021832461,2.557438675050996e-4,0.0012134149476038907,3.9933029670275626e-4,0,2.0826554450198914e-4,0,1.9448111477052559e-4,0,6.068001773847675e-4,5.613876985435028e-4,2.6934739780601927e-4,7.044112500434598e-4,2.619146066404889e-4
female,10 to 14,30256.23100195126,0,0.03436300385254,0,0,48.35067149417,165282.0102541,213.0767710524,10.08195880967,0.9742485257919999,0,7.122374085520001,0,1.70773016866,0,41.347304568060004,86.39830768339999,20.65620909575,94.88168371149999,34.24728408322,1.9696966870000636,0.06373790673135268,0.012433483137981953,0.0019994998668151336,0.07548455489171982,0.023513134190586097,0.0764590426542114,0.02004151922880473,0.006743763738346874,0.07015776735697332,0.006722001149948122,0,0.007383889140562,0,0,4.672044244419999,1711.728727463,0.3007808757993,4.9668228142310005,2.685410974272,0,6.68156722216,0,3.98907867348,0,2.367049057409,2.472931977719,1.051422056706,3.45424118653,0.959746923064,0,0,0,0,93.99037019223,26408.27010686,4.678819865262,70.0971421779,18.95644897501,0,40.3870289136,0,10.99639500853,0,40.67236278892,44.26725338332,18.03153536276,46.83123175076,16.77524850883,0,0,0,0.009241765699585538,0,0,0,0,0,0,0,0,12,female_12,0,1.135733127180444e-6,0,0,0,0.0015980401356352617,5.462742872482722,0.007042409579655127,3.332192568538958e-4,3.2199930180635175e-5,0,2.354018940779726e-4,0,5.6442263696025674e-5,0,0.0013665715523322607,0.002855554205605717,6.8270926059554e-4,0.0031359386337769884,0.001131908468077579,0,3.054499980182438e-7,0,0,0,0,6.510053042869204e-5,2.1066043132484726e-6,4.109395891768576e-7,6.60855566143114e-8,0,2.4948432898615736e-6,0,7.771336155210379e-7,0,2.527051127064718e-6,6.623931192061638e-7,2.2288842711149187e-7,2.318787404566311e-6,2.2216915086068097e-7,0,2.440452394776403e-7,0,0,0,1.544159364766449e-4,0.056574420236036954,9.941121740507015e-6,1.6415867574221934e-4,8.875563430550272e-5,0,2.2083276736382327e-4,0,1.3184321184032274e-4,0,7.823344081608666e-5,8.173298179669232e-5,3.4750595890089304e-5,1.1416627491729661e-4,3.1720637081403326e-5,0,0,0,0,0,0.003106479792085421,0.8728208779592177,1.5463987781426765e-4,0.0023167836791495727,6.265304152981737e-4,0,0.0013348334401266104,0,3.6344232722908645e-4,0,0.001344264022385901,0.0014630789069684574,5.959610554796837e-4,0.0015478210669312975,5.54439464312265e-4
female,15 to 19,31688.71194118941,0.01747743913533,0.1469035887329,0.01798130996719,0.1159045966372,89.76176498160001,173574.032687,268.7960106246,21.29735626849,0.905308055728,0.06020117469909,9.8499805962,0.4969524058163,1.678655451068,0,40.15207492739,84.1040475457,28.472354306419998,126.7288740212,40.22832474887,6.034158460664331,0.12378337491051594,0.020579728973893437,0.00899854250321256,0.306022285841652,0.0789552250891847,0.17087967552127728,0.045646487631447505,0.05809831354815215,0.596381215066292,0.02378937296987255,0.006362487894656,0.03174333857854,0.005133662732173,0.0925092590837,26.42543641259,2899.93573992,0.3678790581871,10.52993767669,3.7201209855529997,0.04715538650023,17.03654221986,0.1379913471022,5.635323968976,0,3.648568192829,3.9468439106899997,2.031834024304,6.26028010754,1.665452146716,0.06173102434394,0,0.030515865666239997,1.111428899766,505.0857636513,30114.29521513,5.88128834815,153.0417421552,26.75787976653,0.4262650693686,207.2101868943,3.665009077379,23.00541539573,0,65.9274338996,73.8368931173,36.23466381337,90.3266799399,30.50578477742,0.08588327528930001,0.04940333533943,0.7387735297265,0.0332153798250743,0.005466379547376138,0.011717896322322497,0.008255112232075394,0.0045298101873376346,0.01100434837415296,0.019962676321193064,0.004310543798230759,0,17,female_17,5.515351702450422e-7,4.6358333846303404e-6,5.674358112302335e-7,3.657598858934549e-6,2.710216667963326e-6,0.002832610083621811,5.4774720098795235,0.00848238991611443,6.720802129166826e-4,2.8568786809894552e-5,1.8997671729547236e-6,3.1083562545806303e-4,1.56823163635867e-5,5.297329390299583e-5,0,0.001267078163413761,0.002654069616391711,8.985014714154807e-4,0.003999180347134152,0.0012694843773874156,1.725024216042958e-7,1.0481770255199456e-6,3.6978140178337193e-7,2.605063988525608e-7,1.3602773777080719e-7,1.4294712248779437e-7,1.9041980853822752e-4,3.906229295158592e-6,6.494340638422615e-7,2.839668119017528e-7,3.472639845562596e-7,9.65713868110493e-6,6.299617465752942e-7,2.491588337061995e-6,0,5.392446238850295e-6,1.440465226739481e-6,1.8334072289203774e-6,1.8819989154911273e-5,7.507207302721196e-7,2.007808934128987e-7,1.0017238516179504e-6,1.6200288423525972e-7,2.9193126958074695e-6,1.5590199889196155e-6,8.339069275403986e-4,0.09151320966601438,1.1609151513316194e-5,3.322930163975219e-4,1.1739577779169803e-4,1.488081515832671e-6,5.376217957826072e-4,4.3545899675031294e-6,1.7783379707684272e-4,0,1.1513778785329998e-4,1.2455046825553801e-4,6.41185425294297e-5,1.975555244769291e-4,5.2556637512022796e-5,1.948044605236895e-6,0,9.629885153702024e-7,3.5073337844361856e-5,2.3313460360824333e-5,0.015938980561553934,0.950316165296294,1.8559568969117433e-4,0.004829534959932351,8.443978352982455e-4,1.3451637610253731e-5,0.00653892740351385,1.1565661249282816e-4,7.259813979951409e-4,0,0.0020804706111739,0.0023300692452988543,0.0011434565052886136,0.0028504370927898834,9.626703929789009e-4
female,20 to 24,39138.00890039654,0.05387727585396,0.1663062452743,0.037743243111859996,0.6398158834393,73.7623957462,225118.8236474,371.3568565247,39.01686477549,1.305637942943,0.29731199382310003,21.97322869689,1.4093809838840001,2.653657709839,0,38.19452886376,78.9187294134,33.01222071592,160.4071273794,44.82511121647,7.624073428896756,0.1621283461959201,0.022962642161739287,0.01697440488324927,0.5305983724468544,0.15845815536989588,0.10509368483481608,0.03786969385680265,0.05741661263618844,0.5629397001040514,0.022761247170969456,0.02014209747483,0.0356440561718,0.01109546652403,0.5137674140340001,59.390853349269996,4474.959544433,0.5146542420929,24.156743218589998,5.809433877439,0.2276131604892,26.33299507681,0.7435194518641,8.96275273251,0,5.834536200206999,6.456091722838,3.666044768441,10.84552808307,2.8591176121029998,0.2009020918919,0,0.07057044068181,6.177791734411,1074.436727138,38174.57966447,8.269073925641,353.1101487529,41.84440904191,2.1449758215,320.7364112665,14.96148952628,39.72496709033,0,109.27510861510001,125.6924389781,68.74759593694,162.55926684370002,53.84442817363,0.1399171433276,0.08057099241730001,1.206071264777,0.03379112170418007,0.015348636087477628,0.02092932087266043,0.03872715499993663,0.005338448911758571,0.04620000826459139,0.04862045633924077,0.006233968522984564,0,22,female_22,1.3765972610173873e-6,4.249226006809329e-6,9.643628833524434e-7,1.634768608356102e-5,3.574968355791405e-6,0.001884674203379126,5.751923257524711,0.009488394196796696,9.969046937156449e-4,3.335984582827798e-5,7.596502790413738e-6,5.61429395982057e-4,3.6010543803359415e-5,6.780257310974533e-5,0,9.758935095794569e-4,0.002016421673730071,8.434823754047827e-4,0.004098499946372458,0.0011453089330769669,3.9216701407930125e-7,8.633837707527759e-7,5.34756914331643e-7,9.895024322390672e-7,1.592816982297074e-7,1.3640062593231418e-7,1.9479972648326293e-4,4.142478137008074e-6,5.867095135109603e-7,4.3370639846416124e-7,1.1804383912877923e-6,1.355711205946091e-5,1.242282315970043e-6,4.048702522735908e-6,0,2.6852077504063137e-6,9.675937770155437e-7,1.4670294746549232e-6,1.438345270799782e-5,5.815637486540314e-7,5.146428763427953e-7,9.107273766151874e-7,2.834959374726286e-7,1.3127070805811858e-5,2.0586380012930007e-6,0.001517472529080759,0.11433794590372379,1.3149729803645826e-5,6.172195238666125e-4,1.4843457908713745e-4,5.815655085276805e-6,6.728240862693247e-4,1.899737551177691e-5,2.2900379923055284e-4,0,1.4907595874525658e-4,1.6495708147208757e-4,9.366967997198898e-5,2.771098578538091e-4,7.305219893478106e-5,5.133170989949478e-6,0,1.8031178045210927e-6,1.5784634701609482e-4,3.081585646950937e-5,0.02745251374111456,0.9753837953693966,2.112798825991687e-4,0.009022179683477008,0.0010691501744097677,5.480544058740473e-5,0.008195010944035285,3.8227518329703305e-4,0.0010149971397734419,0,0.002792045678491142,0.003211518483170116,0.00175654300942845,0.004153488422402934,0.0013757579827492056
female,25 to 29,44163.23258110997,0.2086078870241,0.1805400648693,0.1118867587676,6.274966180645,32.53375796191,255218.3547265,438.2073917408,57.65997565038,2.060967338749,0.833285798811,44.26192481462,1.9915219974260001,4.462598149507,0,32.42471313687,71.92780237162,29.06393968748,160.16676908350001,43.6682662435,10.915989701760349,0.23949348421898692,0.028857631705515183,0.034094492982537965,0.8317090464119546,0.27399823761786274,0.08484929499819055,0.03224211550802854,0.04449560640149253,0.41396856967862805,0.020515873056633414,0.07805224038993999,0.04965387809111,0.0356315028729,4.747767932459,85.1743333475,5721.103834221,0.6107821227617001,43.98860928168,8.21003461306,0.605377962445,47.85929402616,1.675475863454,13.04421187755,0,7.771907549115,8.866964342240001,5.1545436373969995,15.86278294985,4.064434502843,0.7787708559853,0,0.2655354961419,55.5096567367,1462.105771908,43568.03925343,9.76669686466,653.5197205457,59.07844930348,5.972785367044,666.3367631274,35.48768774488,62.12648771011,0,148.7425116307,175.0140987168,98.8468155065,248.60968090850002,78.0084406034,0.48544592382859997,0.27849699622019997,4.1879825881579995,0.06116193529885941,0.062004273084272386,0.053792340892350785,0.3329700190000139,0.009294593095911876,0.14274968007189837,0.09487417351437137,0.017854867951539403,0,27,female_27,4.7235647128178805e-6,4.0880174370778e-6,2.5334820897023183e-6,1.4208575355348883e-4,1.0992083130170158e-5,7.366706660831192e-4,5.7789781184556,0.009922448293068006,0.0013056103976193767,4.666703994015469e-5,1.8868315340834516e-5,0.001002234714891596,4.509457032540317e-5,1.0104781486072186e-4,0,7.342015346661712e-4,0.0016286806505732515,6.581026339976657e-4,0.0036266993995364475,9.887923435699386e-4,1.4039794974336547e-6,1.3849062155160337e-6,1.2180344994799925e-6,7.539530046594366e-6,4.042925960808517e-7,2.1045998113569863e-7,2.471737022807852e-4,5.422915629627754e-6,6.534311466561104e-7,7.720108105746152e-7,3.2323195501988e-6,1.883261251051861e-5,2.148261528186958e-6,6.20421607758533e-6,0,1.9212654970932382e-6,7.300669272525019e-7,1.0075260301603176e-6,9.373602100306753e-6,4.645464531826121e-7,1.7673579543025896e-6,1.12432616883096e-6,8.068137405353958e-7,1.0750499125577534e-4,6.3060826833432944e-6,0.0019286254282013717,0.12954449889313807,1.383010452506937e-5,9.96045957480371e-4,1.8590203056312717e-4,1.3707736663822465e-5,0.0010836909172864976,3.793825237717437e-5,2.953636116557606e-4,0,1.7598140115402907e-4,2.0077706780079966e-4,1.1671572337758995e-4,3.5918527749789357e-4,9.20320878997768e-5,1.763391877066547e-5,0,6.012591937291248e-6,0.0012569201458419341,9.482962055520668e-5,0.033106855781507925,0.9865228767711501,2.211499542458205e-4,0.014797823491417866,0.001337729279553457,1.352433917982433e-4,0.015088043247368933,8.035572957596228e-4,0.001406746836206086,0,0.003368016853329752,0.0039628914934016655,0.0022382151334814186,0.005629336132763939,0.001766366183909434
female,30 to 34,39816.79638635613,0.4366163824678,0.22233449543790001,0.2942509980082,13.771527659410001,25.990127224720002,223327.3101648,408.542090501,70.31456944727,3.27793315708,1.8889722841299998,70.74460878372,3.839496189222,7.5235355693170005,0,23.32395628606,59.03899947811,20.7485564036,120.54435682889999,33.6593591957,13.670646337417176,0.28284375013186286,0.03669677113154368,0.041424707615585026,1.292878426083944,0.4433374076891252,0.06460274253679794,0.02217889852346071,0.031728063798998285,0.2780124839399862,0.013886847789079183,0.1657726281123,0.06325388091626,0.0902603052045,10.03024969238,85.83246631391,5469.873900508,0.5639001642914,59.14407016148,8.89291958091,1.264955732563,51.21147774267,2.814708890435,15.13805499225,0,7.9179876779719995,9.304505482989999,5.580735596432,17.29466859623,4.399573556215,1.676127880946,0,0.6267703209187,120.3069665923,1407.826856885,39414.68929465,9.09878292537,889.342855206,67.85031532693999,13.53973440456,736.9915897000001,61.60407272512,90.9908257725,0,155.4296536314,186.40053104129998,108.9772666569,278.2037956826,85.7336495457,0.705228297684,0.396482788467,6.07475305166,0.06991100752232757,0.13320612295011464,0.15687950048598193,1.131526144945338,0.022487127649141243,0.31073233284890345,0.2548460982931494,0.02847958205974008,0,32,female_32,1.0965633152179306e-5,5.583937323347454e-6,7.39012237832951e-6,3.458723179479361e-4,1.771182922003383e-5,6.527428016189152e-4,5.608871894106647,0.010260546492409258,0.0017659524579773682,8.232538663515473e-5,4.74415938891881e-5,0.0017767529084274038,9.642905853012487e-5,1.8895381477488887e-4,0,5.857818409030097e-4,0.0014827661900579392,5.211005979052053e-4,0.0030274750298646944,8.453557857616571e-4,3.345475654484344e-6,1.755816988487896e-6,3.940033220245193e-6,2.8418312060210695e-5,7.152655322490754e-7,5.647648653332346e-7,3.4333868061021716e-4,7.103629015939209e-6,9.216404749257633e-7,1.0403827373158497e-6,7.804051582497002e-6,3.247067929671433e-5,6.400467175216451e-6,1.1134431896209559e-5,0,1.6224997588940912e-6,5.570236818716201e-7,7.968512456685345e-7,6.982291624929715e-6,3.487685863606479e-7,4.1633843793898164e-6,1.58862306003943e-6,2.2668901919851382e-6,2.5191001292653034e-4,9.95767677087304e-6,0.0021556848893880846,0.13737604219666302,1.4162369036918036e-5,0.0014854050433285655,2.2334593407814454e-4,3.176940003632381e-5,0.0012861777538742028,7.069149569751688e-5,3.8019269168117453e-4,0,1.9886049096318623e-4,2.33682925986942e-4,1.4016033691611435e-4,4.3435610510734855e-4,1.1049541790164175e-4,4.209600050897998e-5,0,1.574135485027301e-5,0.003021512967163906,1.52567599681164e-4,0.035357612481535926,0.9899010686895966,2.2851619796533516e-4,0.022335871690338897,0.0017040626440300456,3.4005082360668296e-4,0.018509565223397584,0.0015471880793058888,0.002285237237310219,0,0.003903620274298624,0.00468145476176916,0.002736967223567058,0.006987096424913056,0.0021532031033787043
female,35 to 39,37411.90629848326,0.6707585713063,0.2972202565821,0.6659828845382,29.98128922699,33.95147311536,203344.7293405,396.9164024132,98.3846549522,5.25336733227,3.3463232432970003,107.44288323239999,7.1149287649440005,12.41781579988,0,19.70157292147,53.48479838228,17.30083698957,90.51111395619999,25.98386196518,22.381519452961378,0.49234216443152085,0.08244145273677572,0.0626950739579957,2.362472034600781,0.8108631283917878,0.07083807929405062,0.02403765007301939,0.03655445226929872,0.2859212582762108,0.016079763542399882,0.2453059041059,0.08979507294619,0.2028684159141,21.37257119657,89.16635544078,5534.976405386999,0.5491846644863,81.499419477,11.41754991062,2.130088220877,49.59911489846,4.746848504472,20.28739058254,0,8.18631434423,10.03379661055,5.9663683356020005,18.570797404460002,4.621679779211,2.380026456103,0,1.3897941471470001,262.9595727481,1411.551842653,37124.60779019,8.837545565860001,1236.89172811,88.0255812832,24.09451518938,722.2698058027,112.1161529011,142.2923092218,0,162.0510437652,200.4230653547,117.69151791690001,305.8885085547,90.4602309278,1.557129393871,0.871260290342,13.42698018387,0.12811935836299623,0.23484528881121086,0.4058077700047539,2.9633670802145953,0.03664645166336308,0.5988505967915433,0.6184082661502285,0.06329597833661052,0,37,female_37,1.792901345242313e-5,7.944536539004156e-6,1.7801361930739144e-5,8.013836287247808e-4,4.162122564532694e-5,9.07504494544734e-4,5.43529452143271,0.01060936054010409,0.0026297685599674632,1.4041966454093733e-4,8.944540854451635e-5,0.0028718900976386734,1.9017819375946772e-4,3.31921493141969e-4,0,5.266123774684192e-4,0.001429619703298796,4.6244200580261276e-4,0.002419313071995731,6.945345622827412e-4,6.277287421216808e-6,3.4245610833305865e-6,1.084702198190863e-5,7.920919764344472e-5,1.6918672315603613e-6,9.79539812031679e-7,5.982458972925622e-4,1.3160039493937286e-5,2.2036153966342535e-6,1.67580538285849e-6,1.6006952225682808e-5,6.314759840763739e-5,1.65297181388295e-5,2.1673932408642362e-5,0,1.8934635067479173e-6,6.425133721131423e-7,9.77080718038169e-7,7.64252043173225e-6,4.2980337366694893e-7,6.556894004512277e-6,2.4001736834733396e-6,5.42256292142816e-6,5.712772566587038e-4,2.3288315847656292e-5,0.0023833684049506705,0.14794692259804457,1.4679408745032722e-5,0.0021784353576311645,3.0518492748077064e-4,5.693610488282863e-5,0.0013257574875426977,1.268806905106689e-4,5.42270966378489e-4,0,2.1881575022981084e-4,2.6819795095436736e-4,1.59477795330731e-4,4.963873601173029e-4,1.2353499825263836e-4,6.361681859016871e-5,0,3.7148445098167705e-5,0.007028767009361424,3.588959107495239e-4,0.037730016519105486,0.9923206664209754,2.362228081977819e-4,0.033061446220935965,0.0023528761293505297,6.440333458858479e-4,0.01930588086156898,0.0029968040657058245,0.003803396386341552,0,0.004331536663016014,0.0053572000249242965,0.003145830553993219,0.008176234221112149,0.0024179529961954223
female,40 to 44,34506.57967381241,0.961233726198,0.4013554533336,1.525041111375,47.19840577904,68.19218518356,178384.6475288,367.4864825788,118.25602897510001,7.84986770051,5.300911948873,204.9858746434,12.86338600963,18.26829910779,1.497807835105,17.71825058472,48.51984798349,14.533742692650002,67.7844091967,19.44961141158,30.520919714661346,0.6998697709073538,0.22166019733900344,0.10125102290707524,3.7261438226488077,1.239483801749339,0.07541922559723138,0.020777807271532257,0.029071251017513133,0.2623820701345259,0.01374866045218935,0.34684606899139997,0.1213295603177,0.4621455148879,33.5560700987,95.7225227475,5405.521940839,0.5073767741896,108.0968455127,15.0052520536,3.300181443099,71.8974599977,7.97190329808,27.336302136780002,0.3360556522085,8.3191093477,10.54301041215,6.205245409174999,18.96050252075,4.6996494071249995,3.310524621321,0,3.142721064128,419.4370240685,1465.457144571,34306.39490354,8.17823300441,1663.794499673,116.66322869289999,38.25428621691,1486.048705734,196.5313325903,204.1448477767,2.522992087749,165.8111998313,209.9000985006,122.4590995563,314.79636003,93.0729059535,2.9486425525130002,1.644076569435,25.38534008882,0.18899418785083585,0.3860501158731831,1.0492486011834679,4.902890504993145,0.049285469845750406,0.9733978772178091,1.164879955932695,0.13783994385434145,0.049780456371463645,42,female_42,2.7856534472105197e-5,1.163127314058875e-5,4.419566140113208e-5,0.0013678088708067354,8.545160315471e-5,0.0019762081848787847,5.169583575510932,0.010649751034516217,0.0034270573929077756,2.2748901150777885e-4,1.5362032397826857e-4,0.00594048661388967,3.727806734607263e-4,5.294149486990187e-4,4.340644159066597e-5,5.13474553323135e-4,0.0014061042398911673,4.211875772689198e-4,0.0019643908448029306,5.636493560195019e-4,1.1187724762131745e-5,5.4770478452915615e-6,3.0407203817414544e-5,1.4208567036604983e-4,3.994598860777568e-6,1.428291946395195e-6,8.844956528051418e-4,2.0282212190346294e-5,6.4237081575263995e-6,2.93425265164476e-6,2.8209051329318976e-5,1.0798357466522934e-4,3.375819820289928e-5,3.592021618676982e-5,1.4426366461710726e-6,2.1856476738686513e-6,6.021404459075051e-7,8.42484282485284e-7,7.603827229902239e-6,3.9843590938754864e-7,1.0051592254871523e-5,3.5161282707419106e-6,1.3392967928334825e-5,9.724542512153481e-4,4.764530663358431e-5,0.002774036825798337,0.15665191948715035,1.4703768932933573e-5,0.0031326444560582285,4.3485190927189236e-4,9.563919328705765e-5,0.0020835869760880447,2.3102560072420052e-4,7.922054980582719e-4,9.738886188813953e-6,2.4108762521060593e-4,3.0553623430117175e-4,1.7982788986427008e-4,5.49474989986893e-4,1.36195747348777e-4,9.593893838842015e-5,0,9.107599460264851e-5,0.012155276704715461,7.356666562952727e-4,0.042468919215518736,0.9941986492963156,2.370050315539268e-4,0.04821673186391406,0.0033808980720693555,0.0011086084618795698,0.043065662252865525,0.005695474151541329,0.005916113671840642,7.31162610608938e-5,0.004805205308630944,0.006082900724579681,0.003548862295651868,0.00912279231977616,0.002697250983241741
