age,sex,inc,mort,ylds (years lived with disability)_rate_copd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,1.296519231395902e-4,4.562162258463068e-7,2.8415072927123753e-5,3.851793713453002e-4,6598,copd,0,10,0,0,0,5,female_copd
1,female,1.296519231395902e-4,4.562162258463068e-7,2.8415072927123753e-5,3.851793713453002e-4,6598,copd,0,10,0,0,0,5,female_copd
2,female,1.296519231395902e-4,4.562162258463068e-7,2.8415072927123753e-5,3.851793713453002e-4,6598,copd,0,10,0,0,0,5,female_copd
3,female,1.296519231395902e-4,4.562162258463068e-7,2.8415072927123753e-5,3.851793713453002e-4,6598,copd,0,10,0,0,0,5,female_copd
4,female,1.296519231395902e-4,4.562162258463068e-7,2.8415072927123753e-5,3.851793713453002e-4,6598,copd,0,10,0,0,0,5,female_copd
5,female,1.6285664429105902e-4,2.691875069937014e-7,8.778947692279669e-5,0.0012134149476038907,6603,copd,0,10,5,0,0,5,female_copd
6,female,1.6285664429105902e-4,2.691875069937014e-7,8.778947692279669e-5,0.0012134149476038907,6603,copd,0,10,5,0,0,5,female_copd
7,female,1.6285664429105902e-4,2.691875069937014e-7,8.778947692279669e-5,0.0012134149476038907,6603,copd,0,10,5,0,0,5,female_copd
8,female,1.6285664429105902e-4,2.691875069937014e-7,8.778947692279669e-5,0.0012134149476038907,6603,copd,0,10,5,0,0,5,female_copd
9,female,1.6285664429105902e-4,2.691875069937014e-7,8.778947692279669e-5,0.0012134149476038907,6603,copd,0,10,5,0,0,5,female_copd
10,female,3.332192568538958e-4,4.109395891768576e-7,1.6415867574221934e-4,0.0023167836791495727,6051,copd,0,50,10,0,0,5,female_copd
11,female,3.332192568538958e-4,4.109395891768576e-7,1.6415867574221934e-4,0.0023167836791495727,6051,copd,0,50,10,0,0,5,female_copd
12,female,3.332192568538958e-4,4.109395891768576e-7,1.6415867574221934e-4,0.0023167836791495727,6051,copd,0,50,10,0,0,5,female_copd
13,female,3.332192568538958e-4,4.109395891768576e-7,1.6415867574221934e-4,0.0023167836791495727,6051,copd,0,50,10,0,0,5,female_copd
14,female,3.332192568538958e-4,4.109395891768576e-7,1.6415867574221934e-4,0.0023167836791495727,6051,copd,0,50,10,0,0,5,female_copd
15,female,6.720802129166826e-4,6.494340638422615e-7,3.322930163975219e-4,0.004829534959932351,6338,copd,0,50,15,0,0,5,female_copd
16,female,6.720802129166826e-4,6.494340638422615e-7,3.322930163975219e-4,0.004829534959932351,6338,copd,0,50,15,0,0,5,female_copd
17,female,6.720802129166826e-4,6.494340638422615e-7,3.322930163975219e-4,0.004829534959932351,6338,copd,0,50,15,0,0,5,female_copd
18,female,6.720802129166826e-4,6.494340638422615e-7,3.322930163975219e-4,0.004829534959932351,6338,copd,0,50,15,0,0,5,female_copd
19,female,6.720802129166826e-4,6.494340638422615e-7,3.322930163975219e-4,0.004829534959932351,6338,copd,0,50,15,0,0,5,female_copd
20,female,9.969046937156449e-4,5.867095135109603e-7,6.172195238666125e-4,0.009022179683477008,7828,copd,0,50,20,0,0,5,female_copd
21,female,9.969046937156449e-4,5.867095135109603e-7,6.172195238666125e-4,0.009022179683477008,7828,copd,0,50,20,0,0,5,female_copd
22,female,9.969046937156449e-4,5.867095135109603e-7,6.172195238666125e-4,0.009022179683477008,7828,copd,0,50,20,0,0,5,female_copd
23,female,9.969046937156449e-4,5.867095135109603e-7,6.172195238666125e-4,0.009022179683477008,7828,copd,0,50,20,0,0,5,female_copd
24,female,9.969046937156449e-4,5.867095135109603e-7,6.172195238666125e-4,0.009022179683477008,7828,copd,0,50,20,0,0,5,female_copd
25,female,0.0013056103976193767,6.534311466561104e-7,9.96045957480371e-4,0.014797823491417866,8833,copd,0,50,25,1,0,5,female_copd
26,female,0.0013056103976193767,6.534311466561104e-7,9.96045957480371e-4,0.014797823491417866,8833,copd,0,50,25,1,0,5,female_copd
27,female,0.0013056103976193767,6.534311466561104e-7,9.96045957480371e-4,0.014797823491417866,8833,copd,0,50,25,1,0,5,female_copd
28,female,0.0013056103976193767,6.534311466561104e-7,9.96045957480371e-4,0.014797823491417866,8833,copd,0,50,25,1,0,5,female_copd
29,female,0.0013056103976193767,6.534311466561104e-7,9.96045957480371e-4,0.014797823491417866,8833,copd,0,50,25,1,0,5,female_copd
30,female,0.0017659524579773682,9.216404749257633e-7,0.0014854050433285655,0.022335871690338897,7963,copd,0,50,30,1,0,5,female_copd
