age,sex,inc,mort,ylds (years lived with disability)_rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
42,male,2.3983919005041005e-4,6.0311639694810055e-6,3.230774435458024e-4,0.002801130784429299,7179,iscs,0,50,40,0,0,5,male_iscs
43,male,2.3983919005041005e-4,6.0311639694810055e-6,3.230774435458024e-4,0.002801130784429299,7179,iscs,0,50,40,0,0,5,male_iscs
44,male,2.3983919005041005e-4,6.0311639694810055e-6,3.230774435458024e-4,0.002801130784429299,7179,iscs,0,50,40,0,0,5,male_iscs
45,male,4.7057165121862935e-4,1.3209821757771612e-5,5.366343399223685e-4,0.004591463784963141,7628,iscs,0,50,45,0,0,5,male_iscs
46,male,4.7057165121862935e-4,1.3209821757771612e-5,5.366343399223685e-4,0.004591463784963141,7628,iscs,0,50,45,0,0,5,male_iscs
47,male,4.7057165121862935e-4,1.3209821757771612e-5,5.366343399223685e-4,0.004591463784963141,7628,iscs,0,50,45,0,0,5,male_iscs
48,male,4.7057165121862935e-4,1.3209821757771612e-5,5.366343399223685e-4,0.004591463784963141,7628,iscs,0,50,45,0,0,5,male_iscs
49,male,4.7057165121862935e-4,1.3209821757771612e-5,5.366343399223685e-4,0.004591463784963141,7628,iscs,0,50,45,0,0,5,male_iscs
50,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,iscs,0,50,50,0,0,5,male_iscs
51,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,iscs,0,50,50,0,0,5,male_iscs
52,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,iscs,0,50,50,0,0,5,male_iscs
53,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,iscs,0,50,50,0,0,5,male_iscs
54,male,8.972364730376904e-4,2.2351039799819924e-5,9.006354652405114e-4,0.007616666632466814,7605,iscs,0,50,50,0,0,5,male_iscs
55,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,iscs,0,50,55,1,0,5,male_iscs
56,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,iscs,0,50,55,1,0,5,male_iscs
57,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,iscs,0,50,55,1,0,5,male_iscs
58,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,iscs,0,50,55,1,0,5,male_iscs
59,male,0.0015192580510746667,3.632763068640548e-5,0.0015543156008174805,0.01281094786788379,6479,iscs,0,50,55,1,0,5,male_iscs
60,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,iscs,0,50,60,1,1,5,male_iscs
61,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,iscs,0,50,60,1,1,5,male_iscs
62,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,iscs,0,50,60,1,1,5,male_iscs
63,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,iscs,0,50,60,1,1,5,male_iscs
64,male,0.0020383342385600837,9.365583151092664e-5,0.002469643744099781,0.020359425211484948,5560,iscs,0,50,60,1,1,5,male_iscs
65,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,iscs,0,50,65,2,1,5,male_iscs
66,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,iscs,0,50,65,2,1,5,male_iscs
67,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,iscs,0,50,65,2,1,5,male_iscs
68,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,iscs,0,50,65,2,1,5,male_iscs
69,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,iscs,0,50,65,2,1,5,male_iscs
70,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,iscs,0,50,70,2,2,5,male_iscs
71,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,iscs,0,50,70,2,2,5,male_iscs
72,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,iscs,0,50,70,2,2,5,male_iscs
73,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,iscs,0,50,70,2,2,5,male_iscs
74,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,iscs,0,50,70,2,2,5,male_iscs
75,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,iscs,0,50,75,3,3,5,male_iscs
76,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,iscs,0,50,75,3,3,5,male_iscs
77,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,iscs,0,50,75,3,3,5,male_iscs
78,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,iscs,0,50,75,3,3,5,male_iscs
79,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,iscs,0,50,75,3,3,5,male_iscs
80,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,iscs,0,20,80,1,6,5,male_iscs
81,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,iscs,0,20,80,1,6,5,male_iscs
82,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,iscs,0,20,80,1,6,5,male_iscs
83,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,iscs,0,20,80,1,6,5,male_iscs
84,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,iscs,0,20,80,1,6,5,male_iscs
