age,sex,inc,mort,ylds (years lived with disability)_rate_copd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1.1165200377763503e-4,3.9453718826254395e-7,2.1841923955396323e-5,3.3523065756446935e-4,6980,copd,0,10,0,0,0,5,male_copd
1,male,1.1165200377763503e-4,3.9453718826254395e-7,2.1841923955396323e-5,3.3523065756446935e-4,6980,copd,0,10,0,0,0,5,male_copd
2,male,1.1165200377763503e-4,3.9453718826254395e-7,2.1841923955396323e-5,3.3523065756446935e-4,6980,copd,0,10,0,0,0,5,male_copd
3,male,1.1165200377763503e-4,3.9453718826254395e-7,2.1841923955396323e-5,3.3523065756446935e-4,6980,copd,0,10,0,0,0,5,male_copd
4,male,1.1165200377763503e-4,3.9453718826254395e-7,2.1841923955396323e-5,3.3523065756446935e-4,6980,copd,0,10,0,0,0,5,male_copd
5,male,1.4212409303848394e-4,1.3554395778269512e-7,6.708765942015901e-5,0.0010536226002254845,6917,copd,0,10,5,0,0,5,male_copd
6,male,1.4212409303848394e-4,1.3554395778269512e-7,6.708765942015901e-5,0.0010536226002254845,6917,copd,0,10,5,0,0,5,male_copd
7,male,1.4212409303848394e-4,1.3554395778269512e-7,6.708765942015901e-5,0.0010536226002254845,6917,copd,0,10,5,0,0,5,male_copd
8,male,1.4212409303848394e-4,1.3554395778269512e-7,6.708765942015901e-5,0.0010536226002254845,6917,copd,0,10,5,0,0,5,male_copd
9,male,1.4212409303848394e-4,1.3554395778269512e-7,6.708765942015901e-5,0.0010536226002254845,6917,copd,0,10,5,0,0,5,male_copd
10,male,2.641960655633588e-4,1.347817504464663e-7,1.2321765855175922e-4,0.00197262441377276,6234,copd,0,50,10,0,0,5,male_copd
11,male,2.641960655633588e-4,1.347817504464663e-7,1.2321765855175922e-4,0.00197262441377276,6234,copd,0,50,10,0,0,5,male_copd
12,male,2.641960655633588e-4,1.347817504464663e-7,1.2321765855175922e-4,0.00197262441377276,6234,copd,0,50,10,0,0,5,male_copd
13,male,2.641960655633588e-4,1.347817504464663e-7,1.2321765855175922e-4,0.00197262441377276,6234,copd,0,50,10,0,0,5,male_copd
14,male,2.641960655633588e-4,1.347817504464663e-7,1.2321765855175922e-4,0.00197262441377276,6234,copd,0,50,10,0,0,5,male_copd
15,male,5.04833654474862e-4,3.5263183001937077e-7,2.3808593401240707e-4,0.003893798148422751,6436,copd,0,50,15,0,0,5,male_copd
16,male,5.04833654474862e-4,3.5263183001937077e-7,2.3808593401240707e-4,0.003893798148422751,6436,copd,0,50,15,0,0,5,male_copd
17,male,5.04833654474862e-4,3.5263183001937077e-7,2.3808593401240707e-4,0.003893798148422751,6436,copd,0,50,15,0,0,5,male_copd
18,male,5.04833654474862e-4,3.5263183001937077e-7,2.3808593401240707e-4,0.003893798148422751,6436,copd,0,50,15,0,0,5,male_copd
19,male,5.04833654474862e-4,3.5263183001937077e-7,2.3808593401240707e-4,0.003893798148422751,6436,copd,0,50,15,0,0,5,male_copd
20,male,7.505327018854301e-4,5.40697175245826e-7,4.2359881806913345e-4,0.007036190450610475,7845,copd,0,50,20,0,0,5,male_copd
21,male,7.505327018854301e-4,5.40697175245826e-7,4.2359881806913345e-4,0.007036190450610475,7845,copd,0,50,20,0,0,5,male_copd
22,male,7.505327018854301e-4,5.40697175245826e-7,4.2359881806913345e-4,0.007036190450610475,7845,copd,0,50,20,0,0,5,male_copd
23,male,7.505327018854301e-4,5.40697175245826e-7,4.2359881806913345e-4,0.007036190450610475,7845,copd,0,50,20,0,0,5,male_copd
24,male,7.505327018854301e-4,5.40697175245826e-7,4.2359881806913345e-4,0.007036190450610475,7845,copd,0,50,20,0,0,5,male_copd
25,male,0.0010007854735309368,6.829211008526884e-7,6.783686892522158e-4,0.011433431688134389,9023,copd,0,50,25,1,0,5,male_copd
26,male,0.0010007854735309368,6.829211008526884e-7,6.783686892522158e-4,0.011433431688134389,9023,copd,0,50,25,1,0,5,male_copd
27,male,0.0010007854735309368,6.829211008526884e-7,6.783686892522158e-4,0.011433431688134389,9023,copd,0,50,25,1,0,5,male_copd
28,male,0.0010007854735309368,6.829211008526884e-7,6.783686892522158e-4,0.011433431688134389,9023,copd,0,50,25,1,0,5,male_copd
29,male,0.0010007854735309368,6.829211008526884e-7,6.783686892522158e-4,0.011433431688134389,9023,copd,0,50,25,1,0,5,male_copd
30,male,0.0013322415312354,1.2065267172585266e-6,0.0010087034408460187,0.01717740841849097,8448,copd,0,50,30,1,0,5,male_copd
31,male,0.0013322415312354,1.2065267172585266e-6,0.0010087034408460187,0.01717740841849097,8448,copd,0,50,30,1,0,5,male_copd
32,male,0.0013322415312354,1.2065267172585266e-6,0.0010087034408460187,0.01717740841849097,8448,copd,0,50,30,1,0,5,male_copd
