age,sex,inc,mort,ylds (years lived with disability)_rate_utrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
49,female,1.9440823499660838e-4,1.0089428163962546e-5,1.0812928748809917e-4,0.0016679998084776256,7531,utrc,0,50,45,0,0,5,female_utrc
50,female,4.2811469859559885e-4,2.2473834894821948e-5,2.3353651357822604e-4,0.0036610056219130538,7629,utrc,0,50,50,0,0,5,female_utrc
51,female,4.2811469859559885e-4,2.2473834894821948e-5,2.3353651357822604e-4,0.0036610056219130538,7629,utrc,0,50,50,0,0,5,female_utrc
52,female,4.2811469859559885e-4,2.2473834894821948e-5,2.3353651357822604e-4,0.0036610056219130538,7629,utrc,0,50,50,0,0,5,female_utrc
53,female,4.2811469859559885e-4,2.2473834894821948e-5,2.3353651357822604e-4,0.0036610056219130538,7629,utrc,0,50,50,0,0,5,female_utrc
54,female,4.2811469859559885e-4,2.2473834894821948e-5,2.3353651357822604e-4,0.0036610056219130538,7629,utrc,0,50,50,0,0,5,female_utrc
55,female,8.084491737991513e-4,4.881771509677422e-5,4.3301533567392873e-4,0.006863465641592943,6580,utrc,0,50,55,0,0,5,female_utrc
56,female,8.084491737991513e-4,4.881771509677422e-5,4.3301533567392873e-4,0.006863465641592943,6580,utrc,0,50,55,0,0,5,female_utrc
57,female,8.084491737991513e-4,4.881771509677422e-5,4.3301533567392873e-4,0.006863465641592943,6580,utrc,0,50,55,0,0,5,female_utrc
58,female,8.084491737991513e-4,4.881771509677422e-5,4.3301533567392873e-4,0.006863465641592943,6580,utrc,0,50,55,0,0,5,female_utrc
59,female,8.084491737991513e-4,4.881771509677422e-5,4.3301533567392873e-4,0.006863465641592943,6580,utrc,0,50,55,0,0,5,female_utrc
60,female,0.0010807592734833442,9.937722689525391e-5,5.717672945885169e-4,0.008979073745540767,5725,utrc,0,50,60,0,1,5,female_utrc
61,female,0.0010807592734833442,9.937722689525391e-5,5.717672945885169e-4,0.008979073745540767,5725,utrc,0,50,60,0,1,5,female_utrc
62,female,0.0010807592734833442,9.937722689525391e-5,5.717672945885169e-4,0.008979073745540767,5725,utrc,0,50,60,0,1,5,female_utrc
63,female,0.0010807592734833442,9.937722689525391e-5,5.717672945885169e-4,0.008979073745540767,5725,utrc,0,50,60,0,1,5,female_utrc
64,female,0.0010807592734833442,9.937722689525391e-5,5.717672945885169e-4,0.008979073745540767,5725,utrc,0,50,60,0,1,5,female_utrc
65,female,0.0012249849756320508,1.613646776357464e-4,6.375265906815215e-4,0.009860605965526624,5670,utrc,0,50,65,0,1,5,female_utrc
66,female,0.0012249849756320508,1.613646776357464e-4,6.375265906815215e-4,0.009860605965526624,5670,utrc,0,50,65,0,1,5,female_utrc
67,female,0.0012249849756320508,1.613646776357464e-4,6.375265906815215e-4,0.009860605965526624,5670,utrc,0,50,65,0,1,5,female_utrc
68,female,0.0012249849756320508,1.613646776357464e-4,6.375265906815215e-4,0.009860605965526624,5670,utrc,0,50,65,0,1,5,female_utrc
69,female,0.0012249849756320508,1.613646776357464e-4,6.375265906815215e-4,0.009860605965526624,5670,utrc,0,50,65,0,1,5,female_utrc
70,female,0.0012819125949028684,2.2183679010299778e-4,6.538919202270775e-4,0.009859123337722901,5104,utrc,0,50,70,0,1,5,female_utrc
71,female,0.0012819125949028684,2.2183679010299778e-4,6.538919202270775e-4,0.009859123337722901,5104,utrc,0,50,70,0,1,5,female_utrc
72,female,0.0012819125949028684,2.2183679010299778e-4,6.538919202270775e-4,0.009859123337722901,5104,utrc,0,50,70,0,1,5,female_utrc
73,female,0.0012819125949028684,2.2183679010299778e-4,6.538919202270775e-4,0.009859123337722901,5104,utrc,0,50,70,0,1,5,female_utrc
74,female,0.0012819125949028684,2.2183679010299778e-4,6.538919202270775e-4,0.009859123337722901,5104,utrc,0,50,70,0,1,5,female_utrc
75,female,0.0012089041738554823,2.8838149176148916e-4,5.960983443484095e-4,0.008523275101570653,3792,utrc,0,50,75,0,1,5,female_utrc
76,female,0.0012089041738554823,2.8838149176148916e-4,5.960983443484095e-4,0.008523275101570653,3792,utrc,0,50,75,0,1,5,female_utrc
77,female,0.0012089041738554823,2.8838149176148916e-4,5.960983443484095e-4,0.008523275101570653,3792,utrc,0,50,75,0,1,5,female_utrc
78,female,0.0012089041738554823,2.8838149176148916e-4,5.960983443484095e-4,0.008523275101570653,3792,utrc,0,50,75,0,1,5,female_utrc
79,female,0.0012089041738554823,2.8838149176148916e-4,5.960983443484095e-4,0.008523275101570653,3792,utrc,0,50,75,0,1,5,female_utrc
80,female,8.82855180865455e-4,3.55327384088299e-4,4.061665270035406e-4,0.005201185694391158,2983,utrc,0,20,80,0,1,5,female_utrc
81,female,8.82855180865455e-4,3.55327384088299e-4,4.061665270035406e-4,0.005201185694391158,2983,utrc,0,20,80,0,1,5,female_utrc
82,female,8.82855180865455e-4,3.55327384088299e-4,4.061665270035406e-4,0.005201185694391158,2983,utrc,0,20,80,0,1,5,female_utrc
83,female,8.82855180865455e-4,3.55327384088299e-4,4.061665270035406e-4,0.005201185694391158,2983,utrc,0,20,80,0,1,5,female_utrc
84,female,8.82855180865455e-4,3.55327384088299e-4,4.061665270035406e-4,0.005201185694391158,2983,utrc,0,20,80,0,1,5,female_utrc
