age,sex,inc,mort,ylds (years lived with disability)_rate_carc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
32,female,4.74415938891881e-5,7.804051582497002e-6,3.176940003632381e-5,3.4005082360668296e-4,7963,carc,0,50,30,0,0,5,female_carc
33,female,4.74415938891881e-5,7.804051582497002e-6,3.176940003632381e-5,3.4005082360668296e-4,7963,carc,0,50,30,0,0,5,female_carc
34,female,4.74415938891881e-5,7.804051582497002e-6,3.176940003632381e-5,3.4005082360668296e-4,7963,carc,0,50,30,0,0,5,female_carc
35,female,8.944540854451635e-5,1.6006952225682808e-5,5.693610488282863e-5,6.440333458858479e-4,7482,carc,0,50,35,0,0,5,female_carc
36,female,8.944540854451635e-5,1.6006952225682808e-5,5.693610488282863e-5,6.440333458858479e-4,7482,carc,0,50,35,0,0,5,female_carc
37,female,8.944540854451635e-5,1.6006952225682808e-5,5.693610488282863e-5,6.440333458858479e-4,7482,carc,0,50,35,0,0,5,female_carc
38,female,8.944540854451635e-5,1.6006952225682808e-5,5.693610488282863e-5,6.440333458858479e-4,7482,carc,0,50,35,0,0,5,female_carc
39,female,8.944540854451635e-5,1.6006952225682808e-5,5.693610488282863e-5,6.440333458858479e-4,7482,carc,0,50,35,0,0,5,female_carc
40,female,1.5362032397826857e-4,2.8209051329318976e-5,9.563919328705765e-5,0.0011086084618795698,6901,carc,0,50,40,0,0,5,female_carc
41,female,1.5362032397826857e-4,2.8209051329318976e-5,9.563919328705765e-5,0.0011086084618795698,6901,carc,0,50,40,0,0,5,female_carc
42,female,1.5362032397826857e-4,2.8209051329318976e-5,9.563919328705765e-5,0.0011086084618795698,6901,carc,0,50,40,0,0,5,female_carc
43,female,1.5362032397826857e-4,2.8209051329318976e-5,9.563919328705765e-5,0.0011086084618795698,6901,carc,0,50,40,0,0,5,female_carc
44,female,1.5362032397826857e-4,2.8209051329318976e-5,9.563919328705765e-5,0.0011086084618795698,6901,carc,0,50,40,0,0,5,female_carc
45,female,2.569115214111676e-4,5.8916570474095646e-5,1.5369549400040755e-4,0.0018060507041154706,7531,carc,0,50,45,0,0,5,female_carc
46,female,2.569115214111676e-4,5.8916570474095646e-5,1.5369549400040755e-4,0.0018060507041154706,7531,carc,0,50,45,0,0,5,female_carc
47,female,2.569115214111676e-4,5.8916570474095646e-5,1.5369549400040755e-4,0.0018060507041154706,7531,carc,0,50,45,0,0,5,female_carc
48,female,2.569115214111676e-4,5.8916570474095646e-5,1.5369549400040755e-4,0.0018060507041154706,7531,carc,0,50,45,0,0,5,female_carc
49,female,2.569115214111676e-4,5.8916570474095646e-5,1.5369549400040755e-4,0.0018060507041154706,7531,carc,0,50,45,0,0,5,female_carc
50,female,4.264568967609161e-4,1.0247384547242684e-4,2.469749402575015e-4,0.00298314972727602,7629,carc,0,50,50,0,1,5,female_carc
51,female,4.264568967609161e-4,1.0247384547242684e-4,2.469749402575015e-4,0.00298314972727602,7629,carc,0,50,50,0,1,5,female_carc
52,female,4.264568967609161e-4,1.0247384547242684e-4,2.469749402575015e-4,0.00298314972727602,7629,carc,0,50,50,0,1,5,female_carc
53,female,4.264568967609161e-4,1.0247384547242684e-4,2.469749402575015e-4,0.00298314972727602,7629,carc,0,50,50,0,1,5,female_carc
54,female,4.264568967609161e-4,1.0247384547242684e-4,2.469749402575015e-4,0.00298314972727602,7629,carc,0,50,50,0,1,5,female_carc
55,female,6.738853257670761e-4,1.7069625063880793e-4,3.8533791045875366e-4,0.004655937796974529,6580,carc,0,50,55,0,1,5,female_carc
56,female,6.738853257670761e-4,1.7069625063880793e-4,3.8533791045875366e-4,0.004655937796974529,6580,carc,0,50,55,0,1,5,female_carc
57,female,6.738853257670761e-4,1.7069625063880793e-4,3.8533791045875366e-4,0.004655937796974529,6580,carc,0,50,55,0,1,5,female_carc
58,female,6.738853257670761e-4,1.7069625063880793e-4,3.8533791045875366e-4,0.004655937796974529,6580,carc,0,50,55,0,1,5,female_carc
59,female,6.738853257670761e-4,1.7069625063880793e-4,3.8533791045875366e-4,0.004655937796974529,6580,carc,0,50,55,0,1,5,female_carc
60,female,0.0010219003723887247,2.8098408941331905e-4,5.723716843137809e-4,0.006896777988551826,5725,carc,0,50,60,0,2,5,female_carc
61,female,0.0010219003723887247,2.8098408941331905e-4,5.723716843137809e-4,0.006896777988551826,5725,carc,0,50,60,0,2,5,female_carc
62,female,0.0010219003723887247,2.8098408941331905e-4,5.723716843137809e-4,0.006896777988551826,5725,carc,0,50,60,0,2,5,female_carc
