age,sex,inc,mort,ylds (years lived with disability)_rate_tbalc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
47,female,1.234044547863356e-4,9.036940880066708e-5,3.6293718356886955e-5,2.4242759216793958e-4,7531,tbalc,0,50,45,0,1,5,female_tbalc
48,female,1.234044547863356e-4,9.036940880066708e-5,3.6293718356886955e-5,2.4242759216793958e-4,7531,tbalc,0,50,45,0,1,5,female_tbalc
49,female,1.234044547863356e-4,9.036940880066708e-5,3.6293718356886955e-5,2.4242759216793958e-4,7531,tbalc,0,50,45,0,1,5,female_tbalc
50,female,2.9288713553277834e-4,1.9346368984604422e-4,9.104384777288614e-5,7.338389230980235e-4,7629,tbalc,0,50,50,0,1,5,female_tbalc
51,female,2.9288713553277834e-4,1.9346368984604422e-4,9.104384777288614e-5,7.338389230980235e-4,7629,tbalc,0,50,50,0,1,5,female_tbalc
52,female,2.9288713553277834e-4,1.9346368984604422e-4,9.104384777288614e-5,7.338389230980235e-4,7629,tbalc,0,50,50,0,1,5,female_tbalc
53,female,2.9288713553277834e-4,1.9346368984604422e-4,9.104384777288614e-5,7.338389230980235e-4,7629,tbalc,0,50,50,0,1,5,female_tbalc
54,female,2.9288713553277834e-4,1.9346368984604422e-4,9.104384777288614e-5,7.338389230980235e-4,7629,tbalc,0,50,50,0,1,5,female_tbalc
55,female,6.32973059622762e-4,4.010639616279454e-4,1.9924517251764123e-4,0.001764868905793273,6580,tbalc,0,50,55,0,3,5,female_tbalc
56,female,6.32973059622762e-4,4.010639616279454e-4,1.9924517251764123e-4,0.001764868905793273,6580,tbalc,0,50,55,0,3,5,female_tbalc
57,female,6.32973059622762e-4,4.010639616279454e-4,1.9924517251764123e-4,0.001764868905793273,6580,tbalc,0,50,55,0,3,5,female_tbalc
58,female,6.32973059622762e-4,4.010639616279454e-4,1.9924517251764123e-4,0.001764868905793273,6580,tbalc,0,50,55,0,3,5,female_tbalc
59,female,6.32973059622762e-4,4.010639616279454e-4,1.9924517251764123e-4,0.001764868905793273,6580,tbalc,0,50,55,0,3,5,female_tbalc
60,female,0.0011545522122630137,7.544909410058722e-4,3.5235789491712936e-4,0.0031086499289845275,5725,tbalc,0,50,60,0,4,5,female_tbalc
61,female,0.0011545522122630137,7.544909410058722e-4,3.5235789491712936e-4,0.0031086499289845275,5725,tbalc,0,50,60,0,4,5,female_tbalc
62,female,0.0011545522122630137,7.544909410058722e-4,3.5235789491712936e-4,0.0031086499289845275,5725,tbalc,0,50,60,0,4,5,female_tbalc
63,female,0.0011545522122630137,7.544909410058722e-4,3.5235789491712936e-4,0.0031086499289845275,5725,tbalc,0,50,60,0,4,5,female_tbalc
64,female,0.0011545522122630137,7.544909410058722e-4,3.5235789491712936e-4,0.0031086499289845275,5725,tbalc,0,50,60,0,4,5,female_tbalc
65,female,0.0018960797928701063,0.0012546036049874054,5.511081728858318e-4,0.0048722194104821,5670,tbalc,0,50,65,0,7,5,female_tbalc
66,female,0.0018960797928701063,0.0012546036049874054,5.511081728858318e-4,0.0048722194104821,5670,tbalc,0,50,65,0,7,5,female_tbalc
67,female,0.0018960797928701063,0.0012546036049874054,5.511081728858318e-4,0.0048722194104821,5670,tbalc,0,50,65,0,7,5,female_tbalc
68,female,0.0018960797928701063,0.0012546036049874054,5.511081728858318e-4,0.0048722194104821,5670,tbalc,0,50,65,0,7,5,female_tbalc
69,female,0.0018960797928701063,0.0012546036049874054,5.511081728858318e-4,0.0048722194104821,5670,tbalc,0,50,65,0,7,5,female_tbalc
70,female,0.002396126574313833,0.0016839767793195434,6.591294040485607e-4,0.005497254551840302,5104,tbalc,0,50,70,0,9,5,female_tbalc
71,female,0.002396126574313833,0.0016839767793195434,6.591294040485607e-4,0.005497254551840302,5104,tbalc,0,50,70,0,9,5,female_tbalc
72,female,0.002396126574313833,0.0016839767793195434,6.591294040485607e-4,0.005497254551840302,5104,tbalc,0,50,70,0,9,5,female_tbalc
73,female,0.002396126574313833,0.0016839767793195434,6.591294040485607e-4,0.005497254551840302,5104,tbalc,0,50,70,0,9,5,female_tbalc
74,female,0.002396126574313833,0.0016839767793195434,6.591294040485607e-4,0.005497254551840302,5104,tbalc,0,50,70,0,9,5,female_tbalc
75,female,0.0030471364996928125,0.0022069329263049464,7.928691061260454e-4,0.006188844125456173,3792,tbalc,0,50,75,0,8,5,female_tbalc
76,female,0.0030471364996928125,0.0022069329263049464,7.928691061260454e-4,0.006188844125456173,3792,tbalc,0,50,75,0,8,5,female_tbalc
77,female,0.0030471364996928125,0.0022069329263049464,7.928691061260454e-4,0.006188844125456173,3792,tbalc,0,50,75,0,8,5,female_tbalc
78,female,0.0030471364996928125,0.0022069329263049464,7.928691061260454e-4,0.006188844125456173,3792,tbalc,0,50,75,0,8,5,female_tbalc
79,female,0.0030471364996928125,0.0022069329263049464,7.928691061260454e-4,0.006188844125456173,3792,tbalc,0,50,75,0,8,5,female_tbalc
80,female,0.003204923257496408,0.0026374181144842713,7.626965971939496e-4,0.005321871278241278,2983,tbalc,0,20,80,0,8,5,female_tbalc
81,female,0.003204923257496408,0.0026374181144842713,7.626965971939496e-4,0.005321871278241278,2983,tbalc,0,20,80,0,8,5,female_tbalc
82,female,0.003204923257496408,0.0026374181144842713,7.626965971939496e-4,0.005321871278241278,2983,tbalc,0,20,80,0,8,5,female_tbalc
83,female,0.003204923257496408,0.0026374181144842713,7.626965971939496e-4,0.005321871278241278,2983,tbalc,0,20,80,0,8,5,female_tbalc
84,female,0.003204923257496408,0.0026374181144842713,7.626965971939496e-4,0.005321871278241278,2983,tbalc,0,20,80,0,8,5,female_tbalc
85,female,0.0036857470381259964,0.003032946691624432,8.333534841868852e-4,0.005527944281016283,2001,tbalc,0,20,85,0,6,5,female_tbalc
86,female,0.0036857470381259964,0.003032946691624432,8.333534841868852e-4,0.005527944281016283,2001,tbalc,0,20,85,0,6,5,female_tbalc
87,female,0.0036857470381259964,0.003032946691624432,8.333534841868852e-4,0.005527944281016283,2001,tbalc,0,20,85,0,6,5,female_tbalc
88,female,0.0036857470381259964,0.003032946691624432,8.333534841868852e-4,0.005527944281016283,2001,tbalc,0,20,85,0,6,5,female_tbalc
89,female,0.0036857470381259964,0.003032946691624432,8.333534841868852e-4,0.005527944281016283,2001,tbalc,0,20,85,0,6,5,female_tbalc
90,female,0.0039331121190526175,0.0032373189500619856,8.439835130915413e-4,0.005086416076452122,1019,tbalc,0,10,90,0,3,5,female_tbalc
91,female,0.0039331121190526175,0.0032373189500619856,8.439835130915413e-4,0.005086416076452122,1019,tbalc,0,10,90,0,3,5,female_tbalc
92,female,0.0039331121190526175,0.0032373189500619856,8.439835130915413e-4,0.005086416076452122,1019,tbalc,0,10,90,0,3,5,female_tbalc
93,female,0.0039331121190526175,0.0032373189500619856,8.439835130915413e-4,0.005086416076452122,1019,tbalc,0,10,90,0,3,5,female_tbalc
94,female,0.0039331121190526175,0.0032373189500619856,8.439835130915413e-4,0.005086416076452122,1019,tbalc,0,10,90,0,3,5,female_tbalc
95,female,0.004579707208959496,0.0037697914832140605,8.040990017256902e-4,0.002683177906981643,275,tbalc,0,10,95,0,1,6,female_tbalc
96,female,0.004579707208959496,0.0037697914832140605,8.040990017256902e-4,0.002683177906981643,275,tbalc,0,10,95,0,1,6,female_tbalc
97,female,0.004579707208959496,0.0037697914832140605,8.040990017256902e-4,0.002683177906981643,275,tbalc,0,10,95,0,1,6,female_tbalc
98,female,0.004579707208959496,0.0037697914832140605,8.040990017256902e-4,0.002683177906981643,275,tbalc,0,10,95,0,1,6,female_tbalc
99,female,0.004579707208959496,0.0037697914832140605,8.040990017256902e-4,0.002683177906981643,275,tbalc,0,10,95,0,1,6,female_tbalc
100,female,0.004579707208959496,0.0037697914832140605,8.040990017256902e-4,0.002683177906981643,275,tbalc,0,10,95,0,1,6,female_tbalc
