age,sex,inc,mort,ylds (years lived with disability)_rate_crdd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,2.761359247880776e-4,9.570890930115103e-6,7.148555260894104e-5,5.574925350237169e-4,6980,crdd,0,10,0,0,0,5,male_crdd
1,male,2.761359247880776e-4,9.570890930115103e-6,7.148555260894104e-5,5.574925350237169e-4,6980,crdd,0,10,0,0,0,5,male_crdd
2,male,2.761359247880776e-4,9.570890930115103e-6,7.148555260894104e-5,5.574925350237169e-4,6980,crdd,0,10,0,0,0,5,male_crdd
3,male,2.761359247880776e-4,9.570890930115103e-6,7.148555260894104e-5,5.574925350237169e-4,6980,crdd,0,10,0,0,0,5,male_crdd
4,male,2.761359247880776e-4,9.570890930115103e-6,7.148555260894104e-5,5.574925350237169e-4,6980,crdd,0,10,0,0,0,5,male_crdd
5,male,2.235893797200384e-4,1.6462847987365169e-6,1.705398322506732e-4,0.001579747347243376,6917,crdd,0,10,5,0,0,5,male_crdd
6,male,2.235893797200384e-4,1.6462847987365169e-6,1.705398322506732e-4,0.001579747347243376,6917,crdd,0,10,5,0,0,5,male_crdd
7,male,2.235893797200384e-4,1.6462847987365169e-6,1.705398322506732e-4,0.001579747347243376,6917,crdd,0,10,5,0,0,5,male_crdd
8,male,2.235893797200384e-4,1.6462847987365169e-6,1.705398322506732e-4,0.001579747347243376,6917,crdd,0,10,5,0,0,5,male_crdd
9,male,2.235893797200384e-4,1.6462847987365169e-6,1.705398322506732e-4,0.001579747347243376,6917,crdd,0,10,5,0,0,5,male_crdd
10,male,2.3087362599015084e-4,3.6209198413071843e-6,1.6605644750024838e-4,0.0010840098793296672,6234,crdd,0,50,10,0,0,5,male_crdd
11,male,2.3087362599015084e-4,3.6209198413071843e-6,1.6605644750024838e-4,0.0010840098793296672,6234,crdd,0,50,10,0,0,5,male_crdd
12,male,2.3087362599015084e-4,3.6209198413071843e-6,1.6605644750024838e-4,0.0010840098793296672,6234,crdd,0,50,10,0,0,5,male_crdd
13,male,2.3087362599015084e-4,3.6209198413071843e-6,1.6605644750024838e-4,0.0010840098793296672,6234,crdd,0,50,10,0,0,5,male_crdd
14,male,2.3087362599015084e-4,3.6209198413071843e-6,1.6605644750024838e-4,0.0010840098793296672,6234,crdd,0,50,10,0,0,5,male_crdd
15,male,3.738552315115677e-4,8.658402310147125e-6,2.479637085301948e-4,0.0019753759928726683,6436,crdd,0,50,15,0,0,5,male_crdd
16,male,3.738552315115677e-4,8.658402310147125e-6,2.479637085301948e-4,0.0019753759928726683,6436,crdd,0,50,15,0,0,5,male_crdd
17,male,3.738552315115677e-4,8.658402310147125e-6,2.479637085301948e-4,0.0019753759928726683,6436,crdd,0,50,15,0,0,5,male_crdd
18,male,3.738552315115677e-4,8.658402310147125e-6,2.479637085301948e-4,0.0019753759928726683,6436,crdd,0,50,15,0,0,5,male_crdd
19,male,3.738552315115677e-4,8.658402310147125e-6,2.479637085301948e-4,0.0019753759928726683,6436,crdd,0,50,15,0,0,5,male_crdd
20,male,6.926969238217769e-4,1.7332872729407025e-5,3.208698439782518e-4,0.0028772505599998642,7845,crdd,0,50,20,0,0,5,male_crdd
21,male,6.926969238217769e-4,1.7332872729407025e-5,3.208698439782518e-4,0.0028772505599998642,7845,crdd,0,50,20,0,0,5,male_crdd
22,male,6.926969238217769e-4,1.7332872729407025e-5,3.208698439782518e-4,0.0028772505599998642,7845,crdd,0,50,20,0,0,5,male_crdd
23,male,6.926969238217769e-4,1.7332872729407025e-5,3.208698439782518e-4,0.0028772505599998642,7845,crdd,0,50,20,0,0,5,male_crdd
24,male,6.926969238217769e-4,1.7332872729407025e-5,3.208698439782518e-4,0.0028772505599998642,7845,crdd,0,50,20,0,0,5,male_crdd
25,male,0.0011999996059608897,3.195648350916204e-5,5.304474556005865e-4,0.006744377073341316,9023,crdd,0,50,25,0,0,5,male_crdd
26,male,0.0011999996059608897,3.195648350916204e-5,5.304474556005865e-4,0.006744377073341316,9023,crdd,0,50,25,0,0,5,male_crdd
27,male,0.0011999996059608897,3.195648350916204e-5,5.304474556005865e-4,0.006744377073341316,9023,crdd,0,50,25,0,0,5,male_crdd
28,male,0.0011999996059608897,3.195648350916204e-5,5.304474556005865e-4,0.006744377073341316,9023,crdd,0,50,25,0,0,5,male_crdd
29,male,0.0011999996059608897,3.195648350916204e-5,5.304474556005865e-4,0.006744377073341316,9023,crdd,0,50,25,0,0,5,male_crdd
30,male,0.0021582890146627873,5.981923491323358e-5,7.475666264212322e-4,0.0100148193969326,8448,crdd,0,50,30,1,1,5,male_crdd
31,male,0.0021582890146627873,5.981923491323358e-5,7.475666264212322e-4,0.0100148193969326,8448,crdd,0,50,30,1,1,5,male_crdd
