sex,age,population_number,deaths_number_crdd,deaths_number_pdri,deaths_number_cyri,deaths_number_mtri,deaths_number_mvri,deaths_number_otri,deaths_number_tbalc,deaths_number_brsc,deaths_number_carc,deaths_number_ishd,deaths_number_strk,deaths_number_iscs,deaths_number_copd,deaths_number_stmc,deaths_number_lvrc,deaths_number_allc,deaths_number_lwri,deaths_number_dmt2,ylds (years lived with disability)_number_crdd,ylds (years lived with disability)_number_pdri,ylds (years lived with disability)_number_cyri,ylds (years lived with disability)_number_mtri,ylds (years lived with disability)_number_mvri,ylds (years lived with disability)_number_otri,ylds (years lived with disability)_number_tbalc,ylds (years lived with disability)_number_brsc,ylds (years lived with disability)_number_carc,ylds (years lived with disability)_number_ishd,ylds (years lived with disability)_number_strk,ylds (years lived with disability)_number_iscs,ylds (years lived with disability)_number_copd,ylds (years lived with disability)_number_adaod,ylds (years lived with disability)_number_stmc,ylds (years lived with disability)_number_lvrc,ylds (years lived with disability)_number_allc,ylds (years lived with disability)_number_lwri,ylds (years lived with disability)_number_dmt2,prevalence_number_crdd,prevalence_number_pdri,prevalence_number_cyri,prevalence_number_mtri,prevalence_number_mvri,prevalence_number_otri,prevalence_number_tbalc,prevalence_number_brsc,prevalence_number_carc,prevalence_number_ishd,prevalence_number_strk,prevalence_number_iscs,prevalence_number_copd,prevalence_number_adaod,prevalence_number_stmc,prevalence_number_lvrc,prevalence_number_allc,prevalence_number_lwri,prevalence_number_dmt2,incidence_number_crdd,incidence_number_pdri,incidence_number_cyri,incidence_number_mtri,incidence_number_mvri,incidence_number_otri,incidence_number_tbalc,incidence_number_brsc,incidence_number_carc,incidence_number_ishd,incidence_number_strk,incidence_number_iscs,incidence_number_copd,incidence_number_adaod,incidence_number_stmc,incidence_number_lvrc,incidence_number_allc,incidence_number_lwri,incidence_number_dmt2,deaths_number_utrc,ylds (years lived with disability)_number_utrc,prevalence_number_utrc,incidence_number_utrc,deaths_number_adaod,age_cat,sex_age_cat,deaths_rate_crdd,deaths_rate_pdri,deaths_rate_cyri,deaths_rate_mtri,deaths_rate_mvri,deaths_rate_otri,deaths_rate_tbalc,deaths_rate_brsc,deaths_rate_utrc,deaths_rate_carc,deaths_rate_ishd,deaths_rate_strk,deaths_rate_iscs,deaths_rate_copd,deaths_rate_adaod,deaths_rate_stmc,deaths_rate_lvrc,deaths_rate_allc,deaths_rate_lwri,deaths_rate_dmt2,ylds (years lived with disability)_rate_crdd,ylds (years lived with disability)_rate_pdri,ylds (years lived with disability)_rate_cyri,ylds (years lived with disability)_rate_mtri,ylds (years lived with disability)_rate_mvri,ylds (years lived with disability)_rate_otri,ylds (years lived with disability)_rate_tbalc,ylds (years lived with disability)_rate_brsc,ylds (years lived with disability)_rate_utrc,ylds (years lived with disability)_rate_carc,ylds (years lived with disability)_rate_ishd,ylds (years lived with disability)_rate_strk,ylds (years lived with disability)_rate_iscs,ylds (years lived with disability)_rate_copd,ylds (years lived with disability)_rate_adaod,ylds (years lived with disability)_rate_stmc,ylds (years lived with disability)_rate_lvrc,ylds (years lived with disability)_rate_allc,ylds (years lived with disability)_rate_lwri,ylds (years lived with disability)_rate_dmt2,prevalence_rate_crdd,prevalence_rate_pdri,prevalence_rate_cyri,prevalence_rate_mtri,prevalence_rate_mvri,prevalence_rate_otri,prevalence_rate_tbalc,prevalence_rate_brsc,prevalence_rate_utrc,prevalence_rate_carc,prevalence_rate_ishd,prevalence_rate_strk,prevalence_rate_iscs,prevalence_rate_copd,prevalence_rate_adaod,prevalence_rate_stmc,prevalence_rate_lvrc,prevalence_rate_allc,prevalence_rate_lwri,prevalence_rate_dmt2,incidence_rate_crdd,incidence_rate_pdri,incidence_rate_cyri,incidence_rate_mtri,incidence_rate_mvri,incidence_rate_otri,incidence_rate_tbalc,incidence_rate_brsc,incidence_rate_utrc,incidence_rate_carc,incidence_rate_ishd,incidence_rate_strk,incidence_rate_iscs,incidence_rate_copd,incidence_rate_adaod,incidence_rate_stmc,incidence_rate_lvrc,incidence_rate_allc,incidence_rate_lwri,incidence_rate_dmt2
female,Under 5,309091.7744155447,3.155131690674129,0.8976607460467657,0.06367993748402069,0.0527449049533107,0.7085331216052789,0.03501569050453227,0,0,0,0,0.25257940555362657,0.07177265721199375,0.2764724049691757,0,0,241.58348157437516,10.09408291215749,0,17.919197794212,2.7886838611185,1.8729704037388,1.68906280509,5.2245199130609,1.3321766642011,0,0,0,0,8.0850174922788,5.6231767657696,8.757908943445,0,0,0,8347.187961083,10.970403921558,0,42.838168893755,40.357879160962,30.014047375613,25.574911758358,61.797383978073,21.889091099636,0,0,0,0,0,39.588328220814,118.70618158061,0,0,0,200071.07460985,173.73322272121,0,92.10858416832001,141.19576669547,148.44226250986,78.21914879109,297.33643090723,103.20284653419,0,0,0,0,20.021701511766,12.945628516891,39.992732833079,0,0,0,2196016.2459493,6717.5428015331,0,0,0,0,0,0,2,female_2,1.020775042182893e-5,2.9041884008208697e-6,2.060227503770742e-7,1.7064480299757235e-7,2.292306622992571e-6,1.1328574036220383e-7,0,0,0,0,0,8.171663773040346e-7,2.3220500560944137e-7,8.944670413567352e-7,0,0,0,7.815914287307723e-4,3.2657235642210743e-5,0,5.7973712914538224e-5,9.02218723352171e-6,6.059593165429139e-6,5.464599659061825e-6,1.6902811221488626e-5,4.30997125924844e-6,0,0,0,0,0,2.6157336304295363e-5,1.819257978120689e-5,2.8334331963395503e-5,0,0,0,0.027005532505245494,3.54923839118712e-5,0,1.3859368782866128e-4,1.3056924351116715e-4,9.710399907071596e-5,8.274212992797066e-5,1.9993215314423817e-4,7.081744941619891e-5,0,0,0,0,0,0,1.280795268514368e-4,3.8404833582216506e-4,0,0,0,0.6472869586651417,5.620764999318361e-4,0,2.979975262767385e-4,4.568085545545629e-4,4.802530342017235e-4,2.530612435060525e-4,9.619681127699285e-4,3.3389062756307295e-4,0,0,0,0,0,6.477591178097387e-5,4.1882798535708765e-5,1.2938789105177724e-4,0,0,0,7.104738552495297,0.02173316586711233,0
female,5 to 9,292447.166921089,0.6248244361965225,0.6246526709467551,0.10049805905695933,0.0394588237222005,0.3892924409400968,0.03402508049394528,0,0,0,0,0.09731374095242179,0.01076432629572798,0.12831867693655652,0,0.08527216359299516,17.815226965183417,0.9310832579803313,0,34.29070924563,10.560850416965,10.430712345504,5.3090946208594,17.403646973404,4.3965957033251,0,0,0,0,22.444859550663,15.182998527153,25.83434466508,0,0,0.064948059223739,10683.032866654,5.3025492772321,0,40.792943997527,169.82920342551,176.46933992001001,87.99995363642,224.14608515989,75.459114896919,0,0,0,0,39.161306042537,107.68802721133,358.30872114057,0,0,0,234790.8219323,83.209469693491,0,77.460804605223,306.01318997105,577.64459950471,139.20463498055,652.10233962141,222.35397524018,0,0,0,0,17.826058517522,10.489171546306,48.126096035052,0,0,0.30796015495732,1932743.5210142,3497.9010335049998,0,0,0,0,0,0,7,female_7,2.1365378327125968e-6,2.1359504950010512e-6,3.4364517911051167e-7,1.3492633263514455e-7,1.3311547690429143e-6,1.1634607663382243e-7,0,0,0,0,0,3.327566547385291e-7,3.680776397684344e-8,4.387755856468281e-7,0,0,2.915814315821502e-7,6.091776218160629e-5,3.1837656961524456e-6,0,1.1725437318010558e-4,3.6111994272848035e-5,3.566699741125726e-5,1.815402992873565e-5,5.951039689196246e-5,1.5033811917594788e-5,0,0,0,0,0,7.674842532059576e-5,5.191706483944099e-5,8.833850208591995e-5,0,0,2.2208476118103048e-7,0.03652978751384726,1.813164864292526e-5,0,1.3948825159429277e-4,5.807175539208933e-4,6.034229764572373e-4,3.0090889428983605e-4,7.664498429570061e-4,2.580264862585594e-4,0,0,0,0,0,1.339089944171143e-4,3.682307076012381e-4,0.0012252083852029672,0,0,0,0.802848679999877,2.845282126324835e-4,0,2.6487110619240244e-4,0.0010463879448475613,0.0019752101057644226,4.759992597846283e-4,0.00222981247001571,7.603218645649515e-4,0,0,0,0,0,6.09547998197295e-5,3.586689403332908e-5,1.6456338606979175e-4,0,0,1.0530454379146606e-6,6.608863889372921,0.01196079644173417,0
female,10 to 14,251158.5128657038,0.8228666502108479,1.0624195223172914,0.21317384013385932,0.050732561345629264,0.5373348177556024,0.043846524269618666,0,0,0,0,0.1805568003945116,0.016173359804863535,0.17204365904066932,0,0.1209779347555335,22.57522758684648,0.8944720741306533,0,52.260343289843,18.862047234683,21.780049432001,9.666736745092,30.633639600461,7.7962072937075,0,0,0,0,31.227050037703002,20.816833488268,41.700001457372,0,0,0.089137892739455,14193.719810227,2.7742033629647,53.512362866327,277.89406136194,324.7162111248,390.49717811404,166.47164262035,415.66509977207,136.37010018531,0,0,0,0,85.474444658079,146.91132624027,590.23147313012,0,0,0,219028.67488866,43.775868672419,1074.3762788319,58.705919059189,328.81989096161,749.40024201269,186.69891771079,820.4692752149,275.366620028,0,0,0,0,13.98851980435,8.1220023771896,85.9759131409,0,0,0.41478713547892,1376238.5785691,1969.0166010737,542.40569133694,0,0,0,0,0,12,female_12,3.2762841315708875e-6,4.230075700780147e-6,8.487621530385667e-7,2.0199419389282782e-7,2.1394250651695772e-6,1.7457709782293427e-7,0,0,0,0,0,7.18895801437782e-7,6.43950293395452e-8,6.850003094765188e-7,0,0,4.81679610916558e-7,8.98843814978217e-5,3.5613846567443795e-6,0,2.0807713301673742e-4,7.510017088199861e-5,8.671834047547074e-5,3.848858887877264e-5,1.2196934617478413e-4,3.104098365909734e-5,0,0,0,0,0,1.243320390832236e-4,8.288324871313005e-5,1.6603061143171077e-4,0,0,3.5490691405358677e-7,0.056512995113235445,1.1045627445835714e-5,2.1306211067964254e-4,0.001106448904284331,0.0012928736016940346,0.0015547837644780194,6.628150514227783e-4,0.0016549910852288294,5.429642763422e-4,0,0,0,0,0,3.403207149254892e-4,5.849346875167417e-4,0.002350035706118872,0,0,0,0.8720734662327618,1.7429577907966936e-4,0.00427768211625929,2.337405106813141e-4,0.0013092126052579086,0.0029837740057546826,7.433509443122847e-4,0.003266738864844333,0.0010963857720213547,0,0,0,0,0,5.5695981174366006e-5,3.2338152844265694e-5,3.42317336410062e-4,0,0,1.6514954271158214e-6,5.479561743164901,0.007839736661152103,0.002159614998305744
female,15 to 19,236079.78596734232,1.3384095931665019,1.1353160975165388,0.23823832668168787,0.2245860713832574,2.3166454345848964,0.07165215717118026,0.05986626132602634,0.03569265297636635,0.0472373190635119,0.07325920324404807,0.26035290752304807,0.02595510815765317,0.12687362079301767,0.025292808307271767,0.1721387318481555,27.858575705177902,0.6758884887675434,0.023684857211941326,115.532559429,25.979016733956,30.649891547086998,16.448883682036,48.321301073637,11.939706809912,0.025155169977865,0.40740663450834,0.19895059304526,1.0367141941905,39.660019949271,25.946037899433,80.6668750833,0,0.028504469515055,0.156493066922631,21589.670240288,2.7805224487147,269.03661850711,1337.1052478507,471.03553561438997,575.88322329099,294.53215835036997,700.7914931082,219.52462193201,0.146084935378164,5.113970733671,1.8020009272114,27.432161439059,160.75924479697,186.99764921415,1167.2878817529,0,0.27391073994673,0,224331.69339145,44.457694042958,5150.7736249315,74.11246644409,282.38123024567,637.55479933671,224.06347021265,940.0859653933001,283.16506080715,0.089100774265609,0.49591562722318,0.2531284692521,3.746963793557,12.399575559834,6.8059730546306,164.229188337,0,0.078924167909601,0.72675627003875,1300753.7773616,2016.3793600161,901.2728368273,0.019828726785330517,0.22047295920697,3.2930454628572,0.38307121257639,0,17,female_17,5.669310431142327e-6,4.8090356099932706e-6,1.0091432678384592e-6,9.513142790392275e-7,9.812976681135104e-6,3.035082265835845e-7,2.535848678476345e-7,1.5118894161189993e-7,8.399163318486527e-8,2.0009048580739728e-7,3.1031544248427205e-7,1.1028174498559716e-6,1.0994210305342967e-7,5.374183997717133e-7,0,1.071366961963046e-7,7.291548962687047e-7,1.1800491766385992e-4,2.862966373838721e-6,1.0032564675070371e-7,4.893792958833925e-4,1.1004337634205481e-4,1.298285298823801e-4,6.967510417987005e-5,2.0468207761049667e-4,5.0574879848305426e-5,1.0655368003995393e-7,1.7257158754146698e-6,9.338917277630399e-7,8.427260819051296e-7,4.391372136934723e-6,1.679941371802044e-4,1.0990368274487593e-4,3.416932743850374e-4,0,1.2074083089434059e-7,6.62882111153215e-7,0.09145073624928891,1.1777892958185496e-5,0.0011396003999441387,0.005663785412088038,0.001995238743903088,0.002439358460663184,0.0012475958377525535,0.0029684519165276723,9.298747075379743e-4,6.187947637260752e-7,2.1662044095458608e-5,1.3948866690826031e-5,7.63301660846421e-6,1.1619868819625998e-4,6.809530266992377e-4,7.920951319399195e-4,0.00494446348707879,0,1.1602464769458107e-6,0,0.9502367704725153,1.8831639422575542e-4,0.021817935846671868,3.139297426097388e-4,0.0011961262548955914,0.002700590381867361,9.491006156861114e-4,0.003982068865156228,0.0011994464483559009,3.7741805763045975e-7,2.100627231557138e-6,1.622634530130341e-6,1.072215768982085e-6,1.5871599417983756e-5,5.2522817694985855e-5,2.8829122437327575e-5,6.956512081882282e-4,0,3.343114175837097e-7,3.078434975111696e-6,5.50980581430016,0.0085410927994277,0.0038176620380025927
female,20 to 24,303947.3829254219,3.4239691149424933,1.0277479628038615,0.3046455961947343,0.3182806820542185,3.299779972889075,0.10382545857551083,0.15418325483371859,0.24748735365021887,0.28450711778761617,0.27601222931567143,0.8086456381605092,0.07399801978731028,0.21051860706132666,0.10477925094134813,0.2531875806545369,50.598240221417775,1.2847396339360924,0.040456054005328035,189.00222952551,43.270546374651,52.271572726918,30.79219160116,87.05459456175,21.405853472217,0.07823482778118,3.2658273099734,1.3548328759711,5.7790727236449,65.83516938948,42.304086290957,191.83905186231,0,0.1298459634949,0.24787766547118,34753.868950301,3.8065776109034,623.8186063582,2244.0780429336,811.2031629984,1019.4243365106,577.4664112218001,1308.155658037,403.90613379974,0.4967759355578,39.659079076779,12.777091089384,116.99910038773,270.86856587775,304.66189534554,2820.0652792662,0,1.2768944157739,0,296794.68619755,61.171787150555,11278.073404599,178.2775933765,287.29692791268,638.9057248158,276.28871861083,1298.8297508822,336.69657130113,0.26666949931281,3.9967791570255,1.7698207086612,11.093449344674,20.528050058765,10.28315297464,313.69517902957,0,0.35200931705821,1.1582775766275,1766120.4896216,2753.8674561601,739.3052918497,0.03797126026344764,0.47842454736413,7.1521144970068,0.8301905750351,0,22,female_22,1.1265006074365892e-5,3.381335127521184e-6,1.0022971517721005e-6,1.0471571723725403e-6,1.0856418440354614e-5,3.415902370213399e-7,5.072695587958058e-7,8.142440683917442e-7,1.249270840827225e-7,9.360406891788383e-7,9.080921396957553e-7,2.660479028894691e-6,2.434566768599775e-7,6.926152975397739e-7,0,3.4472825504491124e-7,8.329980611040837e-7,1.6647039278450647e-4,4.226848810378877e-6,1.3310216267022292e-7,6.21825487380112e-4,1.423619639629142e-4,1.7197572890352417e-4,1.0130763852872302e-4,2.864133710376778e-4,7.042618122317985e-5,2.5739595790622786e-7,1.0744712714880393e-5,1.5740373967342852e-6,4.4574586000088336e-006,1.9013398529780675e-5,2.166005469625434e-4,1.3918226860119718e-4,6.311587552289622e-4,0,4.2719882054967284e-7,8.155282111180426e-7,0.1143417278865941,1.2523804529145764e-5,0.00205239012211289,0.007383113555164971,0.0026688933959251792,0.0033539500379930276,0.0018998894008029352,0.004303888539675223,0.0013288686019015488,1.634414255442665e-6,1.304800807793432e-4,2.3530765187610384e-5,4.2037180798885355e-5,3.8493208680279216e-4,8.911692651231404e-4,0.0010023507766812832,0.009278136406781124,0,4.201037704237136e-6,0,0.9764673192477301,2.0125781825061618e-4,0.03710534795874932,5.865409718636831e-4,9.452192848232969e-4,0.0021020273925917146,9.090018014026516e-4,0.0042732059028811826,0.0011077462423282113,8.773541550059716e-7,1.314957581985883e-5,2.731362800510771e-6,5.822786469247055e-6,3.649792683819866e-5,6.753817013059089e-5,3.38320168302391e-5,0.0010320706696347502,0,1.1581258363543167e-6,3.810783187140325e-6,5.810612589005067,0.009060342713448542,0.0024323462986720295
female,25 to 29,417744.2687948765,5.346038939028036,0.8139962601211232,0.26055001411610856,0.2460601951092801,2.821729777076842,0.09192678448507374,0.42509472939908177,2.1299439229191615,0.889363860747123,0.521588111241373,1.3554889538301236,0.14153218940804227,0.27359134596084295,0.4131239283965811,0.47229705227657454,74.01235588439336,1.869084196959876,0.08057394322649948,416.74059351582,70.73554984413,88.13158116997,53.133526914064,158.39751342677,37.339599598917,0.26453610398786,29.482329497177002,3.7786984822417,15.847064167561,116.80704777513,72.78398742438,428.06542933942,0,0.50010143596695,0.36891794464576,53229.796931276,5.4049174941166,1068.8484472126,5757.3082039704,1353.3487175717,1739.7229909321,1016.7079390019,2478.4462298018,716.6621960108,1.9155441714215,348.21263715397,37.188568891578,338.01261942146,554.47612647778,524.4383966486901,6372.3673693264,0,4.9328328134404,0,411760.6591375,86.703604389589,18339.914489399,446.13490296796,311.0570612948,741.8945144635,310.47634013382003,1698.4951787667,415.95492509043,0.8440779264898,39.02205253196,5.1587979694255,19.222954961845,42.070889971298,19.772206426583,565.13940452874,0,1.3491485521888,1.3485188983985,2439666.0281736,3907.5626250687,367.22034258809,0.10809658803819513,1.616143154314,24.178955084046,2.8045425384543,0,27,female_27,1.27973962502238e-5,1.9485515922680843e-6,6.237069747665299e-7,5.890211152845334e-7,6.754682201187507e-6,2.2005516616725202e-7,1.0175955989184727e-6,5.098678981434501e-6,2.587625878148754e-7,2.1289672346978965e-6,1.2485823270444116e-6,3.244781688425041e-6,3.388010320676316e-7,6.549254326100247e-7,0,9.889397874646507e-7,1.1305889453350823e-6,1.7717144533881178e-4,4.474230615663206e-6,1.9287863232436929e-7,9.975973930607068e-4,1.693273974725983e-4,2.1097017422696214e-4,1.2719151615735023e-4,3.7917339688159157e-4,8.938387043976833e-5,6.332489126685163e-7,7.057506637309153e-5,3.86873806545882e-6,9.04548252245955e-6,3.793484519435101e-5,2.796137649287185e-4,1.7423096583550943e-4,0.0010247068872406516,0,1.1971473298955372e-6,8.831191046858107e-7,0.12742196819320875,1.2938340266663377e-5,0.002558619057290844,0.013781896327576886,0.003239658371558007,0.004164564593431562,0.002433804638265739,0.0059329269482300976,0.0017155524313433492,4.585446921743606e-6,8.335545527853826e-4,5.787980084992741e-5,8.902233176977126e-5,8.091376583012636e-4,0.0013273099546700002,0.001255405365970929,0.015254230507361912,0,1.1808259698381526e-5,0,0.9856763812113132,2.0755187052527287e-4,0.043902252788067295,0.001067961756255773,7.4461120003429e-4,0.0017759537829297898,7.432210644792164e-4,0.004065873084666318,9.957166528948237e-4,2.0205613566520635e-6,9.341134145187006e-5,6.71353923429026e-6,1.2349177127690544e-5,4.6016083038793236e-5,1.007096760241992e-4,4.733088615104777e-5,0.0013528358058844808,0,3.229603977765803e-6,3.2280967068411378e-6,5.840094551653898,0.009353958670316112,8.790553695624844e-4
female,30 to 34,439953.0789478348,10.09351142040358,0.7601752985060026,0.21713905934405933,0.19865960247605483,2.345401528844845,0.07556286525239929,1.5141118080826175,9.072465520611825,2.40733206985057,1.8029952113504844,2.792548325003691,0.2193722422091818,0.44541247292436825,1.1434389641938196,0.6823309750721788,115.16818237586216,2.8086637969708614,0.234043849873701,551.16495273253,84.84303871973,108.56226600467001,67.61900468998999,203.20063409855,47.484161536571,0.81584742698472,78.556851785045,9.655264014426,31.159023112704,160.19058018022,93.53014400682,676.94476424825,0,1.3718091632763,0.58058573844791,59749.207046202,5.8015006576363,1235.1730126489,8009.4685459366,1665.1341006119,2174.906514829,1318.9211586681,3270.5559093429,925.1988027505,5.4604704567934,939.3651385316,102.92278796991,686.81635819,948.9634526488,706.4806039987,10155.762344551,0,13.71772978046,0,435349.81889095,93.57518630532,20258.06994124,838.3135273043999,260.50349485527,711.4189345313,260.67007823869,1500.4314021942,375.46713754046,2.712082684812,106.98318824861,14.347638661306,43.032993409682,82.3871682872,36.639452319387,812.7292799387,0,3.650320995705,2.0677697912122,2488229.1157067,4224.1451425239,333.11570911133,0.2183052082671218,2.9350570806599,44.233057622934,5.1385123854383,0,32,female_32,2.294224521520025e-5,1.7278553893155878e-6,4.935504937557341e-7,4.5154724897290666e-7,5.331026514131838e-6,1.71752100094653e-7,3.4415302006833907e-6,2.062143886413748e-5,4.962011148761758e-7,5.471792754826947e-6,4.098153411410186e-6,6.347377615090639e-6,4.986264506520087e-7,1.012409036867272e-6,0,2.5990020729674157e-6,1.5509176039954086e-6,2.6177378426647547e-4,6.384007593918634e-6,5.319745697278131e-7,0.0012527812148756016,1.9284565281969498e-4,2.4675873678234274e-4,1.5369594605793764e-4,4.618688760731312e-4,1.0793005847380646e-4,1.8543964482209136e-6,1.7855734064395416e-4,6.671295692893445e-6,2.1946122158110467e-5,7.082351415115002e-5,3.641083284683951e-4,2.1259117956510507e-4,0.001538674910213585,0,3.1180806065888573e-6,1.3196537681618316e-6,0.13580813478813375,1.3186634973690419e-5,0.002807510781838066,0.018205278992686133,0.0037847992894927207,0.0049434965201979614,0.0029978677767691776,0.007433874351248011,0.0021029488075481814,1.2411483674241653e-5,0.0021351484589632354,1.0054039791861238e-4,2.3394037431458356e-4,0.0015611127437329191,0.002156965135732846,0.0016058089778307185,0.023083739677055806,0,3.117998358658267e-5,0,0.9895369295564571,2.126935593429844e-4,0.04604597833407139,0.001905461212612172,5.921165399689313e-4,0.0016170336532993167,5.924951789452021e-4,0.003410435053170991,8.534254117243697e-4,6.164481656312199e-6,2.4316954095301375e-4,1.1679682746458454e-5,3.2611747360920725e-5,9.78126883725808e-5,1.872635338391816e-4,8.328036345832992e-5,0.0018473089945918193,0,8.297068870241543e-6,4.6999779980114094e-6,5.655669285591542,0.009601353745781506,7.571618998734805e-4
female,35 to 39,395817.6009596854,16.80831510400708,0.7186622834675186,0.2003327852132773,0.19456230858589404,2.0748673680524603,0.0752388503322672,3.406800534099319,21.191177183616755,4.109567408516254,4.053929895652312,4.781481365697085,0.31020537735088005,0.8529374005569731,1.7815505444675261,1.0850110897531313,164.31429630281707,4.316297470988438,0.3299816629407561,540.7821085803699,84.39235656014,112.64531222087,69.52768639433,210.60819377231,47.927516248227,1.6229136770761001,149.52129953145,14.715627941505,50.511842877151,206.62403996746,114.98122383633,897.1973461593,0,1.7609706891003,0.7321133468326,57654.46057591,5.3359563028391,1218.0923326427,7983.130079855,1668.7538453676,2247.638602078,1368.7007911683,3468.8734523021,936.9643650584001,10.810755288607,1849.7887003879,163.93532707874,1197.414278218,1377.2451190333,880.2152725223,13602.537751199001,0,16.839950907003,0,392655.40380544,85.9386434225,19278.494528189,1223.2923892619,208.338653971,612.5019283213,206.71776893049,1064.7135559593,275.38250996038,5.4078496173704,208.71853262546,22.640962235258,75.96667879438,129.57786604845,56.07479296049,1104.3308889959,0,4.8890667864731,2.4525623682365,2172201.5857516,3885.3754642552,417.497008774,0.431593809209955,5.6900568204261,87.78636150834,10.180504092933,0,37,female_37,4.246479960278227e-5,1.8156400365346953e-6,5.061239943033293e-7,4.915453686601231e-7,5.241978535117716e-6,1.9008465048003355e-7,8.606996065458713e-6,5.353773337071766e-5,1.0903855921604492e-6,1.0382477683034665e-5,1.0241914169110461e-5,1.2080011990634257e-5,7.83707891207382e-7,2.1548748678405687e-6,0,4.500938159768645e-6,2.74118959622425e-6,4.151263003576052e-4,1.0904763862251945e-5,8.336710195319616e-7,0.0013662406807307425,2.1321021691689623e-4,2.8458894184532e-4,1.7565587337641284e-4,5.320839529664087e-4,1.2108485355887063e-4,4.100155407797028e-6,3.777530336420764e-4,1.4375451739968583e-5,3.7177800850255286e-5,1.2761393822478275e-4,5.220183222435956e-4,2.904904267964602e-4,0.002266693911498597,0,4.448944879739336e-6,1.8496230209509223e-6,0.1456591633017911,1.3480846455290842e-5,0.003077408204408688,0.020168709174375733,0.004215966751659346,0.005678470579955148,0.0034579078541474564,0.00876381809169575,0.0023671619523403437,2.7312467314226614e-5,0.004673336142463012,2.217848860068281e-4,4.141688663699345e-4,0.003025166832689581,0.0034794943824986053,0.0022237901255228697,0.034365671759463874,0,4.2544724808026347e-5,0,0.9920109738764056,2.1711678109850646e-4,0.04870550092125019,0.0030905457117014214,5.263501508418763e-4,0.001547434795310389,5.222551206143672e-4,0.0026899095779920677,6.95730834840839e-4,1.3662478889919797e-5,5.273098824292008e-4,2.572019048230728e-5,5.72004938142304e-5,1.919234480988058e-4,3.2736762017222094e-4,1.4166826544482366e-4,0.0027899994500456228,0,1.2351817540754228e-5,6.1961933029003856e-6,5.487885279696902,0.009816075522753044,0.0010547712071463005
female,40 to 44,315079.7717949407,30.99555469054666,0.8773595808226261,0.19371556708267557,0.18002868648556836,2.025385813012281,0.07495806079211585,10.19375810350226,40.57501129514332,7.758732235532492,8.810825496508237,8.689703482770703,0.6009779349248994,2.613639445740365,3.3561067146113603,1.8742101961407676,257.18535727743296,7.08856652383399,0.5034610350356435,713.0122262926,74.26664164743,102.35855732811,62.6090692451,186.12786480645,42.167101019795,4.3285549045982,272.18581967765,25.55904320373,73.73210677774,238.31554669796,129.61429910838999,1036.6233055928,3.0572376313723,2.8377014302646,1.1692075082018,49464.190826435,4.3038466630664,1124.2685491924,14807.642038607,1480.7446492957001,2037.7931866633,1235.3471265171,3094.5686562256,835.1321210033,28.545590608982998,3403.8607836225,295.56106074077,1808.5043795004,1782.325480938,1009.9961304651,15938.457671478,22.956908894418,26.643107610155,0,313335.53474816,69.3886984041,17223.740536911,1988.8324110467,160.25544169268,476.8502092472,148.88890913329,680.7816053939,177.20820970713,14.492464995852,381.30648983553,40.948349394816,118.31964211233,163.93424938224,72.17853535449,1159.8000908444,13.632233398302,8.000378179253,3.8828072792909,1647223.6890764,3150.6021672773,778.6290559419,1.0863318910111999,12.379333636259,192.21133733781,22.329734114284,0.43513617152498907,42,female_42,9.837367379686658e-5,2.784563337165379e-6,6.148143563108487e-7,5.713749424788022e-7,6.428168338050076e-6,2.3790185058563468e-7,3.2352943654334406e-5,1.2877694770437446e-4,3.4477995360432193e-6,2.4624659943520614e-5,2.7963792935087158e-5,2.7579375956975463e-5,1.9073834270643883e-6,8.295167382060206e-6,1.381034932982569e-6,1.0651609576496622e-5,5.948367251454453e-6,8.162547402275433e-4,2.2497688389997154e-5,1.5978843458199042e-6,0.002262957797102381,2.3570742489861904e-4,3.2486553086221825e-4,1.9870862825763076e-4,5.907325111546202e-4,1.3382992116433952e-4,1.3737965087188453e-5,8.638631992370275e-4,3.928952203353658e-5,8.111927674101612e-5,2.3401091843409775e-4,7.563657461738287e-4,4.11369788577685e-4,0.003290034455996281,9.703059050588631e-6,9.006295180737354e-6,3.710830122610157e-6,0.15698942063036386,1.3659546084308507e-5,0.003568202880139488,0.04699648585579168,0.0046995865233119254,0.0064675468534664635,0.003920744005492948,0.009821540235974268,0.0026505418492775165,9.05979791922693e-5,0.01080317141348506,6.100402328046131e-4,9.380515259898252e-4,0.00573983016808012,0.0056567435947553245,0.0032055251427642356,0.05058546786637582,7.286062435438969e-5,8.455987973577304e-5,0,0.9944641414558473,2.202258114153369e-4,0.0546646978915565,0.0063121551717419235,5.086186294338723e-4,0.0015134269221114653,4.725435348803968e-4,0.0021606642708785644,5.624233148882059e-4,4.5996177137274126e-5,0.001210190319941233,7.087009739494345e-5,1.2996184795216204e-4,3.7552281264610805e-4,5.202944271805911e-4,2.2908019433715034e-4,0.00368097286676727,4.326597458364954e-5,2.5391595701864933e-5,1.23232515282444e-5,5.227957604807589,0.00999937936138841,0.002471212453615223
