sex,age,population_number,deaths_number_crdd,deaths_number_pdri,deaths_number_cyri,deaths_number_mtri,deaths_number_mvri,deaths_number_otri,deaths_number_tbalc,deaths_number_brsc,deaths_number_carc,deaths_number_ishd,deaths_number_strk,deaths_number_iscs,deaths_number_copd,deaths_number_adaod,deaths_number_stmc,deaths_number_lvrc,deaths_number_allc,deaths_number_lwri,deaths_number_dmt2,ylds (years lived with disability)_number_crdd,ylds (years lived with disability)_number_pdri,ylds (years lived with disability)_number_cyri,ylds (years lived with disability)_number_mtri,ylds (years lived with disability)_number_mvri,ylds (years lived with disability)_number_otri,ylds (years lived with disability)_number_tbalc,ylds (years lived with disability)_number_brsc,ylds (years lived with disability)_number_carc,ylds (years lived with disability)_number_ishd,ylds (years lived with disability)_number_strk,ylds (years lived with disability)_number_iscs,ylds (years lived with disability)_number_copd,ylds (years lived with disability)_number_adaod,ylds (years lived with disability)_number_stmc,ylds (years lived with disability)_number_lvrc,ylds (years lived with disability)_number_allc,ylds (years lived with disability)_number_lwri,ylds (years lived with disability)_number_dmt2,prevalence_number_crdd,prevalence_number_pdri,prevalence_number_cyri,prevalence_number_mtri,prevalence_number_mvri,prevalence_number_otri,prevalence_number_tbalc,prevalence_number_brsc,prevalence_number_carc,prevalence_number_ishd,prevalence_number_strk,prevalence_number_iscs,prevalence_number_copd,prevalence_number_adaod,prevalence_number_stmc,prevalence_number_lvrc,prevalence_number_allc,prevalence_number_lwri,prevalence_number_dmt2,incidence_number_crdd,incidence_number_pdri,incidence_number_cyri,incidence_number_mtri,incidence_number_mvri,incidence_number_otri,incidence_number_tbalc,incidence_number_brsc,incidence_number_carc,incidence_number_ishd,incidence_number_strk,incidence_number_iscs,incidence_number_copd,incidence_number_adaod,incidence_number_stmc,incidence_number_lvrc,incidence_number_allc,incidence_number_lwri,incidence_number_dmt2,deaths_number_utrc,ylds (years lived with disability)_number_utrc,prevalence_number_utrc,incidence_number_utrc,age_cat,sex_age_cat,deaths_rate_crdd,deaths_rate_pdri,deaths_rate_cyri,deaths_rate_mtri,deaths_rate_mvri,deaths_rate_otri,deaths_rate_tbalc,deaths_rate_brsc,deaths_rate_utrc,deaths_rate_carc,deaths_rate_ishd,deaths_rate_strk,deaths_rate_iscs,deaths_rate_copd,deaths_rate_adaod,deaths_rate_stmc,deaths_rate_lvrc,deaths_rate_allc,deaths_rate_lwri,deaths_rate_dmt2,ylds (years lived with disability)_rate_crdd,ylds (years lived with disability)_rate_pdri,ylds (years lived with disability)_rate_cyri,ylds (years lived with disability)_rate_mtri,ylds (years lived with disability)_rate_mvri,ylds (years lived with disability)_rate_otri,ylds (years lived with disability)_rate_tbalc,ylds (years lived with disability)_rate_brsc,ylds (years lived with disability)_rate_utrc,ylds (years lived with disability)_rate_carc,ylds (years lived with disability)_rate_ishd,ylds (years lived with disability)_rate_strk,ylds (years lived with disability)_rate_iscs,ylds (years lived with disability)_rate_copd,ylds (years lived with disability)_rate_adaod,ylds (years lived with disability)_rate_stmc,ylds (years lived with disability)_rate_lvrc,ylds (years lived with disability)_rate_allc,ylds (years lived with disability)_rate_lwri,ylds (years lived with disability)_rate_dmt2,prevalence_rate_crdd,prevalence_rate_pdri,prevalence_rate_cyri,prevalence_rate_mtri,prevalence_rate_mvri,prevalence_rate_otri,prevalence_rate_tbalc,prevalence_rate_brsc,prevalence_rate_utrc,prevalence_rate_carc,prevalence_rate_ishd,prevalence_rate_strk,prevalence_rate_iscs,prevalence_rate_copd,prevalence_rate_adaod,prevalence_rate_stmc,prevalence_rate_lvrc,prevalence_rate_allc,prevalence_rate_lwri,prevalence_rate_dmt2,incidence_rate_crdd,incidence_rate_pdri,incidence_rate_cyri,incidence_rate_mtri,incidence_rate_mvri,incidence_rate_otri,incidence_rate_tbalc,incidence_rate_brsc,incidence_rate_utrc,incidence_rate_carc,incidence_rate_ishd,incidence_rate_strk,incidence_rate_iscs,incidence_rate_copd,incidence_rate_adaod,incidence_rate_stmc,incidence_rate_lvrc,incidence_rate_allc,incidence_rate_lwri,incidence_rate_dmt2
female,Under 5,32989.65318383127,0.27466659980129926,0.05685861420027563,0.004523574882737445,0.005915610992748129,0.08104645296686756,0.0041947875569241086,0,0,0,0,0.03531497701259547,0.010651012704651092,0.015050415067520776,0,0,0,21.040713371784616,0.7375657516361886,0,2.0832996588970003,0.31731302184960003,0.18750472855529998,0.1629891241716,0.5185908508183,0.1468907986723,0,0,0,0,0.947619396874,0.6699368933931,0.93740340106,0,0,0,923.732582985,1.156853244472,0,6.500996658908,4.579728041141,2.994187039666,2.462970038954,6.125736720622999,2.405181820669,0,0,0,0,0,4.718910796794,12.70693387426,0,0,0,21559.5661401,18.33807541506,0,10.12539715657,16.06485394014,14.90336967292,7.536849116798,29.4506634987,11.34760200732,0,0,0,0,2.302602373995,1.493909252107,4.277171978996,0,0,0,233518.0306192,712.278334139,0,0,0,0,0,2,female_2,8.325840780160657e-6,1.7235287040890414e-6,1.3712101965820354e-7,1.7931716225642104e-7,2.456723400978027e-6,1.271546425040939e-7,0,0,0,0,0,1.0704864587634972e-6,3.2285918997994543e-7,4.5621622584675164e-7,0,0,0,6.377973498095757e-4,2.23574872862768e-5,0,6.315009276660286e-5,9.618561919442062e-6,5.6837435516660385e-6,4.940613448203312e-6,1.571980305244522e-5,4.452632401249171e-6,0,0,0,0,0,2.8724745652629127e-5,2.0307485188157304e-5,2.841507292715146e-5,0,0,0,0.02800067578272497,3.506715387474856e-5,0,1.9706168545276603e-4,1.388231642091222e-4,9.076139791410406e-5,7.465886425751025e-5,1.8568660563019545e-4,7.29071568975395e-5,0,0,0,0,0,0,1.4304214629048628e-4,3.8517937134567576e-4,0,0,0,0.6535250922451852,5.558735435281196e-4,0,3.069264505494289e-4,4.8696643916261683e-4,4.5175890725108824e-4,0.00022846099881073994,8.927242531041283e-4,3.4397457724355925e-4,0,0,0,0,0,6.979771388210714e-5,4.528417573177724e-5,1.2965192313971663e-4,0,0,0,7.078523357549291,0.0215909615711904,0
female,5 to 9,33012.78728207312,0.05127570034451659,0.043620553216492414,0.008870993036630954,0.004761937804611756,0.049471480219856465,0.004671951584238165,0,0,0,0,0.011658237477857231,0.0015010968437723776,0.008886629907384588,0,0,0.005704502041981558,1.4263643962241288,0.058277038728275554,0,3.992294474585,1.249745332429,1.097118834477,0.5382282764683,1.8069524452999999,0.505344829164,0,0,0,0,2.709711633893,1.8570035585909999,2.8981753272599997,0,0,0.00451645845958,1252.933549634,0.5425632186395,0,6.875426118837,20.03216517875,18.53297267481,8.89190834876,23.25457875681,8.6465311951,0,0,0,0,6.4203636723069994,13.18300614035,40.05820955018,0,0,0,26350.66492567,8.44281789665,0,8.81921234287,36.016928155689996,60.93445001836,14.133704230380001,68.00577989573,25.42394039953,0,0,0,0,2.03755346611,1.16517905941,5.376351755459,0,0,0.021364126372789997,216286.41225599998,354.255464041,0,0,0,0,0,7,female_7,1.553207243799155e-6,1.3213229420400866e-6,2.6871384596623124e-7,1.4424525151190803e-7,1.4985550840392346e-6,1.4151945257815802e-7,0,0,0,0,0,3.531430829588868e-7,4.547016375643979e-8,2.691875069940029e-7,0,0,1.7279674064598795e-7,4.3206421319010685e-5,1.7652868335634792e-6,0,1.2093176018351317e-4,3.7856401574054525e-5,3.323314766192937e-5,1.6303630222722004e-5,5.4734925283974015e-5,1.5307548097837123e-5,0,0,0,0,0,8.208066803751678e-5,5.625103820298765e-5,8.7789476922895e-5,0,0,1.3680936483762354e-7,0.03795297679437017,1.643494122455171e-5,0,2.0826554450222235e-4,6.06800177385447e-4,5.613876985441314e-4,2.693473978063209e-4,7.044112500442487e-4,2.6191460664078223e-4,0,0,0,0,0,1.9448111477074338e-4,3.9933029670320344e-4,0.0012134149476052496,0,0,0,0.7981957021841399,2.55743867505386e-4,0,2.6714534181908e-4,0.0010909993102959897,0.0018457832565821892,4.2812817074839974e-4,0.0020599829791608983,7.70124018378052e-4,0,0,0,0,0,6.17201282854553e-5,3.529477985164631e-5,0.00016285664429124139,0,0,6.471470036821557e-7,6.551595004928579,0.01073085592604205,0
female,10 to 14,30256.231001951597,0.07548455489171982,0.0764590426542114,0.02004151922880473,0.006743763738346874,0.07015776735697332,0.006722001149948122,0,0,0,0,0.023513134190586097,0.0019994998668151336,0.012433483137981953,0,0,0.009241765699585538,1.9696966870000636,0.06373790673135268,0,6.68156722216,2.367049057409,2.472931977719,1.051422056706,3.45424118653,0.959746923064,0,0,0,0,3.98907867348,2.685410974272,4.9668228142310005,0,0,0.007383889140562,1711.728727463,0.3007808757993,4.672044244419999,40.3870289136,40.67236278892,44.26725338332,18.03153536276,46.83123175076,16.77524850883,0,0,0,0,10.99639500853,18.95644897501,70.0971421779,0,0,0,26408.27010686,4.678819865262,93.99037019223,7.122374085520001,41.347304568060004,86.39830768339999,20.65620909575,94.88168371149999,34.24728408322,0,0,0,0,1.70773016866,0.9742485257919999,10.08195880967,0,0,0.03436300385254,165282.0102541,213.0767710524,48.35067149417,0,0,0,0,12,female_12,2.494843289861546e-6,2.52705112706469e-6,6.623931192061564e-7,2.2288842711148938e-7,2.3187874045662853e-6,2.2216915086067849e-7,0,0,0,0,0,7.771336155210292e-7,6.608555661431066e-8,4.10939589176853e-7,0,0,3.0544999801824034e-7,6.510053042869132e-5,2.1066043132484493e-6,0,2.208327673638208e-4,7.823344081608578e-5,8.17329817966914e-5,3.475059589008891e-5,1.1416627491729533e-4,3.1720637081402974e-5,0,0,0,0,0,1.3184321184032125e-4,8.875563430550173e-5,1.641586757422175e-4,0,0,2.440452394776376e-7,0.05657442023603632,9.941121740506904e-6,1.5441593647664317e-4,0.0013348334401265954,0.0013442640223858859,0.0014630789069684411,0.00059596105547967705,0.0015478210669312802,5.544394643122588e-4,0,0,0,0,0,3.634423272290824e-4,6.265304152981668e-4,0.0023167836791495467,0,0,0,0.8728208779592079,1.5463987781426592e-4,0.0031064797920853857,2.3540189407796996e-4,0.0013665715523322455,0.002855554205605685,6.827092605955324e-4,0.0031359386337769532,0.0011319084680775663,0,0,0,0,0,5.644226369602504e-5,3.2199930180634816e-5,3.3321925685389205e-4,0,0,1.1357331271804313e-6,5.462742872482661,0.007042409579655049,0.001598040135635244
female,15 to 19,31688.711941162837,0.306022285841652,0.17087967552127728,0.045646487631447505,0.05809831354815215,0.596381215066292,0.02378937296987255,0.011717896322322497,0.008255112232075394,0.01100434837415296,0.019962676321193064,0.0789552250891847,0.00899854250321256,0.020579728973893437,0,0.005466379547376138,0.0332153798250743,6.034158460664331,0.12378337491051594,0.0045298101873376346,17.03654221986,3.648568192829,3.9468439106899997,2.031834024304,6.26028010754,1.665452146716,0.005133662732173,0.0925092590837,0.04715538650023,0.1379913471022,5.635323968976,3.7201209855529997,10.52993767669,0,0.006362487894656,0.03174333857854,2899.93573992,0.3678790581871,26.42543641259,207.2101868943,65.9274338996,73.8368931173,36.23466381337,90.3266799399,30.50578477742,0.030515865666239997,1.111428899766,0.4262650693686,3.665009077379,23.00541539573,26.75787976653,153.0417421552,0,0.06173102434394,0,30114.29521513,5.88128834815,505.0857636513,9.8499805962,40.15207492739,84.1040475457,28.472354306419998,126.7288740212,40.22832474887,0.01798130996719,0.1159045966372,0.06020117469909,0.4969524058163,1.678655451068,0.905308055728,21.29735626849,0,0.01747743913533,0.1469035887329,173574.032687,268.7960106246,89.76176498160001,0.004310543798230759,0.04940333533943,0.7387735297265,0.08588327528930001,17,female_17,9.657138681113028e-6,5.392446238854818e-6,1.4404652267406889e-6,1.8334072289219147e-6,1.8819989154927055e-5,7.507207302727492e-7,3.69781401783682e-7,2.605063988527792e-7,1.3602773777092124e-7,3.4726398455655083e-7,6.299617465758225e-7,2.4915883370640843e-6,2.839668119019909e-7,6.49434063842806e-7,0,1.7250242160444044e-7,1.0481770255208246e-6,1.904198085383872e-4,3.906229295161867e-6,1.4294712248791423e-7,5.37621795783058e-4,1.1513778785339653e-4,1.2455046825564245e-4,6.411854252948347e-5,1.9755552447709476e-4,5.255663751206686e-5,1.6200288423539557e-7,2.9193126958099174e-6,1.5590199889209227e-6,1.4880815158339187e-6,4.354589967506781e-6,1.7783379707699186e-4,1.1739577779179647e-4,3.3229301639780054e-4,0,2.0078089341306704e-7,1.0017238516187905e-6,0.09151320966609111,1.1609151513325928e-5,8.339069275410978e-4,0.006538927403519333,0.002080470611175645,0.002330069245300808,0.0011434565052895723,0.002850437092792274,9.626703929797082e-4,9.6298851537101e-7,3.5073337844391265e-5,2.3313460360843883e-5,1.345163761026501e-5,1.1565661249292514e-4,7.259813979957496e-4,8.443978352989536e-4,0.004829534959936401,0,1.9480446052385284e-6,0,0.950316165297091,1.8559568969132994e-4,0.015938980561567298,3.1083562545832367e-4,0.0012670781634148236,0.002654069616393936,8.985014714162341e-4,0.003999180347137505,0.0012694843773884803,5.674358112307093e-7,3.657598858937616e-6,2.7102166679655984e-6,1.8997671729563166e-6,1.5682316363599854e-5,5.297329390304025e-5,2.856878680991851e-5,6.720802129172461e-4,0,5.515351702455047e-7,4.635833384634228e-6,5.477472009884116,0.008482389916121543,0.0028326100836241863
female,20 to 24,39138.00890041865,0.5305983724468544,0.10509368483481608,0.03786969385680265,0.05741661263618844,0.5629397001040514,0.022761247170969456,0.02092932087266043,0.03872715499993663,0.04620000826459139,0.04862045633924077,0.15845815536989588,0.01697440488324927,0.022962642161739287,0,0.015348636087477628,0.03379112170418007,7.624073428896756,0.1621283461959201,0.005338448911758571,26.33299507681,5.834536200206999,6.456091722838,3.666044768441,10.84552808307,2.8591176121029998,0.01109546652403,0.5137674140340001,0.2276131604892,0.7435194518641,8.96275273251,5.809433877439,24.156743218589998,0,0.02014209747483,0.0356440561718,4474.959544433,0.5146542420929,59.390853349269996,320.7364112665,109.27510861510001,125.6924389781,68.74759593694,162.55926684370002,53.84442817363,0.07057044068181,6.177791734411,2.1449758215,14.96148952628,39.72496709033,41.84440904191,353.1101487529,0,0.2009020918919,0,38174.57966447,8.269073925641,1074.436727138,21.97322869689,38.19452886376,78.9187294134,33.01222071592,160.4071273794,44.82511121647,0.037743243111859996,0.6398158834393,0.29731199382310003,1.4093809838840001,2.653657709839,1.305637942943,39.01686477549,0,0.05387727585396,0.1663062452743,225118.8236474,371.3568565247,73.7623957462,0.006233968522984564,0.08057099241730001,1.206071264777,0.1399171433276,22,female_22,1.3557112059453252e-5,2.6852077504047967e-6,9.67593777014997e-7,1.4670294746540944e-6,1.4383452707989693e-5,5.815637486537028e-7,5.347569143313408e-7,9.895024322385081e-7,1.592816982296174e-7,1.1804383912871255e-6,1.242282315969341e-6,4.048702522733621e-6,4.337063984639162e-7,5.867095135106288e-7,0,3.921670140790797e-7,8.633837707522881e-7,1.9479972648315288e-4,4.142478137005734e-6,1.3640062593223712e-7,6.728240862689446e-4,1.4907595874517234e-4,1.6495708147199435e-4,9.366967997193606e-5,2.771098578536525e-4,7.305219893473979e-5,2.8349593747246846e-7,1.3127070805804442e-5,2.0586380012918378e-6,5.815655085273519e-6,1.8997375511766177e-5,2.2900379923042346e-4,1.484345790870536e-4,6.172195238662639e-4,0,5.146428763425046e-7,9.107273766146729e-7,0.11433794590365919,1.3149729803638397e-5,0.0015174725290799018,0.008195010944030655,0.0027920456784895644,0.003211518483168302,0.0017565430094274577,0.004153488422400587,0.0013757579827484284,1.803117804520074e-6,1.5784634701600565e-4,3.081585646949196e-5,5.480544058737377e-5,3.822751832968171e-4,0.0010149971397728683,0.0010691501744091636,0.009022179683471911,0,5.133170989946578e-6,0,0.9753837953688456,2.1127988259904933e-4,0.027452513741099048,5.614293959817398e-4,9.758935095789055e-4,0.0020164216737289316,8.434823754043062e-4,0.004098499946370142,0.0011453089330763198,9.643628833518985e-7,1.6347686083551785e-5,3.5749683557893853e-6,7.596502790409446e-6,3.6010543803339066e-5,6.780257310970703e-5,3.3359845828259135e-5,9.969046937150818e-4,0,1.3765972610166095e-6,4.249226006806929e-6,5.751923257521461,0.009488394196791336,0.0018846742033780614
female,25 to 29,44163.23258114207,0.8317090464119546,0.08484929499819055,0.03224211550802854,0.04449560640149253,0.41396856967862805,0.020515873056633414,0.053792340892350785,0.3329700190000139,0.14274968007189837,0.09487417351437137,0.27399823761786274,0.034094492982537965,0.028857631705515183,0,0.062004273084272386,0.06116193529885941,10.915989701760349,0.23949348421898692,0.009294593095911876,47.85929402616,7.771907549115,8.866964342240001,5.1545436373969995,15.86278294985,4.064434502843,0.0356315028729,4.747767932459,0.605377962445,1.675475863454,13.04421187755,8.21003461306,43.98860928168,0,0.07805224038993999,0.04965387809111,5721.103834221,0.6107821227617001,85.1743333475,666.3367631274,148.7425116307,175.0140987168,98.8468155065,248.60968090850002,78.0084406034,0.2655354961419,55.5096567367,5.972785367044,35.48768774488,62.12648771011,59.07844930348,653.5197205457,0,0.7787708559853,0,43568.03925343,9.76669686466,1462.105771908,44.26192481462,32.42471313687,71.92780237162,29.06393968748,160.16676908350001,43.6682662435,0.1118867587676,6.274966180645,0.833285798811,1.9915219974260001,4.462598149507,2.060967338749,57.65997565038,0,0.2086078870241,0.1805400648693,255218.3547265,438.2073917408,32.53375796191,0.017854867951539403,0.27849699622019997,4.1879825881579995,0.48544592382859997,27,female_27,1.883261251050492e-5,1.921265497091842e-6,7.300669272519713e-7,1.0075260301595853e-6,9.373602100299941e-6,4.645464531822745e-7,1.2180344994791074e-6,7.5395300465888864e-6,4.042925960805579e-7,3.2323195501964506e-6,2.148261528185397e-6,6.204216077580821e-6,7.720108105740541e-7,6.534311466556356e-7,0,1.4039794974326344e-6,1.3849062155150272e-6,2.471737022806056e-4,5.422915629623813e-6,2.1045998113554568e-7,0.00108369091728571,1.7598140115390116e-4,2.0077706780065373e-4,1.1671572337750514e-4,3.5918527749763255e-4,9.203208789970992e-5,8.068137405348094e-7,1.0750499125569721e-4,6.306082683338711e-6,1.3707736663812503e-5,3.79382523771468e-5,2.9536361165554597e-4,1.8590203056299208e-4,9.96045957479647e-4,0,1.7673579543013052e-6,1.124326168830143e-6,0.12954449889304392,1.383010452505932e-5,0.0019286254281999703,0.015088043247357968,0.0033680168533273044,0.003962891493398786,0.002238215133479792,0.005629336132759849,0.0017663661839081503,6.012591937286879e-6,0.0012569201458410206,9.482962055513776e-5,1.35243391798145e-4,8.035572957590389e-4,0.001406746836205064,0.0013377292795524849,0.014797823491407111,0,1.7633918770652656e-5,0,0.9865228767704333,2.211499542456598e-4,0.03310685578148387,0.0010022347148908677,7.342015346656377e-4,0.0016286806505720678,6.581026339971875e-4,0.003626699399533812,9.8879234356922e-4,2.5334820897004773e-6,1.420857535533856e-4,1.0992083130162168e-5,1.8868315340820804e-5,4.50945703253704e-5,1.0104781486064844e-4,4.666703994012078e-5,0.0013056103976184278,0,4.7235647128144475e-6,4.0880174370748296e-6,5.778978118451401,0.009922448293060795,7.366706660825839e-4
female,30 to 34,39816.79638633584,1.292878426083944,0.06460274253679794,0.02217889852346071,0.031728063798998285,0.2780124839399862,0.013886847789079183,0.15687950048598193,1.131526144945338,0.31073233284890345,0.2548460982931494,0.4433374076891252,0.041424707615585026,0.03669677113154368,0,0.13320612295011464,0.06991100752232757,13.670646337417176,0.28284375013186286,0.022487127649141243,51.21147774267,7.9179876779719995,9.304505482989999,5.580735596432,17.29466859623,4.399573556215,0.0902603052045,10.03024969238,1.264955732563,2.814708890435,15.13805499225,8.89291958091,59.14407016148,0,0.1657726281123,0.06325388091626,5469.873900508,0.5639001642914,85.83246631391,736.9915897000001,155.4296536314,186.40053104129998,108.9772666569,278.2037956826,85.7336495457,0.6267703209187,120.3069665923,13.53973440456,61.60407272512,90.9908257725,67.85031532693999,889.342855206,0,1.676127880946,0,39414.68929465,9.09878292537,1407.826856885,70.74460878372,23.32395628606,59.03899947811,20.7485564036,120.54435682889999,33.6593591957,0.2942509980082,13.771527659410001,1.8889722841299998,3.839496189222,7.5235355693170005,3.27793315708,70.31456944727,0,0.4366163824678,0.22233449543790001,223327.3101648,408.542090501,25.990127224720002,0.02847958205974008,0.396482788467,6.07475305166,0.705228297684,32,female_32,3.2470679296730885e-5,1.6224997588949182e-6,5.57023681871904e-7,7.968512456689406e-7,6.982291624933274e-6,3.487685863608257e-7,3.940033220247202e-6,2.8418312060225176e-5,7.152655322494399e-7,7.804051582500978e-6,6.400467175219713e-6,1.1134431896215234e-5,1.04038273731638e-6,9.21640474926233e-7,0,3.345475654486049e-6,1.755816988488791e-6,3.4333868061039215e-4,7.10362901594283e-6,5.647648653335225e-7,0.0012861777538748583,1.9886049096328758e-4,2.336829259870611e-4,1.4016033691618577e-4,4.3435610510756995e-4,1.1049541790169806e-4,2.266890191986293e-6,2.5191001292665876e-4,9.957676770878115e-6,3.176940003634e-5,7.06914956975529e-5,3.801926916813683e-4,2.2334593407825836e-4,0.0014854050433293225,0,4.163384379391938e-6,1.5886230600402397e-6,0.13737604219673305,1.4162369036925253e-5,0.002155684889389183,0.018509565223407017,0.0039036202743006135,0.004681454761771546,0.0027369672235684527,0.006987096424916617,0.002153203103379802,1.5741354850281033e-5,0.003021512967165446,1.5256759968124178e-4,3.4005082360685627e-4,0.0015471880793066774,0.002285237237311384,0.001704062644030914,0.02233587169035028,0,4.2096000509001436e-5,0,0.9899010686901011,2.2851619796545163e-4,0.035357612481553946,0.0017767529084283093,5.857818409033083e-4,0.0014827661900586949,5.211005979054709e-4,0.0030274750298662375,8.45355785762088e-4,7.3901223783332755e-6,3.458723179481124e-4,1.7711829220042857e-5,4.744159388921228e-5,9.642905853017402e-5,1.8895381477498517e-4,8.232538663519669e-5,0.0017659524579782683,0,1.0965633152184894e-5,5.5839373233503e-6,5.608871894109505,0.010260546492414487,6.52742801619248e-4
female,35 to 39,37411.90629846394,2.362472034600781,0.07083807929405062,0.02403765007301939,0.03655445226929872,0.2859212582762108,0.016079763542399882,0.4058077700047539,2.9633670802145953,0.5988505967915433,0.6184082661502285,0.8108631283917878,0.0626950739579957,0.08244145273677572,0,0.23484528881121086,0.12811935836299623,22.381519452961378,0.49234216443152085,0.03664645166336308,49.59911489846,8.18631434423,10.03379661055,5.9663683356020005,18.570797404460002,4.621679779211,0.2028684159141,21.37257119657,2.130088220877,4.746848504472,20.28739058254,11.41754991062,81.499419477,0,0.2453059041059,0.08979507294619,5534.976405386999,0.5491846644863,89.16635544078,722.2698058027,162.0510437652,200.4230653547,117.69151791690001,305.8885085547,90.4602309278,1.3897941471470001,262.9595727481,24.09451518938,112.1161529011,142.2923092218,88.0255812832,1236.89172811,0,2.380026456103,0,37124.60779019,8.837545565860001,1411.551842653,107.44288323239999,19.70157292147,53.48479838228,17.30083698957,90.51111395619999,25.98386196518,0.6659828845382,29.98128922699,3.3463232432970003,7.1149287649440005,12.41781579988,5.25336733227,98.3846549522,0,0.6707585713063,0.2972202565821,203344.7293405,396.9164024132,33.95147311536,0.06329597833661052,0.871260290342,13.42698018387,1.557129393871,37,female_37,6.314759840767e-5,1.8934635067488954e-6,6.425133721134743e-7,9.770807180386737e-7,7.642520431736198e-6,4.2980337366717096e-7,1.0847021981914232e-5,7.920919764348564e-5,1.6918672315612352e-6,1.6006952225691075e-5,1.652971813883804e-5,2.167393240865356e-5,1.6758053828593557e-6,2.203615396635392e-6,0,6.277287421220051e-6,3.424561083332355e-6,5.982458972928712e-4,1.3160039493944083e-5,9.79539812032185e-7,0.0013257574875433825,2.1881575022992386e-4,2.6819795095450586e-4,1.594777953308134e-4,4.963873601175593e-4,1.2353499825270217e-4,5.422562921430961e-6,5.712772566589989e-4,2.328831584766832e-5,5.693610488285804e-5,1.2688069051073445e-4,5.422709663787691e-4,3.051849274809283e-4,0.00217843535763229,0,6.556894004515664e-6,2.4001736834745793e-6,0.14794692259812098,1.4679408745040305e-5,0.0023833684049519013,0.01930588086157895,0.004331536663018252,0.005357200024927063,0.003145830553994844,0.008176234221116373,0.0024179529961966713,3.7148445098186895e-5,0.007028767009365054,3.588959107497093e-4,6.440333458861805e-4,0.0029968040657073728,0.0038033963863435168,0.002352876129351745,0.03306144622095305,0,6.361681859020157e-5,0,0.992320666421488,2.3622280819790394e-4,0.03773001651912497,0.0028718900976401566,5.266123774686913e-4,0.0014296197032995343,4.624420058028516e-4,0.002419313071996981,6.945345622831e-4,1.780136193074834e-5,8.013836287251948e-4,4.1621225645348435e-5,8.944540854456255e-5,1.9017819375956595e-4,3.3192149314214045e-4,1.4041966454100987e-4,0.0026297685599688215,0,1.792901345243239e-5,7.944536539008259e-6,5.435294521435518,0.01060936054010957,9.075044945452027e-4
female,40 to 44,34506.579673829,3.7261438226488077,0.07541922559723138,0.020777807271532257,0.029071251017513133,0.2623820701345259,0.01374866045218935,1.0492486011834679,4.902890504993145,0.9733978772178091,1.164879955932695,1.239483801749339,0.10125102290707524,0.22166019733900344,0.049780456371463645,0.3860501158731831,0.18899418785083585,30.520919714661346,0.6998697709073538,0.049285469845750406,71.8974599977,8.3191093477,10.54301041215,6.205245409174999,18.96050252075,4.6996494071249995,0.4621455148879,33.5560700987,3.300181443099,7.97190329808,27.336302136780002,15.0052520536,108.0968455127,0.3360556522085,0.34684606899139997,0.1213295603177,5405.521940839,0.5073767741896,95.7225227475,1486.048705734,165.8111998313,209.9000985006,122.4590995563,314.79636003,93.0729059535,3.142721064128,419.4370240685,38.25428621691,196.5313325903,204.1448477767,116.66322869289999,1663.794499673,2.522992087749,3.310524621321,0,34306.39490354,8.17823300441,1465.457144571,204.9858746434,17.71825058472,48.51984798349,14.533742692650002,67.7844091967,19.44961141158,1.525041111375,47.19840577904,5.300911948873,12.86338600963,18.26829910779,7.84986770051,118.25602897510001,1.497807835105,0.961233726198,0.4013554533336,178384.6475288,367.4864825788,68.19218518356,0.13783994385434145,1.644076569435,25.38534008882,2.9486425525130002,42,female_42,1.0798357466517742e-4,2.1856476738676005e-6,6.021404459072156e-7,8.424842824848789e-7,7.603827229898583e-6,3.9843590938735706e-7,3.0407203817399924e-5,1.4208567036598152e-4,3.994598860775648e-6,2.8209051329305414e-5,3.375819820288305e-5,3.592021618675255e-5,2.9342526516433494e-6,6.423708157523311e-6,1.442636646170379e-6,1.1187724762126368e-5,5.477047845288928e-6,8.844956528047165e-4,2.0282212190336546e-5,1.4282919463945085e-6,0.0020835869760870433,2.4108762521049003e-4,3.055362343010249e-4,1.7982788986418364e-4,5.494749899866289e-4,1.3619574734871154e-4,1.3392967928328386e-5,9.724542512148805e-4,4.76453066335614e-5,9.563919328701168e-5,2.3102560072408947e-4,7.92205498057891e-4,4.3485190927168327e-4,0.0031326444560567223,9.738886188809271e-6,1.0051592254866691e-5,3.51612827074022e-6,0.15665191948707502,1.4703768932926503e-5,0.0027740368257970034,0.04306566225284482,0.004805205308628633,0.006082900724576756,0.0035488622956501618,0.009122792319771774,0.0026972509832404444,9.107599460260473e-5,0.012155276704709617,7.356666562949191e-4,0.0011086084618790368,0.0056954741515385906,0.005916113671837798,0.00338089807206773,0.048216731863890874,7.311626106085865e-5,9.593893838837402e-5,0,0.9941986492958377,2.3700503155381285e-4,0.042468919215498314,0.005940486613886814,5.134745533228883e-4,0.0014061042398904912,4.2118757726871726e-4,0.001964390844801986,5.63649356019231e-4,4.4195661401110834e-5,0.0013678088708060777,8.54516031546689e-5,1.5362032397819473e-4,3.7278067346054706e-4,5.294149486987642e-4,2.274890115076695e-4,0.003427057392906128,4.34064415906451e-5,2.7856534472091804e-5,1.1631273140583159e-5,5.1695835755084465,0.010649751034511098,0.001976208184877835
