sex,age,population_number,deaths_number_crdd,deaths_number_pdri,deaths_number_cyri,deaths_number_mtri,deaths_number_mvri,deaths_number_otri,deaths_number_strk,deaths_number_iscs,deaths_number_copd,deaths_number_allc,deaths_number_lwri,ylds (years lived with disability)_number_crdd,ylds (years lived with disability)_number_pdri,ylds (years lived with disability)_number_cyri,ylds (years lived with disability)_number_mtri,ylds (years lived with disability)_number_mvri,ylds (years lived with disability)_number_otri,ylds (years lived with disability)_number_tbalc,ylds (years lived with disability)_number_brsc,ylds (years lived with disability)_number_carc,ylds (years lived with disability)_number_ishd,ylds (years lived with disability)_number_strk,ylds (years lived with disability)_number_iscs,ylds (years lived with disability)_number_copd,ylds (years lived with disability)_number_adaod,ylds (years lived with disability)_number_stmc,ylds (years lived with disability)_number_lvrc,ylds (years lived with disability)_number_allc,ylds (years lived with disability)_number_lwri,ylds (years lived with disability)_number_dmt2,prevalence_number_crdd,prevalence_number_pdri,prevalence_number_cyri,prevalence_number_mtri,prevalence_number_mvri,prevalence_number_otri,prevalence_number_tbalc,prevalence_number_brsc,prevalence_number_carc,prevalence_number_ishd,prevalence_number_strk,prevalence_number_iscs,prevalence_number_copd,prevalence_number_adaod,prevalence_number_stmc,prevalence_number_lvrc,prevalence_number_allc,prevalence_number_lwri,prevalence_number_dmt2,incidence_number_crdd,incidence_number_pdri,incidence_number_cyri,incidence_number_mtri,incidence_number_mvri,incidence_number_otri,incidence_number_tbalc,incidence_number_brsc,incidence_number_carc,incidence_number_ishd,incidence_number_strk,incidence_number_iscs,incidence_number_copd,incidence_number_adaod,incidence_number_stmc,incidence_number_lvrc,incidence_number_allc,incidence_number_lwri,incidence_number_dmt2,ylds (years lived with disability)_number_utrc,prevalence_number_utrc,incidence_number_utrc,deaths_number_lvrc,deaths_number_tbalc,deaths_number_brsc,deaths_number_carc,deaths_number_ishd,deaths_number_stmc,deaths_number_dmt2,deaths_number_utrc,deaths_number_adaod,age_cat,sex_age_cat,deaths_rate_crdd,deaths_rate_pdri,deaths_rate_cyri,deaths_rate_mtri,deaths_rate_mvri,deaths_rate_otri,deaths_rate_tbalc,deaths_rate_brsc,deaths_rate_utrc,deaths_rate_carc,deaths_rate_ishd,deaths_rate_strk,deaths_rate_iscs,deaths_rate_copd,deaths_rate_adaod,deaths_rate_stmc,deaths_rate_lvrc,deaths_rate_allc,deaths_rate_lwri,deaths_rate_dmt2,ylds (years lived with disability)_rate_crdd,ylds (years lived with disability)_rate_pdri,ylds (years lived with disability)_rate_cyri,ylds (years lived with disability)_rate_mtri,ylds (years lived with disability)_rate_mvri,ylds (years lived with disability)_rate_otri,ylds (years lived with disability)_rate_tbalc,ylds (years lived with disability)_rate_brsc,ylds (years lived with disability)_rate_utrc,ylds (years lived with disability)_rate_carc,ylds (years lived with disability)_rate_ishd,ylds (years lived with disability)_rate_strk,ylds (years lived with disability)_rate_iscs,ylds (years lived with disability)_rate_copd,ylds (years lived with disability)_rate_adaod,ylds (years lived with disability)_rate_stmc,ylds (years lived with disability)_rate_lvrc,ylds (years lived with disability)_rate_allc,ylds (years lived with disability)_rate_lwri,ylds (years lived with disability)_rate_dmt2,prevalence_rate_crdd,prevalence_rate_pdri,prevalence_rate_cyri,prevalence_rate_mtri,prevalence_rate_mvri,prevalence_rate_otri,prevalence_rate_tbalc,prevalence_rate_brsc,prevalence_rate_utrc,prevalence_rate_carc,prevalence_rate_ishd,prevalence_rate_strk,prevalence_rate_iscs,prevalence_rate_copd,prevalence_rate_adaod,prevalence_rate_stmc,prevalence_rate_lvrc,prevalence_rate_allc,prevalence_rate_lwri,prevalence_rate_dmt2,incidence_rate_crdd,incidence_rate_pdri,incidence_rate_cyri,incidence_rate_mtri,incidence_rate_mvri,incidence_rate_otri,incidence_rate_tbalc,incidence_rate_brsc,incidence_rate_utrc,incidence_rate_carc,incidence_rate_ishd,incidence_rate_strk,incidence_rate_iscs,incidence_rate_copd,incidence_rate_adaod,incidence_rate_stmc,incidence_rate_lvrc,incidence_rate_allc,incidence_rate_lwri,incidence_rate_dmt2
female,Under 5,32159.688614221363,0.32318542894887614,0.08250137878514643,0.0055030181065596545,0.010294816404599444,0.09958965418071178,0.006073230690080919,0.05047359247364787,0.017331720755307277,0.021377965570790594,27.77973793950259,0.8977008194890269,2.453447407887,0.28332222029,0.17386839305579999,0.1527208918389,0.471020903531,0.1315138381036,0,0,0,0,1.1300350288010002,0.8571227440629999,0.9351558678829999,0,0,0,919.137600785,1.269053195766,0,13.33937447965,4.07592333949,2.773188569705,2.289829458971,5.52745897541,2.147350713066,0,0,0,0,0,5.991742336,12.672523853640001,0,0,0,21473.35806169,20.17106321573,0,10.73157746804,14.31874767995,13.8343508675,7.035649339699999,26.76944853525,10.15833972542,0,0,0,0,3.08658744038,2.305913457919,4.27622432314,0,0,0,230530.7717628,761.744768949,0,0,0,0,0,0,0,0,0,0,0,0,0,2,female_2,1.0049395466035702e-5,2.5653662190206477e-6,1.7111540390121067e-7,3.2011554987652974e-7,3.0967232107052227e-6,1.8884606635759748e-7,0,0,0,0,0,1.5694676984940674e-6,5.389268833791818e-7,6.647441717248787e-7,0,0,0,8.63806185213438e-4,2.7913852968466053e-5,0,7.628952622389692e-5,8.809855831897323e-6,5.406407852435285e-6,4.748829930255145e-6,1.4646314184855306e-5,4.089400232732452e-6,0,0,0,0,0,3.513824534673157e-5,2.665208467484884e-5,2.9078511272321953e-5,0,0,0,0.028580426005074794,3.946099139793322e-5,0,4.147855608823023e-4,1.267401369579052e-4,8.623182279441182e-5,7.120185417337694e-5,1.71875388524928e-4,6.67715020137483e-5,0,0,0,0,0,0,1.8631219996795574e-4,3.9404995507438074e-4,0,0,0,0.6677103848634358,6.272157500558055e-4,0,3.336965602115432e-4,4.452390025200087e-4,4.3017676674214747e-4,2.1877230915067874e-4,8.323914095179473e-4,3.15871830951991e-4,0,0,0,0,0,9.597690690994682e-5,7.17019833612226e-5,1.3296846167997433e-4,0,0,0,7.168314797079745,0.02368632290214863,0
female,5 to 9,34001.24675205864,0.028577761822142885,0.02669808002089949,0.004621835935573146,0.0034120218587749226,0.030123028245321325,0.00506082304198779,0.00816263857125157,0.0010572988780619403,0.0031598506089847754,0.8781715982247429,0.03510486514111446,4.5777410771,1.1987305460539999,1.0823117461240002,0.533868623894,1.786686616379,0.483599836652,0,0,0,0,3.168864081459,2.285898489116,2.9864288604499998,0,0,0.0018470019511,1295.2670225719999,0.618618124403,0,13.20277402504,19.21884706442,18.29272812085,8.79269684295,22.8739295022,8.276075486549999,0,0,0,0,9.65379702878,16.2456214029,42.0936121023,0,0,0,27679.215694929997,9.61945831019,0,9.00134823494,34.7669440902,60.360350521,14.121105431779998,67.6357345861,24.49523635348,0,0,0,0,2.068416772217,1.187905391048,5.65724084288,0,0,0.00844306470496,227890.8868077,399.066394475,0,0,0,0,0.0033357486692720878,0,0,0,0,0,0,0,0,7,female_7,8.404915863978609e-7,7.852088547101004e-7,1.3593136655476646e-7,1.0034990433309149e-7,8.859389323274593e-7,1.4884227860501547e-7,0,0,0,0,0,2.4006880191113444e-7,3.109588556478227e-8,9.293337482671745e-8,0,0,9.810665748808523e-8,2.5827629340432143e-5,1.032458174169422e-6,0,1.3463450650740726e-4,3.5255487976523135e-5,3.183153117932272e-5,1.5701442590827243e-5,5.254767948386549e-5,1.4223003061578027e-5,0,0,0,0,0,9.319846723759144e-5,6.722984324030994e-5,8.783292219333643e-5,0,0,5.432159486881672e-8,0.03809469199812729,1.8193983559310074e-5,0,3.8830264435055234e-4,5.652394809098103e-4,5.380016872393789e-4,2.58599248053092e-4,6.727379636693784e-4,2.434050594350313e-4,0,0,0,0,0,2.839247954399054e-4,4.7779487385757086e-4,0.0012380020182569157,0,0,0,0.8140647281780669,2.8291487016156487e-4,0,2.6473582867648826e-4,0.0010225196841670225,0.001775239330520885,4.153114012186927e-4,0.001989213368536403,7.204217107714413e-4,0,0,0,0,0,6.083355670161611e-5,3.4937112739140276e-5,1.6638333541511906e-4,0,0,2.4831632694318204e-7,6.70242736889941,0.011736816516907224,0
female,10 to 14,31272.39037478783,0.10587309058266507,0.12811465443320308,0.02728027879383251,0.013212647588840488,0.10582465479292406,0.011806101977684745,0.04030743826752405,0.0027381985060516098,0.015015772647052412,2.6967279058253757,0.09345813455915,8.21632933254,2.307625076301,2.46867660464,1.060855360059,3.461097554681,0.9347633981750001,0,0,0,0,4.5309419770999995,3.174905606252,5.28114882662,0,0,0.00644166384833,1779.5328057759998,0.3178915991625,5.3722964951200005,62.9706998977,39.6332947122,44.1766476959,18.13635591802,46.8208749973,16.312495471269997,0,0,0,0,14.90401990763,22.52532256909,74.6905002928,0,0,0,27300.77682989,5.04185128819,108.0936151004,7.311482000450001,40.85420062,86.6786689768,21.01932767201,95.5608539984,33.63911294217,0,0,0,0,1.756947494127,1.002867355722,11.06832259913,0,0,0.0288804814751,171043.8937018,229.7525466065,57.416611394499995,0,0,0,0.01258089854067739,0,0,0,0,0,0,0,0,12,female_12,3.385513205540604e-6,4.096733664993215e-6,8.723438939872725e-7,4.2250200354024364e-7,3.3839643699971576e-6,3.7752476981110355e-7,0,0,0,0,0,1.288914527621796e-6,8.755961642955115e-8,4.801606934133921e-7,0,0,4.023005082086804e-7,8.623350736883579e-5,2.988519055917678e-6,0,2.627342916249889e-4,7.37911316866086e-5,7.894109068906599e-5,3.3923065916773484e-5,1.1067582340847784e-4,2.989101207078233e-5,0,0,0,0,0,1.4488633336941516e-4,1.0152423809635117e-4,1.6887576431885823e-4,0,0,2.059856560732673e-7,0.056904278325032684,1.0165247854503248e-5,1.7179040139672885e-4,0.002013619654366675,0.0012673573793755412,0.0014126405806035133,5.799478613774835e-4,0.0014971952714893054,5.216261141464045e-4,0,0,0,0,0,4.7658716615554266e-4,7.202942371572012e-4,0.002388384750818932,0,0,0,0.8729993615038846,1.612237257134907e-4,0.0034565191149425645,2.33799908252124e-4,0.0013063983958494308,0.0027717314838420974,6.72136904793694e-4,0.003055757901878914,0.001075680897399204,0,0,0,0,0,5.6182065811747855e-5,3.2068778360176895e-5,3.5393273320268514e-4,0,0,9.235137170193356e-7,5.469485755706657,0.007346817555453939,0.0018360160738077108
female,15 to 19,32494.01430659984,0.30511517252151094,0.18801612304425475,0.04029804839866549,0.07310176031253086,0.6776361809858289,0.028029459611053537,0.0884639589685239,0.009823800697005971,0.0273174216779354,5.862856559462843,0.13100803242514408,23.67668144301,3.53723507436,3.93508346577,2.050232930356,6.22014862927,1.618846043446,0.0043895466928,0.0793793926786,0.0383092261234,0.1458574431743,6.28522097544,4.3100572241599995,11.4172444095,0,0.0046923466158499995,0.02152519612571,3012.0066810999997,0.414201011346,31.2263922357,318.10428439,63.973098229399994,73.6647171868,36.5580517161,89.8079206609,29.723810021730003,0.02202088218567,0.964401913384,0.3455394428104,3.89923404325,26.479716843669998,31.0068709762,165.5341695175,0,0.0417346191817,0,30953.015426500002,6.54314808128,600.017747872,10.06061004308,39.6946479505,84.6456652112,28.97259089411,127.4983252343,39.743502597100004,0.01639900011893,0.099074138179,0.0496991077211,0.541517323532,1.7170798195539998,0.928753561898,23.6432570584,0,0.013795380217130001,0.09599550371730001,177218.4987816,298.746117211,107.2372475199,0.0353455578215,0.528535667668,0.061712602295999994,0.03442945642499841,0.011995073756559047,0.007974071207427859,0.010376064678980326,0.02255325626408442,0.005610091927181189,0.004701051159956366,0.003626577017892368,0,17,female_17,9.389888538934359e-6,5.78617714851153e-6,1.2401683589608248e-6,2.249699271464997e-6,2.085418485361455e-5,8.626037813173637e-7,3.6914718025844943e-7,2.454012339684435e-7,1.1160754050495312e-7,3.1932233983391976e-7,6.940741778249184e-7,2.7224693795544993e-6,3.023264717099193e-7,8.406908860253371e-7,0,1.7265001099115434e-7,1.0595630352143182e-6,1.804288169551289e-4,4.031758932245411e-6,1.4467437342764813e-7,7.286474739503344e-4,1.0885805123934945e-4,1.2110179519957765e-4,6.30957108287965e-5,1.9142444422468998e-4,4.9819823065603715e-5,1.350878549932946e-7,2.4428927718689805e-6,1.0877559629288704e-6,1.178962554824106e-6,4.488748044425984e-6,1.9342703908896267e-4,1.3264157464485963e-4,3.5136454061267063e-4,0,1.4440649196418121e-7,6.624357311659714e-7,0.09269420062045805,1.2746994182921617e-5,9.609890591251947e-4,0.009789627141432937,0.001968765620208595,0.002267024212266627,0.0011250703397602283,0.002763829664550223,9.147472436390482e-4,6.776904194689589e-7,2.9679371230784524e-5,1.6265631653908927e-5,1.0633941363785811e-5,1.1999853285157287e-4,8.149106045753084e-4,9.542333145924112e-4,0.005094297305207946,0,1.284378679344131e-6,0,0.9525759155037102,2.0136471965395252e-4,0.01846548543403979,3.096142553564579e-4,0.001221598771267779,0.002604961775806434,8.916285510536441e-4,0.003923748048833839,0.0012231022680699603,5.046775681267306e-7,3.048996570389184e-6,1.8991990867519739e-6,1.5294850076743408e-6,1.666514079862434e-5,5.2842957578351424e-5,2.8582296823491006e-5,7.276188418984548e-4,0,4.2455142928671723e-7,2.9542519065673707e-6,5.453881355176398,0.009193881506672504,0.0033002154337735705
female,20 to 24,40192.63934508328,0.5299141044540746,0.12160409673046646,0.034399856179338155,0.07520333108055721,0.6464191614726954,0.026512813057420127,0.17109238764079449,0.017409825156126192,0.031655160173752986,7.300724138861523,0.17248379477306952,34.514275802,5.67617352609,6.464338468239999,3.7239556671400003,10.8297077913,2.80390818636,0.01038115857519,0.439340811555,0.1841177421656,0.779564196333,9.94897478153,6.6933395749999995,26.4601608464,0,0.015490045561379999,0.024603955549260002,4648.4122789,0.580263970603,70.5970245619,453.63360055299995,106.3798018004,125.84450893069999,69.7682377261,162.524580942,52.8366122381,0.064768843964,5.28073330606,1.7300289816449999,15.72348005227,45.4051722676,48.2624236309,387.645594276,0,0.14350787479260002,0,39280.74389889999,9.267421661930001,1276.135818253,22.17933915041,38.515291754100005,80.9247135882,34.0429560119,164.1531453959,44.9374901285,0.035680090758,0.537140936896,0.24360625249600001,1.541335665534,2.72675252732,1.352205244766,43.430208358,0,0.0441080063184,0.1107433298519,231798.573937,413.364838031,84.4222027216,0.0613811146388,0.918287435751,0.1069508168578,0.03568581815342636,0.022453779626383383,0.03725273983002693,0.043903887563263855,0.05103023783538711,0.015815904534747655,0.006246045351408762,0.005449717382151545,0,22,female_22,1.3184356964079257e-5,3.025531508055645e-6,8.558745267756658e-7,1.8710722238189306e-6,1.6083023459164077e-5,6.596434941678796e-7,5.586540220362545e-7,9.268547783136321e-7,1.3558993564373134e-7,1.0923365143133992e-6,1.2696413738161136e-6,4.256808968722877e-6,4.331595396522751e-7,7.875860030482255e-7,0,3.9350251171505603e-7,8.878694889140634e-7,1.8164331225375507e-4,4.291427425110595e-6,1.554027168452881e-7,8.587213072938465e-4,1.4122420469469272e-4,1.6083388833310782e-4,9.265267789873441e-5,2.694450518245149e-4,6.976173329366087e-5,2.582850677224788e-7,1.0930877362467715e-5,1.5271730256825915e-6,4.58088210094426e-6,1.9395695556091002e-5,2.4753225823541364e-4,1.6653147651073054e-4,6.583334978133712e-4,0,3.853950826266123e-7,6.121507805948499e-7,0.11565332246509051,1.4437070569588832e-5,0.0017564665001413016,0.011286484489317133,0.002646748348299583,0.0031310337161546574,0.0017358461365795993,0.004043640417505487,0.0013145842895376676,1.6114603325228777e-6,1.3138558184052143e-4,2.2847154372392148e-5,4.304342809616041e-5,3.912029741881939e-4,0.0011296887441942618,0.0012007776651971449,0.009644691182078847,0,3.5705013935631272e-6,0,0.977311879462456,2.305750956627255e-4,0.03175048563734365,5.518258942883575e-4,9.582672942530095e-4,0.0020134212359980146,8.469947872697851e-4,0.004084159390144173,0.0011180527295726638,8.877269902993994e-7,1.3364161837799483e-5,2.660955304267252e-6,6.060966795548352e-6,3.8348704903415355e-5,6.784208680372619e-5,3.3643106469230015e-5,0.0010805512916213294,0,1.0974150251666836e-6,2.755313700627802e-6,5.767189657460395,0.010284590531165663,0.002100439386345681
female,25 to 29,42215.467237430144,0.7595381964617911,0.09295753658660785,0.026133174998827252,0.05600821416553555,0.43233784492537014,0.02237157411390102,0.2612980807826044,0.03081782115942281,0.03735560194678601,9.32425868393272,0.22676393026831948,57.1950111125,7.098832611240001,8.32247183144,4.89566112252,14.845441617519999,3.7360296161299997,0.0291125213931,3.58092920216,0.520072434595,1.692868763507,12.97352419638,8.3316848216,44.780013498,0,0.0598357836668,0.0397244883761,5466.33675955,0.6279704063780001,91.9319466106,845.3281185620001,135.83569036949999,164.03380703739998,93.7395772465,232.4938786539,71.6989839637,0.1939045250201,42.0987465802,5.10379068831,35.1117087732,70.6725192794,62.821823640999995,668.983600195,0,0.56073183029,0,41673.9160865,10.031901280589999,1578.51881877,41.0855538238,31.0940450056,69.4635752728,28.2738283197,152.72291339240002,41.3219662916,0.0973218009867,4.75278507046,0.7180113508420001,2.0439648459599997,4.27203701914,1.9914615656899999,59.3059030133,0,0.1686239871108,0.1494699019777,245084.678767,447.09930001600003,29.9434795495,0.1816248618928,2.716244733574,0.316061396635,0.05895248551730002,0.05301924879456579,0.28632948455175233,0.124851101360641,0.09186462992881142,0.05672966274758665,0.010924195361193975,0.013887357561262848,0,27,female_27,1.7991941015125144e-5,2.201978153262923e-6,6.190426568501034e-7,1.3267225931796896e-6,1.0241218994303581e-5,5.299378540116067e-7,1.2559199806168799e-6,6.782572911993727e-6,3.289637298849955e-7,2.9574729247564115e-6,2.176089380040311e-6,6.189629012347534e-6,7.300125564427801e-7,8.848795096045945e-7,0,1.3438122673977553e-6,1.3964664938027757e-6,2.2087304237309045e-4,5.37158404508337e-6,2.5877234284186933e-7,0.0013548354395989798,1.6815714892635025e-4,1.9714271512458637e-4,1.1596842207112386e-4,3.516588252837661e-4,8.849907061593451e-5,6.89617415090162e-7,8.48250519654319e-5,4.302329780487735e-6,1.2319475979502608e-5,4.010067575436015e-5,3.0731684487616157e-4,1.973609524381327e-4,0.0010607489725542115,0,1.4173900606208827e-6,9.409936920200299e-7,0.12948658672438662,1.4875363165972805e-5,0.002177683977617781,0.02002413271438327,0.003217675872341451,0.003885632868039423,0.0022205031326382255,0.005507315064080598,0.0016984055526484481,4.593210444160984e-6,9.972351210381333e-4,6.43424060261414e-5,1.2089859528511266e-4,8.317261674666097e-4,0.0016740906569130318,0.0014881233763841732,0.01584688371284563,0,1.3282615756360259e-5,0,0.9871717361818045,2.3763568040519663e-4,0.037391954230709394,9.732346107346097e-4,7.365557469900656e-4,0.0016454531909387573,6.697504533274748e-4,0.003617700416140105,0.00097883474933950455,2.305358849621119e-6,1.1258397410904327e-4,7.486862453929342e-6,1.7008253084200824e-5,4.8417439855971274e-5,1.0119601413181135e-4,4.717374213791195e-5,0.0014048382475491518,0,3.994365054931581e-6,3.5406430808178573e-6,5.805565940762508,0.010590888346714343,7.0930115213674e-4
female,30 to 34,36268.70803829262,1.7369057881639807,0.10808677769025338,0.029541568068457657,0.06474580562629274,0.4030593513773847,0.02489877584852715,0.6250672312561456,0.05621097732973665,0.0690475724809085,16.790957571317932,0.3984087904101706,59.7791361924,6.97629540887,8.3655276585,5.07684979214,15.46371275471,3.89408229491,0.10362046701620001,11.02970966185,1.439557786554,2.7738781711750002,14.69664051262,8.99105566674,57.678147757199994,0,0.19145569312420002,0.0648868418907,4985.3052906,0.544045588031,86.27369257859999,898.386542778,136.8114056782,167.3615268839,98.94054230200001,248.8990918343,75.7349527462,0.62417233882,133.4130612209,15.620632716509999,58.6575543197,89.7485014299,67.9854709028,865.925447094,0,1.823030066906,0,35916.3766791,8.7509489594,1415.054070846,62.71660068680001,21.12054712478,54.0994765688,19.132818963109997,107.8948419511,30.33288944208,0.361817056367,15.3749330445,2.22862127713,3.71493830851,6.9045933192,3.01351633009,68.8389595737,0,0.531824723106,0.243872240102,204088.0879098,390.53557937899996,21.91208697137,0.38083227327900004,5.82641369977,0.679376234691,0.0951696047398275,0.21731882794448784,1.4380438726809401,0.3914395035845686,0.36225125986288315,0.18315438331587713,0.04234286679367157,0.03277907102199861,0,32,female_32,4.788992721577371e-5,2.9801661966049357e-6,8.145194484807005e-7,1.7851698924023956e-6,1.111314334527255e-5,6.865084861098151e-7,5.991909822512616e-6,3.964971322283244e-5,9.037838068946476e-7,1.0792761164011838e-5,9.987983566451198e-6,1.723433960195653e-5,1.5498477991107077e-6,1.903778111092566e-6,0,5.0499285257832215e-6,2.624014195359457e-6,4.6295990344045297e-4,1.0984918183176783e-5,1.1674765682021492e-6,0.0016482289947931147,1.923502596647337e-4,2.3065413991773978e-4,1.3997878796178362e-4,4.2636513929262003e-4,1.0736754920518853e-4,2.8570211794364767e-6,3.0411090602413507e-4,1.0500298849270178e-5,3.969145482199449e-5,7.648130637149607e-5,4.052154407348406e-4,2.479011840523024e-4,0.0015903005890450582,0,5.2788120525842955e-6,1.7890585411035943e-6,0.1374547250300865,1.5000412682376082e-5,0.002378736305895207,0.02477029349458714,0.0037721609916116687,0.004614488244444747,0.0027279864007711072,0.006862640146197419,0.0020881624089349633,1.72096656478912e-5,0.003678461914883818,1.6064574711672808e-4,4.3069173294007834e-4,0.0016173047646960339,0.0024745436571697904,0.001874493870336399,0.023875276896539933,0,5.026454388673671e-5,0,0.9902855277110884,2.412809673330718e-4,0.03901583892516881,0.0017292206995789211,5.823352489556799e-4,0.0014916295477545435,5.275296529148352e-4,0.002974874148734062,8.363377435461565e-4,9.97601171745606e-6,4.2391730712511446e-4,1.8731746219736096e-5,6.144749558702268e-5,1.0242819525271635e-4,1.903732912655755e-4,8.308860428412061e-5,0.0018980262407202262,0,1.4663459270302592e-5,6.724039903613851e-6,5.627112156692296,0.010767838186203688,6.041595677528724e-4
female,35 to 39,34998.90313996421,2.835062999778641,0.0978838556309902,0.02644687754493273,0.06029018289246766,0.3367305415696267,0.023641694382205293,1.0187179005231213,0.07738701008443397,0.13414273112871378,23.939907997806742,0.6007875620039365,59.0463513796,7.41005726598,9.270319410980001,5.5661224452900004,17.01628594219,4.19690747129,0.1981048994311,20.42626158733,2.0899081249140004,4.7404658271199995,19.823714734270002,11.56318896892,81.6071864941,0,0.228820214197,0.0832304275473,5201.800089320001,0.5337635371580001,90.7701031158,894.1250044120001,146.7773132271,185.3756909001,109.8284265349,280.633675708,82.2017794169,1.183268463421,253.4097072912,23.73612626944,110.38536881140001,140.1736681904,89.9402554094,1241.745778827,0,2.043256799151,0,34759.5736997,8.61563552516,1437.954449827,97.995968205,18.013726535,49.7106413709,16.20920667662,82.5930953842,23.68264828357,0.696465975841,29.05815302257,3.362606211029,7.0137769811699995,11.74493219354,4.96078007958,99.93894185759999,0,0.6705030922399999,0.2977481803229,190458.1708927,384.633017567,29.7905991907,0.721006415261,11.184404979029999,1.302175759477,0.14737975860256042,0.473030559009445,3.248331210007309,0.64888156667792,0.7875554067902264,0.2828866334362807,0.06035164135013848,0.06404220353596589,0,37,female_37,8.100433857715291e-5,2.7967692370113026e-6,7.556487538814845e-7,1.7226306393477825e-6,9.621174132886584e-6,6.754981516894895e-7,1.3515582391760884e-5,9.281237177682109e-5,1.8298345888113844e-6,1.8540054357788753e-5,2.25022882471691e-5,2.9107137913698715e-5,2.2111267251706536e-6,3.832769575442499e-6,0,8.082728544520037e-6,4.210982213161756e-6,6.84018807734305e-4,1.71658968740056e-5,1.724386650312613e-6,0.0016870914823663922,2.1172255702832797e-4,2.648745697517159e-4,1.5903705390510396e-4,4.8619483513926483e-4,1.1991540004857111e-4,5.660317371628994e-6,5.836257640887567e-4,2.0600828899626403e-5,5.971353206574054e-5,1.3544612550177328e-4,5.664096001806951e-4,3.303871816404537e-4,0.0023317069728655345,0,6.5379252967421414e-6,2.3780867421602605e-6,0.14862751751154793,1.5250864720629238e-5,0.0025935127953239283,0.025547229318481846,0.004193768948704548,0.005296614301275773,0.0031380533868642924,0.008018356306359576,0.0023486958745011703,3.3808729910448555e-5,0.0072405042603132025,3.1956444275703193e-4,6.781962901670601e-4,0.003153966522035207,0.004005087463165091,0.0025698021177897965,0.0354795627126122,0,5.8380595271223386e-5,0,0.9931618016911241,2.461687296514747e-4,0.04108570043113843,0.002799972553799873,5.146940309232337e-4,0.0014203485512703652,4.631347048733989e-4,0.002359876681103454,6.76668299828159e-4,1.9899651513527752e-5,8.30258962869878e-4,3.720618769878202e-5,9.607747413059181e-5,2.0039990833773232e-4,3.3558000793827193e-4,1.4174101570387307e-4,0.002855487826516559,0,1.915783159142414e-5,8.507357477237914e-6,5.4418325663246705,0.010989859197267212,8.511866520949052e-4
female,40 to 44,34386.095363604116,4.922570857435,0.1055018974451519,0.024644507715277326,0.05349703791485004,0.32563121540847717,0.023103667110554678,1.664753452609752,0.13307641174417587,0.3758360126419493,35.819806407960336,0.9146090130522893,95.8564893711,8.0374563266,10.38011083166,6.16380637498,18.53942563279,4.54925696929,0.481288768044,34.51276798296,3.309082427356,8.62795742916,28.36669556887,16.144020273080002,116.2348189331,0.3341459922426,0.33418948542540006,0.1278112464221,5483.81524569,0.525053717647,103.0121893963,1899.987571099,160.4534873679,207.0198215666,121.8630975322,308.073482071,90.206328317,2.8542521536120002,427.57696337000004,38.22559019706,207.0002583333,213.00068630660002,126.04600087540001,1790.82283395,2.509226193032,2.9192511851950003,0,34209.7853455,8.45326973945,1575.798223908,202.3824284448,17.10579204026,47.56180890659999,14.362306175370001,65.6427551522,18.71215716228,1.6908109404479998,48.39614627118,5.40338409259,13.45260399136,18.27079820611,7.87439780031,129.3004219569,1.490111421697,0.9936343824249999,0.440322737729,178803.4952679,378.706983919,68.2792507371,1.461323615569,22.74103146956,2.652508993883,0.23624732755760752,1.2872717579976358,5.694270580716681,1.140055553778656,1.588342471254691,0.4893881653583333,0.08523968087270686,0.14732859632480738,0.055142242755470736,42,female_42,1.4315585428886128e-4,3.0681557859232876e-6,7.166998013203398e-7,1.5557753024635028e-6,9.469851460748893e-6,6.718898108742146e-7,3.743582236906566e-5,1.6559805701998282e-4,4.2845398631897876e-6,3.31545510394107e-5,4.619141703817493e-5,4.841356469835789e-5,3.870064639122426e-6,1.0929883392336314e-5,1.6036203637658703e-6,1.4232152856655109e-5,6.870431930682742e-6,0.0010416944997446184,2.659822243209257e-5,2.4788996823096295e-6,0.00278765263568015,2.337414656014485e-4,3.018694248910507e-4,1.7925287270342612e-4,5.391547204400826e-4,1.3229931811639046e-4,1.3996610052836036e-5,0.0010036838326078152,4.249751535080469e-5,9.623315448774364e-5,2.509141365987207e-4,8.249466904839293e-4,4.694926859932926e-4,0.0033802854817918198,9.717474133346237e-6,9.718738981312841e-6,3.7169456162615526e-6,0.15947769549590476,1.5269361411785704e-5,0.002995751285716872,0.055254530966898835,0.0046662316750779335,0.006020451562689483,0.0035439643915251198,0.008959245846711624,0.0026233373508432333,8.300599772758953e-5,0.012434589006071561,6.61343814384642e-4,0.0011116583547174069,0.006019882634083512,0.006194384214150994,0.0036656095884853826,0.05207985422635372,7.297211755213955e-5,8.489626851569996e-5,0,0.9948726362723134,2.4583395265044674e-4,0.045826611228906786,0.0058855891110861985,4.974624731124775e-4,0.001383169807553715,4.176777276832586e-4,0.0019089912494594959,5.441780162712467e-4,4.917135611266974e-5,0.0014074336082486641,7.71389995239338e-5,1.5713863512136942e-4,3.9122220330950626e-4,5.313426259338734e-4,2.28999475428799e-4,0.003760253107823279,4.333470857741542e-5,2.8896400475778064e-5,1.2805255527647334e-5,5.199877839493057,0.011013375607625445,0.0019856645546725846
