sex,age,population_number,deaths_number_crdd,deaths_number_pdri,deaths_number_cyri,deaths_number_mtri,deaths_number_mvri,deaths_number_otri,deaths_number_tbalc,deaths_number_brsc,deaths_number_carc,deaths_number_ishd,deaths_number_strk,deaths_number_iscs,deaths_number_copd,deaths_number_stmc,deaths_number_lvrc,deaths_number_allc,deaths_number_lwri,deaths_number_dmt2,ylds (years lived with disability)_number_crdd,ylds (years lived with disability)_number_pdri,ylds (years lived with disability)_number_cyri,ylds (years lived with disability)_number_mtri,ylds (years lived with disability)_number_mvri,ylds (years lived with disability)_number_otri,ylds (years lived with disability)_number_tbalc,ylds (years lived with disability)_number_brsc,ylds (years lived with disability)_number_utrc,ylds (years lived with disability)_number_carc,ylds (years lived with disability)_number_ishd,ylds (years lived with disability)_number_strk,ylds (years lived with disability)_number_iscs,ylds (years lived with disability)_number_copd,ylds (years lived with disability)_number_adaod,ylds (years lived with disability)_number_stmc,ylds (years lived with disability)_number_lvrc,ylds (years lived with disability)_number_allc,ylds (years lived with disability)_number_lwri,ylds (years lived with disability)_number_dmt2,prevalence_number_crdd,prevalence_number_pdri,prevalence_number_cyri,prevalence_number_mtri,prevalence_number_mvri,prevalence_number_otri,prevalence_number_tbalc,prevalence_number_brsc,prevalence_number_utrc,prevalence_number_carc,prevalence_number_ishd,prevalence_number_strk,prevalence_number_iscs,prevalence_number_copd,prevalence_number_adaod,prevalence_number_stmc,prevalence_number_lvrc,prevalence_number_allc,prevalence_number_lwri,prevalence_number_dmt2,incidence_number_crdd,incidence_number_pdri,incidence_number_cyri,incidence_number_mtri,incidence_number_mvri,incidence_number_otri,incidence_number_tbalc,incidence_number_brsc,incidence_number_utrc,incidence_number_carc,incidence_number_ishd,incidence_number_strk,incidence_number_iscs,incidence_number_copd,incidence_number_adaod,incidence_number_stmc,incidence_number_lvrc,incidence_number_allc,incidence_number_lwri,incidence_number_dmt2,deaths_number_utrc,deaths_number_adaod,age_cat,sex_age_cat,deaths_rate_crdd,deaths_rate_pdri,deaths_rate_cyri,deaths_rate_mtri,deaths_rate_mvri,deaths_rate_otri,deaths_rate_tbalc,deaths_rate_brsc,deaths_rate_utrc,deaths_rate_carc,deaths_rate_ishd,deaths_rate_strk,deaths_rate_iscs,deaths_rate_copd,deaths_rate_adaod,deaths_rate_stmc,deaths_rate_lvrc,deaths_rate_allc,deaths_rate_lwri,deaths_rate_dmt2,ylds (years lived with disability)_rate_crdd,ylds (years lived with disability)_rate_pdri,ylds (years lived with disability)_rate_cyri,ylds (years lived with disability)_rate_mtri,ylds (years lived with disability)_rate_mvri,ylds (years lived with disability)_rate_otri,ylds (years lived with disability)_rate_tbalc,ylds (years lived with disability)_rate_brsc,ylds (years lived with disability)_rate_utrc,ylds (years lived with disability)_rate_carc,ylds (years lived with disability)_rate_ishd,ylds (years lived with disability)_rate_strk,ylds (years lived with disability)_rate_iscs,ylds (years lived with disability)_rate_copd,ylds (years lived with disability)_rate_adaod,ylds (years lived with disability)_rate_stmc,ylds (years lived with disability)_rate_lvrc,ylds (years lived with disability)_rate_allc,ylds (years lived with disability)_rate_lwri,ylds (years lived with disability)_rate_dmt2,prevalence_rate_crdd,prevalence_rate_pdri,prevalence_rate_cyri,prevalence_rate_mtri,prevalence_rate_mvri,prevalence_rate_otri,prevalence_rate_tbalc,prevalence_rate_brsc,prevalence_rate_utrc,prevalence_rate_carc,prevalence_rate_ishd,prevalence_rate_strk,prevalence_rate_iscs,prevalence_rate_copd,prevalence_rate_adaod,prevalence_rate_stmc,prevalence_rate_lvrc,prevalence_rate_allc,prevalence_rate_lwri,prevalence_rate_dmt2,incidence_rate_crdd,incidence_rate_pdri,incidence_rate_cyri,incidence_rate_mtri,incidence_rate_mvri,incidence_rate_otri,incidence_rate_tbalc,incidence_rate_brsc,incidence_rate_utrc,incidence_rate_carc,incidence_rate_ishd,incidence_rate_strk,incidence_rate_iscs,incidence_rate_copd,incidence_rate_adaod,incidence_rate_stmc,incidence_rate_lvrc,incidence_rate_allc,incidence_rate_lwri,incidence_rate_dmt2
female,Under 5,72154.86774528705,0.7552613188415322,0.17502615074394237,0.010441759574712687,0.013249001107165682,0.1754868706001094,0.008711854170292547,0,0,0,0,0.1389647222175735,0.044704274038750394,0.07473847086278458,0,0,53.49924789412629,2.0974150020908993,0,5.7315905559,0.638421394058,0.399983043524,0.357273813959,1.10483918506,0.299907500069,0,0,0,0,0,2.52250583025,1.89690738138,2.1002123994,0,0,0,2082.09825688,3.46530622119,0,32.1641169342,9.20368140965,6.38017703824,5.37555886145,12.9965596862,4.9005716432,0,0,0,0,0,0,13.2975141339,28.4665800686,0,0,0,48670.0251622,54.9703235861,0,23.6343403944,32.3868036963,31.7803763988,16.5264501447,62.8377843814,23.2188301715,0,0,0,0,0,6.55198373264,4.7874010081,9.60892582851,0,0,0,530546.695604,2152.84392947,0,0,0,2,female_2,1.046722615454955e-5,2.4257012203500932e-6,1.4471316906259196e-7,1.836189507537566e-7,2.432086373154938e-6,1.207382736954927e-7,0,0,0,0,0,1.925923039705804e-6,6.195600579098885e-7,1.035806359269036e-6,0,0,0,7.414502938732185e-4,2.9068239851744396e-5,0,7.943456533151738e-5,8.847932426564525e-6,5.5433965305843935e-6,4.951485951304181e-6,1.5312053359451482e-5,4.156441684956025e-6,0,0,0,0,0,3.4959607148815865e-5,2.628938893043568e-5,2.910700920156811e-5,0,0,0,0.028855963872458167,4.8025952087152764e-5,0,4.4576503206605726e-4,1.2755454617614705e-4,8.842337651788899e-5,7.450029401240384e-5,1.8012034520081146e-4,6.791740871176487e-5,0,0,0,0,0,0,1.8429129661551568e-4,3.9452057717144604e-4,0,0,0,0.674521715347181,7.618380478521563e-4,0,3.275501866046138e-4,4.488512654562438e-4,4.40446741735949e-4,2.2904137532397405e-4,8.708738072006845e-4,3.2179159767106063e-4,0,0,0,0,0,9.080445903898088e-5,6.634896795875146e-5,1.331708605222636e-4,0,0,0,7.352888477003048,0.02983643372571517,0
female,5 to 9,75999.75856134799,0.1370171883727979,0.12313035587949826,0.01736955665623492,0.008868821448401036,0.11334402030135918,0.008228735605383074,0,0,0,0,0.04290995694658443,0.005610548361244203,0.030579744853889815,0,0.01604400951542867,3.83720882958055,0.17539151690927765,0,10.4756330044,2.68909990611,2.48024300684,1.24983748243,4.14254780017,1.10116153172,0,0,0,0,0,7.23505260053,5.20318827661,6.78764529686,0,0,0.00774515158477,3048.85921295,1.89148529663,0,29.7913259047,43.2528193898,41.9705547719,20.7032929144,53.2584372563,18.8816091539,0,0,0,0,0,21.8828355688,36.981478176,94.6609641174,0,0,0,63085.5667191,29.7561666452,0,20.324739216,78.4662585819,138.117318414,33.195432038,157.188486188,56.0617387949,0,0,0,0,0,4.82700276094,2.80641578294,12.7256927166,0,0,0.0346579552953,513746.760021,1223.33258736,0,0,0,7,female_7,1.8028634691279425e-6,1.6201414084770526e-6,2.2854752416369834e-7,1.166953897786663e-7,1.491373426007221e-6,1.0827318087781466e-7,0,0,0,0,0,5.646064903212417e-7,7.38232392766787e-8,4.02366342114172e-7,0,0,2.1110605900777615e-7,5.048975025997096e-5,2.3077904486722725e-6,0,1.3783771425989377e-4,3.538300590704277e-5,3.263488008107178e-5,1.6445282275747165e-5,5.4507381057350094e-5,1.4489013551682908e-5,0,0,0,0,0,9.519836296176879e-5,6.846322113523451e-5,8.93114060537564e-5,0,0,1.0191021302413762e-7,0.040116696035144915,2.4888043494285162e-5,0,3.919923756159311e-4,5.691178525900943e-4,5.522458961237465e-4,2.724126142807155e-4,7.007711374939316e-4,2.484430149690347e-4,0,0,0,0,0,2.879329616703439e-4,4.86599942895188e-4,0.0012455429584159593,0,0,0,0.8300758833092412,3.9152975231073183e-4,0,2.6743162874120986e-4,0.0010324540507396613,0.0018173389103928524,4.3678338808411107e-4,0.00206827612565526,7.376568012337334e-4,0,0,0,0,0,6.351339599379887e-5,3.6926640769189084e-5,1.6744385715814682e-4,0,0,4.5602717628798317e-7,6.759847264597518,0.01609653254848843,0
female,10 to 14,70520.43652581896,0.22211918924486074,0.23780992397295184,0.04047949903081723,0.014644579581958785,0.16392896658483744,0.012918369797752745,0,0,0,0,0.09145016040994033,0.006887430255739978,0.04675505620567735,0,0.02490412872192362,5.024769211198884,0.1957667826749104,0,19.2108880488,5.2194031624,5.663962007,2.48888783797,7.96183498288,2.13133132211,0,0,0,0,0,10.5125003236,7.35904368637,12.1131837268,0,0,0.0111529864401,4104.28907673,0.972272685676,17.9855581742,154.525112638,89.7891234873,101.518496135,42.7177249189,107.97421434,37.2018134066,0,0,0,0,0,39.0836415398,52.4021939541,170.646781898,0,0,0,62275.5015006,15.1900118096,361.249007482,16.6292308412,91.7781908526,197.219839143,48.8708521894,216.440653913,76.0851593742,0,0,0,0,0,4.1142100758,2.37283520273,25.7930020339,0,0,0.0489721306062,391894.182164,675.924923108,166.647448336,0,0,12,female_12,3.149713759408429e-6,3.372212874574093e-6,5.740108970538897e-7,2.076643353816607e-7,2.3245597256735602e-6,1.8318618593665493e-7,0,0,0,0,0,1.2967894828112496e-6,9.766573485713393e-8,6.630000962708076e-7,0,0,3.531476824141001e-7,7.125266743576117e-5,2.7760290820553303e-6,0,2.7241589807468794e-4,7.401263264286616e-5,8.03166044629674e-5,3.529314281908575e-5,1.1290110179571862e-4,3.0222888954036413e-5,0,0,0,0,0,1.4907026730827397e-4,1.0435334846056582e-4,1.7176841669669924e-4,0,0,1.5815254399363602e-7,0.058199995333655316,1.3787105321165038e-5,2.550403692923132e-4,0.002191210381708644,0.0012732355032207775,0.0014395613688215334,6.057495815877455e-4,0.0015311053030771932,5.275323755686008e-4,0,0,0,0,0,5.542172378001473e-4,7.430781279255765e-4,0.0024198202720359333,0,0,0,0.8830844584718315,2.1539872068203418e-4,0.005122614454460154,2.3580725900798556e-4,0.0013014410484966034,0.002796633839196299,6.930026896743242e-4,0.0030691905010224473,0.001078909364753346,0,0,0,0,0,5.834067794367246e-5,3.364748319249636e-5,3.6575216071523686e-4,0,0,6.944388466493725e-7,5.55717181388291,0.009584809119276087,0.0023631085759797726
female,15 to 19,72653.14687942193,0.6173255844941306,0.3909259192439975,0.06847022114251164,0.09098079997222269,1.0472967038422505,0.03328270066922399,0.03070095970141957,0.012530147265000067,0.019389493809283155,0.05305524968530428,0.19128384415819158,0.021730942085544894,0.0717946191238356,0.012145682109776285,0.06582333287153182,10.912271928293103,0.2644099909324923,0.008436442990913425,55.3757238314,7.89059279311,8.7988853444,4.68228874134,13.7735750688,3.59844835055,0.0110505347307,0.121436688555,0.0665860573094,0.0689348671696,0.342205444696,14.466931532,9.91037502705,26.1890938435,0,0.00922500725197,0.036423722856,6715.62979068,1.11955475406,91.9926550069,750.690120517,142.838149365,165.135554744,83.6333407534,199.390131392,65.9612183221,0.0542878673325,1.50960769715,0.993610182132,0.620749094335,9.35579306769,61.5899899842,71.6827012962,380.201492845,0,0.0797888755107,0,69325.2199811,17.7840187145,1762.41386241,22.9211724116,85.8664962078,184.599177462,64.3584394931,268.99959573,85.9062201872,0.0415335493588,0.149199023956,0.116118409223,0.0895792375234,1.23397050462,4.0067110377,2.20553496018,55.1997799249,0,0.0276906670766,0.15864148546,402622.963606,793.094181588,304.04503201,0.007029358887949989,0,17,female_17,8.496887072471462e-6,5.380715578539135e-6,9.424260900377455e-7,1.252262343477263e-6,1.4415021906489282e-5,4.581040477773288e-7,4.2256889095763623e-7,1.72465306778736e-7,9.675229759305808e-8,2.668775495913857e-7,7.302539802351149e-7,2.6328363240157223e-6,2.991053109042948e-7,9.881831993181084e-7,0,1.6717351734170228e-7,9.059942438663374e-7,1.5019682418441623e-4,3.6393467081517846e-6,1.1611944359292357e-7,7.621930530181132e-4,1.0860634579539333e-4,1.2110811055442627e-4,6.44471566952346e-5,1.895798827772619e-4,4.952914643218592e-5,1.5209987736718288e-7,1.671458068520297e-6,9.164924049320105e-7,9.488214912976456e-7,4.710125567773931e-6,1.9912326104758958e-4,1.3640668646462974e-4,3.6046743972376684e-4,0,1.2697326472699375e-7,5.013371673556036e-7,0.09243412128899975,1.540958378469219e-5,0.0012661895452316014,0.010332520376066785,0.0019660283896864084,0.0022729305176287214,0.0011511317037953119,0.0027444114942869005,9.078921031675597e-4,7.472197649277095e-7,2.0778283694378793e-5,1.367607907997482e-5,8.544008360232767e-6,1.2877340445028828e-4,8.477263907978716e-4,9.86642759124632e-4,0.005233104265614229,0,1.0982163737948038e-6,0,0.9541943186047387,2.447797442829981e-4,0.02425791501275193,3.154876752914901e-4,0.001181868919598314,0.002540828379648416,8.85831409338839e-4,0.0037025181603825437,0.0011824156815915133,5.716689660770061e-7,2.053579650219648e-6,1.598257119071728e-6,1.2329711976835538e-6,1.698440546103181e-5,5.514848578203636e-5,3.0357046527391228e-5,7.597713560365358e-4,0,3.811351368242389e-7,2.1835459615161307e-6,5.541714033037127,0.010916171090348651,0.004184884551726374
female,20 to 24,83553.5916447204,1.0582248923432829,0.23314106598506926,0.05814913096381897,0.08763931224002149,0.9065883264362873,0.03163772906070951,0.055059213301006125,0.05862212790768825,0.07958460839329566,0.11961153025029367,0.3664807536413513,0.03823686730623957,0.08080075864219835,0.033907451479215416,0.06765421601170589,13.45135536725116,0.3454254138010019,0.009681707769196971,75.3126037486,11.7148073285,13.4126523477,7.84327350372,22.0921877841,5.7695324615,0.0250601768385,0.672940664146,0.0887425176973,0.322252741476,1.71692034627,21.3399476939,14.3554890137,56.6142927482,0,0.0308487519455,0.0418746604117,9607.97078071,1.38760803982,191.354590761,1004.3752346,219.265393614,261.149020574,146.81079215,331.574528812,108.578199949,0.154022875312,8.22909041683,1.32553449165,3.02417379693,34.7076364932,97.5801305501,103.199619676,832.546721099,0,0.280492133519,0,81682.4033476,22.4758953304,3458.34546264,48.9336147562,76.9603988468,163.716331695,70.1027452275,324.127781036,90.4421449279,0.0865776296597,0.812501086341,0.154499110041,0.42680458788,3.29523570395,5.94287709767,2.97992138391,94.0405311299,0,0.089186263893,0.184897750833,486666.095582,985.870728762,241.768962257,0.008150785988901892,0,22,female_22,1.2665223259856718e-5,2.7903177038326755e-6,6.959501060238779e-7,1.0488994011493131e-6,1.0850381277338816e-5,3.7865193390173835e-7,6.589688392466036e-7,7.016111067607525e-7,9.755159327632476e-8,9.524977541563824e-7,1.4315546213608125e-6,4.386175943215824e-6,4.576328384401137e-7,9.670530859495853e-7,0,4.058168034642226e-7,8.09710446672113e-7,1.6099074979861893e-4,4.1341779210376845e-6,1.1587422609389096e-7,9.01368837246853e-4,1.4020710657553444e-4,1.6052753787930695e-4,9.387117117682399e-5,2.6440739828442744e-4,6.905187853602659e-5,2.9992937879988194e-7,8.054000443301372e-6,1.0621029682918182e-6,3.856838887863207e-6,2.0548731807610916e-5,0.00025540431325370117,1.7181175256643914e-4,6.775805998733192e-4,0,3.6920916669474225e-7,5.01171279264163e-7,0.1149917147974226,1.660740145941626e-5,0.002290201857206354,0.012020730824722896,0.0026242485726567203,0.0031255271668564058,0.0017570853539636759,0.003968405454332752,0.0012995036815495273,1.843402207853891e-6,9.848876936159788e-5,1.5864482490307862e-5,3.619442010092323e-5,4.1539371091048853e-4,0.0011678747571381737,0.0012351308620557784,0.009964224214790018,0,3.3570326301672964e-6,0,0.9776049328306925,2.68999750794318e-4,0.0413907456826666,5.85655431358013e-4,9.210902527571115e-4,0.001959417045662632,8.390153415018354e-4,0.0038792800483578136,0.0010824447297546529,1.0361927950127884e-6,9.724310713007398e-6,1.8491019595895792e-6,5.108153694874336e-6,3.9438588324984586e-5,7.112653065759046e-5,3.566479100720137e-5,0.0011255115343188511,0,1.0674138853567224e-6,2.212924031072258e-6,5.824598153139375,0.011799262118545867,0.002893579527796121
female,25 to 29,90949.067037741,2.623096919070514,0.30516430857692306,0.07819256384915341,0.11687278972776502,1.0421419363563884,0.04863295611644132,0.21566263479640752,0.8039308989244338,0.3819927021320675,0.3656306194943919,0.9820088993408772,0.11980798193005547,0.15966010661406974,0.2101598888839436,0.18706812568416173,30.031767409324665,0.7839561386893792,0.028453751580680794,126.882469359,15.1232893261,17.846416387,10.6800482898,31.4733396018,7.95783606329,0.117320557571,9.73416963333,0.447171875725,1.55824104352,3.89448204538,28.9261631982,18.5906725119,100.328041946,0,0.213245544181,0.120329673695,11888.1560223,1.58246860999,266.090115543,1895.11539696,289.306031946,352.402717015,204.279764472,492.465906069,152.602102018,0.773250297916,113.924557846,6.67760183879,15.390266357,81.3497228709,159.460318475,139.518454932,1493.37264677,0,1.97111999348,0,89847.7185026,25.3885495332,4578.42158548,96.4195406948,65.9546389476,150.439006911,62.2798779892,330.588536647,88.8847794416,0.3931141096,12.9390414908,0.777735541618,2.18247435211,4.59633793596,9.66627601775,4.51355452802,132.828478913,0,0.608114749166,0.4552743937,532296.847003,1112.31848257,118.771083245,0.03518515357635221,0,27,female_27,2.884138347435726e-5,3.355331929356565e-6,8.597401424327526e-7,1.2850356087684384e-6,1.1458522558828803e-5,5.34727377645998e-7,2.3712462570607164e-6,8.839352893975568e-6,3.868665696345349e-7,4.200072794298732e-6,4.0201689957156644e-006,1.0797349894016774e-5,1.317308531382064e-6,1.7554892184635145e-6,0,2.3107426577199947e-6,2.0568449108613105e-6,3.302042383443299e-4,8.619727109064923e-6,3.1285369391280707e-7,0.0013950936880567206,1.6628306170336318e-4,1.9622429309356523e-4,1.1742889330979192e-4,3.460545624809934e-4,8.749772067466893e-5,1.2899588900930196e-6,1.0702880139815646e-4,4.9167285634655025e-6,1.7133117405958426e-5,4.282047273518389e-5,3.180479376022247e-4,2.044075119999357e-4,0.0011031233767837005,0,2.3446699468891726e-6,1.3230446184243647e-6,0.1307122371839921,1.7399503497197234e-5,0.002925704729137914,0.02083710651120354,0.0031809675609530677,0.003874726025158279,0.002246089719504548,0.00541474390127215,0.0016778852932562238,8.502014623142043e-6,0.0012526193127272531,7.342133411900757e-5,1.6921851821320524e-4,8.944536268540547e-4,0.0017532925149064916,0.0015340284345534212,0.016419878679462402,0,2.167278959180579e-5,0,0.9878904911175836,2.7915129159779674e-4,0.05034050083856385,0.0010601487605671528,7.251821387044125e-4,0.001654101705612577,6.847775355777517e-4,0.0036348755123548015,9.773028172429259e-4,4.32235450460278e-6,1.4226689632155e-4,8.551330617776037e-6,2.399666564148857e-5,5.053749406855009e-5,1.0628229989141945e-4,4.962727683778237e-5,0.001460471044281085,0,6.686322014866315e-6,5.0058170856340444e-6,5.852691669526567,0.012230125264599172,0.0013059076592365014
female,30 to 34,86975.50504315466,5.963509287317572,0.3313761515114798,0.07537297433418468,0.12016773302109621,0.8992585475141907,0.04692247143414301,0.8715718761979193,3.8223850261428587,1.1509212383887826,1.377350884795385,2.2377900626359817,0.2070665018043565,0.2873286160883882,0.6501975719901837,0.30337176728164156,52.57457285512771,1.291394085016347,0.10311535544670695,144.826223746,16.4207709192,19.9239851372,12.2879134637,36.3676588726,9.17513257448,0.406995990206,28.8500324837,0.889134195818,4.11112136375,7.18996722447,36.3802550612,22.2223738948,143.941990493,0,0.648851215286,0.189937393105,12131.1351485,1.55643041551,286.602675176,2192.66593347,322.452825175,399.486528886,239.869533115,585.843848528,178.851047027,2.39478980452,346.221593202,13.590131462,44.2804570739,152.723098714,222.467208837,169.401535689,2165.80402975,0,6.08711416211,0,86203.4418934,25.1912871259,4711.0728367,163.803870849,49.9065288799,130.831713679,47.2545673121,263.32256731,72.6010808401,1.43292388393,40.026240463,1.58760781822,6.36592582287,9.44872091747,17.3092396338,7.60910618401,175.491293187,0,1.84049010292,0.722133395677,492952.856291,1102.83458223,101.022685213,0.07987655984139705,0,32,female_32,6.856538843158951e-5,3.809993990228178e-6,8.666000191293727e-7,1.381627309453076e-6,1.033921616284959e-5,5.394906463706244e-7,1.0020888936091504e-5,4.394783363714077e-5,9.183799484896889e-7,1.3232705436061909e-5,1.58360780326827e-5,2.5728968880671136e-5,2.380745035071843e-6,3.303557891912491e-6,0,7.475640085879065e-6,3.488013862421581e-6,6.044756259712637e-4,1.4847790586275938e-5,1.1855677687130898e-6,0.0016651380601255669,1.8879764953422807e-4,2.2907581999454112e-4,1.4128016224341673e-4,4.1813679442913787e-4,1.0549099507875892e-4,4.679432329873345e-6,3.317029601539591e-4,1.0222811530405464e-5,4.726757679314634e-5,8.266657630677227e-5,4.1828161898168e-4,2.555015217649374e-4,0.0016549715971362312,0,7.460160363128209e-6,2.183803278989397e-6,0.13947760513124807,1.7895043147352184e-5,0.003295211393527365,0.025210154656556055,0.003707398134854273,0.004593092373396241,0.0027578975597322935,0.00673573379352407,0.002056338125754595,2.753407184392636e-5,0.003980679307699509,1.5625240066449722e-4,5.091141126680363e-4,0.0017559323011487355,0.0025578145102649118,0.0019476924635844083,0.024901310186993368,0,6.998653424420766e-5,0,0.9911232116516991,2.8963657196817466e-4,0.05416551285747069,0.0018833333680296008,5.737998170305291e-4,0.001504236320491444,5.43308915408467e-4,0.0030275485859995546,8.347302013834528e-4,1.6475028034836084e-5,4.6020129970087754e-4,1.8253505023423278e-5,7.319216852735052e-5,1.0863657431804307e-4,1.9901280970098043e-4,8.748562230520637e-5,0.0020177093895565935,0,2.1161016564454597e-5,8.302721499791221e-6,5.667720538632244,0.01267982958745461,0.0011615073136152017
female,35 to 39,81523.55877993777,8.031859276917878,0.25696322035281105,0.058983181775942084,0.09723919755777584,0.6513102023093659,0.0392888263913305,1.5953209679348481,7.548676013999511,1.6310099234494149,2.4860471756572853,2.986231129169694,0.23227139992785534,0.47480617200537767,0.8618442406188319,0.38724088849529986,63.52333031814091,1.6847706022086657,0.12766113379930483,135.842714469,16.9181464696,21.4322299564,13.1070068536,38.9384886986,9.59492241538,0.656887430929,46.4240577992,1.43499238557,5.13606273199,12.1098061919,48.3155370691,28.4117736416,200.92327852,0,0.655297639257,0.204429523516,12197.3085562,1.50536065728,302.175688917,2047.252154,335.475320485,429.201437351,258.804714153,643.06350930200006,188.100928828,3.83127083303,571.283136943,22.1132818764,57.8444474903,280.636928732,340.825857839,218.420378096,3053.94712283,0,5.72682926535,0,80979.3394257,24.446727389,4792.92530218,249.35789891,40.7253354935,115.16902486,38.3717747738,192.321360984,54.167926438,2.31987694622,65.6564912714,2.57857710412,8.24656290392,17.417011178,28.4756289329,12.149771885,254.870774666,0,1.94537223891,0.744400932918,448609.406916,1069.01105039,129.404630342,0.13196876760443882,0,37,female_37,9.852194135193283e-5,3.1520118134985962e-6,7.235108802740016e-7,1.1927741994220394e-6,7.9892268205255e-6,4.819321798424622e-7,1.956883374339937e-5,9.259502562168783e-5,1.6187807497544523e-6,2.0006608492793033e-5,3.04948313452317e-5,3.663028422533217e-5,2.8491322435376225e-6,5.824159042014531e-6,0,1.0571720046536097e-5,4.750048872873745e-6,7.792021259721238e-4,2.0666058099309484e-5,1.5659416211687891e-6,0.0016663001039452865,2.0752463119609797e-4,2.6289615268456956e-4,1.6077569539107902e-4,4.776348000669276e-4,1.1769508788594771e-4,8.057639297889118e-6,5.694557314961642e-4,1.760218036412732e-5,6.300096326577368e-5,1.4854364030634194e-4,5.926573593226163e-4,3.485099775672684e-4,0.0024646038706721113,0,8.03813828866194e-6,2.5076128492848414e-6,0.14961697868373294,1.846534523037108e-5,0.0037066057154433595,0.02511239922101893,0.0041150720786192856,0.005264753450098681,0.0031746002999158765,0.007888069644234573,0.0023073198918579347,4.699587322202183e-5,0.00700758339666089,2.7125020309886033e-4,7.095427181539456e-4,0.003442402821122454,0.00418070387185887,0.002679230168123516,0.037460915207022945,0,7.024753765729033e-5,0,0.9933243915944983,2.9987316249270666e-4,0.05879190474397563,0.0030587219527929243,4.995529648482685e-4,0.0014127085051682273,4.7068326442151046e-4,0.0023590893707565743,6.644450665386096e-4,2.8456522027972377e-5,8.053683162756811e-4,3.1629839799812134e-5,1.011555803909459e-4,2.136439016973603e-4,3.4929325165706094e-4,1.4903387519915227e-4,0.0031263450526490197,0,2.386270015715677e-5,9.131114294549056e-6,5.502819229555014,0.01311290952441927,0.0015873280347256545
female,40 to 44,77966.94144975112,12.247077299685067,0.2608785745716723,0.048761285568219084,0.0730177486017363,0.596685711728841,0.032228819232627375,4.301951046757918,12.247085678487425,2.678634708413843,4.3600735401505535,4.1777259685998045,0.34096595917095085,1.2188291102898967,1.3956034489117217,0.607497444533733,89.19450241052758,2.390931773573713,0.16533937557853678,208.32582977,17.7971190546,23.3181224194,14.1195625312,41.2186649688,10.0984044782,1.57753773864,71.5134780714,2.73086444456,7.49875552258,21.4636681633,66.7238786686,38.2104869535,283.12587676,0.755313561061,0.896375187303,0.308948895156,12520.449603,1.45196514762,341.576682454,4181.84078569,355.941766886,466.085873962,279.59655516,687.003157947,200.603651307,9.19496622771,892.169546656,42.155223107,86.6573019374,513.39176582,501.512210332,299.443977178,4361.25212269,5.67265277848,7.70534034168,0,77599.1063993,23.4411905836,5248.14363405,492.406498455,37.6472357331,107.609277401,33.2037257948,148.493025399,41.7445384513,5.58913622787,101.06134737,4.92323039173,12.3173893604,32.4349150283,42.9556124334,18.648530092,327.576336006,3.36989930334,2.71870686489,1.082426056,410173.117302,1025.03067247,246.511125023,0.28781051792434575,0.13299060758234413,42,female_42,1.570803865325175e-4,3.3460152433939687e-6,6.254097526660736e-7,9.36521905874626e-7,7.653060395005987e-6,4.1336518572295814e-7,5.5176603913986813e-005,1.5708049399860765e-4,3.6914429702213807e-6,3.435603165400806e-5,5.5922080039019816e-5,5.358329942046406e-5,4.373211938686858e-6,1.563263977817341e-5,1.7057307252209604e-6,1.7899938396469914e-5,7.791731126521859e-6,0.001144004122157498,3.066596853891779e-5,2.120634367645373e-6,0.0026719764286798893,2.2826493798105518e-4,2.990770445244192e-4,1.8109678626164797e-4,5.286684869556541e-4,1.2952161891214263e-4,2.023341828352606e-5,9.172282090543425e-4,3.502592757624093e-5,9.617865448028213e-5,2.752919091629766e-4,8.557970522878962e-4,4.900857497164521e-4,0.003631358002448662,9.687613070570324e-6,1.1496862267974236e-5,3.962562714546323e-6,0.1605866457012335,1.8622830659014326e-5,0.004381045044253052,0.053636075853830345,0.004565290881846388,0.005977993561058022,0.0035860911042688145,0.008811467336958015,0.0025729321630025333,1.1793416615728166e-4,0.01144292093631753,5.406807336949161e-4,0.0011114621187654223,0.00658473650849669,0.006432369937907843,0.0038406531231058813,0.05593719647834052,7.275715416047153e-5,9.882830079522886e-5,0,0.9952821664719503,3.0065551049873626e-4,0.06731242160412788,0.006315580543483944,4.8286151839575813e-4,0.0013801910835549841,4.25869287385083e-4,0.0019045639425871567,5.354133133233644e-4,7.168597515746005e-5,0.001296207668158087,6.314510099005193e-5,1.5798220542405692e-4,4.1600855984845784e-4,5.509464862243499e-4,2.3918509236403463e-4,0.004201477317371999,4.3222155963522886e-5,3.486999508172548e-5,1.388314118616045e-5,5.260859406244021,0.013146990935005723,0.0031617390709352614
