sex,age,population_number,deaths_number_crdd,deaths_number_pdri,deaths_number_cyri,deaths_number_mtri,deaths_number_mvri,deaths_number_otri,deaths_number_strk,deaths_number_iscs,deaths_number_copd,deaths_number_allc,deaths_number_lwri,ylds (years lived with disability)_number_crdd,ylds (years lived with disability)_number_pdri,ylds (years lived with disability)_number_cyri,ylds (years lived with disability)_number_mtri,ylds (years lived with disability)_number_mvri,ylds (years lived with disability)_number_otri,ylds (years lived with disability)_number_tbalc,ylds (years lived with disability)_number_brsc,ylds (years lived with disability)_number_utrc,ylds (years lived with disability)_number_carc,ylds (years lived with disability)_number_ishd,ylds (years lived with disability)_number_strk,ylds (years lived with disability)_number_iscs,ylds (years lived with disability)_number_copd,ylds (years lived with disability)_number_adaod,ylds (years lived with disability)_number_stmc,ylds (years lived with disability)_number_lvrc,ylds (years lived with disability)_number_allc,ylds (years lived with disability)_number_lwri,ylds (years lived with disability)_number_dmt2,prevalence_number_crdd,prevalence_number_pdri,prevalence_number_cyri,prevalence_number_mtri,prevalence_number_mvri,prevalence_number_otri,prevalence_number_tbalc,prevalence_number_brsc,prevalence_number_utrc,prevalence_number_carc,prevalence_number_ishd,prevalence_number_strk,prevalence_number_iscs,prevalence_number_copd,prevalence_number_adaod,prevalence_number_stmc,prevalence_number_lvrc,prevalence_number_allc,prevalence_number_lwri,prevalence_number_dmt2,incidence_number_crdd,incidence_number_pdri,incidence_number_cyri,incidence_number_mtri,incidence_number_mvri,incidence_number_otri,incidence_number_tbalc,incidence_number_brsc,incidence_number_utrc,incidence_number_carc,incidence_number_ishd,incidence_number_strk,incidence_number_iscs,incidence_number_copd,incidence_number_adaod,incidence_number_stmc,incidence_number_lvrc,incidence_number_allc,incidence_number_lwri,incidence_number_dmt2,deaths_number_lvrc,deaths_number_tbalc,deaths_number_brsc,deaths_number_carc,deaths_number_ishd,deaths_number_stmc,deaths_number_dmt2,deaths_number_utrc,deaths_number_adaod,age_cat,sex_age_cat,deaths_rate_crdd,deaths_rate_pdri,deaths_rate_cyri,deaths_rate_mtri,deaths_rate_mvri,deaths_rate_otri,deaths_rate_tbalc,deaths_rate_brsc,deaths_rate_utrc,deaths_rate_carc,deaths_rate_ishd,deaths_rate_strk,deaths_rate_iscs,deaths_rate_copd,deaths_rate_adaod,deaths_rate_stmc,deaths_rate_lvrc,deaths_rate_allc,deaths_rate_lwri,deaths_rate_dmt2,ylds (years lived with disability)_rate_crdd,ylds (years lived with disability)_rate_pdri,ylds (years lived with disability)_rate_cyri,ylds (years lived with disability)_rate_mtri,ylds (years lived with disability)_rate_mvri,ylds (years lived with disability)_rate_otri,ylds (years lived with disability)_rate_tbalc,ylds (years lived with disability)_rate_brsc,ylds (years lived with disability)_rate_utrc,ylds (years lived with disability)_rate_carc,ylds (years lived with disability)_rate_ishd,ylds (years lived with disability)_rate_strk,ylds (years lived with disability)_rate_iscs,ylds (years lived with disability)_rate_copd,ylds (years lived with disability)_rate_adaod,ylds (years lived with disability)_rate_stmc,ylds (years lived with disability)_rate_lvrc,ylds (years lived with disability)_rate_allc,ylds (years lived with disability)_rate_lwri,ylds (years lived with disability)_rate_dmt2,prevalence_rate_crdd,prevalence_rate_pdri,prevalence_rate_cyri,prevalence_rate_mtri,prevalence_rate_mvri,prevalence_rate_otri,prevalence_rate_tbalc,prevalence_rate_brsc,prevalence_rate_utrc,prevalence_rate_carc,prevalence_rate_ishd,prevalence_rate_strk,prevalence_rate_iscs,prevalence_rate_copd,prevalence_rate_adaod,prevalence_rate_stmc,prevalence_rate_lvrc,prevalence_rate_allc,prevalence_rate_lwri,prevalence_rate_dmt2,incidence_rate_crdd,incidence_rate_pdri,incidence_rate_cyri,incidence_rate_mtri,incidence_rate_mvri,incidence_rate_otri,incidence_rate_tbalc,incidence_rate_brsc,incidence_rate_utrc,incidence_rate_carc,incidence_rate_ishd,incidence_rate_strk,incidence_rate_iscs,incidence_rate_copd,incidence_rate_adaod,incidence_rate_stmc,incidence_rate_lvrc,incidence_rate_allc,incidence_rate_lwri,incidence_rate_dmt2
female,Under 5,255681.96867746228,2.020533306867077,0.4502910757388699,0.0424932237103828,0.056354875123533855,0.6496026749157449,0.03984234418026349,0.22907240163279133,0.07226535022331992,0.13151175971588358,167.9550478490666,5.914811818601391,16.3214088431,2.45148743918,1.45710855891,1.27149372246,4.06513225852,1.13146942005,0,0,0,0,0,7.28660639442,5.16569874798,7.32130231829,0,0,0,7205.09346627,9.94545580312,0,65.8641190997,35.4319054115,23.2863990106,19.2152521357,48.0202274997,18.5615942115,0,0,0,0,0,0,36.322272902900004,99.2339412911,0,0,0,166887.123616,157.439555578,0,78.5162538462,124.027785576,115.892058845,58.6572474637,230.947277526,87.3470435469,0,0,0,0,0,18.1927865965,12.0413622459,33.4094358966,0,0,0,1829462.49874,6130.63120983,0,0,0,0,0,0,0,0,0,0,2,female_2,7.902525615390344e-6,1.7611373929418664e-6,1.6619562157700355e-7,2.2041004852643486e-7,2.540666744220848e-6,1.5582774329512386e-7,0,0,0,0,0,8.959270879275871e-7,2.826376478447771e-7,5.14356801913486e-7,0,0,0,6.568904671605473e-4,2.3133472607381277e-5,0,6.383480590173776e-5,9.588034118559618e-6,5.698910120439949e-6,4.972950298516999e-6,1.5899174586097167e-5,4.4253000158854615e-6,0,0,0,0,0,2.8498710457020567e-5,2.0203609877927785e-5,2.8634409990505342e-5,0,0,0,0.028179904525684727,3.8897759801223976e-5,0,2.5760173640866434e-4,1.385780373750041e-4,9.107564030053027e-5,7.515294189532644e-5,1.8781233478484577e-4,7.259641462990721e-5,0,0,0,0,0,0,1.4206036151387676e-4,3.881147419366191e-4,0,0,0,0.6527136992852428,6.157632327080791e-4,0,3.070856120685096e-4,4.850861647285679e-4,4.5326645224323783e-4,2.2941487726768465e-4,9.032599315493201e-4,3.416237914574514e-4,0,0,0,0,0,7.115396791804994e-5,4.7095077952446224e-5,1.3066793903932013e-4,0,0,0,7.155226894579455,0.023977565729571135,0
female,5 to 9,275481.3955336663,0.4023876407115713,0.33372661927900416,0.07462385049325747,0.03899089490481212,0.3738493970537761,0.04584969055223487,0.0867229998545187,0.010176687460091165,0.06656666252914156,11.319940140232312,0.5354982573417176,32.5969429965,10.2767609818,9.08987212276,4.48131997549,15.1557697788,4.16542076232,0,0,0,0,0,21.9617100441,15.0393018472,23.9609534701,0,0,0.034680250456,10555.0475681,5.37543481201,0,54.2943495276,164.904118362,153.523321862,74.040240738,194.773325148,71.2812012844,0,0,0,0,0,50.6875933892,106.775295127,334.14972691,0,0,0,219473.834757,84.9392430202,0,72.3779527998,295.550722587,504.669559398,117.649390419,567.536343171,209.702460134,0,0,0,0,0,16.4165014681,9.35782621475,44.8966155344,0,0,0.164649913589,1818238.52825,3534.81915897,0,0.04363822010952639,0,0,0,0,0,0,0,0,7,female_7,1.4606708374337239e-6,1.2114306980059558e-6,2.70885263771425e-7,1.4153730719012232e-7,1.357076750426467e-6,1.664347984858078e-7,0,0,0,0,0,3.1480528725548864e-7,3.6941469097674447e-8,2.4163759734187394e-7,0,0,1.5840714043498234e-7,4.1091486843614864e-5,1.9438636003144354e-6,0,1.1832720294360625e-4,3.730473690207544e-5,3.299631942531355e-5,1.6267232735657977e-5,5.501558371823998e-5,1.5120515685825863e-5,0,0,0,0,0,7.972120949059183e-5,5.459280405511835e-5,8.697848151844344e-5,0,0,1.2588962818638602e-7,0.03831491977036278,1.951287781738086e-5,0,1.9708898825062304e-4,5.986034666426221e-4,5.572910706532197e-4,2.6876675499108835e-4,7.070289620490795e-4,2.5875141639352116e-4,0,0,0,0,0,1.8399643028890321e-4,3.8759530355998614e-4,0.0012129665825987292,0,0,0,0.7966920391550664,3.083302335377478e-4,0,2.62732634483677e-4,0.0010728518418256707,0.0018319551431788968,4.2706836950309475e-4,0.0020601621465999942,7.612218593845931e-4,0,0,0,0,0,5.959205134814179e-5,3.3968995244204755e-5,1.6297512740352452e-4,0,0,5.976807009781475e-7,6.600222583915998,0.012831426064625165,0
female,10 to 14,259588.45301162748,0.5593218308939943,0.5685141341827509,0.1659578905893708,0.05834355753067952,0.5628299162778558,0.057569375461527426,0.1542202504124197,0.013912427865749205,0.08710425681293875,14.872742108702498,0.5257341487971885,56.0195686789,19.9587526847,20.8928823508,8.9756689904600009,29.2947206655,8.08740937103,0,0,0,0,0,33.1091582914,22.2658774004,42.6186274124,0,0,0.0495810439609,14638.82032,2.94509299069,50.8293648989,348.915541528,342.74974724,373.9922209,153.720728004,396.868131545,140.924796457,0,0,0,0,0,91.5410601471,157.158645798,601.495188355,0,0,0,225576.438602,46.0701435679,1019.92876495,60.1358891616,345.208185132,722.33085959,174.313405787,786.722204348,284.976704345,0,0,0,0,0,14.1288120654,8.03795545417,86.4798385519,0,0,0.231270994228,1420614.90793,2074.54254226,504.958860957,0.06326289478308844,0,0,0,0,0,0,0,0,12,female_12,2.1546483458913374e-6,2.190059409758438e-6,6.393115281669991e-7,2.2475405532797792e-7,2.168162372972135e-6,2.2177171131317147e-7,0,0,0,0,0,5.940951865278533e-7,5.35941707126936e-8,3.3554750144852237e-7,0,0,2.437045794955093e-7,5.729354266784863e-5,2.025260148122381e-6,0,2.1580146585484206e-4,7.688613439137065e-5,8.048463677182193e-5,3.4576534072792375e-5,1.1285063077974363e-4,3.115473464710601e-5,0,0,0,0,0,1.2754480373561522e-4,8.577375897148502e-5,1.6417767014656476e-4,0,0,1.9099864953807927e-7,0.05639241711319224,1.1345238805972944e-5,1.9580749570792064e-4,0.001344110408148129,0.0013203582180315529,0.001440712083149739,5.921709005951607e-4,0.0015288358435851669,5.428777544688696e-4,0,0,0,0,0,3.5263918361961845e-4,6.054146244746894e-4,0.0023171107242125973,0,0,0,0.8689771674547326,1.7747377833418664e-4,0.003929022085217001,2.3165856748992756e-4,0.001329828739017669,0.002782600116491489,6.714990738790379e-4,0.003030651769062937,0.0010978019285481674,0,0,0,0,0,5.442773706412566e-5,3.096422572312939e-5,3.3314208528384116e-4,0,0,8.909140277423699e-7,5.472565868969403,0.007991659560323654,0.0019452285149770584
female,15 to 19,255264.55469510567,1.5829241607145945,0.805444794639244,0.24529445964925478,0.32905730261067134,3.4510565904202473,0.13620078946150757,0.36477039993348315,0.03995072816779363,0.11181813788889342,31.72094934409143,0.6996216446399706,136.641763349,28.5652638334,30.8584236763,16.0148355792,48.2879244402,12.9397532844,0.0265485552799,0.510855865191,0.252369683478,0.256488526517,1.08379949793,43.7028335273,28.7639092443,84.8775011733,0,0.0298933919084,0.159879652523,23585.9832403,3.20172543599,261.832211587,1681.76634187,517.299102721,578.796732853,285.668050629,698.327664209,237.163859892,0.158164221884,6.3161702896,3.7740870668,2.32647947619,28.452709552,178.090472173,207.690777121,1232.61827438,0,0.29059266736,0,242976.554303,50.9970570434,5013.47965067,78.6584616098,308.408187128,644.9016161,219.867378314,942.003411064,306.673750089,0.0930356170665,0.628838170451,0.438649058547,0.326515097616,3.94475818274,13.053721326,7.04623902258,171.400284323,0,0.0815482052796,0.744167232387,1405844.03528,2311.5802697,880.372793205,0.16463178769126496,0.061368856758826314,0.04383464043262509,0.05923180521712109,0.08958263204841782,0.02516834224487187,0.025004290874476018,0.02193647356859158,0,17,female_17,6.201112264118606e-6,3.1553334758963587e-6,9.609421094215003e-7,1.2890834099693377e-6,1.3519529158845712e-5,5.335671833646829e-7,2.404127624852843e-7,1.717223939883948e-7,8.593623033481108e-8,2.3204085380310254e-7,3.509403495343e-7,1.4289896236051025e-6,1.5650715084791844e-7,4.3804804009100196e-7,0,9.859708988948176e-8,6.449457422238087e-7,1.2426695661675285e-4,2.7407708268608467e-6,9.795441793452978e-8,5.352947004812646e-4,1.1190454494365291e-4,1.2088800857274551e-4,6.273818783155585e-5,1.8916815340020983e-4,5.069153960625502e-5,1.0400408043964527e-7,2.001280067266601e-6,9.88659329453071e-7,1.004794914920155e-6,4.245789233152708e-6,1.7120603986518909e-4,1.1268273920230064e-4,3.3250797892672484e-4,0,1.1710749243703424e-7,6.263292320939906e-7,0.09239819162700315,1.2542773280114117e-5,0.0010257288243553395,0.00658832693743455,0.0020265214782321616,0.0022674387109652932,0.0011191058271690286,0.0027357016529110352,9.29090449613243e-4,6.196090251265605e-7,2.474362450025304e-5,1.4785002450919452e-5,9.11399343700031e-6,1.114636130581648e-4,6.976701970460242e-4,8.136295200446886e-4,0.004828787435264053,0,1.138398034568846e-6,0,0.9518617051757039,1.9978119212168784e-4,0.019640328272988096,3.081448644671863e-4,0.0012081904105188846,0.002526404877756281,8.613314080233938e-4,0.0036903024479413224,0.0012013957458970313,3.6446743331687416e-7,2.4634762597654812e-6,1.7184095891062248e-6,1.2791243108781701e-6,1.545360728774787e-5,5.113800990345757e-5,2.7603671927722995e-5,6.714613571309372e-4,0,3.194654478253089e-7,2.915278360036519e-6,5.507400104801762,0.00905562573096374,0.0034488642352109525
female,20 to 24,268809.6165877022,3.049705309402231,0.5668626035654833,0.2330613124493378,0.3609260508972227,3.3862589447139593,0.14399169902467984,0.8304681749599163,0.0843698294461368,0.13901622720515383,43.91547146466946,1.0267374512712257,176.652058586,38.6989845271,42.9645753259,24.4915291783,70.784027078,18.93553111,0.0638014792805,3.0517404995,0.416969265475,1.36158943255,4.93990586152,59.437745906,38.4164050422,164.338706293,0,0.101107575631,0.197050586904,30993.5504102,3.62366794024,502.166140289,2140.271006,724.655757787,836.703123554,458.364110525,1061.1184969400001,356.4816906,0.405731179429,37.0746159683,6.24128649542,12.8598281954,99.3441406147,239.23420925,276.378116467,2421.8245137,0,1.00546150227,0,262267.610552,58.0075757264,9076.73857073,151.082229922,253.956239963,526.311444482,220.727333935,1045.78349392,297.922252998,0.217403313161,3.77774322057,0.723924910776,1.77906042909,9.51418796529,17.7497598909,8.72497759632,266.942017596,0,0.270083774938,0.922690592879,1555987.85207,2595.26443998,617.670024821,0.1886504274298202,0.12334987960268672,0.2262233115988926,0.2775248678940407,0.24391636018033494,0.07783997093244661,0.029468676511289274,0.032298817471583446,0,22,female_22,1.1345223984601124e-5,2.1087884085446696e-6,8.670125548625933e-7,1.3426828082970256e-6,1.2597238847700056e-5,5.356642401880028e-7,4.5887450444855054e-7,8.415744736761852e-7,1.201549925244047e-7,1.032421650002596e-6,9.07394472253765e-7,3.089428813976105e-6,3.1386462477472484e-7,5.171549625710589e-7,0,2.8957286543746264e-7,7.01799399234926e-7,1.6337016518284248e-4,3.819571131065696e-6,1.0962657097379097e-7,6.571642072498745e-4,1.4396428601903837e-4,1.5983273169798342e-4,9.111106027082688e-5,2.633240133911128e-4,7.044216405041472e-5,2.3734820238354103e-7,1.1352795105469507e-5,1.551169451331586e-6,5.065255662480237e-6,1.8376968518566e-5,2.2111465601755274e-4,1.4291306066301467e-4,6.113572437591073e-4,0,3.7613079812571547e-7,7.330488745357443e-7,0.11529926199678205,1.3480425240135474e-5,0.001868110771718476,0.00796203288099893,0.0026957955112836256,0.003112623477445481,0.0017051626215740445,0.003947472231127558,0.0013261493213122969,1.5093625911877508e-6,1.379214644138447e-4,2.3218241127856784e-5,4.783991123027526e-5,3.695706346959795e-4,8.899763791447064e-4,0.0010281556142796272,0.009009441494106117,0,3.740422366704864e-6,0,0.9756630506053053,2.1579427277474043e-4,0.033766420584021815,5.620417596656469e-4,9.447438792806131e-4,0.0019579338386887094,8.211288596625977e-4,0.0038904244096445903,0.0011083020644121913,8.087631533452588e-7,1.4053601461603471e-5,2.6930766836602786e-6,6.618291606057782e-6,3.539377826606099e-5,6.603097060372072e-5,3.2457832822634075e-5,9.93052335644053e-4,0,1.0047400028558209e-6,3.432505892429491e-6,5.788438195857258,0.009654656231888437,0.002297797350637112
female,25 to 29,286591.54434049263,5.995792086828698,0.568875772324566,0.2430835861241893,0.3681746101370953,3.1378121788309907,0.16489722772260884,1.8217915329829677,0.2172328320110659,0.2270057377145665,77.04859251007284,1.850441991077051,296.058943692,48.9409577571,56.0902564975,32.7528829098,99.0253229913,25.6462576466,0.250735589554,34.5646252589,1.81047417153,4.52407385196,10.5086113585,81.5636462078,51.0329643057,283.269131355,0,0.478783832027,0.336937378315,37268.2774241,3.90741611608,676.377520469,4140.5114686,935.419707956,1105.99891966,625.793166588,1547.1656126,491.333427783,1.84333278196,406.065116535,27.375425725,44.7993638473,222.481412133,388.110391618,368.240141157,4220.70954543,0,4.75485291583,0,282653.245444,62.8153479441,11616.814099,289.154248127,212.692358282,472.083146662,191.744672294,1044.06659842,286.251360413,0.793612737689,45.9925121076,3.17410224337,6.26347215992,12.6907405245,28.3959796411,13.0467679016,370.892838113,0,1.28223460226,1.22906480989,1662295.22683,2815.21549044,259.703794529,0.4185386626684322,0.3910234518517445,2.430496822049216,1.072187320260303,0.6071416029629249,0.3847743932457684,0.06990572394877985,0.11805903688147504,0,27,female_27,2.0921036245595716e-5,1.9849705392867355e-6,8.481882697676085e-7,1.2846666882107162e-6,1.0948725601977392e-5,5.753736667356045e-7,1.3643928426135935e-6,8.48069969280601e-6,4.119418008411717e-7,3.741168717059086e-6,2.1184909846523395e-6,6.356752559379562e-6,7.579875830285374e-7,7.92088050737695e-7,0,1.3425880869277394e-6,1.460401295619442e-6,2.688446118931312e-4,6.456722215358122e-6,2.4392109721746193e-7,0.001033034468526606,1.7076902205793765e-4,1.957149734706077e-4,1.1428419140966376e-4,3.4552772036306264e-4,8.948713998390087e-5,8.748883018548062e-7,1.2060587948761876e-4,6.317263043109947e-6,1.578578971117534e-5,3.666755550196892e-5,2.8459892770212427e-4,1.7806863221710736e-4,9.884071492997529e-4,0,1.6706139503479846e-6,1.1756710376447557e-6,0.13003969642531546,1.3634094212625098e-5,0.0023600749353072745,0.014447430673951623,0.00326394733699697,0.0038591470735995924,0.0021835716333783732,0.005398504049239671,0.0017144030851072786,6.431916148126059e-6,0.001416877519779731,9.55207027757801e-5,1.5631781443654506e-4,7.763013826698079e-4,0.0013542283409342154,0.0012848953447122731,0.014727264738890812,0,1.6591043977839315e-5,0,0.9862581469193186,2.1918074410970956e-4,0.040534392337822564,0.0010089420076660137,7.42144569447957e-4,0.0016472333395193585,6.69052092012152e-4,0.003643047462627052,9.988130008222137e-4,2.7691421933444328e-6,1.6048105052589195e-4,1.1075352033411441e-5,2.1855048704711667e-5,4.428162929127606e-5,9.908170775395734e-5,4.552391080352128e-5,0.0012941513643275914,0,4.4740838576053984e-6,4.288559220120526e-6,5.800224255238551,0.009823093339750837,9.061809381942269e-4
female,30 to 34,290138.98761487077,12.95249169866255,0.6508611623040469,0.2517556837595935,0.3899311216903984,2.915865096090157,0.16676474653459325,4.036365302860117,0.36145046751041837,0.40961184339804846,137.42967716478748,3.154015139878403,371.343405111,56.4201392296,66.5344948642,40.1235457625,122.116740401,31.3940941367,0.926768326392,101.659366332,3.62139393468,13.2798274695,19.7778309466,107.063087914,62.6332234102,426.792042604,0,1.47191379343,0.626970044791,40201.4947961,3.98999844033,760.772619225,5412.44311921,1107.52197193,1333.08912233,782.455547787,1964.45848427,611.455057637,6.34258172596,1226.61432157,56.2373958059,144.185962569,432.738942335,641.561489962,474.856457245,6430.86010697,0,14.8322404638,0,287214.771924,64.5318859767,12497.8627075,522.194952264,172.186475537,436.776330135,155.029706936,889.597478913,248.891677558,3.04646681008,141.010794538,6.5336032802,20.2238353978,27.3815618445,53.8009143225,23.1843391361,506.701814895,0,3.88857788063,2.21767536056,1627075.34127,2898.62256824,229.637833106,0.7003274466246364,1.655378636426594,11.69672747919726,3.3315025369549702,2.2891644657131507,1.1908560395162235,0.2398666965003481,0.2661749086888383,0,32,female_32,4.464236883550318e-5,2.243273707041389e-6,8.677071834750209e-7,1.3439459649869298e-6,1.0049890640552808e-5,5.747753788813658e-7,5.705467748525877e-6,4.031422172990913e-5,9.174048302745087e-7,1.1482436622330785e-5,7.889889202866378e-6,1.3911833552745317e-5,1.2457838585630077e-6,1.41177801289417e-6,0,4.104433014348836e-6,2.413765390104166e-6,4.7366842455248047e-4,1.087070429867574e-5,8.267303145716704e-7,0.0012798810947941943,1.9445900633144775e-4,2.293193872742039e-4,1.3829077605992003e-4,4.208904890889646e-4,1.0820363852090222e-4,3.194221962414056e-6,3.503816125082169e-4,1.2481583273072637e-5,4.577057216153103e-5,6.816674694147968e-5,3.690062090383905e-4,2.158731714241006e-4,0.0014709916999177026,0,5.0731334162639734e-6,2.1609300078734587e-6,0.1385594370704267,1.3752024411232545e-5,0.002622097173079153,0.01865465638969711,0.0038172118164282007,0.0045946569721251555,0.002696830075197023,0.0067707497720975495,0.0021074556806844683,2.186049444130244e-5,0.004227678367714588,1.9382915846025242e-4,4.96954800022918e-4,0.0014914884272961475,0.0022112212330926235,0.001636651665288508,0.02216475682856623,0,5.1121156056035635e-5,0,0.9899213279990059,2.2241714740646763e-4,0.04307543364040964,0.001799809658663176,5.934620402190125e-4,0.001505403785012082,5.34329109680998e-4,0.0030661080271426598,8.578360309452025e-4,1.0500025643309498e-5,4.86011189661891e-4,2.251887391594775e-5,6.970395659009133e-5,9.437394839485055e-5,1.8543152288762757e-4,7.990769984651216e-5,0.0017464106394677083,0,1.3402465875395146e-5,7.643493136826316e-6,5.607916931969766,0.009990462130127852,7.914752684352103e-4
female,35 to 39,296775.16204008745,18.355882552437038,0.5267475823695987,0.20171933209022996,0.32998523108655503,2.289883031958489,0.14081367937462555,5.859615976322269,0.43782130599637464,0.6940693180798175,170.1848762698828,4.185482939954892,408.925178117,63.7411198814,78.5092031649,46.9414661263,143.63985025,36.0142428672,1.54268240874,166.121460481,6.09257867001,16.9645097184,36.0822170149,156.896022035,87.2817671159,640.539466554,0,1.64994729719,0.658845817561,43838.6251809,4.15019030343,862.693481284,6014.18358043,1261.01164207,1567.82766534,924.429629108,2364.35765028,704.056820669,10.5005352383,2051.08667262,94.2206136633,192.639736329,854.242645257,1037.63729849,669.714238811,9731.39714087,0,15.966760667,0,294451.772552,66.9787324358,13654.6626107,864.663877474,155.905224614,426.25819668,139.292062932,719.690817281,206.03027694,5.08648041756,233.855505605,10.9312639408,26.7685971811,55.1132854141,96.4852921577,40.2610926963,771.896779001,0,4.52792875616,2.18891800722,1611583.81068,3013.94252333,324.90020793,0.9424946702029215,3.1368032937014254,23.385160714568602,4.796917252970674,4.470888232058952,1.5988337333163645,0.3013235940137542,0.45045550229577286,0,37,female_37,6.185114153844716e-5,1.77490453968128e-6,6.797042269426252e-7,1.1119031283419252e-6,7.71588503639391e-6,4.7447932773971455e-7,1.0569628779371084e-5,7.879756699925518e-5,1.5178342392242608e-6,1.6163472778502675e-5,1.506490031485532e-5,1.9744293747637718e-5,1.4752626297521324e-6,2.338704200542446e-6,0,5.387356955095855e-6,3.175786894442374e-6,5.734471682198754e-4,1.4103211708092775e-5,1.0153261881567176e-6,0.001377895560079801,2.14779159560496e-4,2.6454101692747193e-4,1.5817181533527155e-4,4.840022637426699e-4,1.2135194407655754e-4,5.198152022343498e-6,5.597552683959477e-4,2.0529274175535732e-5,5.7162835332252255e-5,1.215809866528727e-4,5.286696533377917e-4,2.9410064681932596e-4,0.002158332463373326,0,5.559586880006927e-6,2.2200167056837634e-6,0.14771662452998144,1.3984291255712987e-5,0.0029068924614637057,0.020265117670519958,0.004249047101521477,0.005282880327863229,0.0031149157589647983,0.007966831300931546,0.0023723576320510884,3.538212283709113e-5,0.006911247755777304,3.174814664933886e-4,6.491100367185675e-4,0.002878416911256245,0.0034963751392033246,0.0022566384403844993,0.03279047031420882,0,5.380086580440738e-5,0,0.9921712131429192,2.256884706097902e-4,0.04601012603896943,0.00291353181826316,5.253311077055054e-4,0.0014363001059449255,4.6935215863241566e-4,0.0024250372313293065,6.942301893585356e-4,1.7139171562049164e-5,7.879888060625893e-4,3.6833486554792744e-5,9.019823962722386e-5,1.8570720351137563e-4,3.2511242347385886e-4,1.3566193484501124e-4,0.002600948050014828,0,1.5257101453619563e-5,7.375677911092599e-6,5.430319032097142,0.010155642751945953,0.0010947688670998469
female,40 to 44,295520.3576174154,33.632942544335464,0.6478979678257819,0.2001069327429824,0.30338535711608267,2.386077794056466,0.14168087340118954,10.462578473340479,0.8292503096614999,2.120091004053563,268.29177119421007,6.809100578776863,651.64913169,70.1943373481,89.2922159443,52.8848857916,158.994502785,39.6539800182,3.96415862873,300.91514131,13.0908393481,29.8896223702,65.3977215663,226.350258196,122.832577494,918.757720064,2.86972623271,2.65374690915,1.02378170882,46468.696619,4.11259514504,995.264841949,13447.7344672,1398.40543067,1777.34305835,1042.75051767,2638.41849288,784.413789145,26.6502799103,3752.46513254,201.868444385,347.063955177,1609.50072659,1694.7494721,957.775655639,14146.9316336,21.5454795052,25.2028908685,0,293786.92362,66.555635491,15252.5822323,1773.27014553,150.776969304,414.380221504,125.150891442,580.896973218,165.405515971,13.1693137116,422.923941926,23.4546931534,48.1919029989,107.33918262,152.918599696,64.9968317105,1000.6036008,12.788891474,7.39718715725,3.39510881262,1528936.90818,3006.51157165,678.815290729,1.6052226588641272,9.193187945244905,44.435878067436434,8.933505780374581,9.672249496252837,2.997811150412947,0.4510426021856206,1.117840189142258,0.43393316982386243,42,female_42,1.1380922389068412e-4,2.1923970756172385e-6,6.771341722658699e-7,1.0266140700494462e-6,8.074157101371387e-6,4.794284716743999e-7,3.1108475975609534e-5,1.5036486293429477e-4,3.7826165281967783e-6,3.022974746105315e-5,3.272955397805339e-5,3.5403917881303705e-5,2.8060683072638216e-6,7.17409460771654e-6,1.4683698047822416e-6,1.0144178135754538e-5,5.431851368230509e-6,9.078622310735838e-4,2.3041054205788477e-5,1.5262657565186978e-6,0.0022050904950975786,2.375279250269944e-4,3.0215250368605367e-4,1.7895513601152811e-4,5.380153978794126e-4,1.3418358159114228e-4,1.3414164292065635e-5,0.0010182552015572776,4.429758901770001e-5,1.011423463722777e-4,2.212968409132909e-4,7.659379543964822e-4,4.1564844630101835e-4,0.0031089489992206765,9.710756496935438e-6,8.979912350355154e-6,3.464335645347999e-6,0.1572436396383866,1.391645292458742e-5,0.0033678385136413623,0.04550527271833373,0.004732010484639419,0.0060142829843586355,0.0035285234698448718,0.008928043110639884,0.0026543477257174705,9.018085970510976e-5,0.012697822792289632,6.830948839279005e-4,0.0011744164022240177,0.005446327757472741,0.0057347977166907925,0.0032409802944234024,0.04787125918382519,7.29069214686491e-5,8.528309545810716e-5,0,0.9941342992022922,2.2521506141774444e-4,0.05161262782459879,0.006000500810931271,5.10208401612717e-4,0.0014022053331448057,4.234932999235945e-4,0.001965674980571176,5.597093794300838e-4,4.456313540554512e-5,0.0014311161008864338,7.93674362825615e-5,1.630747315935841e-4,3.632209418173578e-4,5.174553825289101e-4,2.1994028511107102e-4,0.00338590413488669,4.327583919127721e-5,2.5031057815741067e-5,1.1488578451895872e-5,5.173710943323175,0.010173619157372131,0.0022970170183937155
