sex,age_group_2,pif_all-cause-mortality,pif_all-cause-mortality_se,pif_coronary-heart-disease,pif_coronary-heart-disease_se,pif_all-cause-cancer,pif_all-cause-cancer_se,pif_lung-cancer,pif_lung-cancer_se,pif_stroke,pif_stroke_se,pif_diabetes,pif_diabetes_se,pif_breast-cancer,pif_breast-cancer_se,pif_colon-cancer,pif_colon-cancer_se,pif_endometrial-cancer,pif_endometrial-cancer_se,pif_head-and-neck-cancer,pif_head-and-neck-cancer_se,pif_depression,pif_depression_se,pif_myeloma,pif_myeloma_se,pif_myeloid-leukemia,pif_myeloid-leukemia_se,pif_gastric-cardia-cancer,pif_gastric-cardia-cancer_se,pif_liver-cancer,pif_liver-cancer_se,pif_parkinson's-disease,pif_parkinson's-disease_se,pif_all-cause-dementia,pif_all-cause-dementia_se
female,67,0.072953788,0.011233191,0.07063379,0.010187241,0.042334798,0.006128614,0.058877424,0.008453302,0.060384576,0.00904772,0.116034081,0.015247277,0.038745518,0.004963296,0.051173306,0.007231381,0.062252746,0.008638377,0.208007788,0.027302146,0.08701189,0.01265798,0.123386901,0.018504602,0.106864746,0.017277242,0.119770817,0.016635438,0.112935273,0.015131177,0.126582635,0.018090326,0.082077028,0.013128111
female,72,0.083412661,0.012068187,0.082880414,0.010957079,0.049404931,0.0065569,0.06917154,0.0090661,0.069705308,0.009694381,0.141228661,0.017071005,0.045604275,0.005289724,0.060309131,0.007785368,0.073667004,0.009278275,0.264455037,0.032764803,0.102206977,0.013684161,0.147772882,0.021089056,0.120091065,0.019065856,0.144299346,0.01842418,0.136429601,0.016619355,0.151138682,0.019929725,0.092209088,0.014267436
female,77,0.095642091,0.014607495,0.092324619,0.013303797,0.055276587,0.007983068,0.077211303,0.011011121,0.079098004,0.011789079,0.150524031,0.019901895,0.048020013,0.006236483,0.066691644,0.009439212,0.080597763,0.01119505,0.273450134,0.036663209,0.114131588,0.016616576,0.165978371,0.025252879,0.141794867,0.022688222,0.156926324,0.022042844,0.145938819,0.019727876,0.16618201,0.024114259,0.10799584,0.017076334
female,82,0.103825924,0.02075622,0.094409419,0.018452636,0.056461411,0.011082845,0.077752429,0.015288116,0.08368665,0.016578972,0.139859851,0.02665654,0.044136455,0.008387616,0.066540993,0.012956769,0.079465806,0.015369428,0.259778493,0.048520881,0.117596787,0.023016856,0.171580883,0.033647642,0.157062941,0.032265151,0.155332737,0.029801854,0.140341081,0.026690147,0.169794986,0.032710666,0.120299595,0.024482643
female,87,0.1148236,0.032577433,0.104965588,0.026140642,0.062293757,0.015285687,0.086373047,0.020956263,0.092572142,0.024730239,0.157565282,0.034854825,0.049119339,0.010624599,0.073689887,0.017355551,0.08840577,0.020627101,0.311200569,0.075277019,0.131523556,0.03355255,0.195686111,0.048625189,0.173686313,0.055333872,0.176091193,0.041963657,0.158573503,0.036436373,0.192802956,0.048739861,0.132595951,0.040953897
female,92,0.044164723,0.022643807,0.040947232,0.021011887,0.024400182,0.012547788,0.033081887,0.017059253,0.035868271,0.018386859,0.059457582,0.03087901,0.017493089,0.009135437,0.028995937,0.014940921,0.034245991,0.017649132,0.121893394,0.063918533,0.051359958,0.026297438,0.081930296,0.042368126,0.065725107,0.033942035,0.069783109,0.035935211,0.060979398,0.031451456,0.077235337,0.03960636,0.050067214,0.025855836
female,97,0.197308746,0.085271898,0.16864054,0.072990543,0.100525949,0.043559192,0.136222468,0.058961112,0.155097166,0.067070499,0.221737733,0.09658309,0.066178192,0.029060448,0.115301261,0.050019341,0.135890817,0.058925374,0.433132823,0.187116625,0.212502467,0.091913707,0.309717811,0.134486737,0.308252573,0.13270291,0.268560365,0.11634551,0.233899043,0.101386073,0.303722071,0.131430697,0.234926122,0.101311517
male,17,0.030999474,0.0109861,0.030378823,0.01001653,0.018230082,0.006033022,0.025582817,0.008363886,0.02577416,0.008862549,0.051473417,0.01549327,0.016828185,0.005118782,0.022115808,0.007141312,0.026954755,0.008581011,0.091914932,0.02740062,0.0372661,0.012405669,0.052913374,0.017684261,0.045181507,0.016935183,0.051710959,0.016357761,0.04906714,0.015127192,0.053740716,0.017595998,0.034614805,0.012851995
male,22,0.049117318,0.009254189,0.049250737,0.008503249,0.029465263,0.00511219,0.04145404,0.007078654,0.041225828,0.007481907,0.085509625,0.013248658,0.028377413,0.004335691,0.03608731,0.006079897,0.044223789,0.007301471,0.155090645,0.023900765,0.060474474,0.010545295,0.086438192,0.015429866,0.070192916,0.014284471,0.085487727,0.014073346,0.081653482,0.012953017,0.088613204,0.015151113,0.054045697,0.010801973
male,27,0.037583863,0.008142645,0.037749078,0.007421991,0.022592964,0.004459414,0.031956876,0.006177242,0.031607577,0.006574326,0.067347106,0.011394073,0.022205765,0.003649266,0.027684532,0.005276118,0.03408185,0.006302624,0.118363595,0.020491318,0.046187697,0.009245443,0.062489217,0.013716651,0.05510696,0.012592203,0.065097519,0.01222018,0.063306375,0.011148796,0.066724251,0.013283936,0.041968004,0.009512347
