age,sex,inc,mort,ylds (years lived with disability)_rate_adaod,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1e-8,0,0,0,6980,adaod,0,10,0,0,0,5,male_adaod
1,male,1e-8,0,0,0,6980,adaod,0,10,0,0,0,5,male_adaod
2,male,1e-8,0,0,0,6980,adaod,0,10,0,0,0,5,male_adaod
3,male,1e-8,0,0,0,6980,adaod,0,10,0,0,0,5,male_adaod
4,male,1e-8,0,0,0,6980,adaod,0,10,0,0,0,5,male_adaod
5,male,1e-8,0,0,0,6917,adaod,0,10,5,0,0,5,male_adaod
6,male,1e-8,0,0,0,6917,adaod,0,10,5,0,0,5,male_adaod
7,male,1e-8,0,0,0,6917,adaod,0,10,5,0,0,5,male_adaod
8,male,1e-8,0,0,0,6917,adaod,0,10,5,0,0,5,male_adaod
9,male,1e-8,0,0,0,6917,adaod,0,10,5,0,0,5,male_adaod
10,male,1e-8,0,0,0,6234,adaod,0,50,10,0,0,5,male_adaod
11,male,1e-8,0,0,0,6234,adaod,0,50,10,0,0,5,male_adaod
12,male,1e-8,0,0,0,6234,adaod,0,50,10,0,0,5,male_adaod
13,male,1e-8,0,0,0,6234,adaod,0,50,10,0,0,5,male_adaod
14,male,1e-8,0,0,0,6234,adaod,0,50,10,0,0,5,male_adaod
15,male,1e-8,0,0,0,6436,adaod,0,50,15,0,0,5,male_adaod
16,male,1e-8,0,0,0,6436,adaod,0,50,15,0,0,5,male_adaod
17,male,1e-8,0,0,0,6436,adaod,0,50,15,0,0,5,male_adaod
18,male,1e-8,0,0,0,6436,adaod,0,50,15,0,0,5,male_adaod
19,male,1e-8,0,0,0,6436,adaod,0,50,15,0,0,5,male_adaod
20,male,1e-8,0,0,0,7845,adaod,0,50,20,0,0,5,male_adaod
21,male,1e-8,0,0,0,7845,adaod,0,50,20,0,0,5,male_adaod
22,male,1e-8,0,0,0,7845,adaod,0,50,20,0,0,5,male_adaod
23,male,1e-8,0,0,0,7845,adaod,0,50,20,0,0,5,male_adaod
24,male,1e-8,0,0,0,7845,adaod,0,50,20,0,0,5,male_adaod
25,male,1e-8,0,0,0,9023,adaod,0,50,25,0,0,5,male_adaod
26,male,1e-8,0,0,0,9023,adaod,0,50,25,0,0,5,male_adaod
27,male,1e-8,0,0,0,9023,adaod,0,50,25,0,0,5,male_adaod
