age,sex,inc,mort,ylds (years lived with disability)_rate_stmc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
48,male,8.724666696994001e-5,3.0301915228255016e-5,3.4256548378607665e-5,3.4675707689987156e-4,7628,stmc,0,50,45,0,0,5,male_stmc
49,male,8.724666696994001e-5,3.0301915228255016e-5,3.4256548378607665e-5,3.4675707689987156e-4,7628,stmc,0,50,45,0,0,5,male_stmc
50,male,1.3861859168910076e-4,5.250218965515641e-5,5.3479540089394405e-5,5.313906908283598e-4,7605,stmc,0,50,50,0,0,5,male_stmc
51,male,1.3861859168910076e-4,5.250218965515641e-5,5.3479540089394405e-5,5.313906908283598e-4,7605,stmc,0,50,50,0,0,5,male_stmc
52,male,1.3861859168910076e-4,5.250218965515641e-5,5.3479540089394405e-5,5.313906908283598e-4,7605,stmc,0,50,50,0,0,5,male_stmc
53,male,1.3861859168910076e-4,5.250218965515641e-5,5.3479540089394405e-5,5.313906908283598e-4,7605,stmc,0,50,50,0,0,5,male_stmc
54,male,1.3861859168910076e-4,5.250218965515641e-5,5.3479540089394405e-5,5.313906908283598e-4,7605,stmc,0,50,50,0,0,5,male_stmc
55,male,2.1649474839622007e-4,8.855501633351914e-5,8.207944077065833e-5,8.06291691120216e-4,6479,stmc,0,50,55,0,1,5,male_stmc
56,male,2.1649474839622007e-4,8.855501633351914e-5,8.207944077065833e-5,8.06291691120216e-4,6479,stmc,0,50,55,0,1,5,male_stmc
57,male,2.1649474839622007e-4,8.855501633351914e-5,8.207944077065833e-5,8.06291691120216e-4,6479,stmc,0,50,55,0,1,5,male_stmc
58,male,2.1649474839622007e-4,8.855501633351914e-5,8.207944077065833e-5,8.06291691120216e-4,6479,stmc,0,50,55,0,1,5,male_stmc
59,male,2.1649474839622007e-4,8.855501633351914e-5,8.207944077065833e-5,8.06291691120216e-4,6479,stmc,0,50,55,0,1,5,male_stmc
60,male,3.824748247861924e-4,1.668695267394512e-4,1.3711431493679043e-4,0.0013627131003662197,5560,stmc,0,50,60,0,1,5,male_stmc
61,male,3.824748247861924e-4,1.668695267394512e-4,1.3711431493679043e-4,0.0013627131003662197,5560,stmc,0,50,60,0,1,5,male_stmc
62,male,3.824748247861924e-4,1.668695267394512e-4,1.3711431493679043e-4,0.0013627131003662197,5560,stmc,0,50,60,0,1,5,male_stmc
63,male,3.824748247861924e-4,1.668695267394512e-4,1.3711431493679043e-4,0.0013627131003662197,5560,stmc,0,50,60,0,1,5,male_stmc
64,male,3.824748247861924e-4,1.668695267394512e-4,1.3711431493679043e-4,0.0013627131003662197,5560,stmc,0,50,60,0,1,5,male_stmc
65,male,5.564527060457902e-4,2.6170450705040316e-4,1.862513771495719e-4,0.0018867153626873226,5418,stmc,0,50,65,0,1,5,male_stmc
66,male,5.564527060457902e-4,2.6170450705040316e-4,1.862513771495719e-4,0.0018867153626873226,5418,stmc,0,50,65,0,1,5,male_stmc
67,male,5.564527060457902e-4,2.6170450705040316e-4,1.862513771495719e-4,0.0018867153626873226,5418,stmc,0,50,65,0,1,5,male_stmc
68,male,5.564527060457902e-4,2.6170450705040316e-4,1.862513771495719e-4,0.0018867153626873226,5418,stmc,0,50,65,0,1,5,male_stmc
69,male,5.564527060457902e-4,2.6170450705040316e-4,1.862513771495719e-4,0.0018867153626873226,5418,stmc,0,50,65,0,1,5,male_stmc
70,male,8.628437083136478e-4,4.215697717456478e-4,2.782971209742246e-4,0.0027398425909811864,4800,stmc,0,50,70,0,2,5,male_stmc
71,male,8.628437083136478e-4,4.215697717456478e-4,2.782971209742246e-4,0.0027398425909811864,4800,stmc,0,50,70,0,2,5,male_stmc
72,male,8.628437083136478e-4,4.215697717456478e-4,2.782971209742246e-4,0.0027398425909811864,4800,stmc,0,50,70,0,2,5,male_stmc
73,male,8.628437083136478e-4,4.215697717456478e-4,2.782971209742246e-4,0.0027398425909811864,4800,stmc,0,50,70,0,2,5,male_stmc
74,male,8.628437083136478e-4,4.215697717456478e-4,2.782971209742246e-4,0.0027398425909811864,4800,stmc,0,50,70,0,2,5,male_stmc
75,male,0.001326680745384366,7.261363549913387e-4,3.9926177060334127e-4,0.0037208922833481517,3332,stmc,0,50,75,0,2,5,male_stmc
76,male,0.001326680745384366,7.261363549913387e-4,3.9926177060334127e-4,0.0037208922833481517,3332,stmc,0,50,75,0,2,5,male_stmc
77,male,0.001326680745384366,7.261363549913387e-4,3.9926177060334127e-4,0.0037208922833481517,3332,stmc,0,50,75,0,2,5,male_stmc
78,male,0.001326680745384366,7.261363549913387e-4,3.9926177060334127e-4,0.0037208922833481517,3332,stmc,0,50,75,0,2,5,male_stmc
79,male,0.001326680745384366,7.261363549913387e-4,3.9926177060334127e-4,0.0037208922833481517,3332,stmc,0,50,75,0,2,5,male_stmc
80,male,0.0018214068333714157,0.0011857894547942294,4.904982110579258e-4,0.00422034991624426,2291,stmc,0,20,80,0,3,5,male_stmc
81,male,0.0018214068333714157,0.0011857894547942294,4.904982110579258e-4,0.00422034991624426,2291,stmc,0,20,80,0,3,5,male_stmc
82,male,0.0018214068333714157,0.0011857894547942294,4.904982110579258e-4,0.00422034991624426,2291,stmc,0,20,80,0,3,5,male_stmc
83,male,0.0018214068333714157,0.0011857894547942294,4.904982110579258e-4,0.00422034991624426,2291,stmc,0,20,80,0,3,5,male_stmc
84,male,0.0018214068333714157,0.0011857894547942294,4.904982110579258e-4,0.00422034991624426,2291,stmc,0,20,80,0,3,5,male_stmc
85,male,0.0029388350369353093,0.0019123907187827706,7.413985554526618e-4,0.0059020525423498825,1276,stmc,0,20,85,0,2,5,male_stmc
86,male,0.0029388350369353093,0.0019123907187827706,7.413985554526618e-4,0.0059020525423498825,1276,stmc,0,20,85,0,2,5,male_stmc
87,male,0.0029388350369353093,0.0019123907187827706,7.413985554526618e-4,0.0059020525423498825,1276,stmc,0,20,85,0,2,5,male_stmc
88,male,0.0029388350369353093,0.0019123907187827706,7.413985554526618e-4,0.0059020525423498825,1276,stmc,0,20,85,0,2,5,male_stmc
89,male,0.0029388350369353093,0.0019123907187827706,7.413985554526618e-4,0.0059020525423498825,1276,stmc,0,20,85,0,2,5,male_stmc
90,male,0.0038785794310898904,0.0025224113711175785,9.08800035532515e-4,0.0064178447192874705,506,stmc,0,10,90,0,1,5,male_stmc
