age,sex,inc,mort,ylds (years lived with disability)_rate_ishd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
49,female,6.443372250752666e-4,7.386784610658965e-5,3.8554237911600346e-4,0.00983833627255373,7531,ishd,0,50,45,0,1,5,female_ishd
50,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
51,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
52,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
53,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
54,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
55,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
56,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
57,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
58,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
59,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
60,female,0.00334033838092859,4.346912542058371e-4,0.0012199672805144675,0.03676855425151747,5725,ishd,0,50,60,2,2,5,female_ishd
61,female,0.00334033838092859,4.346912542058371e-4,0.0012199672805144675,0.03676855425151747,5725,ishd,0,50,60,2,2,5,female_ishd
62,female,0.00334033838092859,4.346912542058371e-4,0.0012199672805144675,0.03676855425151747,5725,ishd,0,50,60,2,2,5,female_ishd
63,female,0.00334033838092859,4.346912542058371e-4,0.0012199672805144675,0.03676855425151747,5725,ishd,0,50,60,2,2,5,female_ishd
64,female,0.00334033838092859,4.346912542058371e-4,0.0012199672805144675,0.03676855425151747,5725,ishd,0,50,60,2,2,5,female_ishd
65,female,0.0056366315901427815,7.545522731391967e-4,0.0018408364343547505,0.058768742187982816,5670,ishd,0,50,65,3,4,5,female_ishd
66,female,0.0056366315901427815,7.545522731391967e-4,0.0018408364343547505,0.058768742187982816,5670,ishd,0,50,65,3,4,5,female_ishd
67,female,0.0056366315901427815,7.545522731391967e-4,0.0018408364343547505,0.058768742187982816,5670,ishd,0,50,65,3,4,5,female_ishd
68,female,0.0056366315901427815,7.545522731391967e-4,0.0018408364343547505,0.058768742187982816,5670,ishd,0,50,65,3,4,5,female_ishd
69,female,0.0056366315901427815,7.545522731391967e-4,0.0018408364343547505,0.058768742187982816,5670,ishd,0,50,65,3,4,5,female_ishd
70,female,0.009712368133571295,0.0014062909204235672,0.002635748997414615,0.08578849290245326,5104,ishd,0,50,70,4,7,5,female_ishd
71,female,0.009712368133571295,0.0014062909204235672,0.002635748997414615,0.08578849290245326,5104,ishd,0,50,70,4,7,5,female_ishd
72,female,0.009712368133571295,0.0014062909204235672,0.002635748997414615,0.08578849290245326,5104,ishd,0,50,70,4,7,5,female_ishd
73,female,0.009712368133571295,0.0014062909204235672,0.002635748997414615,0.08578849290245326,5104,ishd,0,50,70,4,7,5,female_ishd
74,female,0.009712368133571295,0.0014062909204235672,0.002635748997414615,0.08578849290245326,5104,ishd,0,50,70,4,7,5,female_ishd
75,female,0.01555935608594909,0.002905516035208848,0.0034852711804383724,0.11971942365099546,3792,ishd,0,50,75,6,11,5,female_ishd
76,female,0.01555935608594909,0.002905516035208848,0.0034852711804383724,0.11971942365099546,3792,ishd,0,50,75,6,11,5,female_ishd
77,female,0.01555935608594909,0.002905516035208848,0.0034852711804383724,0.11971942365099546,3792,ishd,0,50,75,6,11,5,female_ishd
78,female,0.01555935608594909,0.002905516035208848,0.0034852711804383724,0.11971942365099546,3792,ishd,0,50,75,6,11,5,female_ishd
79,female,0.01555935608594909,0.002905516035208848,0.0034852711804383724,0.11971942365099546,3792,ishd,0,50,75,6,11,5,female_ishd
80,female,0.022293223804155063,0.006135041338798691,0.0043850196481143465,0.1508811268565416,2983,ishd,0,20,80,3,18,5,female_ishd
81,female,0.022293223804155063,0.006135041338798691,0.0043850196481143465,0.1508811268565416,2983,ishd,0,20,80,3,18,5,female_ishd
82,female,0.022293223804155063,0.006135041338798691,0.0043850196481143465,0.1508811268565416,2983,ishd,0,20,80,3,18,5,female_ishd
83,female,0.022293223804155063,0.006135041338798691,0.0043850196481143465,0.1508811268565416,2983,ishd,0,20,80,3,18,5,female_ishd
84,female,0.022293223804155063,0.006135041338798691,0.0043850196481143465,0.1508811268565416,2983,ishd,0,20,80,3,18,5,female_ishd
85,female,0.029928672645116054,0.014244382702045557,0.005035516415405793,0.16794431345289887,2001,ishd,0,20,85,3,28,5,female_ishd
86,female,0.029928672645116054,0.014244382702045557,0.005035516415405793,0.16794431345289887,2001,ishd,0,20,85,3,28,5,female_ishd
87,female,0.029928672645116054,0.014244382702045557,0.005035516415405793,0.16794431345289887,2001,ishd,0,20,85,3,28,5,female_ishd
88,female,0.029928672645116054,0.014244382702045557,0.005035516415405793,0.16794431345289887,2001,ishd,0,20,85,3,28,5,female_ishd
89,female,0.029928672645116054,0.014244382702045557,0.005035516415405793,0.16794431345289887,2001,ishd,0,20,85,3,28,5,female_ishd
90,female,0.035491796004620574,0.024711661986006234,0.004961897355364825,0.15276745440154862,1019,ishd,0,10,90,2,25,5,female_ishd
91,female,0.035491796004620574,0.024711661986006234,0.004961897355364825,0.15276745440154862,1019,ishd,0,10,90,2,25,5,female_ishd
92,female,0.035491796004620574,0.024711661986006234,0.004961897355364825,0.15276745440154862,1019,ishd,0,10,90,2,25,5,female_ishd
93,female,0.035491796004620574,0.024711661986006234,0.004961897355364825,0.15276745440154862,1019,ishd,0,10,90,2,25,5,female_ishd
94,female,0.035491796004620574,0.024711661986006234,0.004961897355364825,0.15276745440154862,1019,ishd,0,10,90,2,25,5,female_ishd
95,female,0.038971516749186044,0.04512896737012793,0.004165200596596805,0.09223128572463632,275,ishd,0,10,95,1,12,6,female_ishd
96,female,0.038971516749186044,0.04512896737012793,0.004165200596596805,0.09223128572463632,275,ishd,0,10,95,1,12,6,female_ishd
97,female,0.038971516749186044,0.04512896737012793,0.004165200596596805,0.09223128572463632,275,ishd,0,10,95,1,12,6,female_ishd
98,female,0.038971516749186044,0.04512896737012793,0.004165200596596805,0.09223128572463632,275,ishd,0,10,95,1,12,6,female_ishd
99,female,0.038971516749186044,0.04512896737012793,0.004165200596596805,0.09223128572463632,275,ishd,0,10,95,1,12,6,female_ishd
100,female,0.038971516749186044,0.04512896737012793,0.004165200596596805,0.09223128572463632,275,ishd,0,10,95,1,12,6,female_ishd
