age,sex,inc,mort,ylds (years lived with disability)_rate_strk,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
18,male,4.620042497389901e-5,1.683043309000301e-6,1.273853079401781e-4,4.7107128420681037e-4,6436,strk,0,50,15,0,0,5,male_strk
19,male,4.620042497389901e-5,1.683043309000301e-6,1.273853079401781e-4,4.7107128420681037e-4,6436,strk,0,50,15,0,0,5,male_strk
20,male,5.7869643380440725e-5,3.6648024370954855e-6,1.645416484973403e-4,7.879847015467181e-4,7845,strk,0,50,20,0,0,5,male_strk
21,male,5.7869643380440725e-5,3.6648024370954855e-6,1.645416484973403e-4,7.879847015467181e-4,7845,strk,0,50,20,0,0,5,male_strk
22,male,5.7869643380440725e-5,3.6648024370954855e-6,1.645416484973403e-4,7.879847015467181e-4,7845,strk,0,50,20,0,0,5,male_strk
23,male,5.7869643380440725e-5,3.6648024370954855e-6,1.645416484973403e-4,7.879847015467181e-4,7845,strk,0,50,20,0,0,5,male_strk
24,male,5.7869643380440725e-5,3.6648024370954855e-6,1.645416484973403e-4,7.879847015467181e-4,7845,strk,0,50,20,0,0,5,male_strk
25,male,8.345060371716514e-5,6.5619683145211015e-6,2.1206391950503208e-4,0.001214265626493479,9023,strk,0,50,25,0,0,5,male_strk
26,male,8.345060371716514e-5,6.5619683145211015e-6,2.1206391950503208e-4,0.001214265626493479,9023,strk,0,50,25,0,0,5,male_strk
27,male,8.345060371716514e-5,6.5619683145211015e-6,2.1206391950503208e-4,0.001214265626493479,9023,strk,0,50,25,0,0,5,male_strk
28,male,8.345060371716514e-5,6.5619683145211015e-6,2.1206391950503208e-4,0.001214265626493479,9023,strk,0,50,25,0,0,5,male_strk
29,male,8.345060371716514e-5,6.5619683145211015e-6,2.1206391950503208e-4,0.001214265626493479,9023,strk,0,50,25,0,0,5,male_strk
30,male,1.5656623911206372e-4,1.126677012839541e-5,2.8344014730156085e-4,0.0017227517793053377,8448,strk,0,50,30,0,0,5,male_strk
31,male,1.5656623911206372e-4,1.126677012839541e-5,2.8344014730156085e-4,0.0017227517793053377,8448,strk,0,50,30,0,0,5,male_strk
32,male,1.5656623911206372e-4,1.126677012839541e-5,2.8344014730156085e-4,0.0017227517793053377,8448,strk,0,50,30,0,0,5,male_strk
33,male,1.5656623911206372e-4,1.126677012839541e-5,2.8344014730156085e-4,0.0017227517793053377,8448,strk,0,50,30,0,0,5,male_strk
34,male,1.5656623911206372e-4,1.126677012839541e-5,2.8344014730156085e-4,0.0017227517793053377,8448,strk,0,50,30,0,0,5,male_strk
35,male,2.7728180995515133e-4,2.136320620465381e-5,3.9698778178450406e-4,0.003071799718616679,7997,strk,0,50,35,0,0,5,male_strk
36,male,2.7728180995515133e-4,2.136320620465381e-5,3.9698778178450406e-4,0.003071799718616679,7997,strk,0,50,35,0,0,5,male_strk
37,male,2.7728180995515133e-4,2.136320620465381e-5,3.9698778178450406e-4,0.003071799718616679,7997,strk,0,50,35,0,0,5,male_strk
38,male,2.7728180995515133e-4,2.136320620465381e-5,3.9698778178450406e-4,0.003071799718616679,7997,strk,0,50,35,0,0,5,male_strk
39,male,2.7728180995515133e-4,2.136320620465381e-5,3.9698778178450406e-4,0.003071799718616679,7997,strk,0,50,35,0,0,5,male_strk
40,male,5.273160934461152e-4,4.650903735421561e-5,6.11389152851069e-4,0.00490335820511742,7179,strk,0,50,40,0,0,5,male_strk
41,male,5.273160934461152e-4,4.650903735421561e-5,6.11389152851069e-4,0.00490335820511742,7179,strk,0,50,40,0,0,5,male_strk
42,male,5.273160934461152e-4,4.650903735421561e-5,6.11389152851069e-4,0.00490335820511742,7179,strk,0,50,40,0,0,5,male_strk
43,male,5.273160934461152e-4,4.650903735421561e-5,6.11389152851069e-4,0.00490335820511742,7179,strk,0,50,40,0,0,5,male_strk
44,male,5.273160934461152e-4,4.650903735421561e-5,6.11389152851069e-4,0.00490335820511742,7179,strk,0,50,40,0,0,5,male_strk
45,male,9.070502460906375e-4,7.513118071519338e-5,9.783446269610442e-4,0.008076401234551793,7628,strk,0,50,45,0,1,5,male_strk
46,male,9.070502460906375e-4,7.513118071519338e-5,9.783446269610442e-4,0.008076401234551793,7628,strk,0,50,45,0,1,5,male_strk
47,male,9.070502460906375e-4,7.513118071519338e-5,9.783446269610442e-4,0.008076401234551793,7628,strk,0,50,45,0,1,5,male_strk
48,male,9.070502460906375e-4,7.513118071519338e-5,9.783446269610442e-4,0.008076401234551793,7628,strk,0,50,45,0,1,5,male_strk
49,male,9.070502460906375e-4,7.513118071519338e-5,9.783446269610442e-4,0.008076401234551793,7628,strk,0,50,45,0,1,5,male_strk
50,male,0.0014721873292534084,1.121530161497745e-4,0.0015242641146487983,0.012620921636395714,7605,strk,0,50,50,1,1,5,male_strk
51,male,0.0014721873292534084,1.121530161497745e-4,0.0015242641146487983,0.012620921636395714,7605,strk,0,50,50,1,1,5,male_strk
52,male,0.0014721873292534084,1.121530161497745e-4,0.0015242641146487983,0.012620921636395714,7605,strk,0,50,50,1,1,5,male_strk
53,male,0.0014721873292534084,1.121530161497745e-4,0.0015242641146487983,0.012620921636395714,7605,strk,0,50,50,1,1,5,male_strk
54,male,0.0014721873292534084,1.121530161497745e-4,0.0015242641146487983,0.012620921636395714,7605,strk,0,50,50,1,1,5,male_strk
55,male,0.0022219413131503293,1.6559976583873485e-4,0.0023295436283433356,0.018895621966485664,6479,strk,0,50,55,1,1,5,male_strk
56,male,0.0022219413131503293,1.6559976583873485e-4,0.0023295436283433356,0.018895621966485664,6479,strk,0,50,55,1,1,5,male_strk
57,male,0.0022219413131503293,1.6559976583873485e-4,0.0023295436283433356,0.018895621966485664,6479,strk,0,50,55,1,1,5,male_strk
58,male,0.0022219413131503293,1.6559976583873485e-4,0.0023295436283433356,0.018895621966485664,6479,strk,0,50,55,1,1,5,male_strk
59,male,0.0022219413131503293,1.6559976583873485e-4,0.0023295436283433356,0.018895621966485664,6479,strk,0,50,55,1,1,5,male_strk
60,male,0.0028803578873796056,2.899981774099602e-4,0.0033049057439427116,0.026682914089161458,5560,strk,0,50,60,1,2,5,male_strk
61,male,0.0028803578873796056,2.899981774099602e-4,0.0033049057439427116,0.026682914089161458,5560,strk,0,50,60,1,2,5,male_strk
62,male,0.0028803578873796056,2.899981774099602e-4,0.0033049057439427116,0.026682914089161458,5560,strk,0,50,60,1,2,5,male_strk
63,male,0.0028803578873796056,2.899981774099602e-4,0.0033049057439427116,0.026682914089161458,5560,strk,0,50,60,1,2,5,male_strk
64,male,0.0028803578873796056,2.899981774099602e-4,0.0033049057439427116,0.026682914089161458,5560,strk,0,50,60,1,2,5,male_strk
65,male,0.0034481974966227135,5.07754010457782e-4,0.004478204855797304,0.035787202754922226,5418,strk,0,50,65,2,3,5,male_strk
66,male,0.0034481974966227135,5.07754010457782e-4,0.004478204855797304,0.035787202754922226,5418,strk,0,50,65,2,3,5,male_strk
67,male,0.0034481974966227135,5.07754010457782e-4,0.004478204855797304,0.035787202754922226,5418,strk,0,50,65,2,3,5,male_strk
68,male,0.0034481974966227135,5.07754010457782e-4,0.004478204855797304,0.035787202754922226,5418,strk,0,50,65,2,3,5,male_strk
69,male,0.0034481974966227135,5.07754010457782e-4,0.004478204855797304,0.035787202754922226,5418,strk,0,50,65,2,3,5,male_strk
70,male,0.004268769694055548,9.896643321661142e-4,0.006648091139996515,0.04649513848782166,4800,strk,0,50,70,2,5,5,male_strk
71,male,0.004268769694055548,9.896643321661142e-4,0.006648091139996515,0.04649513848782166,4800,strk,0,50,70,2,5,5,male_strk
72,male,0.004268769694055548,9.896643321661142e-4,0.006648091139996515,0.04649513848782166,4800,strk,0,50,70,2,5,5,male_strk
73,male,0.004268769694055548,9.896643321661142e-4,0.006648091139996515,0.04649513848782166,4800,strk,0,50,70,2,5,5,male_strk
74,male,0.004268769694055548,9.896643321661142e-4,0.006648091139996515,0.04649513848782166,4800,strk,0,50,70,2,5,5,male_strk
75,male,0.005335297045010402,0.002121407487457158,0.009452120954947085,0.05918510208372739,3332,strk,0,50,75,3,7,5,male_strk
76,male,0.005335297045010402,0.002121407487457158,0.009452120954947085,0.05918510208372739,3332,strk,0,50,75,3,7,5,male_strk
77,male,0.005335297045010402,0.002121407487457158,0.009452120954947085,0.05918510208372739,3332,strk,0,50,75,3,7,5,male_strk
78,male,0.005335297045010402,0.002121407487457158,0.009452120954947085,0.05918510208372739,3332,strk,0,50,75,3,7,5,male_strk
79,male,0.005335297045010402,0.002121407487457158,0.009452120954947085,0.05918510208372739,3332,strk,0,50,75,3,7,5,male_strk
80,male,0.00816061555357671,0.0046951078159214125,0.013082921725165295,0.07377949962123956,2291,strk,0,20,80,1,11,5,male_strk
81,male,0.00816061555357671,0.0046951078159214125,0.013082921725165295,0.07377949962123956,2291,strk,0,20,80,1,11,5,male_strk
82,male,0.00816061555357671,0.0046951078159214125,0.013082921725165295,0.07377949962123956,2291,strk,0,20,80,1,11,5,male_strk
83,male,0.00816061555357671,0.0046951078159214125,0.013082921725165295,0.07377949962123956,2291,strk,0,20,80,1,11,5,male_strk
84,male,0.00816061555357671,0.0046951078159214125,0.013082921725165295,0.07377949962123956,2291,strk,0,20,80,1,11,5,male_strk
85,male,0.012743951447388178,0.010841017031469597,0.016859219865378285,0.08943689456184838,1276,strk,0,20,85,2,14,5,male_strk
86,male,0.012743951447388178,0.010841017031469597,0.016859219865378285,0.08943689456184838,1276,strk,0,20,85,2,14,5,male_strk
87,male,0.012743951447388178,0.010841017031469597,0.016859219865378285,0.08943689456184838,1276,strk,0,20,85,2,14,5,male_strk
88,male,0.012743951447388178,0.010841017031469597,0.016859219865378285,0.08943689456184838,1276,strk,0,20,85,2,14,5,male_strk
89,male,0.012743951447388178,0.010841017031469597,0.016859219865378285,0.08943689456184838,1276,strk,0,20,85,2,14,5,male_strk
90,male,0.01733797635887039,0.018048360970826374,0.020107389107246496,0.10167954116747907,506,strk,0,10,90,1,9,5,male_strk
91,male,0.01733797635887039,0.018048360970826374,0.020107389107246496,0.10167954116747907,506,strk,0,10,90,1,9,5,male_strk
92,male,0.01733797635887039,0.018048360970826374,0.020107389107246496,0.10167954116747907,506,strk,0,10,90,1,9,5,male_strk
93,male,0.01733797635887039,0.018048360970826374,0.020107389107246496,0.10167954116747907,506,strk,0,10,90,1,9,5,male_strk
94,male,0.01733797635887039,0.018048360970826374,0.020107389107246496,0.10167954116747907,506,strk,0,10,90,1,9,5,male_strk
95,male,0.0219509074557908,0.03188202115928132,0.022915775821157492,0.10906394444612219,91,strk,0,10,95,1,3,6,male_strk
96,male,0.0219509074557908,0.03188202115928132,0.022915775821157492,0.10906394444612219,91,strk,0,10,95,1,3,6,male_strk
97,male,0.0219509074557908,0.03188202115928132,0.022915775821157492,0.10906394444612219,91,strk,0,10,95,1,3,6,male_strk
98,male,0.0219509074557908,0.03188202115928132,0.022915775821157492,0.10906394444612219,91,strk,0,10,95,1,3,6,male_strk
99,male,0.0219509074557908,0.03188202115928132,0.022915775821157492,0.10906394444612219,91,strk,0,10,95,1,3,6,male_strk
100,male,0.0219509074557908,0.03188202115928132,0.022915775821157492,0.10906394444612219,91,strk,0,10,95,1,3,6,male_strk
