age,sex,inc,mort,ylds (years lived with disability)_rate_lvrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
48,male,4.2351403905700744e-5,2.2057979738830282e-5,1.2795057108728123e-5,0,7628,lvrc,0,50,45,0,0,5,male_lvrc
49,male,4.2351403905700744e-5,2.2057979738830282e-5,1.2795057108728123e-5,0,7628,lvrc,0,50,45,0,0,5,male_lvrc
50,male,7.760250434679315e-5,4.373774699363713e-5,2.297986748206555e-5,0,7605,lvrc,0,50,50,0,0,5,male_lvrc
51,male,7.760250434679315e-5,4.373774699363713e-5,2.297986748206555e-5,0,7605,lvrc,0,50,50,0,0,5,male_lvrc
52,male,7.760250434679315e-5,4.373774699363713e-5,2.297986748206555e-5,0,7605,lvrc,0,50,50,0,0,5,male_lvrc
53,male,7.760250434679315e-5,4.373774699363713e-5,2.297986748206555e-5,0,7605,lvrc,0,50,50,0,0,5,male_lvrc
54,male,7.760250434679315e-5,4.373774699363713e-5,2.297986748206555e-5,0,7605,lvrc,0,50,50,0,0,5,male_lvrc
55,male,1.2452602102452784e-4,7.936068254661611e-5,3.5561445251662675e-5,1.7933884373666058e-5,6479,lvrc,0,50,55,0,1,5,male_lvrc
56,male,1.2452602102452784e-4,7.936068254661611e-5,3.5561445251662675e-5,1.7933884373666058e-5,6479,lvrc,0,50,55,0,1,5,male_lvrc
57,male,1.2452602102452784e-4,7.936068254661611e-5,3.5561445251662675e-5,1.7933884373666058e-5,6479,lvrc,0,50,55,0,1,5,male_lvrc
58,male,1.2452602102452784e-4,7.936068254661611e-5,3.5561445251662675e-5,1.7933884373666058e-5,6479,lvrc,0,50,55,0,1,5,male_lvrc
59,male,1.2452602102452784e-4,7.936068254661611e-5,3.5561445251662675e-5,1.7933884373666058e-5,6479,lvrc,0,50,55,0,1,5,male_lvrc
60,male,1.95327123662997e-4,1.4334794733830022e-4,5.2116396979059495e-5,1.4181675894735444e-4,5560,lvrc,0,50,60,0,1,5,male_lvrc
61,male,1.95327123662997e-4,1.4334794733830022e-4,5.2116396979059495e-5,1.4181675894735444e-4,5560,lvrc,0,50,60,0,1,5,male_lvrc
62,male,1.95327123662997e-4,1.4334794733830022e-4,5.2116396979059495e-5,1.4181675894735444e-4,5560,lvrc,0,50,60,0,1,5,male_lvrc
63,male,1.95327123662997e-4,1.4334794733830022e-4,5.2116396979059495e-5,1.4181675894735444e-4,5560,lvrc,0,50,60,0,1,5,male_lvrc
64,male,1.95327123662997e-4,1.4334794733830022e-4,5.2116396979059495e-5,1.4181675894735444e-4,5560,lvrc,0,50,60,0,1,5,male_lvrc
65,male,2.861119652435407e-4,2.0834224514784634e-4,7.765446514479833e-5,3.4122899216073465e-4,5418,lvrc,0,50,65,0,1,5,male_lvrc
66,male,2.861119652435407e-4,2.0834224514784634e-4,7.765446514479833e-5,3.4122899216073465e-4,5418,lvrc,0,50,65,0,1,5,male_lvrc
67,male,2.861119652435407e-4,2.0834224514784634e-4,7.765446514479833e-5,3.4122899216073465e-4,5418,lvrc,0,50,65,0,1,5,male_lvrc
68,male,2.861119652435407e-4,2.0834224514784634e-4,7.765446514479833e-5,3.4122899216073465e-4,5418,lvrc,0,50,65,0,1,5,male_lvrc
69,male,2.861119652435407e-4,2.0834224514784634e-4,7.765446514479833e-5,3.4122899216073465e-4,5418,lvrc,0,50,65,0,1,5,male_lvrc
70,male,3.783506017800377e-4,2.897842203254968e-4,9.995968749356361e-5,4.1652692570757935e-4,4800,lvrc,0,50,70,0,1,5,male_lvrc
71,male,3.783506017800377e-4,2.897842203254968e-4,9.995968749356361e-5,4.1652692570757935e-4,4800,lvrc,0,50,70,0,1,5,male_lvrc
72,male,3.783506017800377e-4,2.897842203254968e-4,9.995968749356361e-5,4.1652692570757935e-4,4800,lvrc,0,50,70,0,1,5,male_lvrc
73,male,3.783506017800377e-4,2.897842203254968e-4,9.995968749356361e-5,4.1652692570757935e-4,4800,lvrc,0,50,70,0,1,5,male_lvrc
74,male,3.783506017800377e-4,2.897842203254968e-4,9.995968749356361e-5,4.1652692570757935e-4,4800,lvrc,0,50,70,0,1,5,male_lvrc
75,male,4.918871175271671e-4,4.06131414298198e-4,1.2355857794021718e-4,4.3027730786934234e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc
76,male,4.918871175271671e-4,4.06131414298198e-4,1.2355857794021718e-4,4.3027730786934234e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc
77,male,4.918871175271671e-4,4.06131414298198e-4,1.2355857794021718e-4,4.3027730786934234e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc
78,male,4.918871175271671e-4,4.06131414298198e-4,1.2355857794021718e-4,4.3027730786934234e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc
79,male,4.918871175271671e-4,4.06131414298198e-4,1.2355857794021718e-4,4.3027730786934234e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc
80,male,6.542954221227938e-4,5.376403652406769e-4,1.6773878008286304e-4,6.212819487899094e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc
81,male,6.542954221227938e-4,5.376403652406769e-4,1.6773878008286304e-4,6.212819487899094e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc
82,male,6.542954221227938e-4,5.376403652406769e-4,1.6773878008286304e-4,6.212819487899094e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc
83,male,6.542954221227938e-4,5.376403652406769e-4,1.6773878008286304e-4,6.212819487899094e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc
84,male,6.542954221227938e-4,5.376403652406769e-4,1.6773878008286304e-4,6.212819487899094e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc
85,male,9.136147988817887e-4,7.493776132529568e-4,2.2776417372665175e-4,7.493693221774637e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc
86,male,9.136147988817887e-4,7.493776132529568e-4,2.2776417372665175e-4,7.493693221774637e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc
87,male,9.136147988817887e-4,7.493776132529568e-4,2.2776417372665175e-4,7.493693221774637e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc
88,male,9.136147988817887e-4,7.493776132529568e-4,2.2776417372665175e-4,7.493693221774637e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc
89,male,9.136147988817887e-4,7.493776132529568e-4,2.2776417372665175e-4,7.493693221774637e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc
90,male,8.932484722833807e-4,7.324024878519905e-4,2.1495603528730195e-4,5.498855955785661e-4,506,lvrc,0,10,90,0,0,5,male_lvrc
91,male,8.932484722833807e-4,7.324024878519905e-4,2.1495603528730195e-4,5.498855955785661e-4,506,lvrc,0,10,90,0,0,5,male_lvrc
92,male,8.932484722833807e-4,7.324024878519905e-4,2.1495603528730195e-4,5.498855955785661e-4,506,lvrc,0,10,90,0,0,5,male_lvrc
93,male,8.932484722833807e-4,7.324024878519905e-4,2.1495603528730195e-4,5.498855955785661e-4,506,lvrc,0,10,90,0,0,5,male_lvrc
94,male,8.932484722833807e-4,7.324024878519905e-4,2.1495603528730195e-4,5.498855955785661e-4,506,lvrc,0,10,90,0,0,5,male_lvrc
95,male,9.258230806950752e-4,7.592346253521776e-4,1.8622075341098813e-4,5.1399906553221144e-5,91,lvrc,0,10,95,0,0,6,male_lvrc
96,male,9.258230806950752e-4,7.592346253521776e-4,1.8622075341098813e-4,5.1399906553221144e-5,91,lvrc,0,10,95,0,0,6,male_lvrc
97,male,9.258230806950752e-4,7.592346253521776e-4,1.8622075341098813e-4,5.1399906553221144e-5,91,lvrc,0,10,95,0,0,6,male_lvrc
98,male,9.258230806950752e-4,7.592346253521776e-4,1.8622075341098813e-4,5.1399906553221144e-5,91,lvrc,0,10,95,0,0,6,male_lvrc
99,male,9.258230806950752e-4,7.592346253521776e-4,1.8622075341098813e-4,5.1399906553221144e-5,91,lvrc,0,10,95,0,0,6,male_lvrc
100,male,9.258230806950752e-4,7.592346253521776e-4,1.8622075341098813e-4,5.1399906553221144e-5,91,lvrc,0,10,95,0,0,6,male_lvrc
