age,sex,inc,mort,ylds (years lived with disability)_rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
42,female,2.2748901150777885e-4,2.93425265164476e-6,4.3485190927189236e-4,0.0033808980720693555,6901,iscs,0,50,40,0,0,5,female_iscs
43,female,2.2748901150777885e-4,2.93425265164476e-6,4.3485190927189236e-4,0.0033808980720693555,6901,iscs,0,50,40,0,0,5,female_iscs
44,female,2.2748901150777885e-4,2.93425265164476e-6,4.3485190927189236e-4,0.0033808980720693555,6901,iscs,0,50,40,0,0,5,female_iscs
45,female,3.4335603248903074e-4,6.404526981733857e-6,6.310284529298429e-4,0.005012851562575634,7531,iscs,0,50,45,0,0,5,female_iscs
46,female,3.4335603248903074e-4,6.404526981733857e-6,6.310284529298429e-4,0.005012851562575634,7531,iscs,0,50,45,0,0,5,female_iscs
47,female,3.4335603248903074e-4,6.404526981733857e-6,6.310284529298429e-4,0.005012851562575634,7531,iscs,0,50,45,0,0,5,female_iscs
48,female,3.4335603248903074e-4,6.404526981733857e-6,6.310284529298429e-4,0.005012851562575634,7531,iscs,0,50,45,0,0,5,female_iscs
49,female,3.4335603248903074e-4,6.404526981733857e-6,6.310284529298429e-4,0.005012851562575634,7531,iscs,0,50,45,0,0,5,female_iscs
50,female,0.00052880913647907965,9.671806894636315e-6,9.495617598411513e-4,0.007410681356217103,7629,iscs,0,50,50,0,0,5,female_iscs
51,female,0.00052880913647907965,9.671806894636315e-6,9.495617598411513e-4,0.007410681356217103,7629,iscs,0,50,50,0,0,5,female_iscs
52,female,0.00052880913647907965,9.671806894636315e-6,9.495617598411513e-4,0.007410681356217103,7629,iscs,0,50,50,0,0,5,female_iscs
53,female,0.00052880913647907965,9.671806894636315e-6,9.495617598411513e-4,0.007410681356217103,7629,iscs,0,50,50,0,0,5,female_iscs
54,female,0.00052880913647907965,9.671806894636315e-6,9.495617598411513e-4,0.007410681356217103,7629,iscs,0,50,50,0,0,5,female_iscs
55,female,7.838715511197433e-4,1.6477693320686993e-5,0.0014577997044005273,0.010971057661645325,6580,iscs,0,50,55,1,0,5,female_iscs
56,female,7.838715511197433e-4,1.6477693320686993e-5,0.0014577997044005273,0.010971057661645325,6580,iscs,0,50,55,1,0,5,female_iscs
57,female,7.838715511197433e-4,1.6477693320686993e-5,0.0014577997044005273,0.010971057661645325,6580,iscs,0,50,55,1,0,5,female_iscs
58,female,7.838715511197433e-4,1.6477693320686993e-5,0.0014577997044005273,0.010971057661645325,6580,iscs,0,50,55,1,0,5,female_iscs
59,female,7.838715511197433e-4,1.6477693320686993e-5,0.0014577997044005273,0.010971057661645325,6580,iscs,0,50,55,1,0,5,female_iscs
60,female,0.0012454128965652916,5.177478841255182e-5,0.002184773783948867,0.016020849410266422,5725,iscs,0,50,60,1,0,5,female_iscs
61,female,0.0012454128965652916,5.177478841255182e-5,0.002184773783948867,0.016020849410266422,5725,iscs,0,50,60,1,0,5,female_iscs
62,female,0.0012454128965652916,5.177478841255182e-5,0.002184773783948867,0.016020849410266422,5725,iscs,0,50,60,1,0,5,female_iscs
63,female,0.0012454128965652916,5.177478841255182e-5,0.002184773783948867,0.016020849410266422,5725,iscs,0,50,60,1,0,5,female_iscs
64,female,0.0012454128965652916,5.177478841255182e-5,0.002184773783948867,0.016020849410266422,5725,iscs,0,50,60,1,0,5,female_iscs
65,female,0.001913499654239264,1.0562025958832284e-4,0.0032725753747229426,0.023477876018515215,5670,iscs,0,50,65,1,1,5,female_iscs
66,female,0.001913499654239264,1.0562025958832284e-4,0.0032725753747229426,0.023477876018515215,5670,iscs,0,50,65,1,1,5,female_iscs
67,female,0.001913499654239264,1.0562025958832284e-4,0.0032725753747229426,0.023477876018515215,5670,iscs,0,50,65,1,1,5,female_iscs
68,female,0.001913499654239264,1.0562025958832284e-4,0.0032725753747229426,0.023477876018515215,5670,iscs,0,50,65,1,1,5,female_iscs
69,female,0.001913499654239264,1.0562025958832284e-4,0.0032725753747229426,0.023477876018515215,5670,iscs,0,50,65,1,1,5,female_iscs
70,female,0.0026630222395887058,3.1850992509311693e-4,0.005125065959829118,0.03365691857580488,5104,iscs,0,50,70,2,2,5,female_iscs
71,female,0.0026630222395887058,3.1850992509311693e-4,0.005125065959829118,0.03365691857580488,5104,iscs,0,50,70,2,2,5,female_iscs
72,female,0.0026630222395887058,3.1850992509311693e-4,0.005125065959829118,0.03365691857580488,5104,iscs,0,50,70,2,2,5,female_iscs
73,female,0.0026630222395887058,3.1850992509311693e-4,0.005125065959829118,0.03365691857580488,5104,iscs,0,50,70,2,2,5,female_iscs
74,female,0.0026630222395887058,3.1850992509311693e-4,0.005125065959829118,0.03365691857580488,5104,iscs,0,50,70,2,2,5,female_iscs
75,female,0.003489736598244966,8.082566383114388e-4,0.007975137611284057,0.04702488716518201,3792,iscs,0,50,75,2,3,5,female_iscs
76,female,0.003489736598244966,8.082566383114388e-4,0.007975137611284057,0.04702488716518201,3792,iscs,0,50,75,2,3,5,female_iscs
77,female,0.003489736598244966,8.082566383114388e-4,0.007975137611284057,0.04702488716518201,3792,iscs,0,50,75,2,3,5,female_iscs
78,female,0.003489736598244966,8.082566383114388e-4,0.007975137611284057,0.04702488716518201,3792,iscs,0,50,75,2,3,5,female_iscs
79,female,0.003489736598244966,8.082566383114388e-4,0.007975137611284057,0.04702488716518201,3792,iscs,0,50,75,2,3,5,female_iscs
80,female,0.005758039115337054,0.0027998352017267335,0.01154905333248765,0.06335332609001364,2983,iscs,0,20,80,1,8,5,female_iscs
