Age group,Gender,inc_num_diff_dmt2,mx_num_diff_dmt2,inc_num_diff_ishd,mx_num_diff_ishd,inc_num_diff_strk,mx_num_diff_strk,inc_num_diff_carc,mx_num_diff_carc,inc_num_diff_copd,mx_num_diff_copd,inc_num_diff_tbalc,mx_num_diff_tbalc,inc_num_diff_brsc,mx_num_diff_brsc,inc_num_diff_utrc,mx_num_diff_utrc
16-19,female,32.68319686360236,0.9431378889053578,-0.1925362719326813,-0.04429701965644334,0.5466111597374237,0.354512400751452,-0.07464652782966175,-0.02526904844945803,0.34786651303068084,0.043436699682926294,-0.0744917150886315,-0.052982953837854674,-0.11886363188727778,-0.03623532739070702,0.00142505067013321,0.006013652745684574
20-24,female,21.76458562491734,0.6191777934639481,-0.07950678568678882,0.07547680239297172,0.9288603162331981,0.6028580023994827,-0.038700164299321216,0.015795118093578364,0.6196239371328147,0.10541206278987819,-0.09141413075888316,-0.06325524315867953,-0.02496550041763612,0.0339222571016734,0.005321206081701391,0.009079662421447605
25-29,female,14.365640609279609,0.39690843759374056,-0.05257858994178832,0.24788894564938602,2.3829180858730297,1.5324886251382361,0.055589885884771206,0.14533183626030965,0.497283760623759,0.0452952447453327,-0.17537260996163972,-0.11402806489612338,0.6149285330244538,0.45924507506014445,0.05671872244851883,0.03777477856524608
30-34,female,13.601062536907389,0.36207012381165915,0.18953193803696422,0.5994126686623453,4.323664473212091,2.7166411198390383,0.19880782134175945,0.3271204335676521,0.3443464038405182,-0.04562921034404288,-0.27395433347961173,-0.16494560277304204,1.5717295246047343,1.0136938544255614,0.110417244759482,0.06458674469726577
35-39,female,23.819803019247644,0.6260845907550667,0.8925872431360631,1.3239362485252308,7.712394618418443,4.716825326422208,0.3528463770333303,0.5467291023780598,-0.2707973150552334,-0.2928494577315377,-0.39063763533445695,-0.19986337615767358,3.382674278535319,1.9330728577792957,0.3226094185835393,0.14812065483977466
40-44,female,52.699475161063944,1.3964023336562474,2.5546659539705843,2.6597498337293564,12.487822525415595,7.4215421635403755,0.7001763262345548,0.9369735365410419,-1.4629220297756547,-0.7207999666931221,-0.28584981348251404,0.025327705066109374,6.07187640575205,3.090757410952758,0.8423993826859544,0.32344434346117035
45-49,female,102.68300634997395,2.7329758060859506,6.600450544764044,5.419863581516784,20.84246948854502,12.05122397301735,1.4167652221994445,1.6357382352481444,-3.35717225973508,-1.400579001580026,0.4175878748314972,0.9234376231501571,10.131000419994734,4.556473522751887,2.335204706841111,0.7731119063690968
50-54,female,62.66055214792595,1.6453551077588433,8.483396392442046,5.815482082264481,16.4340538340266,9.240505452701969,1.3837364940729913,1.3951762828500076,1.0139115317845153,-0.24115259165875358,2.3593535679437423,2.733561920825025,5.292207808724584,2.1427456523163144,3.218979970107796,0.9423821121118485
55-59,female,62.48805024228209,1.6024928730944543,17.37274152146074,10.233494382769898,23.50404102313064,12.879369745088733,2.7785137289924933,2.2960427442127447,-0.6080228036560129,-0.77364080982675,5.6152883879197475,5.969937289377583,6.077886818570732,2.154628177333578,5.935802639057215,1.5443262528131676
60-64,female,35.85856253274782,0.877335512003876,20.75800192641873,10.656715979810606,19.66712100481982,10.537914068236908,2.400128182867604,1.7334151027077134,1.962272912550361,-0.06597929051087092,6.533099350315695,6.489910816437828,3.8103825806102805,1.1754319789092484,4.158932322567196,0.9418170040034886
65-69,female,32.91931364440391,0.7633962339304219,31.720798618513527,14.434214003674839,21.630300722009906,11.43529214771215,2.697304650633214,1.6858834819868918,4.765771214283404,0.5304878435186424,9.444608006970185,8.648514155886062,2.199799514125175,0.5965906039801894,3.7157050562110356,0.7132762086111679
70-74,female,41.273529893129535,0.9621240357087326,41.15410665609829,16.80184256425224,20.627861097521873,10.816900318601412,2.5101661658951,1.3240991975552987,5.32437270958701,0.7306730806824007,9.358591749874108,7.630157111192091,0.8009136019696825,0.18090114301100257,2.427485175344245,0.37957162279604884
75-79,female,26.203829600886188,0.6071305093941408,29.653886866908806,10.947847150445028,12.651959967765151,6.586275274478851,1.5022215541292212,0.6604819176637022,4.555337478912747,0.7168953008997931,6.537480761958193,4.506055931418302,0.13213997323526883,0.02048375157890092,0.9155135009531463,0.11270932307002823
80-84,female,13.242558394829018,0.2939397079797317,30.203480180998667,10.05634205199982,15.54069827873991,8.081594228049823,1.1850787399734486,0.40446910667466085,3.055715410133189,0.4356114505903008,5.03319879601338,2.734443966190099,-0.1101235790509918,-0.03094137718039036,0.4284956952083263,0.03818952241136708
85-89,female,3.3306372411635827,0.06961130993313436,28.173166082878424,8.574682705019825,17.410065122755555,9.15413480998211,1.599061437075136,0.4054758584412781,2.2305251954115874,0.2816838645377473,3.602568595124694,1.469068142810741,0.2576303933976192,0.02370719152411027,0.36885220687253906,0.0235812779207647
90-94,female,0.20367562348902624,0.0036194165821550883,13.168886300159329,3.416518782842843,9.797405595554324,5.091524476761492,0.8323215527523189,0.14448526341378454,2.2152205445346453,0.24148216346927143,1.5812240117435579,0.4376415794685542,0.15716972858314193,0.017098179080331732,0.15136529357192074,0.00652639450320458
95 plus,female,0.07166810270922497,2.757692724679739e-4,7.850518796610459,0.45037348237494257,6.560330093827702,0.9879828472940062,0.6506288523084436,0.01993207996384072,1.1631562199787595,0.026425950161751643,0.7406454038084007,0.03892678880241007,0.29390130323912445,0.005085770233048237,0.10411009463589238,8.021943670716292e-4
16-19,male,61.62234646507415,1.608856641032885,-0.432233729476188,-0.08552992489327244,0.903078061091307,0.5679468528997706,-0.1172925163920473,-0.027333095900084092,-0.46951679737924223,-0.16963777703904245,-0.16596578995078515,-0.12309757328423315,NA,NA,NA,NA
20-24,male,105.01894547693587,2.6810091903176225,-0.028107581069292564,0.5944862709470944,1.9166737675815142,1.1714425030855864,-0.1949107299174493,-0.006305578728964978,-1.2995357798837404,-0.4149034786749979,-0.36851528012728263,-0.2726294414984683,NA,NA,NA,NA
25-29,male,49.353196942806214,1.2270815037971545,1.1633963525960667,1.7329271261484172,3.402025704564835,2.0197061723966305,0.005569907408812469,0.20064107508775086,-1.6402409921610115,-0.4817085972963295,-0.42513412254317373,-0.301485319191966,NA,NA,NA,NA
30-34,male,32.00493636088142,0.7661069136538896,4.280219659996192,4.693408334675371,5.743468108912509,3.284225450378435,0.2694136490066654,0.5590479078989379,-3.106282342942677,-0.8808143562051287,-0.773510336532027,-0.5436741987949691,NA,NA,NA,NA
35-39,male,51.81677892214758,1.1915501445229508,13.658911477948209,12.990393618503033,13.364394360385063,7.267091633043023,0.47688689891387526,1.130598687807673,-7.437253683095037,-2.137619915846651,-1.7124661153933758,-1.1581217896203526,NA,NA,NA,NA
40-44,male,125.12005322321087,2.8499512697108877,27.188224467636246,22.987117610841047,23.995911709719508,12.320976598611342,0.8752171621894149,1.8356784640180361,-12.754818764351057,-3.7701572335191167,-2.6517146911098024,-1.702746883939028,NA,NA,NA,NA
45-49,male,285.9473264197993,6.482231961750865,53.92736597752548,39.93236205692367,44.96707145806681,21.790063807180413,1.1273619282702043,2.5910986552931057,-20.607307644232264,-6.352577170414821,-3.5504327754038627,-1.9445777589001096,NA,NA,NA,NA
50-54,male,313.3706110782226,6.971289306748762,95.49635354435861,60.79108024348146,68.785211011932,31.56192711271614,3.4202847037010997,4.486140968845323,-25.619701430093755,-8.323908887377957,-2.117376982739586,0.11658395857784853,NA,NA,NA,NA
55-59,male,289.703206487133,6.235368472817853,160.71952450094125,87.36250783086699,106.80245414089848,46.86366137322747,9.171384085600664,8.01140643975657,-34.74067792487392,-11.352978176093565,3.304260058780244,6.040066677703777,NA,NA,NA,NA
60-64,male,173.49535825491796,3.5667038144824037,170.27890361459117,78.89236921775239,91.10151408133856,38.507673829102004,12.590511937770998,8.293813789548203,-26.44086725987529,-8.796514025272508,11.323515081902627,12.728807762988566,NA,NA,NA,NA
65-69,male,80.46196719526473,1.5142238321868762,149.99434996177558,59.64814338139681,61.18095827205002,25.188500139645843,11.827401901941528,6.219473251317211,-13.030314420093077,-4.758923241957454,15.715572532975187,15.112723839059214,NA,NA,NA,NA
70-74,male,95.59264736780247,1.7887539344077341,148.98741921391525,51.088675893607444,52.76792073021727,21.45394581066602,10.768392616270262,4.56698212867488,-7.4529317084162585,-2.9115689313060145,15.24524498369044,12.879276772899146,NA,NA,NA,NA
75-79,male,91.76351420417974,1.7052603730573797,122.22073946937928,36.854345363350376,36.174379327138695,14.525115146757699,8.111405842115119,2.7794405097942416,-2.3752058060966306,-1.1892451234939188,15.498463400456643,11.123186288038454,NA,NA,NA,NA
80-84,male,44.26427502303162,0.7949598062746839,89.98505915908606,24.187685857120925,32.31928337338877,13.030025122185904,4.8863700170944355,1.322591705200793,-0.6257834175726202,-0.4393482047298747,10.200757092853166,5.9187927524329496,NA,NA,NA,NA
85-89,male,6.806594331610508,0.11821817234047383,46.88032818665101,11.719470750283222,20.9682481680033,8.654237856830832,3.6482659986266412,0.768646073752123,0.15570802951702944,-0.06393928709707808,6.245125831845442,2.8154987166506658,NA,NA,NA,NA
90-94,male,0.24919235118186123,0.003872273446022728,17.48996932403429,3.9045114554230054,9.102246497900808,3.725191616887656,1.4967233230683235,0.22526099300772628,0.5470311310360785,0.07734051759332772,1.972571192341647,0.6264283037319842,NA,NA,NA,NA
95 plus,male,0.030734565015972493,1.0505004218008471e-4,4.574236500887764,0.22698429279480337,2.66078609307948,0.2991645692818139,0.3990977855398796,0.01076378896688368,0.3935418885268973,0.011382084875041443,0.40073465340387315,0.0240871399920497,NA,NA,NA,NA
